회사명,공장주소(도로명),공장주소(지번),업종명,전화번호,종업원수(총인원),생산품,원자재
장원산업사,경기도 포천시 송선로151번길 72 (설운동),경기도 포천시 설운동 336번지,그 외 기타 분류 안된 섬유제품 제조업,031-541-6651,10,원단,
장원텍스타일,경기도 포천시 영중면 양문공단로1길 46,경기도 포천시 영중면 양문리 1016-1,"직물, 편조원단 및 의복류 염색 가공업",031-535-8805,9,염색원단,원단
장인다이아공업,경기도 포천시 군내면 용정리 237-16번지 외 2필지 외 2필지,경기도 포천시 군내면 용정리 237-16번지 외 2필지,톱 및 호환성 공구 제조업,031-535-3158,9,다이아몬드 블레이드 (절단날),
장인산업,경기도 포천시 가산면 가산로297번길 15 (총 3 필지) 외 2필지,경기도 포천시 가산면 마산리 444-0번지 외 2필지,"플라스틱 포대, 봉투 및 유사제품 제조업",031-541-5427,12,"플라스틱포대, 봉투",
장인종합건설(주),경기도 포천시 선단동 821-17 외 1필지,경기도 포천시 선단동 821-17 외 1필지,편조원단 제조업,031-543-2350,4,편조원단,각종실
재성산업 주식회사,경기도 포천시 자작동 587-2 외 2필지,경기도 포천시 자작동 587-2 외 2필지,금속 가구 제조업 외 7 종,031-536-8308,0,"금속캐비닛, 표지판 외","철판(코일), 스텐, 파이프, 알미늄 외"
재원텍스타일,경기도 포천시 신북면 장자경제로 152-8 재원텍스타일,경기도 포천시 신북면 신평리 678-5 재원텍스타일,날염 가공업 외 1 종,031-532-7055,3,"섬유나염, 전기","원단, 염료, 바인더"
적성포장,경기도 포천시 가산면 포천로912번길 37-49 외 1필지,경기도 포천시 가산면 마전리 591-1번지 외 1필지,기타 종이 상자 및 용기 제조업,031-541-8781,6,종이박스,
전진제재소,경기도 포천시 가산면 포천로 746,경기도 포천시 가산면 금현리 296-1번지,일반 제재업,031-541-8293,6,각목,
정국조경자재,경기도 포천시 관인면 창동로643번길 27,경기도 포천시 관인면 중리 639-1번지,표면 가공 목재 및 특정 목적용 제재목 제조업,031-533-1861,5,"우드칩,조경자재",
정도석재,경기도 포천시 창수면 금화봉길 180 외 1필지,경기도 포천시 창수면 가양리 78-1번지 외 1필지,건설용 석제품 제조업,031-533-8701,3,석제품,
정수식품,경기도 포천시 영중면 거사리 996-3,경기도 포천시 영중면 거사리 996-3,떡류 제조업,031-531-7609,10,떡복이떡,"밀가루,쌀"
정안섬유,경기도 포천시 소흘읍 무봉로 123-11,경기도 포천시 소흘읍 무봉리 515-2번지,특수 직물 및 기타 직물 직조업,031-543-6106,12,직조,
정안섬유,경기도 포천시 소흘읍 무봉로 119,경기도 포천시 소흘읍 무봉리 514-3번지,특수 직물 및 기타 직물 직조업,031-541-2022,12,원단,원사
정우철골,경기도 포천시 봉화로581번길 100 (화현면) 외 3필지,경기도 포천시 화현면 명덕리 555-0 외 3필지,육상 금속 골조 구조재 제조업,070-4139-9557,3,"철구조물(H.B 구조물, 이동식 조립구조물)","H.B 형강, 철판"
정우화성,경기도 포천시 창수면 창동로 241-38,경기도 포천시 창수면 오가리 85-1번지,표면처리 및 적층 직물 제조업,031-536-4228,22,원단방수코팅,
정원식품,경기도 포천시 마현길 81 (가산면),경기도 포천시 가산면 마산리 75-5,김치류 제조업 외 1 종,031-531-2971,4,김치,"배추,무"
정은칡즙,경기도 포천시 영북면 호국로3549번길 25 (총 2 필지) 외 1필지,경기도 포천시 영북면 야미리 625-2번지 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,031-531-6484,2,칡즙,칡
정일섬유,경기도 포천시 군내면 용정2길 11,경기도 포천시 군내면 용정리 89-4번지,편조원단 제조업,031-535-0156,11,원단,
정풍금속,경기도 포천시 내촌면 음현리 138 외 1필지,경기도 포천시 내촌면 음현리 138 외 1필지,볼트 및 너트류 제조업 외 2 종,031-533-2248,2,볼트,"스테인레스 봉, 철봉"
정희섬유,경기도 포천시 영중면 양문공단로3길 30,경기도 포천시 영중면 양문리 982-2번지,섬유제품 기타 정리 및 마무리 가공업 외 1 종,031-532-6468,6,섬유염색,
제로에너텍,"경기도 포천시 가산면 가산로194번길 48-1, (다동)",경기도 포천시 가산면 가산리 474-1 (다동),배전반 및 전기 자동제어반 제조업,031-967-1250,1,계량기함,철판
제원테크,경기도 포천시 소흘읍 죽엽산로269번길 55-19 외 1필지,경기도 포천시 소흘읍 고모리 398-9번지 외 1필지,폴리스티렌 발포 성형제품 제조업 외 1 종,031-543-5808,5,산업용프라스틱부품,
제이앤와이테크,경기도 포천시 가산면 감암리 150-2,경기도 포천시 가산면 감암리 150-2,육상 금속 골조 구조재 제조업,031-573-3207,3,CCTV용 지주 및 금속부품 및 배전함,STS 304
제이앤제이(주),경기도 포천시 가산면 궁말길 15 외 1필지,경기도 포천시 가산면 금현리 715-2번지 외 1필지,플라스틱 필름 제조업 외 1 종,031-544-0165,32,주방용비닐랩,"PE,PVE"
제이에스,"경기도 포천시 소흘읍 큰말1길 31-1, B동",경기도 포천시 소흘읍 이가팔리 514-3번지 B동,그 외 기타 플라스틱 제품 제조업,031-544-4511,4,"상표라벨,팔지",실리콘
제이에스티,"경기도 포천시 가산면 궁말2길 12-38, (나동 제외) 외 1필지",경기도 포천시 가산면 금현리 582-24 (나동 제외) 외 1필지,그 외 기타 플라스틱 제품 제조업,031-542-4233,4,"플라스틱 옷걸이,옥실장식품","PP,ABS,PVC"
제이엔씨(JNC),경기도 포천시 어룡3길 46 -30(어룡동),경기도 포천시 어룡동 702-24,기타 곡물 가공품 제조업,031-534-8519,3,"절임류,짱아찌","마늘, 양파, 깻잎 등"
제이원화섬 주식회사,경기도 포천시 군내면 용정경제로1길 94-20,경기도 포천시 군내면 용정리 484-12번지,연사 및 가공사 제조업,031-533-1687,8,가공원가,DTY류 원사
제이조경산업,경기도 포천시 일동면 영일로 429 1동,경기도 포천시 일동면 길명리 782-2 1동,놀이터용 장비 제조업,031-533-4928,3,퍼걸러,"철재, 철재파이프, 목재등"
제일산업,경기도 포천시 설운동 74-4,경기도 포천시 설운동 74-4,합성수지 및 기타 플라스틱 물질 제조업,031-542-8018,1,케미칼 앙카,
제일수지,경기도 포천시 가산면 선마로99번길 59-2 (총 2 필지) 외 1필지,경기도 포천시 가산면 마산리 643-7번지 외 1필지,비금속류 해체 및 선별업 외 1 종,031-542-9219,5,수지원료,
제일자동문,경기도 포천시 소흘읍 무봉로 123-13,경기도 포천시 소흘읍 무봉리 515-1번지,"금속 문, 창, 셔터 및 관련제품 제조업",031-544-5296,3,자동문,
조은가구,"경기도 포천시 가산면 포천로912번길 37-30, (가,나동)","경기도 포천시 가산면 마전리 591-20번지 (가,나동)",기타 목재가구 제조업,070-4461-4761,8,생활가구,
조은석재,"경기도 포천시 영중면 가영로535번길 115, 영송리711-4번지",경기도 포천시 영중면 영송리 711-4번지 영송리711-4번지,건설용 석제품 제조업,031-534-3641,3,경계석,원석(화강석)
조이전자,경기도 포천시 소흘읍 죽엽산로 36-21,경기도 포천시 소흘읍 이가팔리 328-0번지,방사선 장치 제조업,031-543-5421,3,방사선장치,
조일조명공업(주),경기도 포천시 호병로 117 (신읍동),경기도 포천시 신읍동 308-5번지,방전램프용 안정기 제조업 외 6 종,031-532-0264,41,"램프,안정기,등기구,폴","동선, 철, 스테인리스, 알루미늄"
조하,"경기도 포천시 소흘읍 죽엽산로 250-52, 나, 다동","경기도 포천시 소흘읍 고모리 527 나, 다동",기타 목재가구 제조업 외 9 종,070-5175-0932,5,"가구, 파라솔, 그늘막","MDF, PB, 사느나, 강관, 각관"
종원산업,경기도 포천시 오성길 43 -5(가산면),경기도 포천시 가산면 금현리 1082-15,"플라스틱 선, 봉, 관 및 호스 제조업",031-531-0549,5,"전선보호관, 문구자재","PVC, PP, PE"
종표비닐상사,경기도 포천시 소흘읍 호국로171번길 39,경기도 포천시 소흘읍 이동교리 661-11번지,"플라스틱 포대, 봉투 및 유사제품 제조업",031-543-6568,4,비닐봉투,"폴리에틸렌,옵셋잉크"
주)포천양조,경기도 포천시 신북면 계류리 365-3 외 1필지 외 1필지,경기도 포천시 신북면 계류리 365-3 외 1필지,탁주 및 약주 제조업,031-535-7712,7,탁주및약주,
주림산업,경기도 포천시 군내면 연정말길 22,경기도 포천시 군내면 유교리 854-1번지,세폭직물 제조업,031-541-5628,3,라벨,
주바이오(주),"경기도 포천시 호국로1283번길 12, 마동 (자작동)",경기도 포천시 자작동 75번지 마동,그 외 기타 분류 안된 화학제품 제조업 외 1 종,070-4244-3744,3,탈취제,"진피, 솔잎"
주식회사 가진바이오텍,경기도 포천시 가산면 마정로70번길 8 (가동),경기도 포천시 가산면 마산리 301-8 (가동),"플라스틱 포대, 봉투 및 유사제품 제조업",031-544-9407,3,생분해성 플라스틱 봉투,생분해성 원단(PLA+PBAT)
주식회사 건인텍스,경기도 포천시 동교동 419-25 외 3필지,경기도 포천시 동교동 419-25 외 3필지,그 외 기타 분류 안된 섬유제품 제조업,031-541-6267,11,원단가공(다림질),원단
주식회사 광명수출포장,경기도 포천시 신북면 청신로1660번길 94,경기도 포천시 신북면 계류리 355,골판지 상자 및 가공제품 제조업,02-777-8967,4,골판지 박스,골판지
주식회사 극동건철 ,경기도 포천시 화현면 비선동길 93,경기도 포천시 화현면 지현리 215-17번지,구조용 금속 판제품 및 공작물 제조업,031-574-5228,3,"스테인레스사다리 ,난간",스테인레스 파이프
주식회사 극동레이저,경기도 포천시 내촌면 부마로 437-17,경기도 포천시 내촌면 마명리 191-2번지,절삭가공 및 유사처리업 외 7 종,031-534-7588,17,"구조물,쓰레기통,주방기구,철제가구,전기 오락기구",철판 등
주식회사 글로우비피,경기도 포천시 가산면 정금로473번길 133-27,경기도 포천시 가산면 금현리 862-4번지,전구 및 램프 제조업,062-971-6102,3,LED충전램프,LED
주식회사 금산엔지니어링,경기도 포천시 군내면 용정리 482-6,경기도 포천시 군내면 용정리 482-6,일반철물 제조업 외 5 종,031-574-1973,25,통신기계케이스 및 사출제품,"철판(SPC 1.2~2.0T), 알루미늄(AL6023-T5), 플라스틱(ABS)"
주식회사 까사홀딩스,"경기도 포천시 소흘읍 호국로 424-15, 가동",경기도 포천시 소흘읍 이동교리 72-6 가동,침구 및 관련제품 제조업,031-542-2544,4,침구,원단
주식회사 나이스음향정보통신,경기도 포천시 자작로1길 30 (자작동),경기도 포천시 자작동 230-4,기타 음향기기 제조업 외 9 종,031-532-8356,4,"방송음향기기, 음향영상기기","케이스, PCB, Ass'y 외"
주식회사 남영텍스타일,경기도 포천시 영중면 양문공단로2길 29,경기도 포천시 영중면 양문리 1003-1번지,솜 및 실 염색가공업 외 1 종,031-533-1291,20,"섬유 및 염색사가공, 태양력 발전",
주식회사 네오퍼스,경기도 포천시 가산면 정교리 86,경기도 포천시 가산면 정교리 86,주방용 및 음식점용 목재가구 제조업 외 2 종,031-542-4490,15,싱크대.책상.캐비닛,PB.MDF
주식회사 네이처가든,경기도 포천시 가산면 가산리 490-4 외 2필지,경기도 포천시 가산면 가산리 490-4 외 2필지,편조원단 제조업,031-535-3030,5,원단,원사
주식회사 네이처페이지,"경기도 포천시 가산면 궁말2길 29-15, 제1동, 제2동","경기도 포천시 가산면 금현리 25-2 제1동, 제2동",식품 위생용 종이 상자 및 용기 제조업,031-542-5546,17,"종이빨대, 종이상자, 식품용기",종이
주식회사 네추럴웨이,경기도 포천시 군내면 용정리 485-3,경기도 포천시 군내면 용정리 485-3,건강기능식품 제조업 외 1 종,031-535-7674,90,"삼양사 상쾌환, 정관장 홍삼쿨 외 비알코올 음료","효모추출물분말, 홍삼분말, 커피"
주식회사 누리나루,"경기도 포천시 신북면 호국로2254번길 12, (나동)",경기도 포천시 신북면 기지리 56-9 (나동),일반용 전기 조명장치 제조업 외 12 종,031-791-8922,11,"일반조명,전광판","LED 칩부품,케이블,전선"
주식회사 다빈치,경기도 포천시 가산면 마전3길 29-1,경기도 포천시 가산면 마전리 302번지,기타 목재가구 제조업,031-542-2603,10,목재표면,목재가구
주식회사 다해랑,"경기도 포천시 송선로151번길 67-10, 가동 (설운동)",경기도 포천시 설운동 298번지 가동,기타 과실ㆍ채소 가공 및 저장 처리업,031-543-3688,3,"다진마늘, 다진생강, 다진양파",
주식회사 닥터서플라이,경기도 포천시 장자경제로 152 -11(신북면),경기도 포천시 신북면 신평리 679-0,"직물, 편조원단 및 의복류 염색 가공업",02-483-5834,3,"원사 직조, 염색 이지랩",폴리 나일론 등
주식회사 대경컴퍼니,경기도 포천시 내촌면 음현리 415 외 5필지,경기도 포천시 내촌면 음현리 415 외 5필지,그 외 기타 전자부품 제조업,070-4141-4064,5,"절연판, 단자판",고무적층판
주식회사 대명씨푸드,경기도 포천시 용정경제로1길 93 -14(군내면) 1층,경기도 포천시 군내면 용정리 486-8 1층,수산동물 냉동품 제조업 외 3 종,031-541-4052,9,"절단(동태,꽁치,고등어,갈치),목전지제육,불고기,후지제육등","냉동수산물,수입축산물,국내산축산물,국내산가금류"
주식회사 대원테크,경기도 포천시 가산면 시우동길 38 외 4필지,경기도 포천시 가산면 가산리 495-2번지 외 4필지,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1 종",031-8089-7043,7,"디지털프린팅용 필름류, 식품포장용기","폴리에스터,폴리프로필렌,폴리염화비닐,펄프(종이)"
주식회사 대진바이오워터,"경기도 포천시 일동면 영일로 729, 다동",경기도 포천시 일동면 길명리 299-6 다동,액체 여과기 제조업 외 1 종,031-535-0901,9,"여과장치, 오존설비","스테인레스 파이프, 펌프"
주식회사 대진스틸,경기도 포천시 가산면 가산리 245,경기도 포천시 가산면 가산리 245,금속선 가공제품 제조업,031-541-9166,5,와이어매쉬,철사
주식회사 대창실업,경기도 포천시 신북면 신평리 665,경기도 포천시 신북면 신평리 665,세폭직물 제조업 외 1 종,031-791-3717,20,벨크로테이프,원사
주식회사 대하,경기도 포천시 장자경제로 152 -3(신북면) 나동,경기도 포천시 신북면 신평리 679-4 나동,솜 및 실 염색가공업 외 1 종,031-534-1665,5,"섬유염색,날염","원사(아크릴, 폴리에스터, 울), 원단"
주식회사 대호전자,경기도 포천시 가산면 정금로 183-17,경기도 포천시 가산면 정교리 210-4번지,가정용 전기 난방기기 제조업,031-541-9582,3,전기난방필름,
주식회사 대호플러스,경기도 포천시 송선로 224 -37(설운동),경기도 포천시 설운동 133-1,가정용 전기 난방기기 제조업,031-535-9431,12,전기장판,"섬유원단, 휄트원단, 열선 등"
주식회사 더 로프,경기도 포천시 창동로 1807 (관인면) 외 1필지,경기도 포천시 관인면 탄동리 665-19 외 1필지,그 외 기타 봉제의복 제조업 외 1 종,070-4001-4151,4,미용타월.티셔츠,면 원단외 특수섬유 원단
주식회사 더세경,포천로2034번길 30 외 1필지,경기도 포천시 신북면 심곡리 167-1 외 1필지,포장용 플라스틱 성형용기 제조업,031-534-4503,5,일회용 플라스틱포장용기,p.p pet
주식회사 도미솔,"경기도 포천시 신북면 중앙로461번길 11, 가,다,라동","경기도 포천시 신북면 신평리 657-3번지 가,다,라동",침구 및 관련제품 제조업,031-536-5616,10,"베개, 베개커버, 쿠션, 매트리스커버, 이불, 경편원단",원사
주식회사 돈키호테디자인,경기도 포천시 포천로2034번길 48 (신북면) 외 1필지,경기도 포천시 신북면 심곡리 180-8 외 1필지,기타 목재가구 제조업 외 1 종,031-543-8298,8,"목재가구(화장대, 테이블, 협탁, 의자 등)","합판, 가구부자재"
주식회사 동부그린테크,경기도 포천시 호국로 2039 -183(신북면),경기도 포천시 신북면 기지리 921-2,농업 및 임업용 기계 제조업,031-535-0907,6,농약살포기,"각파이프, 각종부품(콤프레셔, 엔진, 기계후레임)"
주식회사 동진,경기도 포천시 내촌면 내진로 212-39,경기도 포천시 내촌면 진목리 466번지,벽지 및 장판지 제조업,031-532-8682,12,벽지,원지
주식회사 두앤비,경기도 포천시 호국로 3295 -31(영중면),경기도 포천시 영중면 성동리 413-0,일반 제재업 외 3 종,031-8089-7070,8,"북미산 경질 단풍나무 플로어링(체육관 마루), 마루틀(마루 설치를 위한 하부틀)","북미산 경질 단풍나무, 장선목(원목 각목)"
주식회사 디오인터내셔널,"경기도 포천시 포천로 1088-1, 유교리 280번지(A동) (군내면)",경기도 포천시 군내면 유교리 280번지 유교리 280번지(A동),전시용 모형 제조업 외 1 종,031-543-9221,2,조형물,FRP폴리에스테르/수지
주식회사 디자인아트,경기도 포천시 군내면 포천로909번길 37,경기도 포천시 군내면 유교리 1025-6,기타 목재가구 제조업,02-6952-0494,11,목재가구,"합판,MDF,무늬목 등"
주식회사 디피에코,"경기도 포천시 창수면 포천로 2618, A동,C동,D동","경기도 포천시 창수면 추동리 220-2 A동,C동,D동",혼성 및 재생 플라스틱 소재 물질 제조업,031-573-5060,5,재생수지,폐합성수지(PP)
주식회사 로이첸,경기도 포천시 내촌면 오림포1길 9-11 외 1필지,경기도 포천시 내촌면 진목리 427번지 외 1필지,포장용 플라스틱 성형용기 제조업 외 1 종,031-533-0993,34,플라스틱용기등,가공전 주방용기 
주식회사 로이포스,경기도 포천시 어룡동 701-2 외 9필지,경기도 포천시 어룡동 701-2 외 9필지,표면처리 및 적층 직물 제조업,031-534-4164,25,S.C.T(반도전성테이프),"나일론 및 폴리에스테르 원단,수지,카본"
주식회사 마당이엔씨,"경기도 포천시 군내면 포천로 1021, 가동 1층, 다동","경기도 포천시 군내면 유교리 243-1번지 가동 1층, 다동","기타 비철금속 압연, 압출 및 연신 제품 제조업",031-721-1118,8,스프링쿨러용 플렉시블 조인트,
주식회사 맛죤식품,경기도 포천시 신북면 기지리 181,경기도 포천시 신북면 기지리 181,기타 직물제품 제조업,031-542-6576,20,마스크,"펄프,부직포"
주식회사 메이그린,경기도 포천시 소흘읍 죽엽산로167번길 51-56,경기도 포천시 소흘읍 이가팔리 42-1,"플라스틱 포대, 봉투 및 유사제품 제조업",031-541-7025,6,비닐위생백,위생백 원단
주식회사 명성금속,경기도 포천시 군내면 용정리 483-17,경기도 포천시 군내면 용정리 483-17,금속 가구 제조업,031-571-0495,27,"금속창호, 금속가구 등",철판
주식회사 명성기업,경기도 포천시 선단동 661 외 1필지,경기도 포천시 선단동 661 외 1필지,목재 도구 및 주방용 나무제품 제조업,031-536-8308,10,원목도마,
주식회사 명성기업 제3공장,경기도 포천시 자작로6길 65 (자작동),경기도 포천시 자작동 587-4,기타 물품 취급장비 제조업 외 14 종,031-536-8308,26,"컨베이어계산대,쇼핑킷트,금속옷장","철판(코일), 스텐, 파이프, 알미늄, 플라스틱 외"
주식회사 명성피앤시,경기도 포천시 가산면 시우동길 207-47,경기도 포천시 가산면 가산리 99번지,기타 인쇄업 외 1 종,031-544-9419,25,인쇄용종이원단,"종이수성잉크,수성코팅액"
주식회사 모노티엠,경기도 포천시 내촌면 작은넙고개길 105 C동,경기도 포천시 내촌면 진목리 286-1 C동,기타 가공 공작기계 제조업,031-531-1575,2,공작물 조립기,철판
주식회사 몬타,경기도 포천시 가산면 마정로 300 외 2필지,경기도 포천시 가산면 정교리 214-1 외 2필지,기타 목재가구 제조업,031-541-0751,8,목재가구(드레스룸),목재
주식회사 무궁화인포메이션테크놀로지,경기도 포천시 호병골길 33 (신읍동) 외 3필지,경기도 포천시 신읍동300-4 외 3필지,전자축전기 제조업,02-3438-6912,20,2차전지,전지
주식회사 무지개바이오비료 농업회사법인,경기도 포천시 창수면 주원리 75 외 1필지,경기도 포천시 창수면 주원리 75 외 1필지,유기질 비료 및 상토 제조업,031-536-9235,5,유기질비료,가축분료
주식회사 무진푸드,경기도 포천시 소흘읍 고모리 406-8,경기도 포천시 소흘읍 고모리 406-8,기타 식사용 가공처리 조리식품 제조업 외 1 종,031-544-8559,12,"치즈스틱, 치즈볼, 크로켓","쌀가루(미분), 피자치즈, 크로켓"
주식회사 미래공간기술,경기도 포천시 소흘읍 죽엽산로196번길 74 다동,경기도 포천시 소흘읍 초가팔리 103-0 다동,"플라스틱 선, 봉, 관 및 호스 제조업",02-6081-0777,2,FGT하수분기 접속단자관,고무
주식회사 미림텍스,경기도 포천시 어룡동 589-2번지,경기도 포천시 어룡동 589-2번지,모 방적업,031-531-4236,22,방모사 제조(실),"원모, 자연섬유, 화학섬유"
주식회사 바우테크,경기도 포천시 무림길 174 (소흘읍) 주식회사 바우테크,경기도 포천시 소흘읍 무림리 299-5 주식회사 바우테크,"고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",031-541-3366,12,압출기,"BARREL,SCREW,SERVO MOTOR,SERVO AMP,PLC, TOUCH PNL"
주식회사 바이오버스,"경기도 포천시 가산면 마현3길 165-18, (다동)",경기도 포천시 가산면 금현리 211-3 (다동),생물학적 제제 제조업 외 5 종,02-2249-3707,1,"토양개량제,보조사료,미생물탈취제","미생물종균,정제수,설탕"
주식회사 박홍근홈패션,경기도 포천시 동교동 691-28 외 1필지,경기도 포천시 동교동 691-28 외 1필지,침구 및 관련제품 제조업,02-3409-0092,0,침구류 (이불 베개),"원단, 실"
주식회사 반석스포츠,경기도 포천시 군내면 용정리 482-15,경기도 포천시 군내면 용정리 482-15,일반 창고업,02-495-2055,33,운동기구,
주식회사 밝은에프앤디,"경기도 포천시 신북면 독곡1길 21, 다, 마동","경기도 포천시 신북면 기지리 865-3 다, 마동",천연 및 혼합조제 조미료 제조업,031-542-6526,15,"치킨소스,떡볶이소스,간장소스,드레싱소스",소스
주식회사 백건이앤씨,"경기도 포천시 자작로 149, (가동 일부)(자작동)",경기도 포천시 자작동 588-21 (가동 일부),전기경보 및 신호장치 제조업,031-621-3230,3,막음조치용 안전 퓨즈 콕밸브,"커플러, 안전 퓨즈 콕밸브"
주식회사 백구,경기도 포천시 군내면 용정리 486-4,경기도 포천시 군내면 용정리 486-4,"치약, 비누 및 기타 세제 제조업 외 1 종",031-542-0109,11,"치약,세탁비누,세수비누,분말세제","천연유지, 계면활성제"
주식회사 범진물산,경기도 포천시 용정경제로1길 67 (군내면),경기도 포천시 군내면 용정리 483-22,편조원단 제조업 외 2 종,031-535-3741,11,편조원단,"나이론, 폴리원사, 스판사"
주식회사 베크룩스,경기도 포천시 가산면 금현경제로1길 27,경기도 포천시 가산면 금현리 1167번지,일반용 전기 조명장치 제조업 외 3 종,031-853-6408,9,"LED형광등, 조명기구, 가로등기구등","LED칩, LED컨버터, 철판, 루버 등"
주식회사 부민더블유엔피,경기도 포천시 가산면 가산로147번길 23-22,경기도 포천시 가산면 방축리 309-3,그 외 기타 특수목적용 기계 제조업 외 4 종,031-543-5228,3,음식물 종량기계,"강판, 저울 등"
주식회사 부민더블유엔피,경기도 포천시 가산면 궁말길 78,경기도 포천시 가산면 금현리 584-8,그 외 기타 특수목적용 기계 제조업 외 3 종,02-539-5228,5,음식물 쓰레기 처리기,"저울, 스테인리스, 통신보드"
주식회사 부민더블유엔피,경기도 포천시 가산면 궁말3길 32,경기도 포천시 가산면 금현리 558-6,그 외 기타 특수목적용 기계 제조업 외 4 종,02-539-5228,5,음식물쓰레기처리기,"저울, 스테인리스 철판, 통신보드"
주식회사 부성핫슈,경기도 포천시 용정경제로1길 88 (군내면) 1층,경기도 포천시 군내면 용정리 484-8 1층,가정용 비전기식 조리 및 난방 기구 제조업,031-528-1155,14,"전기온수기,전기제빙기",스테인리스 스틸
주식회사 비에스오토프라임,경기도 포천시 송선로149번길 63(설운동),경기도 포천시 설운동 316-1,기타 직물제품 제조업,02-1522-2398,9,마스크,기타 직물
주식회사 산과들에,경기도 포천시 용정경제로1길 48 -48(군내면) 1층,경기도 포천시 군내면 용정리 485-1 1층,과자류 및 코코아 제품 제조업,031-534-0158,114,견과류 가공품,"호두, 아몬드, 캐슈넛"
주식회사 삼성,"경기도 포천시 가산면 메나리길 95-21, (방축리 169-2)",경기도 포천시 가산면 방축리 169-4번지 (방축리 169-2),강관 제조업 외 1 종,031-524-9970,25,"파이프조관, 분체도장 등",
주식회사 삼일산업,"경기도 포천시 가산면 가산로 101, 차동",경기도 포천시 가산면 방축리 489-1 차동,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,031-541-3141,12,"큐비클핸들, 단자대, 애자","아연, ABS, Polycarbonate"
주식회사 삼진,"경기도 포천시 내촌면 금강로2018번길 41-57, 가동",경기도 포천시 내촌면 음현리 481 가동,전동기 및 발전기 제조업,031-536-1788,6,전동셔터 개폐기,"코일.알루미늄,철판"
주식회사 삼평디앤아이,경기도 포천시 가산면 우금리 756-1번지 외 2필지,경기도 포천시 가산면 우금리 756-1번지 외 2필지,일반 제재업,031-543-4191,12,제재목,목재
주식회사 삼호글라스,경기도 포천시 소흘읍 이동교리 334-18 외 2필지,경기도 포천시 소흘읍 이동교리 334-18 외 2필지,안전유리 제조업 외 1 종,031-542-1888,10,복층유리,판유리
주식회사 상원보드,경기도 포천시 내촌면 소리개길 30 외 3필지,경기도 포천시 내촌면 음현리 129-3번지 외 3필지,"박판, 합판 및 유사 적층판 제조업",031-531-3388,9,가구용 합판,합판
주식회사 새공간,"경기도 포천시 소흘읍 정금로 25-27, F동",경기도 포천시 소흘읍 이가팔리 27-6 F동,기타 건축용 나무제품 제조업,070-4351-3338,1,벽패널(목재),"마그네슘보드,HPM"
주식회사 서룡상사,경기도 포천시 군내면 구읍리 402-3 외 1필지,경기도 포천시 군내면 구읍리 402-3 외 1필지,인형 및 장난감 제조업 외 2 종,02-2632-9808,14,"유아용품(딸랑이, 조리기구세트, 식기)","합성수지(PP, ABS) 바이오플라스틱(PLA-옥수수), 원사(PLA-옥수수)"
주식회사 선우,경기도 포천시 군내면 어가길 91-43 가동,경기도 포천시 군내면 용정리 430-11 가동,편조원단 제조업,031-542-4719,3,원단,원사
주식회사 성림에너지,경기도 포천시 선단동 308-27,경기도 포천시 선단동 308-27,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",031-541-8839,2,자동숯불착화기,
주식회사 성원종합유리,경기도 포천시 군내면 풍류산길 11-66 외 3필지,경기도 포천시 군내면 구읍리 404-5 외 3필지,그 외 기타 유리제품 제조업,031-840-9001,7,복층유리,유리
주식회사 성진정보통신,"경기도 포천시 가산면 정금로 356-5, 가동",경기도 포천시 가산면 금현리 532-4 가동,구조용 금속 판제품 및 공작물 제조업 외 4 종,02-839-7989,3,금속제 구조물용 기둥,"스테인리스강, 철 파이프"
주식회사 세라믹월드,"경기도 포천시 내촌면 포천로 426, 제2동",경기도 포천시 내촌면 진목리 210-1 제2동,사무용 기계 및 장비 제조업 외 4 종,031-716-5661,0,"칠판,게시판,전자칠판,조명기기 등","칼라강판,원단,알루미늄압출물,한판,소자,모듈,컨버터 등"
주식회사 세리마,"경기도 포천시 가산면 너배기길 42-123, 다동",경기도 포천시 가산면 금현리 1147-1 다동,그 외 기타 특수목적용 기계 제조업 외 5 종,031-544-9036,5,"열풍건조기, 진공건조기, 자연식건조기, 항혼항습기, 항온기, 배양기, 멸균기, 무균대, 항온수조","철판케이스, 전기부품"
주식회사 수라,경기도 포천시 소흘읍 이곡리 285-2,경기도 포천시 소흘읍 이곡리 285-2,"면류, 마카로니 및 유사식품 제조업 외 1 종",031-541-0203,8,국수,"밀가루, 쌀가루, 야채분말"
주식회사 스마트무빙팜,"경기도 포천시 군내면 연정말길 12, 유교리 852-4",경기도 포천시 군내면 유교리 852-4번지 유교리 852-4,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",02-2201-8817,4,"알미늄 플랜트박스,금속인테리어 창문셔터 연관제품,화분,스트롱박스",압출 알미늄
주식회사 승진기업,경기도 포천시 소흘읍 이가팔리 417,경기도 포천시 소흘읍 이가팔리 417,플라스틱 필름 제조업 외 1 종,031-544-2527,17,산업용필름(가전제품용),
주식회사 신성기업,경기도 포천시 정금로 140 (가산면),경기도 포천시 가산면 정교리 349-5,플라스틱 창호 제조업,031-541-5605,5,"PVC 창문, 문틀",
