순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품명,데이터기준일자
563,주식회사 글로리이앤씨,경기도 하남시 조정대로 150 (덕풍동) 아이테코 제3층 310호,경기도 하남시 덕풍동 762-0 아이테코,배전반 및 전기 자동제어반 제조업,031-790-1072,031-776-0916,13,"배전반 및 전기자동제어반, 전기제어기부분품",2025-06-30
564,주식회사 기드온소닉,경기도 하남시 하남대로 947 (풍산동) 하남테크노밸리 U1 CENTER 에이동 1101호,경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER,유선 통신장비 제조업 외 1 종,02-3437-8808,02-3437-8808,3,"초음파세척기, 기타유선통신장비(컴퓨터결합사용가능제품)",2025-06-30
565,주식회사 네모,경기도 하남시 춘궁로 109-13 (하사창동),경기도 하남시 하사창동 73-1번지,주방용 및 음식점용 목재가구 제조업,02-409-4230,,6,"싱크대, 붙박이장",2025-06-30
566,주식회사 네이처바이오,"경기도 하남시 조정대로 45, F115호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F115호,유기질 비료 및 상토 제조업 외 1 종,031-5175-3228,031-575-3229,1,"토양미생물제제, 보조사료(생균제), 산업용탈취제",2025-06-30
567,주식회사 누리엘,"경기도 하남시 조정대로 45, F347호 (풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F347호,일반용 전기 조명장치 제조업,031-901-5091,031-624-5716,5,다운라이트,2025-06-30
568,주식회사 다솜식품,"경기도 하남시 대성로 31, 1층(항동)",경기도 하남시 항동 137-1 1층,육류 기타 가공 및 저장처리업 (가금류 제외),031-793-1560,031-794-5532,3,소고기부산물(소곱창외),2025-06-30
569,주식회사 단비로,"경기도 하남시 조정대로 45, F534호 (풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F534호,복합비료 및 기타 화학비료 제조업,031-5175-3234,031-5175-3589,6,복합비료,2025-06-30
570,주식회사 대승,경기도 하남시 검단산로 90 (하산곡동),경기도 하남시 하산곡동 38-1 번지,사무 및 회화용품 제조업 외 1 종,031-796-2268,,4,"칼라보드,화이트보드",2025-06-30
571,주식회사 대원스마트팩,"경기도 하남시 미사강변서로 25, F210호,F211호,F212호 (풍산동)","경기도 하남시 풍산동 489번지 F210호,F211호,F212호",오프셋 인쇄업,,02-2205-5552,25,오프셋인쇄,2025-06-30
572,주식회사 대일이엔피,"경기도 하남시 조정대로 45, F312호 (풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F312호,골판지 상자 및 가공제품 제조업,02-465-0185,02-467-1738,12,"골판지상자, 판지상자",2025-06-30
573,주식회사 대진에이앤피,"경기도 하남시 초광산단로 45, 1층 (초이동)",경기도 하남시 초이동 623-10 1층,전시 및 광고용 조명장치 제조업,02-482-8085,02-482-8081,4,화장품 및 담뱃진열대 조명장치,2025-06-30
574,주식회사 데이터빈,"경기도 하남시 하남대로 947, C동 1011호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 1011호,"증류기, 열교환기 및 가스발생기 제조업",,,10,데이터센터 서버 열교환기,2025-06-30
575,주식회사 도명디앤이,"경기도 하남시 조정대로 150,  하남아이테코 232호 (덕풍동)",경기도 하남시 덕풍동  762번지,일반용 전기 조명장치 제조업 외 3 종,031-790-4334,,5,"시선유도시스템,히터시스템",2025-06-30
576,주식회사 동우티이씨,경기도 하남시 미사강변서로 16 (풍산동) 하우스디스마트밸리 에프940호,경기도 하남시 풍산동 490-2 하우스디스마트밸리,"전자기 측정, 시험 및 분석기구 제조업",02-402-0341,02-402-2881,27,"D.T.L SENSOR(각도±15°), 길이, EL BEAM SENSOR각도±15°))3), CRACK GAGE(길이50MM)계측기제조(전자기측정용)",2025-06-30
577,주식회사 동원전기제어,"경기도 하남시 미사강변중앙로7번안길 25, C동 5층 511호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 C동 5층 511호,배전반 및 전기 자동제어반 제조업,,,1,배전반 및 전기 자동제어반,2025-06-30
578,주식회사 디떽,"경기도 하남시 조정대로 45, 에프443호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 에프443호,산업용 로봇 제조업,,031-8027-0711,7,조리용 로봇 제조,2025-06-30
579,주식회사 디케이,"경기도 하남시 미사강변중앙로7번안길 25, B동 5층 504호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 B동 5층 504호,일반용 전기 조명장치 제조업 외 1 종,,02-6305-9525,3,"탐조등, LED후레쉬, 랜턴",2025-06-30
580,주식회사 라온미디어,"경기도 하남시 미사강변중앙로7번안길 25, C동 5층 509호(풍산동)",경기도 하남시 풍산동 595-1 C동 5층 509호,유선 통신장비 제조업 외 4 종,031-796-9810,031-796-9811,6,"방송장비, 신호변환기,영상기록및재생용기기,스피커,코드센트,기타디지털방송수신기기",2025-06-30
581,주식회사 라온텍,"경기도 하남시 미사강변중앙로7번안길 25, C-312호(풍산동)",경기도 하남시 풍산동 595-1 C-312호,컴퓨터 제조업 외 3 종,02-6497-9916,02-6497-9917,24,"워크스테이션제조, CCTV용 카메라제조, 기타 무선통신장비(컴퓨터 결합 사용 가능제품)제조,기타 영상기록 및 재생용 기기 제조",2025-06-30
582,주식회사 로믹코리아(지점),"경기도 하남시 미사강변중앙로31번길 30, 4층 401, 402호(풍산동, 미사동일 넥서스)","경기도 하남시 풍산동 588-5 미사동일 넥서스 4층 401, 402호",그 외 기타 의료용 기기 제조업 외 1 종,070-8152-1876,070-8153-1877,3,"3D프린팅의료기기(수술기구,수술용가이드), 3D프린팅(의료관련 모형)",2025-06-30
583,주식회사 리프코리아,"경기도 하남시 조정대로 150, 7층 732 (덕풍동)",경기도 하남시 덕풍동 762번지 7층 732,산업용 냉장 및 냉동 장비 제조업,031-790-4690,02-6442-0405,9,"냉동기,자동제어 등",2025-06-30
584,주식회사 메모,"경기도 하남시 조정대로 150,  하남아이테코 537호 (덕풍동)",경기도 하남시 덕풍동  762번지,"탭, 밸브 및 유사장치 제조업",,,3,밸브,2025-06-30
585,주식회사 메이드,"경기도 하남시 조정대로 45, F109호(풍산동)",경기도 하남시 풍산동 493 F109호,배전반 및 전기 자동제어반 제조업,031-5175-3108,031-5175-3107,5,"배전반 및 전기제어반용 전기 패널, 교류전동기 속도 제어장치",2025-06-30
586,주식회사 명성스쿨퍼니처,"경기도 하남시 검단산로137번길 29-43, 1층 (하산곡동)",경기도 하남시 하산곡동 63-3 1층,금속 가구 제조업,031-791-5095,031-795-7313,10,학생용 책상 및 교실용 걸상,2025-06-30
587,주식회사 미래이엔에스,"경기도 하남시 미사강변서로 16, B3층 FB311,FB312호(풍산동, 하우스디스마트밸리)","경기도 하남시 풍산동 490-2 하우스디스마트밸리 B3층 FB311,FB312호",기타 구조용 금속제품 제조업,031-791-1614,031-5175-8049,2,조립식 구조물,2025-06-30
588,주식회사 미성,"경기도 하남시 미사강변중앙로31번길 30, 미사동일넥서스 1015호(풍산동)",경기도 하남시 풍산동 588-5 미사동일넥서스 1015호,배전반 및 전기 자동제어반 제조업 외 1 종,031-790-0758,031-790-0759,8,"자동제어 무인감시장치, 휴대용난로",2025-06-30
589,주식회사 바로에이아이,"경기도 하남시 하남대로 947, B동 511호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 511호,컴퓨터 제조업,02-717-1089,0504-246-9785,29,연구개발용 컴퓨터,2025-06-30
590,주식회사 바이오비쥬,"경기도 하남시 하남대로 947, B동 907~913호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 907~913호,의료용품 및 기타 의약 관련제품 제조업,02-6235-9696,02-511-9695,20,조직수복용생체재료,2025-06-30
591,주식회사 백약테크,"경기도 하남시 하남대로 947, 디동 705호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER 디동 705호,그 외 기타 달리 분류되지 않은 제품 제조업,1877-1944,02-6282-3298,2,"환원정수기, 환원정수기를 이용한 물소금",2025-06-30
592,주식회사 베타포스,"경기도 하남시 조정대로 45, F716호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F716호,그 외 기타 고무제품 제조업,031-5175-3302,070-4214-9642,3,케이스 내부 폼,2025-06-30
593,주식회사 베타플러스,"경기도 하남시 조정대로 35, FB602호(풍산동, 미사 하우스디 엘타워)",경기도 하남시 풍산동 492 미사 하우스디 엘타워 FB602호,일반용 전기 조명장치 제조업 외 2 종,031-791-2738,031-793-2992,0,"LED조명기기(경관기구, 컨트롤러, 조명LAMP류)",2025-06-30
594,주식회사 보성캐노피,경기도 하남시 서하남로539번길 105 (천현동),경기도 하남시 천현동 316-2번지,육상 금속 골조 구조재 제조업 외 5 종,031-793-6420,031-793-6489,9,캐노피,2025-06-30
595,주식회사 비스타라이팅,"경기도 하남시 미사강변중앙로31번길 30, 720호 (풍산동, 미사동일 넥서스)",경기도 하남시 풍산동 588-5 미사동일 넥서스 720호,일반용 전기 조명장치 제조업,02-3407-5477,02-3407-5478,4,LED 조명기구,2025-06-30
596,주식회사 비페코,"경기도 하남시 미사강변서로 25, B3층 345호 (풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 B3층 345호,그 외 기타 식료품 제조업,,,4,대체식품,2025-06-30
597,주식회사 사운드풀,"경기도 하남시 조정대로 45, F918호(풍산동)",경기도 하남시 풍산동 493 F918호,기타 음향기기 제조업 외 1 종,031-8028-1122,,2,"마이크로폰 시스템,통신케이블어셈블리",2025-06-30
598,주식회사 사이핏글로벌,"경기도 하남시 조정대로 45, 4층 에프417호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 4층 에프417호,어망 및 기타 끈 가공품 제조업,031-8027-0011,0504-331-2766,3,추락구인망,2025-06-30
599,주식회사 상고대,"경기도 하남시 미사강변중앙로31번길 30, 918호(일부)(풍산동, 미사동일 넥서스)",경기도 하남시 풍산동 588-5 미사동일 넥서스 918호(일부),산업용 냉장 및 냉동 장비 제조업,032-345-7733,0504-469-9504,1,눈꽃빙수기계,2025-06-30
600,주식회사 상상인더스트리,경기도 하남시 초광산단로 105(광암동),경기도 하남시 광암동 407-10,기타 목재가구 제조업,02-516-7290,,9,아크릴제 가구,2025-06-30
601,주식회사 상은디아이티,"경기도 하남시 미사강변중앙로7번안길 25, D동 702호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 D동 702호,교통 신호장치 제조업,,031-8027-6192,3,바닥형 보행신호등,2025-06-30
602,주식회사 서드바이오,"경기도 하남시 미사강변중앙로31번길 30, 505호(풍산동, 미사동일 넥서스)",경기도 하남시 풍산동 588-5 미사동일 넥서스 505호,배합 사료 제조업 외 1 종,,031-699-1214,2,"배합사료, 단미사료",2025-06-30
603,주식회사 세아푸드,"경기도 하남시 미사강변중앙로31번길 15, 914호 (풍산동, 희가로 프리미어)",경기도 하남시 풍산동 598 희가로 프리미어 914호,기타 과실ㆍ채소 가공 및 저장 처리업,070-5214-3328,070-8280-8335,2,"고구마말랭이, 건조감자 등",2025-06-30
604,주식회사 소호모형,"경기도 하남시 하남대로 947, A동 909,910,911,912,913호 (풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 909,910,911,912,913호",전시용 모형 제조업 외 1 종,02-415-9863,02-415-9863,21,"목재조형물(조형물제조(전시용)), 건축모형물(건물모형제조(전시용))",2025-06-30
605,주식회사 솔루파인,"경기도 하남시 덕풍북로 28, 101호, 102호 (덕풍동)","경기도 하남시 덕풍동 210번지 101호, 102호",비디오 및 기타 영상기기 제조업 외 2 종,070-7560-7631,031-796-2018,30,"버스정보안내단말기, 교통관제용 전기장치",2025-06-30
606,주식회사 순돌이드론,"경기도 하남시 하남대로 947, C동1202호,B동1514호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동1202호,B동1514호",무인 항공기 및 무인 비행장치 제조업 외 1 종,,050-4186-0434,9,"드론(무인비행기), 농업용드론,농업기계,농업용방제기,농업용기계 및 기구",2025-06-30
607,주식회사 스노우볼링,"경기도 하남시 미사강변중앙로31번길 15, 508호(풍산동, 희가로 프리미어)",경기도 하남시 풍산동 598 희가로 프리미어 508호,배합 사료 제조업,070-4115-8468,02-6280-8550,1,반려동물용 간식,2025-06-30
608,주식회사 승화기술,"경기도 하남시 조정대로 150, 8층 856 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 8층 856,전동기 및 발전기 제조업,02-2057-2225,02-2057-2290,6,태양광발전장치,2025-06-30
609,주식회사 신일케미칼,"경기도 하남시 조정대로 150, 5층 531호(덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 5층 531호,철도차량 부품 및 관련 장치물 제조업,031-790-0812,031-790-0813,7,객화차용 매트,2025-06-30
610,주식회사 신장산업,경기도 하남시 초광산단동로6번길 60 (광암동),경기도 하남시 광암동 407-3,종이 포대 및 가방 제조업,02-482-0760,02-483-0760,12,종이쇼핑백,2025-06-30
611,주식회사 써반,"경기도 하남시 조정대로 150, 6층 637 (덕풍동)",경기도 하남시 덕풍동 762번지 6층 637,기타 무선 통신장비 제조업,031-790-0019,031-601-9478,5,무선통신기기,2025-06-30
612,주식회사 썬일렉컴,경기도 하남시 서하남로487번길 97 (춘궁동),경기도 하남시 춘궁동 193-3번지,기타 전기 변환장치 제조업 외 1 종,031-791-9888,031-791-9885,17,반도체.저항콘덴서,2025-06-30
613,주식회사 아미텍,"경기도 하남시 미사강변서로 25, F739호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 F739호,배전반 및 전기 자동제어반 제조업 외 2 종,062-975-7168,062-975-7169,9,"소형 전력계측장치, 감시제어장치",2025-06-30
614,주식회사 아이쿼드,"경기도 하남시 조정대로 150, 339호(덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 339호,방송장비 제조업,031-593-3901,031-593-3958,3,"PTZ카메라, 방송장비",2025-06-30
615,주식회사 아지텍,"경기도 하남시 미사강변중앙로7번안길 25, A동 311호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 A동 311호,기타 주변기기 제조업,02-6992-3370,031-8027-6168,3,"키오스크, 주문형 컴퓨터",2025-06-30
616,주식회사 아프로시스템즈,"경기도 하남시 조정대로 150, 7층 750 (덕풍동, 아파트형공장 ITECO) 7층 750호 외 1필지",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 7층 750 7층 750호,그 외 기타 전자부품 제조업 외 4 종,031-790-0682,031-790-0676,21,"비디오카드,폐쇄회로카메라,무선전신기,교통통제용 전기장치",2025-06-30
617,주식회사 알엠텍,"경기도 하남시 미사강변중앙로7번안길 25, 유-테크밸리 A동 1003호, 1004호, 1005호(풍산동)","경기도 하남시 풍산동 595-1 유-테크밸리 A동 1003호, 1004호, 1005호",유선 통신장비 제조업 외 1 종,031-721-2251,031-721-2259,8,"통신장비제조(유선), CCTV제조",2025-06-30
618,주식회사 알프엘이디,"경기도 하남시 조정대로 150, 7층 721 (덕풍동)",경기도 하남시 덕풍동 762-0번지 ,전구 및 램프 제조업 외 1 종,02-825-5809,031-790-1408,5,"LED가로등,가로등,투광등,방열판",2025-06-30
619,주식회사 애드가,"경기도 하남시 하남대로 947, B동 515호 (풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 515호,간판 및 광고물 제조업,02-515-4145,02-514-4789,7,"간판, 현수막",2025-06-30
620,주식회사 어반에프앤비,"경기도 하남시 조정대로 150, B1층 RB101호 (덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 B1층 RB101호,육류 포장육 및 냉동육 가공업 (가금류 제외),031-790-3083,031-790-3084,9,"동경규동 돈가츠, 동경규동 삼겹양지",2025-06-30
621,주식회사 에너파워텍,"경기도 하남시 미사강변서로 16, F1040호(풍산동, 하우스디스마트밸리)",경기도 하남시 풍산동 490-2 하우스디스마트밸리 F1040호,전기회로 접속장치 제조업 외 1 종,031-5175-7078,031-5175-7079,4,"AC/DC드라이브, 프로그램내장 컨트롤러, 배전기가 장착된보드, 인버터/컨버터, 전기/전자 제어기, 계전기, 전력차단기",2025-06-30
622,주식회사 에델테크,"경기도 하남시 조정대로 35, F706호(풍산동, 미사 하우스디 엘타워)",경기도 하남시 풍산동 492 미사 하우스디 엘타워 F706호,"레이더, 항행용 무선기기 및 측량기구 제조업",02-733-3677,02-2179-9677,36,"군용레이더 탑재 데이터 처리장치, 기타용도 레이더기기제조",2025-06-30
623,주식회사 에스앤씨,"경기도 하남시 조정대로 150, 10층 1023호 (덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 10층 1023호,그 외 기타 분류 안된 화학제품 제조업,031-577-2259,031-790-1790,28,"IMAG(핵산, 단백질 추출시약), IMOD(PCR PREMIX, DNA Sizq Marker)",2025-06-30
624,주식회사 에스티엑스바이오,"경기도 하남시 조정대로 45, 1층 F115호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 1층 F115호,유기질 비료 및 상토 제조업 외 2 종,031-5175-3228,031-5175-3229,1,"토양미생물,사료첨가제,미생물증식용조제품",2025-06-30
625,주식회사 에이치앤와이텍,"경기도 하남시 조정대로 150, 367호(덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 367호,기체 여과기 제조업,02-555-3416,0504-214-3416,4,"공기청정기, 공기제균기",2025-06-30
626,주식회사 에이치에스교육그룹,"경기도 하남시 조정대로 150, 9층 913 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 9층 913,경 인쇄업 외 2 종,1566-2352,,42,"각종인쇄물,비디오물복제",2025-06-30
627,주식회사 에이티시스템,"경기도 하남시 초광산단서로 7, 3층 (초이동)",경기도 하남시 초이동 625-3번지 3층,기타 무선 통신장비 제조업 외 1 종,031-731-9960,070-5176-1525,11,"원격신호 송신기,수신기 또는 송,수신기,액체 적산용 계기",2025-06-30
628,주식회사 에프원웍스,"경기도 하남시 하남대로 947, B901, B919호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B901, B919호",전기.전자 및 정밀기기 수리업 외 4 종,070-8842-0980,0504-251-1003,6,"조준경, 표적지시기, 확대경, 화기부품,특수항공기(드론)",2025-06-30
629,주식회사 엘엔케이즈,"경기도 하남시 초광산단서로 10, 5층(초이동)",경기도 하남시 초이동 624-8 5층,속옷 및 잠옷 제조업 외 1 종,070-7537-1633,070-7589-1633,10,"브랜드의류(몰든), 남녀노인용속옷(요실금팬티)",2025-06-30
630,주식회사 엘즈,"경기도 하남시 미사강변중앙로7번안길 25, C동 415호 (풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 C동 415호,공기 조화장치 제조업,031-796-1505,031-793-9075,5,아이스톤,2025-06-30
631,주식회사 엘케이에스텍,"경기도 하남시 미사강변서로 25, F612호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 F612호,방송장비 제조업 외 3 종,031-608-3221,031-608-3226,6,"CCTV(폐쇄회로텔레비젼), 수신기기 제조(음성기록기기나 재생기기와 결합된것), 마이크로폰제조(무선 마이크로폰 및 전기통신용 이외 제품), 기타 전기램프 및 조명기구(투광형,flood type)제조",2025-06-30
632,주식회사 엠지유통,경기도 하남시 감일남로 22 (감일동),경기도 하남시 감일동 373번지,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 3 종",02-412-8418,02-412-8419,0,"간장게장,우거지,쌈장,콩비지",2025-06-30
633,주식회사 엠케이테크,"경기도 하남시 미사강변중앙로7번안길 25, D동 4층 407호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 D동 4층 407호,기타 운동 및 경기용구 제조업,031-8027-6434,031-8027-6435,3,"골프공 자동공급기, 스크린 장비",2025-06-30
634,주식회사 여누솔루션,"경기도 하남시 조정대로 150, 468-1호(덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 468-1호,컴퓨터 제조업,1577-6794,031-790-1572,2,산업용 컴퓨터,2025-06-30
635,주식회사 영신알에프,"경기도 하남시 조정대로 150, 646, 647, 648호(덕풍동, 아이테코)","경기도 하남시 덕풍동 762 아이테코 646, 647, 648호",기기용 자동측정 및 제어장치 제조업,02-475-0049,02-443-4731,16,"RF Generator(Power Supply), Matcher, Hiz-Head",2025-06-30
636,주식회사 영진,"경기도 하남시 미사강변서로 25, 6층 F628호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 6층 F628호,유선 통신장비 제조업 외 8 종,031-794-7701,050-5314-0070,16,"광섬유 전송시스템,반송 통신용 신호 변환기,유선 및 무선방송 전송기,폐쇄회로 카메라,교통신호장치 등 ",2025-06-30
637,주식회사 와이앤제이바이오,"경기도 하남시 하남대로 947, B동 9층 916호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 9층 916호,그 외 기타 의료용 기기 제조업,031-5180-3490,031-5180-3491,22,,2025-06-30
638,주식회사 와이에이치테크,"경기도 하남시 조정대로 45, F432호 (풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F432호,비디오 및 기타 영상기기 제조업 외 1 종,,,5,"영상기기, LED 전광판",2025-06-30
639,주식회사 우리메디,"경기도 하남시 미사강변중앙로7번안길 25, 유테크밸리 A동 711호(풍산동)",경기도 하남시 풍산동 595-1 유테크밸리 A동 711호,그 외 기타 의료용 기기 제조업,02-539-0066,02-539-0067,5,"멀티스파인, 발란스오",2025-06-30
640,주식회사 워터비,"경기도 하남시 신우실로 100, 328호(감이동, 현대 테라타워 감일)",경기도 하남시 감이동 474-1 현대 테라타워 감일 328호,"물질 검사, 측정 및 분석기구 제조업",1555-3534,0504-268-2565,2,수질측정기,2025-06-30
641,주식회사 위모션,"경기도 하남시 미사강변서로 16, F1014호 (풍산동, 하우스디스마트밸리)",경기도 하남시 풍산동 490-2 하우스디스마트밸리 F1014호,그 외 기타 특수목적용 기계 제조업,1800-8736,0503-8379-3856,2,모션시물레이터,2025-06-30
642,주식회사 유일푸드,경기도 하남시 서하남로451번길 77 (춘궁동),경기도 하남시 춘궁동 271-4번지,도시락류 제조업 외 1 종,02-400-7500,031-795-4844,4,"도시락,식품제조",2025-06-30
643,주식회사 이씨엔지니어링코리아,"경기도 하남시 조정대로 45, 에프842호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 에프842호,배전반 및 전기 자동제어반 제조업 외 1 종,031-8028-1905,031-8028-1906,3,"배전반, 전기자동제어반",2025-06-30
644,주식회사 이즈테크,"경기도 하남시 미사강변서로 16, F433호(풍산동, 하우스디스마트밸리)",경기도 하남시 풍산동 490-2 하우스디스마트밸리 F433호,전기경보 및 신호장치 제조업,031-523-9330,,2,"화재경보기, 화재수신기, 자동제어 판넬 및 기기, 방폭 컨트롤러,",2025-06-30
645,주식회사 인큐시스,"경기도 하남시 초광산단서로16번길 22, 3층(초이동, (유)태림에스엠 하남공장)",경기도 하남시 초이동 624-2 (유)태림에스엠 하남공장 3층,육류 포장육 및 냉동육 가공업 (가금류 제외),02-426-0302,050-4004-2185,3,"소, 돼지 숙성육제품(드라이에이징, 웻에어징 처리)",2025-06-30
646,주식회사 일렉테크코리아,"경기도 하남시 하남대로 947, A동 716호 (풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 716호,기타 전기 변환장치 제조업 외 1 종,070-8621-0979,0507-1792-0213,3,"전기자동차 충전기, 콘센트",2025-06-30
647,주식회사 지에이,"경기도 하남시 조정대로 45, F동 935호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F동 935호,무인 항공기 및 무인 비행장치 제조업,070-4760-0073,0504-141-1090,3,드론,2025-06-30
648,주식회사 지지솔루션,"경기도 하남시 조정대로 150, 860호 (덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 860호,기타 전기 변환장치 제조업,031-8027-9044,031-8027-9055,4,LED컨버터,2025-06-30
649,주식회사 지텍,"경기도 하남시 미사강변중앙로31번길 15, 희가로프리미어 315호, 316호, 206호(풍산동)","경기도 하남시 풍산동 598 희가로프리미어 315호, 316호, 206호",일반용 전기 조명장치 제조업 외 3 종,031-651-9056,031-696-5487,6,"전기식 교통신호장치, 전기조명장치, 전기경보기, 도로표지병, 전기장비",2025-06-30
650,주식회사 천화,"경기도 하남시 덕산로15번길 116, 3층 (춘궁동)",경기도 하남시 춘궁동 170번지 3층,그 외 기타 봉제의복 제조업,031-795-4358,031-794-9958,12,등산용의료(그외기타봉제의복제조),2025-06-30
651,주식회사 청정푸드,"경기도 하남시 초광산단로 86, 3층 (광암동)",경기도 하남시 광암동 405 3층,기타 수산동물 가공 및 저장 처리업,02-400-8532,02-443-6010,9,진미채오징어튀김(조미건어포),2025-06-30
652,주식회사 청한,"경기도 하남시 조정대로 45, F746호 (풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F746호,일반용 전기 조명장치 제조업,02-6287-9090,02-6287-9099,9,라인조명,2025-06-30
653,주식회사 컵풀,"경기도 하남시 조정대로 150, 227, 338호 (덕풍동, 아이테코)","경기도 하남시 덕풍동 762 아이테코 227, 338호",차류 가공업 외 11 종,070-7711-0840,0504-031-3599,13,"카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등, 카페용식음료파우더류, 헬스뷰티용파우더류, 효소식품 등",2025-06-30
654,주식회사 케이엑스넥스지,"경기도 하남시 미사강변중앙로7번안길 25, D동 507호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 D동 507호,유선 통신장비 제조업,02-577-8426,02-2652-8426,3,"소프트웨어개발 및 네트워크장비(방화벽, VPN제품)",2025-06-30
655,주식회사 케이엠에스,"경기도 하남시 미사강변중앙로31번길 30, 6층 613호(풍산동, 미사동일 넥서스)",경기도 하남시 풍산동 588-5 미사동일 넥서스 6층 613호,"물질 검사, 측정 및 분석기구 제조업",031-567-8876,031-557-8876,3,내연기관 시험기,2025-06-30
656,주식회사 코아포스,"경기도 하남시 조정대로 45, 7층 F750호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 7층 F750호,기타 주변기기 제조업,02-867-7432,02-867-7433,2,바코드리더외,2025-06-30
