È¸»ç¸í,¾÷Ã¼À¯Çü,¾÷Á¾¸í,»ý»êÇ°,ÀüÈ­¹øÈ£,ÆÑ½º¹øÈ£,¼ÒÀçÁöÁö¹øÁÖ¼Ò,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,µ¥ÀÌÅÍ±âÁØÀÏ
ÁÖ½ÄÈ¸»ç µñ½ºÁ¨,¹ýÀÎ,Àü±â½Ä Áø´Ü ¹× ¿ä¹ý ±â±â Á¦Á¶¾÷,(¿ÏÁ¦Ç°)´ç´¢ °ü·Ã ¸ÖÆ¼¸¶Ä¿ Ã¼¿ÜÁø´Ü±â±â,031-423-8450,050-8090-8450,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40¹øÁö ÇÑ¸²ÈÞ¸ÕÅ¸¿öµ¿ 3Ãþ 303-1È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, ÇÑ¸²ÈÞ¸ÕÅ¸¿öµ¿ 3Ãþ 303-1È£ (±ÝÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¶óº§ÆÑÅä¸®,¹ýÀÎ,±âÅ¸ ÀÎ¼â¾÷,"½ºÆ¼Ä¿, ¶óº§",02-922-2356,031-455-2360,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 325-11 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 60, 1Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¶óÀÌ´Ù½º,¹ýÀÎ,"·¹ÀÌ´õ, Ç×Çà¿ë ¹«¼±±â±â ¹× Ãø·®±â±¸ Á¦Á¶¾÷ ¿Ü 2 Á¾","¶óÀÌ´Ù¼¾¼­, ·Îº¿¼¾¼­, ½Ã½ºÅÛÁ¦¾î±â",031-452-6272,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1 ÇÑ¼ÖÅ×Å©³ëÅ¸¿î 701È£,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 701È£(´çÁ¤µ¿, ÇÑ¼ÖÅ×Å©³ëÅ¸¿î)",2025-09-15
ÁÖ½ÄÈ¸»ç ¶óÀÌÆ®Á¨,¹ýÀÎ,±¤ÇÐ·»Áî ¹× ±¤ÇÐ¿ä¼Ò Á¦Á¶¾÷,"±¤ÇÐ·»Áî,Áö¹®ÀÎ½Ä±â",031-429-5258,0303-0453-5255,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40 ÇÑ¸²ÈÞ¸ÕÅ¸¿ö 1µ¿ 7Ãþ 707È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 1µ¿ 7Ãþ 707È£(±ÝÁ¤µ¿, ÇÑ¸²ÈÞ¸ÕÅ¸¿ö)",2025-09-15
ÁÖ½ÄÈ¸»ç ¶óÀÎÅØ,¹ýÀÎ,ÄÄÇ»ÅÍ Á¦Á¶¾÷,»ê¾÷¿ë ÄÄÇ»ÅÍ ¹× ÁÖº¯±â±â,02-711-5988,02-703-5044,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 543¹øÁö ±ºÆ÷IT¹ë¸® Bµ¿ 12Ãþ 1201È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, ±ºÆ÷IT¹ë¸® Bµ¿ 12Ãþ 1201È£ (´çÁ¤µ¿) 12Ãþ Á¦ºñ-1201È£",2025-09-15
ÁÖ½ÄÈ¸»ç ¶óÆÄ»çÀÌ¾ð½º,¹ýÀÎ,±âÅ¸ Á÷¹°Á¦Ç° Á¦Á¶¾÷,¼ö¼ú¿ë ¸¶½ºÅ©,070-4632-1198,031-427-4567,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-1,°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 22 (»êº»µ¿) 2Ãþ ¹× 3ÃþÀÏºÎ,2025-09-15
ÁÖ½ÄÈ¸»ç ·°Å°ÅØ,¹ýÀÎ,º¼Æ® ¹× ³ÊÆ®·ù Á¦Á¶¾÷ ¿Ü 2 Á¾,"³ëÇãºê Ä¿ÇÃ¸µ,¹è°üÀÚÀç",031-453-8521,031-453-8522,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-59¹øÁö B2Ãþ B206~B208,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52, B2Ãþ B206~B208 (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ·ÎÅÍ½ºÄÍ·¦,¹ýÀÎ,¼®ÅºÈ­ÇÐ°è È­ÇÕ¹° ¹× ±âÅ¸ ±âÃÊ À¯±â È­ÇÐ¹°Áú Á¦Á¶¾÷ ¿Ü 1 Á¾,"³­¿¬Á¦, ÄÚÆÃ¿ø·á",031-454-1130,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-38 404È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 38, 404È£ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ·ÎÅØÅ©,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,±¤Åë½ÅºÎÇ°,031-427-8788,031-427-8790,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 14-16¹øÁö ÇÑ¸²ÈÞ¸ÕÅ¸¿ö 5Ãþ 501,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 5Ãþ 501 (»êº»µ¿, ÇÑ¸²ÈÞ¸ÕÅ¸¿ö)",2025-09-15
ÁÖ½ÄÈ¸»ç ·ç¹Ì,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÇÃ¶ó½ºÆ½ Á¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,"Á¢ÀÌ½ÄÇï¸ä, ÀÏÃ¼Çü °í±Û¸¶½ºÅ©",031-453-2556,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 413-3 ¼­ºÎ»ê¾÷ 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î28¹ø±æ 18-3, 3Ãþ(´çÁ¤µ¿, ¼­ºÎ»ê¾÷)",2025-09-15
ÁÖ½ÄÈ¸»ç ¸®À±,¹ýÀÎ,»ê¾÷Ã³¸®°øÁ¤ Á¦¾îÀåºñ Á¦Á¶¾÷,Á¦¾à/¹ÙÀÌ¿À Á¦Á¶¿ë ÀÚµ¿È­Àåºñ,031-456-1124,031-456-1128,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 689-6 ÇÑ¸²º¥ÃÄÅ¸¿î 1µ¿ Áö»ó5Ãþ 507È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 284, 1µ¿ Áö»ó5Ãþ 507È£(±ÝÁ¤µ¿, ÇÑ¸²º¥ÃÄÅ¸¿î)",2025-09-15
ÁÖ½ÄÈ¸»ç ¸µ°íÅ×Å©´Ð½º,¹ýÀÎ,ÀüÀÚºÎÇ° ½ÇÀå±âÆÇ Á¦Á¶¾÷ ¿Ü 1 Á¾,BMS PCB ASS'Y,02-2209-0339,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-21 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø¾È±æ 32, 2Ãþ(´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¸µÅ©·è½º,¹ýÀÎ,ÄÄÇ»ÅÍ ¸ð´ÏÅÍ Á¦Á¶¾÷,"Payment kiosk, outdoor kiosk, barrier free kiosk, portrait kiosk,customize kiosk",070-7730-1468,02-2025-8338,´çÁ¤µ¿ 17-4 4Ãþ,"°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î 88-13, 4Ãþ(´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¸µÅ©¼Ö·ç¼Ç,¹ýÀÎ,µðÁöÅÐ ÀûÃþ ¼ºÇü±â°è Á¦Á¶¾÷,3D ÇÁ¸°ÆÃ,031-422-1932,031-422-1931,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 352-8 1Ãþ, 2Ãþ","°æ±âµµ ±ºÆ÷½Ã »êº»·Î101¹ø±æ 9-9, 1Ãþ, 2Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¸¶·ç¼Ö·ç¼Ç,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 5 Á¾,"CCTV Ä«¸Þ¶ó, VDA, POWER CONTROLLER, ³¬½Ã´ë, ³¬½Ã¸±",031-342-3400,031-426-9795,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 921-56¹øÁö SK º¥Æ¼¿ò 101µ¿ 902È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 101µ¿ 902È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
ÁÖ½ÄÈ¸»ç ¸¶½ºÅ¸½ÄÇ°,¹ýÀÎ,Ãµ¿¬ ¹× È¥ÇÕÁ¶Á¦ Á¶¹Ì·á Á¦Á¶¾÷,ÆÄ¿ì´õ ¹× ¼Ò½º·ù,031-456-7814,031-455-3360,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 447-1¹øÁö 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 140, 3Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¸ÞÀÎ½Ã½º,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,ÀüÀÚºÎÇ°,031-458-7770,031-458-1770,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1¹øÁö ÇÑ¼ÖÅ×Å©³ëÅ¸¿î 7Ãþ 710È£,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 7Ãþ 710È£ (´çÁ¤µ¿, ÇÑ¼ÖÅ×Å©³ëÅ¸¿î)",2025-09-15
ÁÖ½ÄÈ¸»ç ¸ð´×Ä¯¼ÖÆ®,¹ýÀÎ,±âÅ¸ Á÷¹°Á¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,"ÀÏ¹Ý¸¶½ºÅ©, KF¸¶½ºÅ©",,070-8282-7645,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 175-3 ÀÌÅ¥ºòÁÖ½ÄÈ¸»ç,"°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î 28 (±ÝÁ¤µ¿) ÀÌÅ¥ºòÁÖ½ÄÈ¸»ç 2,3Ãþ",2025-09-15
ÁÖ½ÄÈ¸»ç ¸ðÀÏ,¹ýÀÎ,ÀÏ¹Ý¿ë Àü±â Á¶¸íÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,LED Åõ±¤µî,031-360-1012,031-360-1013,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42 602È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 602È£ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¸ðÆ®·Ð,¹ýÀÎ,±× ¿Ü ±âÅ¸ ´Þ¸® ºÐ·ùµÇÁö ¾ÊÀº Á¦Ç° Á¦Á¶¾÷,¿ÜÁÖ°¡°ø,031-360-3009,070-8228-3009,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 14-1 ¾ÆÀÌ¹ë¸® ±ºÆ÷ 2Ãþ 203È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 149, 2Ãþ 203È£(´çµ¿, ¾ÆÀÌ¹ë¸® ±ºÆ÷)",2025-09-15
ÁÖ½ÄÈ¸»ç ¹Ì´ã,¹ýÀÎ,±âÅ¸ Á÷¹°Á¦Ç° Á¦Á¶¾÷,¸¶½ºÅ©,031-8042-4520,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 281-3 (ÁÖ)ÅäÀÌÅäÀÌ 4Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø¾È±æ 23, 4Ãþ(´çÁ¤µ¿, (ÁÖ)ÅäÀÌÅäÀÌ)",2025-09-15
ÁÖ½ÄÈ¸»ç ¹Ì·¡¾ÈÀü,¹ýÀÎ,º® ¹× ¹Ù´Ú ÇÇº¹¿ë ÇÃ¶ó½ºÆ½Á¦Ç° Á¦Á¶¾÷ ¿Ü 2 Á¾,LED¾ÈÀüÀ¯µµºí·Ï,031-443-8945,031-443-8941,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-27 ÄÚ¸®¾Æ¸ðÅÍÆßÇÁ(ÁÖ) 4Ãþ(±ÝÁ¤µ¿),"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 15-7, 4Ãþ(±ÝÁ¤µ¿)(±ÝÁ¤µ¿, ÄÚ¸®¾Æ¸ðÅÍÆßÇÁ(ÁÖ))",2025-09-15
ÁÖ½ÄÈ¸»ç ¹ÙÀÌ¿ÂÅØ¶óÀÌÇÁ,¹ýÀÎ,¾×Ã¼ ¿©°ú±â Á¦Á¶¾÷ ¿Ü 3 Á¾,"¾ËÄ®¸®ÀÌ¿Â¼ö±â, ¼ö¼Ò¼ö±â, ÀüÇØ¼ö±â, Àü±â·»Áö",031-459-3853,031-429-3859,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 689-52,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 298-11(±ÝÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç ¹è°¡ ,¹ýÀÎ,µð½ºÇÃ·¹ÀÌ Á¦Á¶¿ë ±â°è Á¦Á¶¾÷,µð½ºÆæ¼­,031-424-9279,070-8282-9279,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® 1105È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, 1105È£ (´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
ÁÖ½ÄÈ¸»ç ¹ø°³Æ÷Åä,¹ýÀÎ,±Ý¼Ó ¿­Ã³¸®¾÷ ¿Ü 3 Á¾,"¾×ÀÚ,¸ÞÅ»Æ÷Åä,ÇöÆÇ,ÁÖÂ÷¹øÈ£ÆÇ,µ¿ÆÇ µî",,0504-050-0866,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1254 ±ºÆ÷µµ½Ã°ø»ç¡¤»ê¾÷ÁøÈï¿ø 612È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î22¹ø±æ 5, 612È£(ºÎ°îµ¿, ±ºÆ÷µµ½Ã°ø»ç¡¤»ê¾÷ÁøÈï¿ø)",2025-09-15
ÁÖ½ÄÈ¸»ç º¸°íÅØ,¹ýÀÎ,Àü½Ã ¹× ±¤°í¿ë Á¶¸íÀåÄ¡ Á¦Á¶¾÷ ¿Ü 4 Á¾,LEDÀü±¤ÆÇ,031-477-0345,031-477-0348,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1 ÇÑ¼ÖÅ×Å©³ëÅ¸¿î 102È£,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 102È£(´çÁ¤µ¿, ÇÑ¼ÖÅ×Å©³ëÅ¸¿î)",2025-09-15
"ÁÖ½ÄÈ¸»ç º¸·Ò(Borom Co.,Ltd.)",¹ýÀÎ,±Ý¼Ó °¡±¸ Á¦Á¶¾÷ ¿Ü 4 Á¾,"°ø¿¹, °¡±¸, µµÀÚ±â, ¸ñ°ø, Ä¥ÆÇ",,070-8236-6316,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 207-7¹øÁö ÁöÃþ 101È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 690, ÁöÃþ 101È£ (»êº»µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç º¸¸íÀÌ¾Ø¾¾,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷,¹«¼±Åë½ÅÀåºñ,031-455-4148,031-455-4147,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1144-0,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 100 (´çÁ¤µ¿) 4Ãþ,2025-09-15
ÁÖ½ÄÈ¸»ç º¸¼º¾ÆÀÌ¾¾Æ¼,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÇÃ¶ó½ºÆ½ Á¦Ç° Á¦Á¶¾÷,Ä³¸®¾îÅ×ÀÌÇÁ,031-429-7814,031-429-7815,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 474¹øÁö »ïÇ³ÇÁ¶óÀÚ 5Ãþ 504È£,"°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 82-7, 5Ãþ 504È£ (´çÁ¤µ¿, »ïÇ³ÇÁ¶óÀÚ)",2025-09-15
ÁÖ½ÄÈ¸»ç ºÏ¸ÞÀÌÅ©,¹ýÀÎ,°æ ÀÎ¼â¾÷ ¿Ü 1 Á¾,ÀÎ¼â¹° Ã¥ÀÚ,031-428-8679,031-428-8689,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-36 µÎ¸²ºôµù 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 37, 1Ãþ(´çÁ¤µ¿, µÎ¸²ºôµù)",2025-09-15
ÁÖ½ÄÈ¸»ç ºäÆ¼ÄÚÄÚ,¹ýÀÎ,±× ¿Ü ±âÅ¸ °¡±¸ Á¦Á¶¾÷,"¹Ì¿ëÀÇÀÚ,ÀÛ¾÷Æ®·¹ÀÌ",,031-427-3008,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 514,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 58 (´çÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç ºí·¢¿ïÇÁ,¹ýÀÎ,±âÅ¸ Á¶¸íÀåÄ¡ Á¦Á¶¾÷,"¼ÕÀüµî,Çìµå·£ÅÏ,ÀÛ¾÷µî,¹èÅÍ¸®ÆÑ",070-4333-0900,0505-333-0900,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172 (±ÝÁ¤µ¿, ÇÑ¸²ÈÞ¸ÕÅ¸¿ö) (ÃÑ 2 ÇÊÁö) 1µ¿ 9Ãþ 904È£",2025-09-15
ÁÖ½ÄÈ¸»ç ºñ¾¾¿£¿¡½º,¹ýÀÎ,±âÅ¸ ÁÖº¯±â±â Á¦Á¶¾÷ ¿Ü 2 Á¾,"¹«Á¤¼±, ¾Æ´äÅÍ",031-474-3907,031-474-3908,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-40¹øÁö 1µ¿ 3Ãþ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 32-19, 1µ¿ 3Ãþ ÀÏºÎ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ºñ¿¡ÇÁ·¦½º,¹ýÀÎ,±³Åë ½ÅÈ£ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 8 Á¾,"ÁÖÂ÷¾È³»ÆÇ, ÁÖÂ÷¿ä±Ý°è»ê±â, ÁÖÂ÷ÁÖÁ¦¾îÀåÄ¡, Â÷·®ÀÎ½Ä±â, Â÷·®Â÷´Ü±â, ¿µ»ó°¨½ÃÀåÄ¡, ¹ö½º ¹× Â÷·®Á¤º¸¾È³»ÀåÄ¡, º¸¾È¿ëÄ«¸Þ¶ó",031-470-4800,02-6008-4802,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 413-12 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î28¹ø±æ 18-5, 3Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ºñ¿¢½º¿¤ÀÌµð,¹ýÀÎ,Àü½Ã ¹× ±¤°í¿ë Á¶¸íÀåÄ¡ Á¦Á¶¾÷,"LEDÁ¶¸í, ÀÎÅ×¸®¾îÁ¶¸í, °æ°üÁ¶¸í",031-470-2757,050-4082-0813,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42¹øÁö 903È£(¿¥Å×Å©³ë),"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 903È£(¿¥Å×Å©³ë) (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ºñÄÉÀÌ¿¥,¹ýÀÎ,±âÅ¸ ¿îµ¿ ¹× °æ±â¿ë±¸ Á¦Á¶¾÷,"Å¸¼®½ºÅ©¸°°ñÇÁ(·ÎÄ¿½º°ñÇÁ),½ºÅ©¸°½Â¸¶",02-2068-1224,050-4076-3267,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1¹øÁö 7Ãþ 704,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 7Ãþ 704 (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ºñÆ¼³ª³ëÅØ,¹ýÀÎ,°¡Á¤¿ë Àü±â ³­¹æ±â±â Á¦Á¶¾÷,"¹ß¿­¸ÅÆ®, ¹ß¿­Ä«ÆäÆ®",031-427-7128,031-427-7129,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-38 610~614È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 38, 610~614È£ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç »ïºÎ¿¥Æ¼¿¡½º,¹ýÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷ ¿Ü 1 Á¾",ÀÚµ¿Â÷ºÎÇ°½ÃÇèÀåÄ¡,031-458-3600,031-458-3577,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 339,°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø¾È±æ 22(´çÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç »ïÁ¤ÀÌ¿£Áö,¹ýÀÎ,µð½ºÇÃ·¹ÀÌ Á¦Á¶¿ë ±â°è Á¦Á¶¾÷,±â°èÀåºñºÎÇ°,031-453-2655,031-453-2656,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 91-6,°æ±âµµ ±ºÆ÷½Ã »êº»·Î48¹ø±æ 10-22(´çÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç »ïÁø·ÑÅ×Å©³î·¯Áö,¹ýÀÎ,±× ¿Ü ±âÅ¸ °í¹«Á¦Ç° Á¦Á¶¾÷,"±â°èºÎÇ°, °í¹«ROLLÁ¦Ç°",031-477-0256,031-477-0259,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 448-11¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î13¹ø±æ 12 (´çÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç »ïÇö,¹ýÀÎ,Àý»è°¡°ø ¹× À¯»çÃ³¸®¾÷,"SUS ÁÖ¹° °¡°ø, ¿£Áö´Ï¾î¸µ ÇÁ¶ó½ºÆ½ °¡°ø, ºñÃ¶±Ý¼Ó °¡°ø",031-454-5607,031-454-5602,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 150-31¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î54¹ø±æ 19-16 (´çÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç »ïÈ­¿­Ã³¸®,¹ýÀÎ,±Ý¼Ó ¿­Ã³¸®¾÷,±ÝÇü ¿­Ã³¸®,031-453-1378,031-453-9707,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 379¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¹ú»õÀü¸®±æ 11, 1Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç »õ¸°Á¶¸í(915È£),¹ýÀÎ,ÀÏ¹Ý¿ë Àü±â Á¶¸íÀåÄ¡ Á¦Á¶¾÷,ÀÏ¹Ý¿ë Àü±âÁ¶¸íÀåÄ¡ Á¦Á¶¾÷,,0303-3442-7570,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1246 ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸® 915È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î7¹ø±æ 8, 915È£(ºÎ°îµ¿, ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸®)",2025-09-15
ÁÖ½ÄÈ¸»ç ¼­±¤Å×Å©³î·ÎÁö,¹ýÀÎ,±× ¿Ü ±âÅ¸ ±Ý¼Ó°¡°ø¾÷,ÀÚµ¿È­Ä·,02-2676-5051,02-2676-5990,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42 B110, B111È£","°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, B110, B111È£  (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¼­Á¤,¹ýÀÎ,±¸µÎ·ù Á¦Á¶¾÷ ¿Ü 1 Á¾,½Å¹ß,031-427-6777,031-427-6771,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 110-6¹øÁö 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î28¹ø±æ 52, 3Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¼±È£,¹ýÀÎ,ºñµð¿À ¹× ±âÅ¸ ¿µ»ó±â±â Á¦Á¶¾÷ ¿Ü 3 Á¾,"Ä«¾ÚÇÁ, À§¼º¼ö½Å±â, ¿ÂµµÁ¦¾îÁ¶Àý±â",031-458-1236,031-458-1286,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 79-6¹øÁö (ÁöÃþ),°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤·Î 11 (±ÝÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç ¼º´ö,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇü(È­ÀåÇ°¿ë±â ¹× ¸¶°³±ÝÇü),031-458-2214,031-458-2219,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 1-13¹øÁö,°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 34-24 (»êº»µ¿),2025-09-15
