연번,회사명,공장대표주소,전화번호,생산품,데이터기준일자
1902,엘엠지모자이크,경기도 광주시 초월읍 동막골길 150-17 외 3필지,031-765-1870,바닥재+벽재,2026-01-30
1903,엘이디맥스,경기도 광주시 문형리 498-17번지,031-762-5850,광고용 led 조명장치,2026-01-30
1904,엘케이테크넷(주),경기도 광주시 광남안로 104-16 (태전동),02-732-3456,CCTV카메라,2026-01-30
1905,엠씨테크(주),경기도 광주시 초월읍 무갑길140번길 14-18,031-765-9968,정수장치,2026-01-30
1906,엠앤케이 주식회사,경기도 광주시 초월읍 동막골길 261,1600-2169,식품용필름,2026-01-30
1907,엠에스기술(주),경기도 광주시 새말길167번길 44-8,031-719-4383,전시용 모형,2026-01-30
1908,엠제이산업(주),경기도 광주시 곤지암읍 신만로 75,031-769-1567,발포스폰지,2026-01-30
1909,엠텍에스티에스(주),경기도 광주시 오포로 240 외 18필지,031-423-8847,보호복+물티슈+산업안전용품 외,2026-01-30
1910,엠텍에스티에스(주),"경기도 광주시 초월읍 산수로210번길 4-3, 2동 2층",031-423-8846,유사의복 외,2026-01-30
1911,영광금형,경기도 광주시 곤지암읍 광여로733번길 7-19,031-798-6967,장비조립용부품제조,2026-01-30
1912,영광특수산업 봉제,"경기도 광주시 현곡길 48-54, 제1동1층, 제2동2층 일부",031-766-0420,에어베스트(특수의류),2026-01-30
1913,영도COLOR,경기도 광주시 광남안로 223 (목동),031-767-1482,유리접합가공,2026-01-30
1914,영림전자,경기도 광주시 양벌로 82-5,031-766-0270,비철금속압연+저항선+컨넥터핀류,2026-01-30
1915,영산콘크리트공업(주),경기도 광주시 곤지암읍 신만로 119-26 (총 2 필지) 외 1필지,031-797-4045,레미콘,2026-01-30
1916,영신가구,경기도 광주시 보뚱치길130번길 49-13,031-766-5005,진열장,2026-01-30
1917,영원스틸(주),경기도 광주시 초월읍 경충대로963번길 19,031-765-8835,스텐레스 성형품,2026-01-30
1918,영인콘트롤(주),경기도 광주시 도척면 도척로803번길 28-18,031-765-7139,가정용플라스틱제품,2026-01-30
1919,영일수지공업(주),경기도 광주시 곤지암읍 신만로 405 외 1필지,031-767-0101,PVC+TPO.TPR+콤파운드,2026-01-30
1920,영일씨앤씨,경기도 광주시 초월읍 지월로100번길 29-73,031-797-8663,완충재 가공,2026-01-30
1921,영준기업,경기도 광주시 수렁개들길 58,031-766-5759,모르타르,2026-01-30
1922,영준기업(주),경기도 광주시 도척면 국사봉로 185-20 외 4필지,031-765-6836,배전반+외주도장,2026-01-30
1923,영진PIT,경기도 광주시 초월읍 동막골길 140-66 외 1필지,031-761-5778,식품포장지,2026-01-30
1924,영진석재,경기도 광주시 매자리길27번길 141-16 (총 2 필지) 외 1필지,031-766-4224,석재가공품,2026-01-30
1925,영진선반앵글,경기도 광주시 곤지암읍 열미길 99-93 외 1필지,031-765-7755,조립식선반+앵글,2026-01-30
1926,영진특수몰딩,경기도 광주시 도척면 도척윗로 728-11,031-769-0855,인테리어내장재,2026-01-30
1927,영창섬유,경기도 광주시 초월읍 용수길95번길 2 (총 2 필지) 외 1필지,031-765-4657,지퍼,2026-01-30
1928,영호기업,경기도 광주시 매자리길 117,031-768-8175,전자제품케이스+촐 FRAME,2026-01-30
1929,영화무역(주),경기도 광주시 초월읍 경충대로 1333-12,02-401-0555,양말,2026-01-30
1930,영화식품(주) 광주제2공장,경기도 광주시 도척면 방등길 25 외 1필지,031-734-2388,소스류,2026-01-30
1931,예광산업,경기도 광주시 초월읍 두월길29번길 26,031-766-4404,도장,2026-01-30
1932,예술세계,경기도 광주시 봉골길134번길 50 (총 3 필지),031-766-7312,모조장신품,2026-01-30
1933,예원,경기도 광주시 봉골길 131-46,031-798-5977,블라인드,2026-01-30
1934,오덴코리아(주),경기도 광주시 도척면 마도로 151-45,031-607-9003,이동식 흡연실등,2026-01-30
1935,오르간코리아,경기도 광주시 매자리길27번길 144,031-768-7504,파이프오르간,2026-01-30
1936,오리박사,경기도 광주시 옥토골길 13 (태전동),0507-1408-2751,오리고기 가공,2026-01-30
1937,오바프,경기도 광주시 봉골길134번길 51,031-797-1184,단미사료,2026-01-30
1938,오성냉동,경기도 광주시 곤지암읍 신만로436번길 18 (총 2 필지) 외 1필지,031-764-8456,얼음,2026-01-30
1939,오성체육시설(주),경기도 광주시 광남안로129번길 28 (목동) 외 1필지,031-797-8422,체육기구+간판,2026-01-30
1940,오아이씨씨(주),경기도 광주시 양촌길 225-17,070-8870-3299,마스크팩,2026-01-30
1941,오이스터에이블 주식회사,경기도 광주시 봉골길134번길 16 외 1필지,070-4827-5577,AIoT 재활용품 분리배출함+AloT 다회용컵 반납기,2026-01-30
1942,오케이금고제작,경기도 광주시 매자리길 175,031-765-7811,금고+수장고,2026-01-30
1943,오토원,경기도 광주시 초월읍 무갑길 134,02-472-3881,탈취제,2026-01-30
1944,옥천식품,경기도 광주시 초월읍 산수로 642-28 외 1필지,031-767-6818,냉면+밀떡,2026-01-30
1945,온세,"경기도 광주시 봉골길134번길 1-2, 온세 (문형동)",031-797-8371,반려동물 가구+반려동물 용품,2026-01-30
1946,올루야멘,경기도 광주시 초월읍 양지길 34-7,031-585-8807,소화시 자동표적기+군용가방등,2026-01-30
1947,올인올테크(주),경기도 광주시 초월읍 용수길 175-10 외 3필지,031-793-7417,산업용로봇,2026-01-30
1948,와이엔에스(YNS),경기도 광주시 곤지암읍 오향길34번길 16,,인조대리석,2026-01-30
1949,완미프라스틱,경기도 광주시 곤지암읍 열미길 99-43 외 3필지,,썬바이져,2026-01-30
1950,완송세라믹,경기도 광주시 곤지암읍 경충대로498번길 73,031-766-6080,장식용도자기,2026-01-30
1951,완전식품,경기도 광주시 곤지암읍 열미길 139-60,031-762-6353,미숫가루,2026-01-30
1952,완전식품,경기도 광주시 곤지암읍 열미길 99-22,031-762-6353,장,2026-01-30
1953,용성산업개발(주),경기도 광주시 초월읍 무갑길140번길 14-22,031-765-8367,금속울타리+교량조립구조재 등,2026-01-30
1954,용성전기(주),경기도 광주시 곤지암읍 백고개길 194,031-762-8920,스위치+검사기기,2026-01-30
1955,우드셔터(주),경기도 광주시 초월읍 동막골길 271,031-798-7986,우드커튼,2026-01-30
1956,우리방폭전기,경기도 광주시 초월읍 두월길55번길 31-1,,방폭+방수형(등기구),2026-01-30
1957,우리산업,경기도 광주시 초월읍 산수로 758,031-798-6412,식물성장조절.억제제+4종복합비료,2026-01-30
1958,우리스톤,경기도 광주시 매자리길 185-5 외 1필지,031-768-3063,건축용 내외장재,2026-01-30
1959,우리푸드,경기도 광주시 초월읍 숯골길65번길 7,031-798-8108,조리식품(갈비탕),2026-01-30
1960,우림화학,경기도 광주시 오포로 425-15,031-766-2915,핸드폰거치대,2026-01-30
1961,우석ST,"경기도 광주시 도척면 마도로 166, 나동1층",031-227-7146,석재가공,2026-01-30
1962,우성PC,경기도 광주시 곤지암읍 경충대로244번길 34 외 1필지,,사선유도봉+카스토퍼+잔디보호매트,2026-01-30
1963,우성기전주식회사,경기도 광주시 도척면 도척윗로 542,031-764-1641,용접기,2026-01-30
1964,우성전기공업(주),경기도 광주시 곤지암읍 독고개길 87,031-762-8101,절연휴즈 및 내열전선,2026-01-30
1965,우성티알(주),경기도 광주시 곤지암읍 부항길 45 외 4필지,031-797-3348,천막+철도차량자바라+운송용의자,2026-01-30
1966,우성퍼니처,경기도 광주시 초월읍 동막골길40번길 13-15,031-762-3461,인테리어 가구,2026-01-30
1967,우영산업(주),경기도 광주시 매자리길 36 외 3필지,031-767-5871,내연기관(엔진),2026-01-30
1968,우일건업,경기도 광주시 고불로229번길 33-24 (태전동),031-762-7405,철재칸막이+철물,2026-01-30
1969,우일기계,경기도 광주시 초월읍 두둘기길 42,,기계제작(포밍기+유압기계),2026-01-30
1970,우일기전산업(주),경기도 광주시 초월읍 산수로226번길 112-1,031-798-4880,배전반,2026-01-30
1971,우전화학,경기도 광주시 곤지암읍 광여로99번길 30-12,031-763-4587,합성수지봉투,2026-01-30
1972,우정가구,경기도 광주시 초월읍 경충대로 1333-6,031-768-3213,쇼파,2026-01-30
1973,우주보온공업(주),경기도 광주시 포은대로 640-7,031-763-4312,스텐보온병+보온도시락,2026-01-30
1974,우진산업,경기도 광주시 곤지암읍 열미리 502-4번지 외 3필지,031-762-6090,돈지육+우지육,2026-01-30
1975,우진산업,경기도 광주시 곤지암읍 새재길 243-143,031-767-7177,카트,2026-01-30
1976,우진정밀,경기도 광주시 초월읍 경충대로963번길 11-45,031-764-0391,식품가공기계,2026-01-30
1977,웅진무역,경기도 광주시 초월읍 두월길29번길 32,031-761-9545,합성세제+락스,2026-01-30
1978,웅진코스켐,경기도 광주시 초월읍 무갑길 98-26,031-798-4337,바디클렌저,2026-01-30
1979,원강계전,경기도 광주시 초월읍 도곡길22번길 11-77,031-767-5730,수배전반,2026-01-30
1980,원광케미칼(주),경기도 광주시 진토길21번길 24 (목동) (총 3 필지) 외 2필지,031-767-4827,그라비아인쇄물,2026-01-30
1981,원디자인(주),경기도 광주시 오포안로 144,031-797-2006,진열장+간판,2026-01-30
1982,원샷솔브코리아,경기도 광주시 곤지암읍 광여로 555-16,031-764-0826,방향제,2026-01-30
1983,원일금속,경기도 광주시 마루들길35번길 7,031-765-3280,나사,2026-01-30
1984,원일기업,경기도 광주시 회덕길 27-2 (회덕동) 외 2필지,,간판+조형물+전시대,2026-01-30
1985,원일산업,경기도 광주시 포은대로 621-79,031-761-7941,아이스BOX+지지대,2026-01-30
1986,원전기계(주),경기도 광주시 도척면 다람로40번길 12-29 외 1필지,031-762-5661,tube+shaft,2026-01-30
1987,원진실업,경기도 광주시 초월읍 지월로59번길 23,031-764-5158,고무호스,2026-01-30
1988,원창시스템,"경기도 광주시 도척면 도척윗로 388, 2동",031-798-5710,야채세척기,2026-01-30
1989,원형ENG,경기도 광주시 곤지암읍 독고개길 113,031-764-8762,통신용구내단지함,2026-01-30
1990,월드디자인,경기도 광주시 초월읍 하오개길 7-13 (총 2 필지),031-769-5778,목재가구,2026-01-30
1991,월드산업,경기도 광주시 초월읍 산수로554번길 19,031-769-1497,도장,2026-01-30
1992,위닉스,경기도 광주시 도척면 도척윗로 702-83 외 2필지,031-761-0440,목재케비넷,2026-01-30
1993,위더스 트레이딩 컴퍼니,경기도 광주시 목동길 104(목동),031-767-0450,blu-ray+DVD+CD+USB,2026-01-30
1994,윈도어(주),경기도 광주시 염소골길35번길 15-13 (목동),031-767-4272,옷걸이(목재+플라스틱),2026-01-30
1995,유금섬유,경기도 광주시 고불로229번길 29 (태전동),031-763-5200,편물사,2026-01-30
1996,유남부직포,경기도 광주시 초월읍 두월길55번길 11,031-764-4014,부직포,2026-01-30
1997,유명스포츠,경기도 광주시 초월읍 동막골길 197-6,031-763-9048,도장 및 피막처리,2026-01-30
1998,유성기전(주),경기도 광주시 초월읍 대쌍령길 23 (총 2 필지) 외 1필지,031-761-6014,배전반등,2026-01-30
1999,유연산업,경기도 광주시 초월읍 산수로 468-8 외 1필지,031-764-7910,금속탱크,2026-01-30
2000,유일공업사,경기도 광주시 초월읍 선동리 105-1번지 외 2필지 외 2필지,031-766-5526,볼트+너트,2026-01-30
2001,유진금속(주),경기도 광주시 성들길 72,031-767-4311,철재문손잡이,2026-01-30
2002,유진기계,경기도 광주시 곤지암읍 도척로 131-46,031-763-5625,기계(식품+제약등),2026-01-30
2003,유진기업(주) 광주,경기도 광주시 문현로 91-44 (총 2 필지) 외 1필지,031-766-3111,레미콘+쇄석골재,2026-01-30
2004,유진보드,경기도 광주시 곤지암읍 광여로 529-22,031-797-2106,목제보드,2026-01-30
2005,유진보드,경기도 광주시 곤지암읍 광여로 504-6,031-797-2106,엑자용스티카보드,2026-01-30
2006,유진시스텍(주),경기도 광주시 곤지암읍 새재길 243-141,031-761-9530,인테리어 주문가구,2026-01-30
2007,유진테코,"경기도 광주시 초월읍 현산로 341-13, 나동",031-766-6613,PVC시트접착,2026-01-30
2008,유진테크,경기도 광주시 곤지암읍 열미길 185-9,031-764-7778,배전반+자동제어장치,2026-01-30
2009,유창가구,경기도 광주시 초월읍 무들로8번길 80,031-765-5032,쇼파골조,2026-01-30
2010,유투주식회사,경기도 광주시 오포로448번길 20-6 (문형동),031-8027-3971,LED조명기구,2026-01-30
2011,유파코리아(주),경기도 광주시 도척면 옛진말길 23,031-376-4200,전기요+전기장판,2026-01-30
2012,율진프라임(주),경기도 광주시 진토길21번길 23-8 (목동) (총 3 필지) 외 2필지,031-768-2116,여과필터,2026-01-30
2013,은성실업,경기도 광주시 곤지암읍 열미길 99-43,02-6370-0801,하수악취차단장치,2026-01-30
2014,은성주물(주),경기도 광주시 광남안로 97-10 (목동),031-765-7668,주물,2026-01-30
2015,이 넥스,"경기도 광주시 도척면 국사봉로 13-67, 2동",031-767-0972,일반가구+주방가구,2026-01-30
2016,이건과학,경기도 광주시 초월읍 하오개길 114,031-767-3052,추출기+농축기,2026-01-30
2017,이노텍 코인,경기도 광주시 광남안로 36-7 (태전동),031-798-4088,블라인드(커튼),2026-01-30
2018,이레붙박이시스템,경기도 광주시 도척면 다람로40번길 12-39,031-798-0783,주문가구+붙박이장및도어,2026-01-30
2019,이로운,"경기도 광주시 문형산길 224-6, 마동 (신현동)",031-757-8601,전기사우나기,2026-01-30
2020,이매철강(주),"경기도 광주시 곤지암읍 경충대로 187-20, 가동1층",031-761-4035,창문틀 제조,2026-01-30
2021,이멕스 실업,경기도 광주시 초월읍 산수로622번길 4 이맥스공장 외 4필지,031-764-1002,금속후레싱,2026-01-30
2022,이수테크,경기도 광주시 오포로 589-7,031-797-8980,건축용 분배박스,2026-01-30
2023,이수테크,경기도 광주시 곤지암읍 새재길 256-18,031-766-8481,교량집수구+배수시설,2026-01-30
2024,이씨티(주),경기도 광주시 곤지암읍 광여로 418-15,02-568-0180,소멸기 제어장치(미생물처리장치)+위생용 화장실+미생물 발효제+탈취제,2026-01-30
2025,이앤지시스템,경기도 광주시 곤지암읍 광여로 577-17,,현관중문,2026-01-30
2026,이에스,경기도 광주시 중앙로 354-12 (송정동) 외 1필지,031-762-9400,스크린인쇄,2026-01-30
2027,이오 NC산업,경기도 광주시 광남안로 39-8 (태전동),031-797-1677,씽크대 문짝,2026-01-30
2028,이오산업,경기도 광주시 회덕길 19-12 (회덕동),031-768-2521,P.P백,2026-01-30
2029,이오플로우(주),경기도 광주시 곤지암읍 경충대로295번길 25,031-738-0200,이오패치(웨어러블 약물 주입기)+이오펌프,2026-01-30
2030,이조푸드,경기도 광주시 초월읍 무갑리 466-5,,갈비탕+왕구이+비빔장 등,2026-01-30
2031,이지케미칼,경기도 광주시 도척면 국사봉로 185-39,031-761-6445,포장비닐,2026-01-30
2032,이지플러스,경기도 광주시 도척면 국사봉로 185-37,031-769-8802,그라비아인쇄,2026-01-30
2033,이피코리아(주),경기도 광주시 곤지암읍 열미길 48,031-798-3700,UPS+자동제어반,2026-01-30
2034,이호테크,경기도 광주시 수렁개길 40-3,031-766-3313,주름관,2026-01-30
2035,이화전기공업(주),경기도 광주시 곤지암읍 경충대로 425,031-760-1312,변압기+건식TR+정류기+회전변류기+무정전 전원공급장치+배전반,2026-01-30
2036,익수제약(주),경기도 광주시 곤지암읍 독고개길86번길 38,031-761-1901,우황청심원+공진단+녹향환+녹향현탁액,2026-01-30
2037,인우실업,경기도 광주시 도척면 마도로 285-15,031-769-5390,민원대상판,2026-01-30
2038,인중,"경기도 광주시 곤지암읍 구수동길 1-14, 일부",031-769-1281,철제볼라드+파이프가공,2026-01-30
2039,인투,경기도 광주시 도척면 마도로 174-27,031-798-2941,옵셋인쇄+케이스,2026-01-30
2040,인티모,경기도 광주시 옥토골길 8-1(태전동) 외 1필지,031-768-4648,스폰지+에어캡,2026-01-30
2041,일신산업전기 주식회사,경기도 광주시 광주대로 200-1 (송정동) 2층,031-797-1631,전기+방폭조명등기구 등,2026-01-30
2042,일신산업전기(주),경기도 광주시 중앙로349번길 26 (송정동),031-797-1631,경광등+조명장치등,2026-01-30
2043,일심섬유,경기도 광주시 회덕길 53-2 (회덕동),,양말,2026-01-30
2044,일진종합목재,경기도 광주시 오포안로 55-4(문형동),031-765-0659,가구재,2026-01-30
2045,일학현대도예개발원,경기도 광주시 도척면 고녹길 144,031-763-3463,도자기,2026-01-30
2046,자연과건설,경기도 광주시 고산길 53,,직물포대,2026-01-30
2047,자유종합기계,경기도 광주시 도척면 마도로 244-14,031-763-7703,스텐레스,2026-01-30
2048,장미가구,경기도 광주시 초월읍 용수길 14-18,031-7655-866,의료용 및 마사지용 침대,2026-01-30
2049,장수돌침대(주),경기도 광주시 목동 451-1번지 외 4필지 외 4필지,031-798-6029,목재침대 후레임,2026-01-30
2050,장인들,경기도 광주시 염소골길35번길 36 (목동) (총 3 필지) 외 2필지,031-768-1572,금속도장품,2026-01-30
2051,재성기업,경기도 광주시 도척면 고녹길 102 외 2필지,031-761-5645,장애인용전동보조키트,2026-01-30
2052,재영기계,경기도 광주시 직동로 38 (직동),031-765-6220,담배가공기계+식품기계,2026-01-30
2053,정문디자인시스템,경기도 광주시 새말길167번길 54,031-718-3081,간판+옥외광고물 등,2026-01-30
2054,정산PACK,경기도 광주시 도척면 마도로 79,031-763-7743,그라비아 인쇄,2026-01-30
2055,정선전기(주),경기도 광주시 초월읍 동막골길 131,031-768-8188,수배전반+전원공급장치+고조파 가감장치 등,2026-01-30
2056,정성엔지니어링,경기도 광주시 초월읍 무들로 202,031-766-2744,스텐레스굴뚝,2026-01-30
2057,정우아우름,경기도 광주시 도척면 마도로 139-33,031-764-0689,악보대,2026-01-30
2058,정우프로덕트주식회사,경기도 광주시 초월읍 용수길 14-50 외 1필지,070-4917-4158,종이박스+종이상자,2026-01-30
2059,정일포장산업(주),경기도 광주시 용샘길 33-38 (목현동),031-767-2596,식품제과+제약산업용 포장재,2026-01-30
2060,정직한간판,"경기도 광주시 봉골길134번길 58-10, 정직한간판(문형동)",02-1668-1203,간판 및 옥외광고,2026-01-30
2061,정진섬유,경기도 광주시 순암로 363-23 (중대동),031-798-1625,양말,2026-01-30
2062,정진식품(주),경기도 광주시 초월읍 산수로554번길 65 (총 2 필지) 외 1필지,031-763-1933,포장육,2026-01-30
2063,제이비엠 주식회사,경기도 광주시 곤지암읍 내선길 49-4,070-8616-2052,LED전등+LED후레쉬+LED랜턴+CCTV카메라+수중카메라,2026-01-30
2064,제이씨현시스템(주),경기도 광주시 능평로75번길 10,02-2105-9106,사이버보드,2026-01-30
2065,제이앤에스(주),경기도 광주시 곤지암읍 경충대로244번길 28 외 1필지,031-764-1712,컬러콘택트렌즈,2026-01-30
2066,제이앤지,경기도 광주시 오포로520번길 24-11,031-767-8891,화장품유리용기 인쇄,2026-01-30
2067,제이에스 홈 퍼니처,경기도 광주시 목동길36번길 29-20 (목동),031-768-5155,일반가구,2026-01-30
2068,제이에스식품기계공업(주),경기도 광주시 마루들길 133,031-769-2170,식품가공기계류,2026-01-30
2069,제이에스식품기계공업(주),경기도 광주시 초월읍 하오개길 60-19,031-769-2170,식품가공기계등,2026-01-30
2070,제이에스연도산업,경기도 광주시 곤지암읍 오향길15번길 51 외 2필지,031-797-4494,스텐레스연도,2026-01-30
2071,제이에스테크,경기도 광주시 초월읍 산수로210번길 79,031-766-5526,볼트,2026-01-30
2072,제이엘플라텍,경기도 광주시 도척면 도척로803번길 18-32,031-762-1436,플라스틱용기뚜껑,2026-01-30
2073,제이엠글램,경기도 광주시 회덕길68번길 14-57 (회덕동),070-8833-6793,기초화장품용기류+케이스+캡등,2026-01-30
2074,제이와이커스텀(주),경기도 광주시 초월읍 산수로 642-12 외 3필지,031-798-1512,전기+전자+차량용부품,2026-01-30
2075,제이원산업,경기도 광주시 도척면 고녹길66번길 69,031-791-9626,저금통,2026-01-30
2076,제이케이씨(주),경기도 광주시 오포안로 325-49,031-769-3972,고광택시트(산업용필름),2026-01-30
2077,제일ENG,경기도 광주시 초월읍 동막골길 289-3,031-768-6962,금형,2026-01-30
2078,제일금속,경기도 광주시 초월읍 무들로270번길 33-16 (총 2 필지) 외 1필지,031-765-8913,가로등+가로등주,2026-01-30
2079,제일레스텍(주),경기도 광주시 초월읍 두둘기길 71,031-768-1196,작업복+보호복,2026-01-30
2080,제일전자산업(주),경기도 광주시 초월읍 무갑길 126,031-764-8216,전자저항기,2026-01-30
2081,제일정공,경기도 광주시 절골길 91-1 (장지동),031-764-7335,에어타카부품+컴프레셔부품,2026-01-30
2082,제일타카(주),경기도 광주시 직동로 18 (직동) (총 2 필지) 외 1필지,031-761-9500,타카,2026-01-30
2083,제트스팀보일러,경기도 광주시 초월읍 용수길 164-3,031-763-9954,전기스팀보일러,2026-01-30
2084,제트텍,경기도 광주시 곤지암읍 신만로 123,,자동제어판넬,2026-01-30
2085,조선제약(주),경기도 광주시 곤지암읍 열미길 195,031-797-2580,치약,2026-01-30
2086,조은비니루,경기도 광주시 매자리길27번길 65-4,031-766-6737,비닐포장지,2026-01-30
2087,종근웨더텍,경기도 광주시 곤지암읍 새재길 243-157,031-765-5283,기상장비+풍향풍속계,2026-01-30
2088,주경이앤티,경기도 광주시 초월읍 경수길153번길 29-7,031-768-8042,식품기계,2026-01-30
2089,주노빌침대,경기도 광주시 곤지암읍 경충대로295번길 15-11 외 1필지,031-766-5033,매트리스(침대용),2026-01-30
2090,주니푸드 주식회사,경기도 광주시 봉골길134번길 57(문형동) 외 1필지,031-762-0556,축산물,2026-01-30
2091,주성엔지니어링(주),경기도 광주시 오포로 240 (능평동),031-760-7288,반도체제조장비,2026-01-30
2092,주식회사 26도라인,"경기도 광주시 곤지암읍 신만로 71-9, -",070-7576-2005,기타발효음료,2026-01-30
2093,주식회사 경안이엔지,경기도 광주시 초월읍 도곡길22번길 11-50,,유도등,2026-01-30
2094,주식회사 골든팜,경기도 광주시 초월읍 동막골길 243-7,031-767-5245,닭가슴살 훈제+오리훈제+삼겹살훈제+보쌈 외,2026-01-30
2095,주식회사 그린테크,경기도 광주시 초월읍 동막골길 150-73,031-798-3006,음수기+양치대+세면기+차양,2026-01-30
2096,주식회사 꼬따쥬,경기도 광주시 초월읍 선장동길 72,070-4141-7088,가구+목재장식 등+조각+모형+조명,2026-01-30
2097,주식회사 끌레오디자인,경기도 광주시 초월읍 지월로100번길 29-62,031-766-3041,목재가구,2026-01-30
2098,주식회사 네오에프디,경기도 광주시 광남안로 208(목동),031-768-4041,수산물 가공,2026-01-30
2099,주식회사 네이쳐스푸드,경기도 광주시 광남안로129번길 19(목동),02-2297-8261,양고기 가공품,2026-01-30
2100,주식회사 농업회사법인 두두,경기도 광주시 곤지암읍 외선길 24,031-798-6500,유기액비 미생물비료,2026-01-30
2101,주식회사 누리라이팅,경기도 광주시 목동길36번길 29-7(목동),,가로등 +가로등추 부속자재,2026-01-30
2102,주식회사 다원바이오텍,경기도 광주시 오포로859번길 52-7 (추자동),031-767-4521,건강기능식품+일반식품,2026-01-30
2103,주식회사 닥터케이바이오,경기도 광주시 초월읍 현산로 295-8,031-791-7203,산양유 단백질100,2026-01-30
2104,주식회사 대영테크,경기도 광주시 곤지암읍 오향길34번길 29,031-767-7387,전기단자 받침대 등,2026-01-30
2105,주식회사 대한켐,경기도 광주시 초월읍 두둘기길 9,031-767-6302,그라비아인쇄물+비닐봉투,2026-01-30
2106,주식회사 더나비드,"경기도 광주시 오포안로 325-9, 1층(추자동)",031-765-5338,판형열교환기,2026-01-30
2107,주식회사 도경,"경기도 광주시 오포로448번길 14-12, 1동 (문형동) 외 1필지",,설치용 비닐봉투,2026-01-30
2108,주식회사 드림월드,경기도 광주시 초월읍 경충대로 1340-19,031-766-4111,시소+그네,2026-01-30
2109,주식회사 디자인어썸,경기도 광주시 진토길21번길 35 (목동),,가구+인테리어 장식,2026-01-30
2110,주식회사 라이튼,"경기도 광주시 수렁개들길 68, 1동",,버스승강장+가로등주,2026-01-30
2111,주식회사 레드로버,경기도 광주시 도척면 국사봉로 45,02-2156-0137,전시시설물,2026-01-30
2112,주식회사 리더스상사,경기도 광주시 봉골길33번길 50-12,031-762-0333,마스크,2026-01-30
2113,주식회사 리더티앤디,경기도 광주시 매자리길 11-29(매산동),070-4755-7194,주방가구+상판,2026-01-30
2114,주식회사 리젠피엔엠,경기도 광주시 곤지암읍 신만로 370-2,051-581-9974,비닐+종이식품포장재 및 산업용 포장재,2026-01-30
2115,주식회사 맥푸드,"경기도 광주시 초월읍 하오개길 64, 3동",031-765-1022,돈가스소스 등,2026-01-30
2116,주식회사 메카테크시스템,"경기도 광주시 도척면 도척로 376-94, 1층 (메카테크시스템)",031-797-2525,포장기+충진기,2026-01-30
2117,주식회사 명성오피스,경기도 광주시 초월읍 무들로 56-5,031-764-4108,사무용의자+라운지의자,2026-01-30
2118,주식회사 모리트,경기도 광주시 염소골길 57-5 (목동),02-453-6405,프로세스 제어반,2026-01-30
2119,주식회사 민하우스,경기도 광주시 초월읍 산수로210번길 24-12,031-792-8996,주방가구,2026-01-30
2120,주식회사 바른한방제약,"경기도 광주시 초월읍 현산로 341-40, 1층",02-962-1669,반하+숙지황+감초,2026-01-30
2121,주식회사 반산트,경기도 광주시 광남안로 286-15 (목동),031-762-8932,금속가구제조,2026-01-30
2122,주식회사 발해,경기도 광주시 도척면 국사봉로133번길 60-12,031-797-0360,식품포장지+필름포장지+인쇄용지,2026-01-30
2123,주식회사 방유당,경기도 광주시 수레실길 152(능평동),,방유당 전통기름,2026-01-30
2124,주식회사 보양스토리,경기도 광주시 봉골길 50-1,031-701-8533,보양재,2026-01-30
2125,주식회사 부암,경기도 광주시 초월읍 무들로238번길 17,031-768-7321,알미늄사다리+배낭,2026-01-30
2126,주식회사 비인더스트리,"경기도 광주시 초월읍 용수길32번길 30, 1동 1층",070-7864-2004,운동용매트+기타 운동 및 경기용구,2026-01-30
2127,주식회사 성신금속,경기도 광주시 도척면 도척윗로 392-8,031-761-0188,반자동 슬라이딩 철제도어,2026-01-30
2128,주식회사 스마트터치,경기도 광주시 초월읍 무들로8번길 51-5,031-765-8600,전자칠판+전자교탁+모니터+거치대,2026-01-30
2129,주식회사 스틸베이스,경기도 광주시 오포로 627-12,070-7607-5255,울타리+체육시설물,2026-01-30
2130,주식회사 시템퍼니처,"경기도 광주시 도척면 다람로36번길 153, 1호동",031-762-8663,사무용가구,2026-01-30
2131,주식회사 씨에스,경기도 광주시 도척면 고녹길 102 2층 외 2필지,031-765-1595,휠체어 부품,2026-01-30
2132,주식회사 아세아이앤지,경기도 광주시 초월읍 두둘기길 68-29,,전력변환기 등,2026-01-30
2133,주식회사 아송,경기도 광주시 직동로 66(직동),070-5222-7026,전기회로 개폐+보호장치 제조업 등,2026-01-30
2134,주식회사 아이네오스,경기도 광주시 도척면 도척윗로 594,031-790-0571,사무용가구,2026-01-30
2135,주식회사 아이란,경기도 광주시 경충대로 1855(장지동),031-778-7614,의류,2026-01-30
2136,주식회사 안전한도로,경기도 광주시 오포로 589-7,031-423-4476,안내판+바나나경계석,2026-01-30
2137,주식회사 애드웰스,경기도 광주시 도척면 도척윗로 310-2,031-797-0768,견과,2026-01-30
2138,주식회사 앤씰,경기도 광주시 진토길21번길 30 (목동),031-765-2725,에어매트리스,2026-01-30
2139,주식회사 어드벤처플래닛,경기도 광주시 곤지암읍 구수동길11번길 31 2호동,031-764-6982,놀이기구+조경시설물+공원시설물,2026-01-30
2140,주식회사 에스디엔지니어링,"경기도 광주시 곤지암읍 열미길 212-10, 일부임대",031-763-7551,방음판,2026-01-30
2141,주식회사 에스앤테크,"경기도 광주시 봉골길171번길 19, 1층 (문형동)",031-768-2691,속옷 및 내의,2026-01-30
2142,주식회사 에스지에스(SGS),경기도 광주시 도척면 국사봉로 39-19,031-798-3353,창호,2026-01-30
