회사명,설립구분명,용지면적,건축면적,종업원수,공장규모구분명,공장등록일,용도지역명,지목명,업종명,업종코드,생산품정보,대기오염등급,수질오염등급,소음진동여부,생활용수사용량(톤_일),산업용수사용량(톤_일),자기자본액(백만),타인자본액(백만),전화번호,팩스번호,소재지우편번호,소재지도로명주소,소재지지번주소,(WGS84)위도,(WGS84)경도
성석이엔디,일반,0,490,4,소기업,2018-07-03,관리지역/계획관리지역,잡종지,"금속 문, 창, 셔터 및 관련제품 제조업","25111, ",방화문,해당없음,해당없음,무,0,0,100,0,031-814-3177,,10252,경기도 고양시 일산동구 성현로 159 (성석동) 1층,경기도 고양시 일산동구 성석동 523-48 1층,37.70920676,126.8033968
신오커튼월,일반,1547,221,10,소기업,2001-12-20,관리지역/관리지역기타,공장용지,"금속 문, 창, 셔터 및 관련제품 제조업","25111, ","창호,샷시",해당없음,해당없음,유,0,0,0,0,031-964-7018,,10264,"경기도 고양시 덕양구 내유길 129, B동, C동일부 (내유동)",경기도 고양시 덕양구 내유동 104-2번지,37.72325442,126.8616124
주)다지트,일반,9990,3564,35,소기업,2016-04-15,관리지역/계획관리지역,공장용지,"금속 문, 창, 셔터 및 관련제품 제조업","25111, ",승강기도어제조,해당없음,해당없음,무,62,0,0,0,031-916-8917,031-916-8956,10257,경기도 고양시 일산동구 장진천길 30-1 (설문동),경기도 고양시 일산동구 설문동 199-3번지,37.71073368,126.8116986
주식회사 공간창호,창업,0,586,10,소기업,2022-02-18,관리지역/계획관리지역,공장용지,"금속 문, 창, 셔터 및 관련제품 제조업","25111, ","알루미늄 폴딩(이동식) 문, 창, 셔터 등 관련제품",해당없음,해당없음,무,0,0,,,031-944-9401,031-9649-9401,10317,"경기도 고양시 일산동구 견달산로225번길 45-56, 가동일부, 나동(식사동)","경기도 고양시 일산동구 식사동 288-23 가동일부, 나동",37.68784719,126.8160045
주식회사 신화폴딩,일반,0,394.74,5,소기업,2016-07-08,관리지역/계획관리지역,공장용지,"금속 문, 창, 셔터 및 관련제품 제조업","25111, ",폴딩도어,해당없음,해당없음,무,0,0,0,0,031-906-6824,031-905-6824,10254,경기도 고양시 일산동구 지영로127번길 43 (지영동),경기도 고양시 일산동구 지영동 399-53,37.71158609,126.8203585
주식회사 하나로이앤씨,일반,28.5,28.5,6,소기업,2022-12-26,도시지역/주거지역/준주거지역,대,"금속 문, 창, 셔터 및 관련제품 제조업","25111, ",알루미늄창호,해당없음,해당없음,무,0,0,40,0,031-923-2328,031-903-2370,10550,"경기도 고양시 덕양구 삼원로 51, 원흥줌하이필드지식산업센터(줌하이필드) 8층 824호 (원흥동)",경기도 고양시 덕양구 원흥동 702 원흥줌하이필드지식산업센터(줌하이필드) 8층 824호,37.64113816,126.8757247
한국창호자동화 (주),일반,263.55,263.55,8,소기업,2014-01-29,도시지역/주거지역/준주거지역,대,"금속 문, 창, 셔터 및 관련제품 제조업","25111, ","창호 , 배연창 개폐기",해당없음,해당없음,무,0.5,0,0,0,031-902-8640,031-902-5640,10442,"경기도 고양시 일산동구 일산로 142 (백석동, 유니테크빌) 9층 907호",경기도 고양시 일산동구 백석동 1141-2번지,37.64990508,126.7936807
(주)동양히트싱크,일반,1051,198.4,6,소기업,2015-07-31,관리지역/계획관리지역,대,금속 단조제품 제조업,"25912, ",방열판,해당없음,해당없음,무,0,0,0,0,031-915-4556,031-915-4559,411420,경기도 고양시 일산서구 법곳동 655 나동,경기도 고양시 일산서구 법곳동 655 나동,37.67184902,126.7161162
홍제진열장,일반,334.83,160.29,4,소기업,2003-11-07,관리지역/계획관리지역,대,금속 가구 제조업 외 3 종,"32091, 23112, 23119, 32029",진열장,해당없음,해당없음,무,0,0,0,0,031-902-1442,031-902-1442,10428,경기도 고양시 일산동구 장대길105번길 152 (장항동),경기도 고양시일산동구 장항동 545-3번지 가동,37.64079039,126.7595026
(주)금성강철,일반,4142,1766,9,소기업,1999-03-20,관리지역/계획관리지역,공장용지,금속 가구 제조업 외 1 종,"32091, 32029","양수책상, 이동형서랍",4종,해당없음,유,0,0,0,0,031-965-2547,031-966-2549,10317,"경기도 고양시 일산동구 견달산로225번길 74, 가동(일부),나동,다동 (식사동)","경기도 고양시 일산동구 식사동 288-20 가동(일부),나동,다동",37.68806578,126.8179533
(주)동광시스템,일반,2350,1871.47,22,소기업,2013-06-20,관리지역/계획관리지역,공장용지,금속 가구 제조업 외 1 종,"32091, 16291",철재사무용가구,5종,5종,유,0.2,0.1,0,0,031-968-0900,,10313,경기도 고양시 일산동구 동국로 335 -19(문봉동),경기도 고양시 일산동구 문봉동 100-31,37.69607584,126.8190483
극동테크,일반,0,386,4,소기업,2005-10-11,관리지역/계획관리지역,잡종지,금속 가구 제조업 외 1 종,"32091, 25992",주방기구,해당없음,해당없음,무,0,0,0,0,031-977-3500,031-977-5566,10313,경기도 고양시 일산동구 성현로268번길 68-90 (성석동),경기도 고양시일산동구 성석동 78-2번지,37.70209756,126.8083639
서울진열장,일반,130,130,3,소기업,2013-06-24,관리지역/계획관리지역,대,금속 가구 제조업 외 1 종,"32091, 32029",진열장(가구),해당없음,해당없음,무,0,0,,,031-916-0836,,10220,"경기도 고양시 일산서구 송포로113번길 191-136 (법곳동, 서울진열장)",경기도 고양시 일산서구 법곳동 118-5번지 서울진열장,37.66659749,126.7261493
유로폼,일반,0,397.43,4,소기업,2015-06-19,관리지역/관리지역기타,공장용지,금속 가구 제조업 외 1 종,"32091, 32019",금속가구및소파,해당없음,해당없음,무,0,0,184,0,031-977-4741,031-977-7041,10256,"경기도 고양시 일산동구 지영로194번길 107, 나동, 다동 (지영동)","경기도 고양시 일산동구 지영동 355-9번지 나동, 다동",37.71007365,126.8301178
정안기업,일반,0,165,0,소기업,2020-07-10,관리지역/계획관리지역,공장용지,금속 가구 제조업 외 1 종,"32091, 32029",의자,해당없음,해당없음,무,0.01,0,50,0,02-6958-9350,070-8233-9350,10262,경기도 고양시 덕양구 통일로1031번길 450 (내유동) 가동,경기도 고양시 덕양구 내유동 402-1 가동,37.71786929,126.8444121
(주)퍼스코,일반,0,418.45,9,소기업,2023-11-20,관리지역/계획관리지역,공장용지,금속 가구 제조업,"32091, ",책장,해당없음,해당없음,무,0,0,0,0,031-949-1580,031-949-1581,10317,"경기도 고양시 일산동구 견달산로225번길 74, 가동(일부) (식사동)",경기도 고양시 일산동구 식사동 288-20 가동(일부),37.68806578,126.8179533
동양강철도스퍼니처,일반,0,479,5,소기업,2023-07-26,관리지역/계획관리지역,공장용지,금속 가구 제조업,"32091, ","침대,책장",해당없음,해당없음,무,0,0,0,0,031-901-9140,031-8010-1070,10317,"경기도 고양시 일산동구 견달산로225번길 74, 가동(일부) (식사동)",경기도 고양시 일산동구 식사동 288-20 가동(일부),37.68806578,126.8179533
선한산업,일반,1521,829.64,15,소기업,2009-07-13,관리지역/계획관리지역,공장용지,금속 가구 제조업,"32091, ","철제침대,탁자",해당없음,해당없음,무,0,0,0,0,031-923-1414,031-921-2831,10204,경기도 고양시 일산서구 덕산로65번길 21 (구산동),경기도 고양시일산서구 구산동 4번지,37.69558862,126.7118963
주식회사 리얼시스템,일반,0,299.48,2,소기업,2024-06-27,관리지역/계획관리지역,공장용지,금속 가구 제조업,"32091, ",금속 파티션 ,해당없음,해당없음,무,0,0,100,0,031-967-1259,,10260,"경기도 고양시 일산동구 공릉천로71번길 38-31, 가동 1층 (사리현동)",경기도 고양시 일산동구 사리현동 252-21 가동 1층,37.7020098,126.8434628
주식회사 아주티앤티,일반,396,396,3,소기업,2024-09-04,관리지역/계획관리지역,대,금속 가구 제조업,"32091, ",주방가구,해당없음,해당없음,무,0,0,40,0,031-903-4840,031-903-4841,10253,"경기도 고양시 일산동구 장진천길 88-11, 가동 (설문동)",경기도 고양시 일산동구 설문동 226-1 가동,37.71553234,126.8107805
한국금속,일반,1436,510,8,소기업,2008-09-08,관리지역/계획관리지역,공장용지,금속 가구 제조업,"32091, ",금속인테리어,해당없음,해당없음,무,0,0,0,0,031-966-1122,031-966-1144,10256,경기도 고양시 일산동구 지영로194번길 79-10 (지영동),경기도 고양시일산동구 지영동 333번지,37.71155451,126.8305924
규성통상(주),일반,273,273,8,소기업,2012-12-20,도시지역/주거지역/준주거지역,대,"근무복, 작업복 및 유사의복 제조업 외 4 종","14192, 13221, 14111, 14112, 14199",봉제의복제조업,해당없음,해당없음,무,0,0,305,50,031-909-7760,031-909-7761,10442,"경기도 고양시 일산동구 일산로 142 (백석동, 유니테크빌)",경기도 고양시 일산동구 백석동 1141-2번지,37.64990508,126.7936807
(주)세원에프앤디,일반,0,198,7,소기업,2023-09-18,도시지역/주거지역/제1종일반주거지역,대,"근무복, 작업복 및 유사의복 제조업 외 3 종","14192, 14111, 14112, 14191",봉제업,해당없음,해당없음,무,0,0,0,0,031-901-0803,02-387-1803,10465,"경기도 고양시 덕양구 충장로475번길 14-5, 401호 일부(성사동, 효동상가)",경기도 고양시 덕양구 성사동 415-6 효동상가 401호 일부,37.65482891,126.8424614
쎈텐학생복고양점(아노스타트),일반,0,273,9,소기업,2015-05-27,도시지역/주거지역/준주거지역,대,"근무복, 작업복 및 유사의복 제조업 외 2 종","14192, 14111, 14112",교복,해당없음,해당없음,무,0,0,0,0,031-901-4088,031-903-4088,10442,"경기도 고양시 일산동구 일산로 142, 3층 302호 (백석동, 유니테크빌)",경기도 고양시 일산동구 백석동 1141-2번지 유니테크빌 3층 302호,37.64990508,126.7936807
(주)세원에프앤디,일반,0,128,9,소기업,2020-04-01,도시지역/주거지역/준주거지역,공장용지,"근무복, 작업복 및 유사의복 제조업 외 10 종","14192, 14111, 14112, 14191, 14193, 14194, 14199, 14300, 14419, 14491, 14499","작업복, 남성복, 여성복, 셔츠, 가죽의복, 아동복 등 각종 의류 및 악세사리",해당없음,해당없음,무,0.06,0,50,0,031-901-0803,02-387-1803,10594,경기도 고양시 덕양구 통일로 140 (동산동) 에이동 4층 458호,경기도 고양시 덕양구 동산동 376-0 에이동 4층 458호,37.64907029,126.9019009
주식회사 보보에프엔씨,일반,0,153.35,12,소기업,2014-05-29,도시지역/주거지역/제1종일반주거지역,대,"근무복, 작업복 및 유사의복 제조업 외 10 종","14192, 13229, 14111, 14112, 14191, 14194, 14199, 14300, 14491, 14499, 15190","유니폼, 근무복,작업복",해당없음,해당없음,무,0,0,40,0,02-3443-6898,02-3443-6897,10511,"경기도 고양시 덕양구 지도로124번길 30, 미덕상가 지하1층 (토당동)",경기도 고양시 덕양구 토당동 893-1번지 미덕상가 지하1층,37.62788694,126.8246912
(주)한올세이프티,일반,328.22,328.22,8,소기업,2025-05-20,도시지역/주거지역/준주거지역/지구단위계획구역,대,"근무복, 작업복 및 유사의복 제조업","14192, ",안전복,,,무,0,0,40,,02-6958-7726,,10545,"경기도 고양시 덕양구 향동로 201, 1056호  (향동동) 1056호",경기도 고양시 덕양구 향동동 394 1056호 1056호,37.60741278,126.8917434
에스엔티,일반,0,76.76,3,소기업,2023-09-22,도시지역/주거지역/준주거지역/지구단위계획구역,대,"근무복, 작업복 및 유사의복 제조업","14192, ","운동복, 체육복",해당없음,해당없음,무,0,0,,,,,10366,"경기도 고양시 일산서구 중앙로 1371, 1층 76-1호(주엽동, 강선마을13단지아파트)",경기도 고양시 일산서구 주엽동 81 강선마을13단지아파트 1층 76-1호,37.66619748,126.7665182
이엠씨스포츠,일반,89.3,89.3,0,소기업,2024-07-23,도시지역/주거지역/준주거지역/지구단위계획구역,대,"근무복, 작업복 및 유사의복 제조업","14192, ",남여운동복,해당없음,해당없음,무,0,0,35,0,031-903-2649,031-902-7500,10305,"경기도 고양시 일산동구 숲속마을로 14-15, 제7층 제701호(풍동, 일산 드림월드)",경기도 고양시 일산동구 풍동 1276-1 일산 드림월드 제7층 제701호,37.66776179,126.8014939
대성오토,일반,855,551.81,10,소기업,2013-02-06,관리지역/계획관리지역,대,그 외 자동차용 신품 부품 제조업 외 3 종,"30399, 30391, 30392, 30400",자동변속기 재제조,해당없음,해당없음,무,0,0,0,0,031-921-8801,031-921-8857,10318,경기도 고양시 일산동구 성석로 214 (성석동),경기도 고양시 일산동구 성석동 729-2번지,37.6959532,126.7981329
태일정공,일반,1975,1974.34,35,소기업,2011-10-28,관리지역/계획관리지역,공장용지,그 외 자동차용 신품 부품 제조업 외 3 종,"30399, 30391, 30392, 30400",조향장치,해당없음,해당없음,무,0.01,0,0,0,031-977-8630,,10252,경기도 고양시 일산동구 은마길 31-54 (성석동),경기도 고양시일산동구 성석동 520번지,37.71064174,126.805244
(주)도모코리아,일반,0,592.8,5,소기업,2018-09-19,국토이용용도지역기타,창고용지,그 외 자동차용 신품 부품 제조업,"30399, ",자동차용 허브 베어링(자동차용 허브 앗세이),해당없음,해당없음,무,0,0,100,0,031-975-1505,031-977-1505,10257,경기도 고양시 일산동구 문봉길62번길 32-30 (문봉동),경기도 고양시 일산동구 문봉동 200,37.70746221,126.8179571
(주)문인테크,일반,412,445.68,18,소기업,2022-01-25,관리지역/계획관리지역,대,그 외 기타 플라스틱 제품 제조업 외 3 종,"22299, 22221, 25929, 25999","문풍지아, 계단논슬립, 다용도u자형 모서리보호대(플라스틱제), 벽 피복재",해당없음,해당없음,무,0,0,50,0,031-932-9321,031-932-9322,410560,,경기도 고양시 일산동구 문봉동 44-25 가동 1층 전체 외 1필지,,
오앤피(주),일반,128.43,128.43,5,소기업,2016-02-25,도시지역/주거지역/준주거지역,대,그 외 기타 플라스틱 제품 제조업 외 3 종,"22299, 22222, 31991, 33999",위생마스크,해당없음,해당없음,무,0.1,0,350,0,02-395-1714,02-395-1712,10594,"경기도 고양시 덕양구 통일로 140, (동산동, 삼송테크노밸리) 비동 3층 353호",경기도 고양시 덕양구 동산동 376번지 삼송테크노밸리 비동 3층 353호,37.64907029,126.9019009
(주)썩세스,일반,0,688.8,18,소기업,2018-12-27,관리지역/계획관리지역,공장용지,그 외 기타 플라스틱 제품 제조업 외 1 종,"22299, 22249",플라스틱 절삭가공품,해당없음,해당없음,무,0,0,2000,0,031-905-6424,031-905-6425,10246,경기도 고양시 일산동구 고봉로 557 (성석동),경기도 고양시 일산동구 성석동 2188-0,37.7080051,126.7833618
(주)지구마그넷,일반,710,637.1,5,소기업,2010-11-15,관리지역/계획관리지역,공장용지,그 외 기타 플라스틱 제품 제조업 외 1 종,"22299, 18129",유아교구,해당없음,해당없음,무,0,0,30,0,031-969-8062,031-969-8063,10260,경기도 고양시 일산동구 공릉천로133번길 41-34 (사리현동),경기도 고양시일산동구 사리현동 263-3번지,37.70307249,126.8449282
(주)한국경사로,일반,3290.7,660.17,9,소기업,2023-11-14,관리지역/계획관리지역,공장용지,그 외 기타 플라스틱 제품 제조업 외 1 종,"22299, 25112","알루미늄 경사로, 플라스틱 경사로 ",해당없음,해당없음,무,0,0,0,0,031-901-4050,031-905-4107,10260,"경기도 고양시 일산동구 공릉천로187번길 36-13, 2,3,4,7(일부)동 (사리현동)","경기도 고양시 일산동구 사리현동 379-16 2,3,4,7(일부)동",37.70944352,126.8414572
(주)굿센스,일반,0,371.6,42,소기업,2007-07-26,관리지역/계획관리지역,공장용지,그 외 기타 플라스틱 제품 제조업,"22299, ",흡착판,해당없음,해당없음,무,0,0,0,0,031-912-3786,031-912-3788,10212,"경기도 고양시 일산서구 송포백송길 93, 2층 (덕이동)",경기도 고양시일산서구 덕이동 954번지 2층호,37.69152902,126.73738
(주)삼지매트,일반,0,197.6,9,소기업,2018-06-21,관리지역/계획관리지역,공장용지,그 외 기타 플라스틱 제품 제조업,"22299, ",PVC매트 등,해당없음,해당없음,무,0,0,190,0,031-963-4156,031-963-4158,10250,"경기도 고양시 일산동구 고봉로658번길 170, 가동 (성석동)",경기도 고양시 일산동구 성석동 541-1번지 가동,37.71088235,126.7956663
(주)세움티엔티,일반,832,330,9,소기업,2010-10-05,관리지역/계획관리지역,공장용지,그 외 기타 플라스틱 제품 제조업,"22299, ",안전삼각대,해당없음,해당없음,무,0,0,0,0,031-976-7113,031-918-7116,410550,경기도 고양시일산동구 설문동 575-7번지,경기도 고양시일산동구 설문동 575-7번지,37.72343119,126.8021516
(주)우일프라텍,일반,2244,2137.43,19,소기업,2011-05-31,관리지역/계획관리지역,전,그 외 기타 플라스틱 제품 제조업,"22299, ",플라스틱제품,해당없음,해당없음,무,30,0,100,0,031-963-8110,031-963-8130,10313,경기도 고양시 일산동구 견달산로369번길 179 (문봉동),경기도 고양시일산동구 문봉동 284-1번지,37.69427593,126.8133026
대륙,일반,196.2,195,4,소기업,2005-11-22,관리지역/계획관리지역,공장용지,그 외 기타 플라스틱 제품 제조업,"22299, ",악세사리,해당없음,해당없음,무,0,0,0,0,02-386-8105,02-358-5230,10262,"경기도 고양시 덕양구 통일로1031번길 366-16, 나동 (내유동)",경기도 고양시 덕양구 내유동 379-1 나동,37.71691689,126.8433313
상원화학,일반,1325,446.17,6,소기업,2006-03-15,관리지역/관리지역기타,잡종지,그 외 기타 플라스틱 제품 제조업,"22299, ",플라스틱성형제품,해당없음,해당없음,무,0,0,0,0,031-969-3643,031-969-3893,10260,경기도 고양시 일산동구 공릉천로175번길 93-107 (사리현동),경기도 고양시 일산동구 사리현동 294-32번지,37.70138009,126.8404509
세진기업,일반,0,294.3,2,소기업,2008-07-08,관리지역/계획관리지역,잡종지,그 외 기타 플라스틱 제품 제조업,"22299, ",악기부품,해당없음,해당없음,무,0,0,0,0,031-975-9468,031-975-9467,10251,경기도 고양시 일산동구 성현로135번안길 117-36 (성석동),경기도 고양시 일산동구 성석동 1043-20번지,37.71346604,126.798172
와이에이치메드(YHMED),일반,0,495,2,소기업,2024-05-30,도시지역/주거지역/제1종일반주거지역,공장용지,그 외 기타 플라스틱 제품 제조업,"22299, ","에어방석, 에어매트리스",해당없음,해당없음,무,0,0,400,0,,,10539,경기도 고양시 덕양구 중앙로46번길 74 (덕은동),경기도 고양시 덕양구 덕은동 7,37.5966807,126.8818848
이지비지니스,일반,263.55,263.55,3,소기업,1998-10-23,도시지역/주거지역/준주거지역,대,그 외 기타 플라스틱 제품 제조업,"22299, ",물걸레청소기,해당없음,해당없음,무,0,0,0,0,031-907-5697,031-907-5137,10442,"경기도 고양시 일산동구 일산로 142, 926호 (백석동)",경기도 고양시 일산동구 백석동 1141-2번지,37.64990508,126.7936807
진양,일반,1350,1218.4,7,소기업,2008-07-23,관리지역/계획관리지역,공장용지,그 외 기타 플라스틱 제품 제조업,"22299, ",블라인드부속외,해당없음,해당없음,무,0,0,0,0,031-932-7757,031-932-7759,10432,경기도 고양시 일산동구 장항로 203-60 (장항동),경기도 고양시일산동구 장항동 601-9번지,37.63760111,126.7742346
진흥기업,일반,1711,670.2,1,소기업,2011-05-31,관리지역/계획관리지역,대,그 외 기타 플라스틱 제품 제조업,"22299, ",플라스틱제품,해당없음,해당없음,무,0,0,0,0,,,10257,경기도 고양시 일산동구 문봉길 44-80 (문봉동),경기도 고양시 일산동구 문봉동 173-1번지,37.70529849,126.8209832
케이에스(KS)산업,일반,667,196.9,3,소기업,2023-12-06,관리지역/계획관리지역,대,그 외 기타 플라스틱 제품 제조업,"22299, ","폴리카보네이트 가림막, 캐노피",해당없음,해당없음,무,0,0,0,0,02-353-3393,02-3158-2304,10200,경기도 고양시 일산서구 송산로 43 (구산동),경기도 고양시 일산서구 구산동 1519-18,37.68348664,126.6844544
태양기업,일반,0,196.2,2,소기업,2016-01-13,관리지역/계획관리지역,공장용지,그 외 기타 플라스틱 제품 제조업,"22299, ",의류부자재,해당없음,해당없음,무,0,0,0,0,031-964-2861,031-964-2860,10262,"경기도 고양시 덕양구 통일로1031번길 366-16, 가동 (내유동)",경기도 고양시 덕양구 내유동 379-1번지 가동,37.71691689,126.8433313
산하기술주식회사,일반,0,213,4,소기업,2008-07-22,도시지역/주거지역/준주거지역,대,그 외 기타 특수목적용 기계 제조업 외 12 종,"29299, 16102, 23112, 23119, 23911, 23919, 25995, 25999, 28422, 28423, 28429, 29261, 33910","포토샌드블래스터, 건축용 내외장재, 비석용사진조각,유리소재 식각제품 LED조명 등",해당없음,해당없음,무,0,0,0,0,031-901-7155,031-901-7156,10442,경기도 고양시 일산동구 일산로 142 (백석동) 4층 424호 외 1필지,경기도 고양시 일산동구 백석동 1141-2 4층 424호 외 1필지,37.64990508,126.7936807
(주)브이씨씨케이(VCCK),일반,0,174.17,7,소기업,2006-04-26,도시지역/주거지역/준주거지역/지구단위계획구역,대,그 외 기타 특수목적용 기계 제조업 외 1 종,"29299, 29261",바닥세정기,해당없음,해당없음,무,0,0,0,0,031-907-1588,031-903-1392,10442,"경기도 고양시 일산동구 일산로 138,일산테크노타운 1003-6호(관리호수:1021호) (백석동)",경기도 고양시 일산동구 백석동1141-1번지,37.65078501,126.7946246
(주)에쓰에이치엠,일반,3348,1777.5,18,소기업,2007-03-15,관리지역/계획관리지역,공장용지,그 외 기타 특수목적용 기계 제조업 외 1 종,"29299, 29261",라미네이팅기,해당없음,해당없음,무,0,0,0,0,031-965-2371,031-965-2373,10259,경기도 고양시 일산동구 사리현로 203-14 (사리현동),경기도 고양시 일산동구 사리현동 498-8번지,37.6943005,126.8396969
(주)진성기계,일반,1729,864.79,9,소기업,2017-01-18,관리지역/계획관리지역,공장용지,그 외 기타 특수목적용 기계 제조업 외 1 종,"29299, 29261",기계장치 제조,해당없음,해당없음,무,0,0,0,0,031-923-6611,031-923-6612,10254,경기도 고양시 일산동구 공릉천로473번길 78 -21(설문동),경기도 고양시 일산동구 설문동 43-17,37.72116046,126.8207703
명성진공(주),일반,273,273,7,소기업,1999-08-10,도시지역/주거지역/준주거지역,대,그 외 기타 특수목적용 기계 제조업 외 1 종,"29299, 29261",진공증착기,해당없음,해당없음,무,0,0,0,0,031-904-1502,031-904-1505,10442,"경기도 고양시 일산동구 일산로 142, 624호 (백석동)",경기도 고양시 일산동구 백석동 1141-2번지,37.64990508,126.7936807
주식회사 디앤에스산업,창업,0,101.33,3,소기업,2025-03-14,도시지역/주거지역/준주거지역/지구단위계획구역,대,그 외 기타 특수목적용 기계 제조업 외 1 종,"29299, 26294","소변감지기, 감지 장치",,,무,0,0,,,02-710-5638,0504-476-7041,10545,"경기도 고양시 덕양구 향동로 218,  (향동동) 비동 2층 210호",경기도 고양시 덕양구 향동동 396 비동 2층 210호,37.60821834,126.8941501
지성기계공업,일반,4024,1827.73,26,소기업,2005-06-01,관리지역/계획관리지역,공장용지,그 외 기타 특수목적용 기계 제조업 외 1 종,"29299, 29261",라미네이팅기계,5종,해당없음,유,0,0,0,0,031-963-2161,031-965-0160,10317,경기도 고양시 일산동구 견달산로225번길 26-88 (식사동) 외 2필지,경기도 고양시일산동구 식사동 276-5번지 외 2필지,37.68991485,126.816632
(주)앤알비,일반,0,198,5,소기업,2020-01-20,관리지역/계획관리지역,대,그 외 기타 특수목적용 기계 제조업,"29299, ",음식물처리기(교반기 포함),해당없음,해당없음,무,0.01,0,50,0,031-915-2700,031-911-4152,10204,경기도 고양시 일산서구 덕산로57번길 68 -1(구산동) 제가동,경기도 고양시 일산서구 구산동 254-11 제가동,37.6981773,126.7094868
(주)한국웰테크,일반,0,546,4,소기업,1998-12-17,도시지역/주거지역/준주거지역,대,그 외 기타 특수목적용 기계 제조업,"29299, ",기계류 가공품,해당없음,해당없음,무,0.2,0,100,0,031-907-7011,031-902-7011,10442,"경기도 고양시 일산동구 일산로 142, 8층 823 (백석동) 외 1필지",경기도 고양시 일산동구 백석동 1141-2번지 8층 823 외 1필지,37.64990508,126.7936807
유림카보란담,일반,0,563.7,5,소기업,1998-12-19,관리지역/계획관리지역,공장용지,그 외 기타 콘크리트 제품 및 유사제품 제조업,"23329, ",MgO Bobbin,해당없음,해당없음,무,0.01,0.01,119,0,031-969-1377,031-969-1378,10265,경기도 고양시 덕양구 고골길264번길 10 (대자동) (총 2 필지) 외 1필지,경기도 고양시 덕양구 대자동 713-4번지 외 1필지,37.72080912,126.8779614
번영테이프(주),일반,1991,1069.4,12,소기업,2003-04-09,관리지역/계획관리지역,공장용지,그 외 기타 종이 및 판지 제품 제조업,"17909, ",인쇄용 스티커,5종,해당없음,유,0,0,0,0,02-2268-3804,,10256,경기도 고양시 일산동구 지영로194번길 103 (지영동),경기도 고양시일산동구 지영동 355-1번지,37.71044375,126.8302166
주식회사 디케이글로벌제약,일반,56,56,1,소기업,2025-10-21,관리지역/계획관리지역,공장용지,그 외 기타 종이 및 판지 제품 제조업,"17909, ",스티커,,,무,0,0,10,,,,10252,"경기도 고양시 일산동구 성현로 155-34, A동 일부 (성석동)",경기도 고양시 일산동구 성석동 534 A동 일부,37.70959645,126.8037562
주)센서라인,일반,1346.03,48,7,소기업,2011-02-15,도시지역/상업지역/근린상업지역,대,그 외 기타 전자부품 제조업 외 6 종,"26299, 26294, 26329, 26410, 26421, 26519, 28901","감지기,CCTV,녹화장치,출입통제,LPR,주차관제",해당없음,해당없음,무,0,0,30,0,031-908-8562,031-815-0174,10401,"경기도 고양시 일산동구 호수로 646-24, 위너스21빌딩408 (장항동)",경기도 고양시 일산동구 장항동 756-2번지,37.65970709,126.7678292
(주)이에이치,일반,0,32.1,4,소기업,2023-03-14,도시지역/주거지역/준주거지역,대,그 외 기타 전자부품 제조업 외 1 종,"26299, 26429","전자회로용 스위치 및 릴레이 제조(26429), 트랜시버(transceiver, 휴대용 무선기) 제조(무선)(26299)",해당없음,해당없음,무,0,0,150,0,031-974-2848,031-974-2849,412040,경기도 고양시 덕양구 원흥동 704번지 1동 6층 612호 외 1필지,경기도 고양시 덕양구 원흥동 704번지 1동 6층 612호 외 1필지,,
(주)정은전자,일반,74.1,74.1,5,소기업,2012-04-13,도시지역/주거지역/제1종일반주거지역,대,그 외 기타 전자부품 제조업 외 1 종,"26299, 26294",어댑터,해당없음,해당없음,무,0,0,50,,031-969-8822,,10406,"경기도 고양시 일산동구 일산로358번길 53, 지하1층 (정발산동)",경기도 고양시 일산동구 정발산동 1352-7번지 지하1층,37.66838677,126.7854551
(주)태양경보시스템,일반,530.96,530.96,8,소기업,2004-07-16,도시지역/주거지역/준주거지역,대,그 외 기타 전자부품 제조업 외 1 종,"26299, 26294","방범,방재,통신기기",해당없음,해당없음,무,0,0,0,0,031-908-0497,031-908-0498,10442,"경기도 고양시 일산동구 일산로 142, 910호 (백석동)",경기도 고양시 일산동구 백석동 1141-2번지,37.64990508,126.7936807
(주)클린아이디어,일반,0,396,32,소기업,2018-07-31,관리지역/계획관리지역,공장용지,그 외 기타 전기장비 제조업 외 1 종,"28909, 28511",초음파 세척기,해당없음,해당없음,무,0,0,136,0,1800-9629,032-232-6617,10251,경기도 고양시 일산동구 성현로135번길 75 (성석동) A동 B동,경기도 고양시 일산동구 성석동 1033-4 A동 B동,37.71108974,126.7987049
(주)케세코,일반,357.28,357.28,3,소기업,2018-03-07,도시지역/주거지역/준주거지역,대,그 외 기타 전기장비 제조업,"28909, ",전기절감기,해당없음,해당없음,무,0.1,0,678,0,031-932-1185,031-932-1186,410360,"경기도 고양시 일산동구 일산로 138 (백석동, 일산테크노타운) 공장동 8층 801-5호",경기도 고양시 일산동구 백석동  1141-1번지 공장동 8층 801-5호,37.65011136,126.7950164
(주)태건비에프,일반,2825,2136.64,53,소기업,2013-11-04,관리지역/계획관리지역,공장용지,그 외 기타 전기장비 제조업,"28909, ",건설현장용 분전반,해당없음,해당없음,무,1.5,0,300,300,031-923-6400,031-923-7600,10204,경기도 고양시 일산서구 구산동  277  외 1필지,경기도 고양시 일산서구 구산동  277  외 1필지,37.69662654,126.7094125
