회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품,주원자재
주식회사 기영푸드밀,"경기도 의왕시 고래들길 35-4, 2층 (오전동)",경기도 의왕시 오전동 129-6 2층,천연 및 혼합조제 조미료 제조업,031-427-7971,,10,복합조미식품,분말
주식회사 나옴,"경기도 의왕시 오봉산단3로 25, 604호, 605호, 606호 (삼동)","경기도 의왕시 삼동 745 604호, 605호, 606호",산업처리공정 제어장비 제조업 외 1 종,031-462-1709,031-462-1710,10,실외용 공기정화장치,"필터, PVC 등"
주식회사 남전엔지니어링,"경기도 의왕시 광진말로 54, C동 7층 732호  (초평동)",경기도 의왕시 초평동 16-6 C동 7층 732호,교통 신호장치 제조업 외 2 종,032-673-2456,032-673-2457,3,"조명제어장치, 도로표지병","LED패키지, 컨버터, 외함"
주식회사 네오셈,"경기도 의왕시 오봉산단3로 32, 1 ~ 2층 (삼동)",경기도 의왕시 삼동 731 1 ~ 2층,"전자기 측정, 시험 및 분석기구 제조업",031-8091-0853,031-8091-8850,28,반도체 검사장비,"IC, 챔버"
주식회사 넥스텐,"경기도 의왕시 오전공업길 22, 7층 701 (오전동, 동영벤처스텔)",경기도 의왕시 오전동 172번지 동영벤처스텔 7층 701,기타 가정용 전기기기 제조업,050-5340-1111,070-4725-0606,1,전자제품,
주식회사 노아코리아,"경기도 의왕시 고산로 74, 8층 801 (고천동, 성진아파트형공장)",경기도 의왕시 고천동 407-1번지 성진아파트형공장 8층 801,산업용 냉장 및 냉동 장비 제조업,070-8789-1122,050-4412-7760,2,폐열활용 냉온식 히트펌프,
주식회사 대경산업,"경기도 의왕시 한밭들2길 3, 1,2층(고천동, 에이치엔티정밀)","경기도 의왕시 고천동 332-46 에이치엔티정밀 1,2층",기타 기계.장비 조립용 플라스틱 제품 제조업,031-455-3021,031-459-3005,18,PLC 사출 제품,"PC, ABS"
주식회사 더홈테크,"경기도 의왕시 광진말로 54, B동 8층 829호  (초평동)",경기도 의왕시 초평동 16-6 B동 8층 829호,그 외 기타 의료용 기기 제조업,031-8058-8123,031-8058-8124,5,"이동식 목욕의자, 초경량 카본목발",조립부품
주식회사 동영에프에이,"경기도 의왕시 이미로 40, A동 923호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 A동 923호,"전기회로 개폐, 보호장치 제조업",031-429-2816,031-688-8901,4,액츄에이터 밸브,"공압실린더, 솔레노이드 밸브 "
주식회사 동인시스템,"경기도 의왕시 광진말로 54, A동 8층 824호 (초평동) 외 1필지",경기도 의왕시 초평동 16-6 A동 8층 824호,교통 신호장치 제조업 외 6 종,,,10,"교통신호제어기, 버스정보안내단말기, 전광판","CPU, SCU, LED 모듈, ECM, LOOP"
주식회사 디에스네트웍스,경기도 의왕시 성고개로 53 (포일동) 에이스청계타워,경기도 의왕시 포일동 657-2 에이스청계타워,유선 통신장비 제조업,070-4911-8952,0505-009-8952,3,EM-LOCK(DS-28),"흡착정기정, 브라켓"
주식회사 디원라이트,경기도 의왕시 경수대로 413-1 (오전동),경기도 의왕시 오전동 36-4,전구 및 램프 제조업 외 3 종,031-427-5750,031-8057-6785,16,"LED 조명, LED 조명, LED 조명, LED 조명","LED모듈, LED PCB, LED Package, 외함, 확산커버, 컨버터, 전선, 나사"
주식회사 랜드파크,경기도 의왕시 왕림길 45 (왕곡동),경기도 의왕시 왕곡동 184-1번지,일반 제재업 외 10 종,031-687-3358,070-8668-3358,5,"목재덱, 디자인형울타리, 차양, 파라솔 외",목재 외
주식회사 레온테크놀로지,경기도 의왕시 한밭들1길 11 (고천동) B동 4층 402-2호,경기도 의왕시 고천동 332-33,전자부품 실장기판 제조업,031-458-3500,031-458-4700,6,PCB외주가공 제품,"PCB, 칩 및 이형자재, 무연납"
주식회사 롭스,"경기도 의왕시 오봉산단1로 12, 8층 830호 (이동)",경기도 의왕시 이동 732 8층 830호,철도차량 부품 및 관련 장치물 제조업,031-8085-2890,,4,"레일마모계측장치, 레벨거리계측장치","ABS, PLA"
주식회사 루체캐슬,"경기도 의왕시 오봉산단1로 12, 12층 1235, 1236호 (이동)","경기도 의왕시 이동 732 12층 1235, 1236호",정형외과용 및 신체보정용 기기 제조업,031-477-8648,,4,치과 교정용 브라켓,세라믹
주식회사 루펜,"경기도 의왕시 이미로 40, C동 9층 916 (포일동)",경기도 의왕시 포일동 653번지 C동 9층 916,가전제품 수리업 외 4 종,031-8084-3724,,6,"음식물처리기,LED랜턴,UV살균기",
주식회사 리움,"경기도 의왕시 이미로 40, B동 1층 104 (포일동)",경기도 의왕시 포일동 653번지 B동 1층 104,광섬유 케이블 제조업 외 3 종,041-415-2789,041-422-2289,7,IT주변기기,
주식회사 리페코,"경기도 의왕시 맑은내길 67 (오전동) (주)에이엘티지식산업센터 205호, 305호, 601호, 602호, 603호",경기도 의왕시 오전동 150-24 (주)에이엘티지식산업센터,기타 직물제품 제조업,031-477-2888,031-477-3888,17,"마스크, 면마스크",부직포
주식회사 매스컨,"경기도 의왕시 오전공업길 19 (오전동, 대현테크노월드) 1동 5층 509호",경기도 의왕시 오전동 174번지,그 외 기타 달리 분류되지 않은 제품 제조업,031-360-8441,031-360-8442,4,방향제 및 탈취제,에센셜오일
주식회사 미모코리아,"경기도 의왕시 오전공업길 19, 711호(오전동, 대현테크노월드)",경기도 의왕시 오전동 174 대현테크노월드 711호,컴퓨터 모니터 제조업,031-462-0290,0303-0943-0293,2,USB 터치스크린 모니터,"LCD, 터치패널, PCB, 사출 등"
주식회사 바이솔라,경기도 의왕시 이미로 40 (포일동) A동 9층 921호,경기도 의왕시 포일동 653번지,그 외 기타 달리 분류되지 않은 제품 제조업,02-6925-7408,,7,자연채광시스템,"반사판, 프로파일"
주식회사 백년기술,"경기도 의왕시 광진말로 54, 의왕스마트시티 퀀텀 (초평동) B동 6층 619~620호",경기도 의왕시 초평동 16-6 의왕스마트시티 퀀텀,"물질 검사, 측정 및 분석기구 제조업 외 2 종",031-8058-8058,031-8058-8282,28,수질자동측정기,"측정기 케이스, 측정기 부품, 측정기 PC,모니터"
주식회사 볼드어쿠스틱스,"경기도 의왕시 이미로 40, C동 9층 906 (포일동)",경기도 의왕시 포일동 653번지 C동 9층 906,"라디오, 녹음 및 재생 기기 제조업 외 1 종",031-689-5523,0505-300-5523,3,"구내방송장치, 스피커","에미터, 하우징"
주식회사 브리츠테크놀로지,"경기도 의왕시 이미로 40, C동 1층 109호(포일동, 인덕원IT밸리) 외 3필지",경기도 의왕시 포일동 653 인덕원IT밸리 C동 1층 109호,기타 전기 변환장치 제조업,042-1855-2815,042-367-5580,45,전기차 충전기,"금속함체, 전자회로 보드, 케이블, 커넥터, 디스플레이 장치, 릴레이 차단기"
주식회사 비젼바이오,"경기도 의왕시 경수대로 257, 10층 5호(고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2 대영골든밸리 10층 5호,화장품 제조업 외 5 종,031-453-4529,031-453-4530,3,"악취지존, 탈취지왕, 악취평정",천연 HNC
주식회사 비티엠,"경기도 의왕시 오봉산단1로 12, 611호(이동) 외 3필지",경기도 의왕시 이동 732 611호,반도체 제조용 기계 제조업,031-429-1741,,6,생산자동화 설비,"로봇, 센서, 공압부품 외"
주식회사 삼진정밀,"경기도 의왕시 한밭들길 17 (고천동, 미주정밀(주))",경기도 의왕시 고천동 405-8번지,주형 및 금형 제조업,031-456-0584,031-456-0589,16,플라스틱 사출 금형,금형
주식회사 삼화,경기도 의왕시 오전공업길 14 (오전동),경기도 의왕시 오전동 191번지,포장용 플라스틱 성형용기 제조업 외 1 종,031-428-0100,02-830-1188,249,플라스틱 성형용기,"폴리에틸렌(PE), 폴리프로필렌(PP)"
주식회사 삼화,"경기도 의왕시 맑은내길 78-13(오전동, 하남PTC)",경기도 의왕시 오전동 184-7 하남PTC,포장용 플라스틱 성형용기 제조업,031-428-0113,031-445-1188,80,화장품용기,"폴리에틸렌, 폴리프로필렌"
주식회사 삼훈,경기도 의왕시 벌모루앞길 27 (포일동),경기도 의왕시 포일동 168-3번지,주형 및 금형 제조업,031-425-3490,031-425-4520,12,금형,철강
주식회사 서안,경기도 의왕시 새터말아랫로 30(이동),경기도 의왕시 이동 218-15,기타 구조용 금속제품 제조업 외 1 종,031-360-3272,0505-340-3272,8,커피슬러지 조성의 합성보드를 활용한 벽면녹화 등,"목재, 금속자재"
주식회사 서연피앤씨,"경기도 의왕시 오봉산단1로 12, 707호(이동)",경기도 의왕시 이동 732 707호,포장용 플라스틱 성형용기 제조업,031-352-3549,031-624-2104,4,화장품 용기,"ABS, SAN, PP"
주식회사 수성레이져,"경기도 의왕시 오전공업길 53(고천동, (주)삼익정공)",경기도 의왕시 고천동 395-3 (주)삼익정공,구조용 금속 판제품 및 공작물 제조업,031-451-8080,031-451-8081,11,레이저 가공품,철판
주식회사 신성메디아,"경기도 의왕시 오전공업길 19, 5층 508, 509 (오전동, 대현테크노월드)","경기도 의왕시 오전동 174번지 대현테크노월드 5층 508, 509",특수 직물 및 기타 직물 직조업,031-429-2728,050-7489-7490,12,"HBC-RING, HBC-MAT",
주식회사 신우,경기도 의왕시 맑은내1길 37 (고천동),경기도 의왕시 고천동 332-35,그 외 기타 플라스틱 제품 제조업,031-423-2171,031-423-2175,0,화장품 용기,화장품 용기
주식회사 아이노스월드,"경기도 의왕시 이미로 40, A동 6층 608호 (포일동)",경기도 의왕시 포일동 653번지 A동 6층 608호,화장품 제조업,031-269-8510,031-269-7241,3,화장품원료,Hydramax 외
주식회사 아이니어,"경기도 의왕시 오봉산단3로 25, 15층 8호(삼동)",경기도 의왕시 삼동 745 15층 8호,"사진기, 영사기 및 관련 장비 제조업 ",031-461-1125,031-461-1127,3,안경렌즈 관련 장비,알루미늄
주식회사 안지오바이크,"경기도 의왕시 이미로 40, A동 3층 314-1 (포일동)",경기도 의왕시 포일동 653번지 A동 3층 314-1,자전거 및 환자용 차량 제조업 외 1 종,031-8084-3015,031-8084-3016,6,"전기자전거 조립 및 밧데리팩 조립, 제조 및 생산",
주식회사 알에스인,"경기도 의왕시 한밭들1길 11, A동 3층 302-3호 (고천동, 성우벤처빌) 외 6필지",경기도 의왕시 고천동 332-33 성우벤처빌 A동 3층 302-3호,유선 통신장비 제조업 외 1 종,070-4324-3747,070-4324-3747,14,"중계기(유선), 중계기(무선)","PCB, 사출커버, 금속"
주식회사 알엘씨,"경기도 의왕시 오봉산단1로 12, 1038호  (이동)",경기도 의왕시 이동 732 1038호,전자감지장치 제조업 외 9 종,031-8085-2820,,2,"전자감지장치, 변환장치, 전기회로 접속장치, 배전반 및 전기 자동차 제어반, 전시 및 광고용 조명장치, 전기 경보 및 신호장치, 교통 신호장치, 철도차량 부품 및 관련 장치물, 시스템 소프트웨어",전기 전자 부품 등
주식회사 압쎈콤프레샤,"경기도 의왕시 오봉산단3로 25, 1동 418호(삼동)",경기도 의왕시 삼동 745 1동 418호,기체 펌프 및 압축기 제조업,070-7858-6443,,0,공기압축기 제조,"전동기, 압축기"
주식회사 에너킹,"경기도 의왕시 오봉산단3로 25, 1동 5층 517호(삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 5층 517호,기타 전기 변환장치 제조업,031-360-3289,031-525-5268,0,충전기,"철제 케이스, 전자부품"
주식회사 에스피원,경기도 의왕시 성고개로 53 (포일동) 4층 13호,경기도 의왕시 포일동 657-2 4층 13호,교통 신호장치 제조업,031-5177-7060,031-5177-7062,2,주차관제장치,금속 및 전자회로
주식회사 에이비넥소,"경기도 의왕시 이미로 40, C동 8층 810 ~ 813호 (포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 C동 8층 810 ~ 813호,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 1 종",,,23,"항온항습조, 노화환경조성실, 대형온습도환경조성실","금속, 플라스틱"
주식회사 에이스바텍,"경기도 의왕시 오전공업길 19, B1층 04호(오전동, 대현테크노월드)",경기도 의왕시 오전동 174 대현테크노월드 B1층 04호,경 인쇄업,,,13,라벨,"아트지, 유포지, 감열지"
주식회사 에이엠지 아이큐씨,"경기도 의왕시 맑은내길 67, C동 4층 405호 (오전동)",경기도 의왕시 오전동 150-24번지 C동 4층 405호,금속 캔 및 기타 포장용기 제조업,031-427-1748,031-417-1749,47,화장품 용기,플라스틱
주식회사 에프알티,"경기도 의왕시 오봉산단1로 12, 4층 416호 (이동)",경기도 의왕시 이동 732 4층 416호,그 외 기타 달리 분류되지 않은 제품 제조업 외 3 종,031-1544-8716,,1,"발열팩, 방염포 및 기타 직물제품, 파이프가공품, 기타금속가공품, 탭,밸브가공품","생석회, 알루미늄파우더, 하이실리카원단, 직물제품, 밸브, 파이프"
주식회사 연우테크,"경기도 의왕시 월암길 21, 2층(월암동, 주식회사 연우테크)",경기도 의왕시 월암동 350 주식회사 연우테크 2층,수동식 식품 가공기기 및 금속 주방용기 제조업,,,0,"알루미늄 손잡이, 주방 가구",알루미늄
주식회사 예찬,"경기도 의왕시 이미로 40, B동 9층 906호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 B동 9층 906호,포장용 플라스틱 성형용기 제조업,,,5,플라스틱 화장품 펌프용 용기,"PP, LDPE, TPE, PETG"
주식회사 오씨에스솔루션,"경기도 의왕시 오봉산단1로 12, 9층 929호 (이동)",경기도 의왕시 이동 732 9층 929호,전기용 탄소제품 및 절연제품 제조업,031-8085-2783,,1,"철도 절연구분장치, 철도용 단로기, 지중케이블 접속장치","절연재, 절연애자, 연결금구류, 볼트류"
주식회사 오피티코리아,"경기도 의왕시 오봉산단1로 12, 1022호  (이동)",경기도 의왕시 이동 732 1022호,컴퓨터 제조업,,,2,머신비전카메라 컨트롤PC,"그래픽카드, 메인보드, 멀티보드, 통신보드, IO카드, USB포트, LED조명, 평판조명"
주식회사 와이티케이코퍼레이션,"경기도 의왕시 이미로 40, B동 508-1호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 B동 508-1호,"물질 검사, 측정 및 분석기구 제조업 외 1 종",031-8084-3600,,3,"실내외 공기 포집장치, 시료채취장치","반도체 부품, 유량센서, 다이어프램 펌프, 공압피팅부품, 충전용 배터리"
주식회사 우광이앤에스,"경기도 의왕시 오봉산단3로 25, 1동 515호 (삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 515호,일반용 전기 조명장치 제조업,031-462-3836,,2,LED조명기구,"PCB, LED"
주식회사 우주하이테크,"경기도 의왕시 맑은내길 90-4, B,C동(오전동)","경기도 의왕시 오전동 186 B,C동","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",031-429-1180,031-427-1188,30,플라스틱케이스,플라스틱
주식회사 위더스,"경기도 의왕시 이미로 40, A동 821호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 A동 821호,기타 전기 변환장치 제조업,ARS-1855-2815,0504-171-5786,5,"전기차 충전기, 고정형 스탠드폴","pcb보드, 플러그, 본체케이스"
주식회사 유성크린텍,"경기도 의왕시 맑은내1길 35, 2층(고천동, 그린기업)",경기도 의왕시 고천동 332-36 그린기업 2층,그 외 기타 분류 안된 섬유제품 제조업,031-459-4829,031-459-4830,5,극세사 청소용품,극세사 섬유
주식회사 유엑스엔,"경기도 의왕시 오봉산단3로 25, 5층 4호(삼동) 외 1필지",경기도 의왕시 삼동 745 5층 4호,전자감지장치 제조업,02-8580-931,031-888-9063,0,센서제품,Polyimide Film
주식회사 이노트,"경기도 의왕시 이미로 40, B동 5층 504호(포일동, 인덕원IT밸리) 외 2필지",경기도 의왕시 포일동 653 인덕원IT밸리 B동 5층 504호,그 외 기타 의료용 기기 제조업,,,8,의료기기,"박스, 설명서, 플라스틱용기, 노즐, 케이스, 필름반제품"
주식회사 이소아이앤씨,"경기도 의왕시 이미로 40, C동 9층 902 (포일동)",경기도 의왕시 포일동 653번지 C동 9층 902,그 외 기타 분류 안된 섬유제품 제조업,031-8069-8845,031-8069-8846,5,"섬유제품(PREFILTER),나노신소재,항균","RESINS,MESH(Glass Fiber, POLY ESTER)"
주식회사 이엠웨이브,"경기도 의왕시 안양판교로 82, 포일어울림센터 603호(포일동)",경기도 의왕시 포일동 686 포일어울림센터 603호,기타 무선 통신장비 제조업 외 1 종,070-5066-0510,070-7547-0510,0,EM-TL30KLR,"LTE 모듈, RTK 모듈"
주식회사 이온케어스,경기도 의왕시 오봉산단3로 42 (삼동) 3층,경기도 의왕시 삼동 726-0,그 외 기타 의료용 기기 제조업,031-647-0095,031-647-0094,11,"알칼리이온수생성기, 샤워기, 필터 외","전극, pcb, 사출물, pp"
주식회사 이티이엔씨,"경기도 의왕시 오봉산단1로 12, 10층 1005호 (이동)",경기도 의왕시 이동 732 10층 1005호,배전반 및 전기 자동제어반 제조업,070-7537-0878,,10,"자동제어반, 제어판넬","컨트롤러, 판넬"
주식회사 인더케그,"경기도 의왕시 오봉산단3로 25, 5층 11호(삼동)",경기도 의왕시 삼동 745 5층 11호,주방용 전기기기 제조업,02-529-0063,02-529-0065,9,스마트케그,oem
주식회사 인셋,"경기도 의왕시 오전공업길 19, 12층 1203호 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174 대현테크노월드 12층 1203호,유선 통신장비 제조업,031-4001-3562,031-735-3538,5,네비게이션 연동장치,"PCB, 케이블"
주식회사 임펙 엔터프라이즈,경기도 의왕시 오봉산단1로 46 (이동),경기도 의왕시 이동 743-0,그 외 기타 특수목적용 기계 제조업 외 1 종,031-477-8401,031-477-8404,12,PCB ROUTER SYSTEM,pcb
주식회사 입실론엑스,경기도 의왕시 오봉산단3로 25 (삼동) 419호,경기도 의왕시 삼동 745-0,축전지 제조업,,,4,배터리팩,"배터리 셀, 캐퍼시터 셀"
주식회사 정일피엔티,"경기도 의왕시 맑은내길 90-12, 1,4층(오전동, 정일금형정공주식회사)","경기도 의왕시 오전동 184-8 정일금형정공주식회사 1,4층",그 외 기타 전자부품 제조업,,,8,전자제품,플라스틱 사출품
주식회사 지어스,"경기도 의왕시 오봉산단3로 25, 1동 1215호 (삼동, 의왕테크노파크 더리브 비즈원) 1동 1215호",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 1215호 1동 1215호,유선 통신장비 제조업,070-4267-8238,,0,통신결재단말기,"MCU 등 전자부품, PCB, 케이블"
주식회사 지플렉스,"경기도 의왕시 오봉산단1로 12, 7층 4호(이동)",경기도 의왕시 이동 732 7층 4호,기타 1차 비철금속 제조업,031-399-5355,,3,비철금속 절단품,니켈
주식회사 청해엘엔에스,"경기도 의왕시 이미로 40, D동 1층 101호 (포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 D동 1층 101호,전시 및 광고용 조명장치 제조업,,,9,안내전광판,"LED모듈, 제어보드, 전력기자재"
주식회사 카루소,"경기도 의왕시 이미로 40, B동 4층 407-1, 407-4 (포일동)","경기도 의왕시 포일동 653번지 B동 4층 407-1, 407-4",그 외 기타 달리 분류되지 않은 제품 제조업,02-502-4588,02-502-9077,3,보행보조용품(지팡이 등),보행보조용품
주식회사 케이오씨,"경기도 의왕시 경수대로 209, 5층 502호(고천동, 의왕월드비젼)",경기도 의왕시 고천동 234-6 의왕월드비젼 5층 502호,전구 및 램프 제조업 외 3 종,,,4,"LED조명, 태양광조명, 경관조명","LED칩, 인버터"
주식회사 콥틱,"경기도 의왕시 이미로 40, B동 6층 605-2호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 B동 6층 605-2호,안경 및 안경렌즈 제조업 외 1 종,,,2,안경테,폴리아미드 파우더
주식회사 큐디에이시스템,경기도 의왕시 경수대로 257 (고천동) 504호(대영골든밸리),경기도 의왕시 고천동 290-2,철도차량 부품 및 관련 장치물 제조업,031-477-8664,031-477-8663,10,,
주식회사 태을,"경기도 의왕시 오봉산단3로 25, 202호 (삼동)",경기도 의왕시 삼동 745202호,기타 음향기기 제조업,070-8672-5640,070-4324-5640,2,"내비게이션, 블랙박스","LCD ASS'Y, PBB ASS'Y, 성형물 등"
주식회사 테크온,경기도 의왕시 안골다리길 7-8 (고천동),경기도 의왕시 고천동 253-14번지,기타 가공 공작기계 제조업 외 1 종,031-427-5495,031-427-5408,64,가공공작기계 및 전자부품 제조업,
주식회사 테크웨이즈,"경기도 의왕시 광진말로 54, B동 4층 414호  (초평동) 외 5필지",경기도 의왕시 초평동 16-6 B동 4층 414호,"전자기 측정, 시험 및 분석기구 제조업",031-737-4750,031-737-4754,17,전자측정장비,"지그, 커넥터, 소자, PCB"
주식회사 토브이노베이션,"경기도 의왕시 오전공업길 19, 9층 908호 (오전동, 대현테크노월드)",경기도 의왕시 오전동 172-4번지 대현테크노월드 9층 908호,"알루미늄 압연, 압출 및 연신제품 제조업",031-455-8667,031-457-8667,4,"알루미늄 산소, 이산화질소 카트리지",알루미늄
주식회사 투투,"경기도 의왕시 경수대로 257, 8층 806 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 8층 806,방송장비 제조업 외 7 종,070-7510-7380,070-8220-7077,2,CCTV,
주식회사 파이어캅,경기도 의왕시 괴말길 71-6 (삼동),경기도 의왕시 삼동 382-1,분사기 및 소화기 제조업,031-461-0540,031-462-0540,4,"화재예방 및 초기진압제품(자동소화패치, 스프레이형 간이소화기)","마이크로 캡슐, 부직포, 포장재, 간이소화기(외주생산) 포장재"
주식회사 퍼스트테크윈,경기도 의왕시 오봉산단1로 12(이동),경기도 의왕시 이동 732,그 외 기타 전기장비 제조업,031-461-2777,,1,"자동차 시험장비 및 칠러, 제조 냉각기 및 열교환기, 전기제어장치 및 기계부품","nidaq모듈, 전기계측기, plc컨트롤러, 지멘스컨트롤벨부, 산업펌프"
주식회사 퍼스트테크윈,"경기도 의왕시 괴말길 69, 1층 퍼스트테크윈 (삼동)",경기도 의왕시 삼동 383-2 1층 퍼스트테크윈,그 외 기타 전기장비 제조업,031-427-2776,031-429-2776,12,전기제어장치 및 기계부품,"nidaq모듈, 전기계측기, pic컨트롤러, 지멘스컨트롤밸부, 산업펌프"
주식회사 포스버,"경기도 의왕시 광진말로 54, 에이동 1022호 (초평동)",경기도 의왕시 초평동 16-6 에이동 1022호,그 외 기타 전자부품 제조업,031-295-9057,031-295-9058,7,무인택배시스템,무인택배시스템
주식회사 푸드그루브,"경기도 의왕시 성고개로 53, 5층 517호(포일동, 에이스청계타워)",경기도 의왕시 포일동 657-2 에이스청계타워 5층 517호,기타 식품 첨가물 제조업,,,2,"복합조미식품, 즉석섭취세트","떡, 마늘분말, 대파, 양파"
주식회사 피오텍,"경기도 의왕시 오봉산단1로 12, 1219호(이동)",경기도 의왕시 이동 732 1219호,유선 통신장비 제조업,031-8085-2770,0504-290-5517,4,,
주식회사 하메스,"경기도 의왕시 골잿말길 10, 3층 (월암동)",경기도 의왕시 월암동 628 3층,그 외 기타 의료용 기기 제조업,031-427-2060,031-427-2065,11,"면봉튜브, 마스크","면(섬유필터),, 막대, 보존용기, 마스크 및 부자재"
주식회사 한국아이오티 기술원,경기도 의왕시 안골다리길 5 (고천동),경기도 의왕시 고천동 286-2번지,기타 전기 변환장치 제조업 외 19 종,031-474-0026,031-474-0030,18,태양광자동방송기기,함체
주식회사 휴먼텍,"경기도 의왕시 경수대로391번길 14-7, 3층, 4층(오전동, (주)포앤티)","경기도 의왕시 오전동 38-16 (주)포앤티 3층, 4층",주방용 전기기기 제조업,031-344-3047,031-344-3046,12,음식물 처리기,"모터, 철판"
주식회사셈텍,"경기도 의왕시 오봉산단3로 25, 1동 1314호 (삼동, 의왕테크노파크 더리브 비즈원) 외 3필지",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 1314호,반도체 제조용 기계 제조업,031-429-4750,,11,"트랜스퍼로드포트, 슬라이딩도어 오프너, 마스크 플리퍼","알루미늄, SUS304, 기타 전자부품"
주식회사아이엔에스코리아,경기도 의왕시 한밭들길 12 (고천동) 아이엔에스코리아,경기도 의왕시 고천동 404-2 아이엔에스코리아,기타 직물제품 제조업,031-399-2293,031-399-2294,16,마스크,부직포
주주아뜰리에,"경기도 의왕시 오봉산단3로 25, 2층 15호(삼동)",경기도 의왕시 삼동 745 2층 15호,여자용 겉옷 제조업,070-8691-3470,,1,봉제 의복,원단
준푸드앤티 주식회사,경기도 의왕시 경수대로391번길 14-4 (오전동) 1층,경기도 의왕시 오전동 38-25 1층,곡물 제분업,,,1,녹차분말,녹차
지게이트(주),"경기도 의왕시 오전공업길 19, 9층 901 (오전동, 대현테크노월드)",경기도 의왕시 오전동 789-135번지 대현테크노월드 9층 901,"탭, 밸브 및 유사장치 제조업",031-466-0871,031-466-0872,20,"스탭밸브, 마이크로펌프",
지엔디,경기도 의왕시 맑은내길 54 (오전동) 외 1필지,경기도 의왕시 오전동 170번지,기기용 자동측정 및 제어장치 제조업,031-427-8770,031-427-8711,10,"자동제어판넬조립, 기계조립(버너)",기계부품
지엘앤코(주),경기도 의왕시 고래들길 57 (오전동),경기도 의왕시 오전동 150-10 ,자전거 및 환자용 차량 제조업,031-460-3014,031-455-6067,38,자전거,알루미늄 등
지원테크,"경기도 의왕시 오전공업길 19, 6층 601 (오전동, 대현테크노월드)",경기도 의왕시 오전동 172-4번지 대현테크노월드 6층 601,그 외 기타 특수목적용 기계 제조업,,,4,볼스크류 끝단 가공,
지큐티(GQT),"경기도 의왕시 오봉산단1로 12, 12층 37호(이동)",경기도 의왕시 이동 732 12층 37호,"전기회로 개폐, 보호장치 제조업",,031-234-7889,1,"OS Test Board, Burn in Board 등 반도체 검사장치","PCB, 전자부품"
진성기계(주),"경기도 의왕시 맑은내길 67, 1층 101 (오전동)",경기도 의왕시 오전동 150-24번지 1층 101,전자 응용 절삭기계 제조업,031-464-5100,031-464-5102,30,자동화 기계 제작,철판 및 환봉
진연,"경기도 의왕시 경수대로 257, 4층 405 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 4층 405,스크린 인쇄업 외 2 종,031-450-6686,031-450-6687,3,유리 인쇄,유리
진테크,경기도 의왕시 한밭들길 10 (고천동),경기도 의왕시 고천동 376번지,"플라스틱 선, 봉, 관 및 호스 제조업",031-457-8395,031-453-0963,25,플라스틱사출,
진흥무역(주),"경기도 의왕시 오전공업길 51 (고천동, 진흥무역)",경기도 의왕시 고천동 395-4번지,합성수지 및 기타 플라스틱 물질 제조업,031-454-7007,031-454-7625,19,산업용테이프,
참빛싸인 주식회사,"경기도 의왕시 오봉산단1로 12, 8층 12호(이동) 외 1필지",경기도 의왕시 이동 732 8층 12호,전시 및 광고용 조명장치 제조업,,0504-411-7139,3,LED 전광판,"LED, 철구조물, 운영PC"
참빛파워텍주식회사,"경기도 의왕시 벌모루앞길 14, 1층(포일동, 윈텍벤처빌딩)",경기도 의왕시 포일동 511 윈텍벤처빌딩 1층,배전반 및 전기 자동제어반 제조업,02-2069-3191,02-2069-3192,33,수.배전반,"STILL및 SUS 판, 동대, 차단기, 전자접촉기, 전선 등"
창조산업,"경기도 의왕시 고산로 10 (고천동, 창조목형)",경기도 의왕시 고천동 348번지,기타 가공 공작기계 제조업,031-457-8050,031-457-8254,10,제품 계측공구,수지
천일정공사,경기도 의왕시 오전공업길 48(고천동),경기도 의왕시 고천동 394-4,정형외과용 및 신체보정용 기기 제조업 외 2 종,031-319-3226,02-463-6737,30,"신체보정용 기기(목발), 일반 전기조명장치, 주형 및 금형","알루미늄, 철, 플라스틱 사출품, 조명"
