순번,단지명,회사명,지식산업센터명,공장대표주소(도로명),공장대표주소(지번),업종명,설립구분,종업원수,생산품,주원자재,공장크기,용지면적,건축면적,팩스번호
8522,시화국가산업단지,일조정밀,,"경기도 시흥시 마유로82번길 69, 3마 334 (정왕동)","경기도 시흥시 마유로82번길 69, 3마 334 (정왕동)",절삭가공 및 유사처리업,국가산업단지,1,자동차부품,철,소기업,0,66,
8523,시화국가산업단지,디엠테크,,"경기도 시흥시 마유로20번길 35, 3바 712 (정왕동)","경기도 시흥시 마유로20번길 35, 3바 712 (정왕동)",절삭가공 및 유사처리업 외 1 종,국가산업단지,1,자동화 라인 제작,"스틸, 알미늄",소기업,0,49.5,
8524,시화국가산업단지,SW테크,,"경기도 시흥시 옥구천동로 250, (1255-13, 2나 114) (정왕동, 대한메디칼시스템)","경기도 시흥시 정왕동 1255-13번지 대한메디칼시스템 (1255-13, 2나 114)",절연 코드세트 및 기타 도체 제조업,국가산업단지,1,절연케이블,철,소기업,0,9.91,
8525,시화국가산업단지,세원에스와이,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 2층 215호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 2층 215호,절삭가공 및 유사처리업 외 1 종,국가산업단지,1,부품 임가공,철,소기업,0,33,
8526,시화국가산업단지,GST,코포모테크노센타Ⅱ,"경기도 시흥시 공단1대로 341,  (정왕동) 1동 2층 218호",경기도 시흥시 정왕동 1289-6 1동 2층 218호,배전반 및 전기 자동제어반 제조업,국가산업단지,1,판넬,철,소기업,0,47.5,
8527,시화국가산업단지,세은기계,,"경기도 시흥시 마유로92번길 113, 3마 406-3 (정왕동)","경기도 시흥시 마유로92번길 113, 3마 406-3 (정왕동)",육상 금속 골조 구조재 제조업,국가산업단지,1,공조기외관,철,소기업,0,100,
8528,시화국가산업단지,명광스틸,,"경기도 시흥시 희망공원로 99, 2마 201호 (정왕동)",경기도 시흥시 정왕동 1703번지 2마 201호,구조용 금속 판제품 및 공작물 제조업,국가산업단지,1,"철판망, 타공판",철판,소기업,0,198,
8529,시화국가산업단지,에이원테크,,"경기도 시흥시 공단1대로196번길 34, 2다 606 (정왕동)",경기도 시흥시 정왕동 1264-5번지 2다 606,그 외 금속 압형제품 제조업,국가산업단지,1,소형기어,철,소기업,0,66,
8530,시화국가산업단지,지와이이엔지,,"경기도 시흥시 군자천로9번길 84, 2바 816호 (정왕동)",경기도 시흥시 정왕동 2173-9번지 2바 816호,그 외 기타 금속가공업,국가산업단지,1,기계부품,금속,소기업,0,66,
8531,시화국가산업단지,(주)대일엠테크,,"경기도 시흥시 군자천로 123, 2라 408 (정왕동)","경기도 시흥시 군자천로 123, 2라 408 (정왕동)","용기 세척, 포장 및 충전기 제조업",국가산업단지,1,포장기계 제조,철,소기업,0,50,
8532,시화국가산업단지,선호정밀,코포모테크노센타Ⅱ,"경기도 시흥시 공단1대로 341,  (정왕동) 1동 1층 117호",경기도 시흥시 정왕동 1289-6 1동 1층 117호,그 외 기타 금속가공업,국가산업단지,1,자동차부품,-,소기업,0,16.529,
8533,시화국가산업단지,태열이엔지,,"경기도 시흥시 공단2대로190번길 36, 2바 613 (정왕동)",경기도 시흥시 정왕동 2177-5번지 2바 613,육상 금속 골조 구조재 제조업,국가산업단지,1,공작기계프레임,철,소기업,0,82,
8534,시화국가산업단지,현대금속메탈,,"경기도 시흥시 공단2대로 133, 2마 810-1 (정왕동)",경기도 시흥시 정왕동 2169-11번지 2마 810-1,그 외 기타 금속가공업,국가산업단지,1,전자부품,전자부품,소기업,0,115,
8535,시화국가산업단지,인하ENG,,"경기도 시흥시 마유로 78, 3마 801 (정왕동)",경기도 시흥시 정왕동 2094-1번지 3마 801,절삭가공 및 유사처리업 외 1 종,국가산업단지,1,자동화기계부품,.,소기업,0,49.5,
8536,시화국가산업단지,스타콘크리트산업,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,  (정왕동) 1동 6층 617호",경기도 시흥시 정왕동 1277-14 1동 6층 617호,그 외 기타 전기장비 제조업,국가산업단지,1,코일열판,철,소기업,0,33.058,
8537,시화국가산업단지,(주)엔에이엠,코포모테크노센타Ⅱ,"경기도 시흥시 공단1대로 341,  (정왕동) 1동 3층 316호",경기도 시흥시 정왕동 1289-6 1동 3층 316호,톱 및 호환성 공구 제조업,국가산업단지,1,절삭공구,-,소기업,0,147.6,
8538,시화국가산업단지,우림시스템,,"경기도 시흥시 옥구천동로 26, 2바 801호(A-1)(정왕동)",경기도 시흥시 정왕동 2172-1 2바 801호(A-1),그 외 기타 금속가공업,국가산업단지,1,포장기계프레임,철,소기업,0,262.35,
8539,시화국가산업단지,찬스크린인쇄,동우디지털파크,"경기도 시흥시 정왕천로 197, (정왕동, 동우디지털파크(정왕천서로 150)) B동 1층 159호",경기도 시흥시 정왕동 1288-2번지 동우디지털파크(정왕천서로 150) B동 1층 159호,스크린 인쇄업,국가산업단지,1,실크인쇄,잉크,소기업,40.41,70,
8540,시화국가산업단지,GJ테크,,"경기도 시흥시 군자천로21번길 16, 2바 509 (정왕동)",경기도 시흥시 정왕동 2179-9번지 2바 509,절삭가공 및 유사처리업,국가산업단지,1,부품가공,철외,소기업,0,66,
8541,시화국가산업단지,(주)배성,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,  (정왕동) 1동 3층 314호",경기도 시흥시 정왕동 1277-14 1동 3층 314호,"증류기, 열교환기 및 가스발생기 제조업",국가산업단지,1,열교환기,열교환기,소기업,0,99.174,
8542,시화국가산업단지,효진정공,코포모테크노센타Ⅱ,"경기도 시흥시 공단1대로 341,  (정왕동) 1동 2층 201호",경기도 시흥시 정왕동 1289-6 1동 2층 201호,절삭가공 및 유사처리업,국가산업단지,1,금형가공,-,소기업,0,190,
8543,시화국가산업단지,나나테크,,"경기도 시흥시 군자천로81번길 60, 2마 203 (정왕동)",경기도 시흥시 정왕동 1703-2번지 2마 203,기타 가공 공작기계 제조업,국가산업단지,1,목공용 헤드,"알루미늄, 철",소기업,0,33,
8544,시화국가산업단지,금호정밀,,"경기도 시흥시 마유로92번길 113, 3마 406-3 (정왕동)",경기도 시흥시 정왕동 1382-8번지 3마 406-3,절삭가공 및 유사처리업,국가산업단지,1,부품가공,부품,소기업,0,33,
8545,시화국가산업단지,정도기계,,"경기도 시흥시 마유로132번길 88, 3라608 (정왕동)",경기도 시흥시 정왕동 1377-7번지 3라608,절삭가공 및 유사처리업,국가산업단지,1,산업기계 부품,철외,소기업,0,156,
8546,시화국가산업단지,다원테크놀러지,,"경기도 시흥시 서해안로78번길 30, 1마 716 (정왕동)",경기도 시흥시 정왕동 1695-1번지 1마 716,인쇄회로기판용 적층판 제조업 외 2 종,국가산업단지,1,회로기판,회로기판,소기업,0,168,
8547,시화국가산업단지,(주)항성정공,,"경기도 시흥시 소망공원로 311, 1283-9번지(시화3다622호) (정왕동)",경기도 시흥시 정왕동 1283-9번지 1283-9번지(시화3다622호),주형 및 금형 제조업,국가산업단지,1,금형가공,철,소기업,0,297,
8548,시화국가산업단지,코리아파워,,"경기도 시흥시 마유로10번길 51, 3바 725 (정왕동)",경기도 시흥시 정왕동 2187-13번지 3바 725,절삭가공 및 유사처리업,국가산업단지,1,"TM스크류 등 가공, 무정전전원장치, 유지보수용역",TRANS FORMER 및 BATTERY,소기업,0,57.8,
8549,시화국가산업단지,한국산업기술연구소,,"경기도 시흥시 옥구천서로131번길 32, 1라 308 (정왕동)",경기도 시흥시 정왕동 1247-7번지 1라 308,바이오 연료 및 혼합물 제조업 외 3 종,국가산업단지,1,부식억제제,.,소기업,0,201,
8550,시화국가산업단지,동명산기,,"경기도 시흥시 공단1대로 67, 1나 707-4 (정왕동)",경기도 시흥시 정왕동 1244-11번지 1나 707-4,절삭가공 및 유사처리업,국가산업단지,1,자동차 부품금,주물,소기업,0,360,
8551,시화국가산업단지,성호산업,,"경기도 시흥시 마유로132번길 88, 1377-7/3라608 (정왕동)",경기도 시흥시 정왕동 1377-7번지 1377-7/3라608,절삭가공 및 유사처리업,국가산업단지,1,기계부품 선반밀링,SUS,소기업,0,132,
8552,시화국가산업단지,예일정밀,,"경기도 시흥시 마유로144번길 72, 3라 313호 (정왕동)",경기도 시흥시 정왕동 1285-1번지 3라 313호,자동차용 금속 압형제품 제조업 외 1 종,국가산업단지,1,배전반부품가공,부품,소기업,0,33,
8553,시화국가산업단지,(주)태양엔에이치티,,"경기도 시흥시 공단1대로322번길 113, 3마 411호 (정왕동)",경기도 시흥시 정왕동 1382-13번지 3마 411호,그 외 기타 의료용 기기 제조업,국가산업단지,1,치과용기기 케이스,케이스부품,소기업,0,76,
8554,시화국가산업단지,(주)평산실업,,"경기도 시흥시 희망공원로 188, 2다 309 (정왕동)","경기도 시흥시 희망공원로 188, 2다 309 (정왕동)","적층, 합성 및 특수표면처리 종이 제조업",국가산업단지,1,변압기용 절연지,절연지,소기업,0,120,
8555,시화국가산업단지,인지솔라(주),,"경기도 시흥시 공단2대로 147, 2마 708 (정왕동, 명진산업)","경기도 시흥시 공단2대로 147, 2마 708 (정왕동, 명진산업)",태양력 발전업,국가산업단지,1,전기,,소기업,0,6004,
8556,시화국가산업단지,화영스텐,,"경기도 시흥시 공단2대로 180, 2바 302 (정왕동)","경기도 시흥시 공단2대로 180, 2바 302 (정왕동)",그 외 기타 1차 철강 제조업,국가산업단지,1,철강절단가공,알루미늄,소기업,0,330.58,
8557,시화국가산업단지,미성산업,,"경기도 시흥시 소망공원로 172,시화산단 2라 201호 (정왕동)",경기도 시흥시 정왕동 1265번지 시화산단 2라 201호,비주거용 건물 임대업,국가산업단지,1,임대업,,소기업,7004.4,496.696,
8558,시화국가산업단지,진성,,"경기도 시흥시 공단1대로 65, [정왕동 1244-10, 시화단지 1나 707-3] (정왕동)",경기도 시흥시 정왕동 1244-10번지,그 외 기타 일반목적용 기계 제조업 외 1 종,국가산업단지,1,브라켓,철판,소기업,0,16.5,
8559,시화국가산업단지,윤경기계,,"경기도 시흥시 공단1대로 65, [시화단지 1나707-3] (정왕동)",경기도 시흥시 정왕동 1244-10 번지 [시화단지 1나707-3],절삭가공 및 유사처리업,국가산업단지,1,경장비 부품,철판,소기업,0,161.12,
8560,시화국가산업단지,라임엔지니어링,,"경기도 시흥시 군자천로81번길 83, 시화단지 2마 805호 (정왕동)",경기도 시흥시 정왕동 2169-5 번지 시화단지 2마 805호,절삭가공 및 유사처리업,국가산업단지,1,기계부품,철,소기업,0,115,
8561,시화국가산업단지,호서스틸,,"경기도 시흥시 마유로92번길 113, 시화단지 3마 406-3호 (정왕동)",경기도 시흥시 정왕동 1382-8번지 시화단지 3마 406-3호,그 외 기타 금속가공업,국가산업단지,1,공작기계 부품,철,소기업,0,82,
8562,시화국가산업단지,한국산업단지공단시화하이테크임대공장,시화하이테크지식산업센터,"경기도 시흥시 서해안로 242, 1나 208호 시화하이테크임대공장 (정왕동)",경기도 시흥시 정왕동 1234-7번지 1나 208호 시화하이테크임대공장,비주거용 건물 임대업,국가산업단지,1,공장임대업,,소기업,9918.7,3395.51,
8563,시화국가산업단지,홍희숙,동우디지털파크,"경기도 시흥시 정왕천로 197, (정왕동, 동우디지털파크) B동 4층 415호 외 3필지",경기도 시흥시 정왕동 1288-2 동우디지털파크 B동 4층 415호 외 3필지,비주거용 건물 임대업,국가산업단지,1,임대업,,소기업,509.78,786.45,
8564,시화국가산업단지,경특,,"경기도 시흥시 군자천로185번길 32,  시화단지 2다 307호 (정왕동)",경기도 시흥시 정왕동 1263-6번지 시화단지 2다 307호,비주거용 건물 임대업,국가산업단지,1,부동산임대업,,소기업,3518.9,507.95,
8565,시화국가산업단지,광원정밀,,"경기도 시흥시 마유로 44,  시화산단 3바 101-4호 (정왕동)",경기도 시흥시 정왕동 2183-10번지 시화산단 3바 101-4호,비주거용 건물 임대업,국가산업단지,1,비주거용 건물 임대업,,소기업,1877.8,618.22,
8566,시화국가산업단지,원남개발,,"경기도 시흥시 공단2대로 64, 시화단지 1바 202호 (정왕동)",경기도 시흥시 정왕동 1698-1번지,비주거용 건물 임대업,국가산업단지,1,부동산임대업,,소기업,4991.4,641.88,
8567,시화국가산업단지,정경산업,,"경기도 시흥시 마유로10번길 14, 시화단지 3바 903호 (정왕동)",경기도 시흥시 정왕동 2205-3번지 시화단지 3바 903호,비주거용 건물 임대업,국가산업단지,1,임대업,,소기업,1650.3,62.87,
8568,시화국가산업단지,민경산업,,"경기도 시흥시 마유로10번길 121, 시화산단 3바 519-3호 (정왕동)",경기도 시흥시 정왕동 2195-17 번지 시화산단 3바 519-3호,비주거용 건물 임대업,국가산업단지,1,임대업,,소기업,1772.4,916.67,
8569,시화국가산업단지,대현,,"경기도 시흥시 마유로20번길 2, 3바 808 (정왕동)",경기도 시흥시 정왕동 2180-16번지 3바 808,비주거용 건물 임대업,국가산업단지,1,부동산임대업,,소기업,2752.1,0,
8570,시화국가산업단지,도영기계,,"경기도 시흥시 마유로132번길 46,시화산단 3라 705호 (정왕동)",경기도 시흥시 정왕동 1376-4 번지 시화산단 3라 705호,비주거용 건물 임대업,국가산업단지,1,부동삼임대업,,소기업,1651.3,27.86,
8571,시화국가산업단지,캔두엔지니어링,,"경기도 시흥시 군자천로21번길 15, 시화단지 2바 512호 (정왕동)",경기도 시흥시 정왕동 2178-2번지,비주거용 건물 임대업,국가산업단지,1,임대업,,소기업,1665,615.37,
8572,시화국가산업단지,대일금속산업사,,"경기도 시흥시 만해로 50,  시화단지 4나 203호 (정왕동)",경기도 시흥시 정왕동  1293-2번지,비주거용 건물 임대업,국가산업단지,1,부동산임대,,소기업,8399.6,283.5,
8573,시화국가산업단지,오미경,동우디지털파크,"경기도 시흥시 정왕천로 197, (정왕동, 동우디지털파크) A동 1층 115호",경기도 시흥시 정왕동 1288-2 동우디지털파크 A동 1층 115호,비주거용 건물 임대업,지식산업센터,1,부동산임대,,소기업,103.92,162.8,
8574,시화국가산업단지,월드산업,,"경기도 시흥시 정왕천로 223, 3나505-1 (정왕동)",경기도 시흥시 정왕동 1289-4번지 3나505-1,비주거용 건물 임대업,국가산업단지,1,부동산 임대,,소기업,4949,2658.38,
8575,시화국가산업단지,아림산업,,"경기도 시흥시 군자천로9번길 37, [정왕동 2204-2 2바 1002-1] (정왕동)",경기도 시흥시 정왕동 2204-2번지 [정왕동 2204-2 2바 1002-1],비주거용 건물 임대업,국가산업단지,1,임대업,,소기업,1648.7,11.4,
8576,시화국가산업단지,현진기업,,"경기도 시흥시 공단3대로 175, 시화단지 2바 1002-1호 (정왕동)",경기도 시흥시 정왕동 2204-12번지 시화단지 2바 1002-1호,비주거용 건물 임대업,국가산업단지,1,부동산임대사업,,소기업,1648.8,545.28,
8577,시화국가산업단지,신흥프라스틱,동우디지털파크,"경기도 시흥시 정왕천로 197, (정왕동, 동우디지털파크) B동 3층 306호",경기도 시흥시 정왕동 1288-2 동우디지털파크 B동 3층 306호,비주거용 건물 임대업,지식산업센터,1,부동산임대업,,소기업,124.98,216.49,
8578,시화국가산업단지,신우,,"경기도 시흥시 마유로32번길 117,  시화단지 3바 405-2호 (정왕동)",경기도 시흥시 정왕동  2193-9번지,비주거용 건물 임대업,국가산업단지,1,부동산임대,,소기업,1658.1,675.83,
8579,시화국가산업단지,진솔산업,,"경기도 시흥시 마유로10번길 117,  시화단지 3바 520호 (정왕동)",경기도 시흥시 정왕동  2195-9번지,비주거용 건물 임대업,국가산업단지,1,부동산임대,부동산임대,소기업,1652.7,104.47,
8580,시화국가산업단지,대현기업,,"경기도 시흥시 경기과기대로 39, 시화산단 3바 217-1호 (정왕동)",경기도 시흥시 정왕동 2185-9번지 시화산단 3바 217-1호,비주거용 건물 임대업,국가산업단지,1,부동산임대,부동산 임대,소기업,1817.8,362.12,
8581,시화국가산업단지,원지산업,,"경기도 시흥시 군자천로31번길 55,  시화단지 2바 704호 (정왕동)",경기도 시흥시 정왕동  2175-4번지,비주거용 건물 임대업,국가산업단지,1,부동산임대업,,소기업,1651.3,425.43,
8582,시화국가산업단지,성현테크,,"경기도 시흥시 마유로20번길 88,시화산단 3바 621호 (정왕동)",경기도 시흥시 정왕동2188-7번지,비주거용 건물 임대업,국가산업단지,1,임대사업,,소기업,1652.7,185.33,
8583,시화국가산업단지,명성금속,,"경기도 시흥시 군자천로237번길 26, 시화산단 2나 306호 (정왕동)",경기도 시흥시 정왕동 1261-5번지 시화산단 2나 306호,비주거용 건물 임대업,국가산업단지,1,부동산임대,,소기업,1635.5,169.56,
8584,시화국가산업단지,대한기계,,"경기도 시흥시 공단2대로140번길 25,  시화단지 2바 701호 (정왕동)",경기도 시흥시 정왕동  2175-1번지,비주거용 건물 임대업,국가산업단지,1,임대업,임대,소기업,2766.8,642.3,
8585,시화국가산업단지,대동산업,,"경기도 시흥시 산기대학로 76, 1254 1나 501호 (정왕동)",경기도 시흥시 정왕동 1254번지,비주거용 건물 임대업,국가산업단지,1,부동산임대,,소기업,10051.9,841.092,
8586,시화국가산업단지,(주)대양,,"경기도 시흥시 옥구천서로237번길 78, 시화산단 1나 308호 (정왕동)",경기도 시흥시 정왕동 1242-7번지,비주거용 건물 임대업,국가산업단지,1,부동산임대,,소기업,3787.6,997.553,
8587,시화국가산업단지,광진산업,,"경기도 시흥시 옥구천서로 189, 시화산단 1다 403호 (정왕동)",경기도 시흥시 정왕동 1252-4번지 시화산단 1다 403호,비주거용 건물 임대업,국가산업단지,1,부동산임대,,소기업,3837.3,382.75,
8588,시화국가산업단지,화전사,,"경기도 시흥시 공단1대로322번길 35, 시화산단 3다 507호 (정왕동)",경기도 시흥시 정왕동 1287-6번지 시화산단 3다 507호,비주거용 건물 임대업,국가산업단지,1,부동산임대,,소기업,4945.1,658.112,
8589,시화국가산업단지,제이에스시스템,동우디지털파크,"경기도 시흥시 정왕천로 197,?(정왕동, 동우디지털파크) A동 3층 318호",경기도 시흥시 정왕동 1288-2 동우디지털파크 A동 3층 318호,배전반 및 전기 자동제어반 제조업,국가산업단지,2,배전반,철,소기업,69.28,120,
8590,시화국가산업단지,(주)와이엔포스텍,,"경기도 시흥시 마유로118번길 112, 3라522(정왕동)",경기도 시흥시 정왕동 1383-16 3라522,전자부품 실장기판 제조업,국가산업단지,2,인쇄기판 가공,인쇄기판,소기업,0,66,
8591,시화국가산업단지,(주)시화플랜트,,"경기도 시흥시 경기과기대로 95, 3마 206 (정왕동)",경기도 시흥시 정왕동 1374-5번지 3마 206,펄프 및 종이 가공용 기계 제조업,국가산업단지,2,제지 설비 기계,"철판, 파이프, 모터 등",소기업,0,100,
8592,시화국가산업단지,티에스밸브,보성스퀘어원 지식산업센터 ,"경기도 시흥시 소망공원로 323, (정왕동, 보성스퀘어원지식산업센터) 1동 4층 404호",경기도 시흥시 정왕동 1287-5 보성스퀘어원지식산업센터 1동 4층 404호,"금속 문, 창, 셔터 및 관련제품 제조업",국가산업단지,2,"창호,도어,샤시","철,알루미늄 압출품",소기업,34.552,123.28,
8593,시화국가산업단지,진텍스,,"경기도 시흥시 군자천로185번길 36,시화단지 2다 308호 1263-7 2다 308호 (정왕동)",경기도 시흥시 정왕동1263-7번지,연사 및 가공사 제조업,국가산업단지,2,가공원사,"면사, 아크릴사, 나일론사 등",소기업,0,320,
8594,시화국가산업단지,명성스프링,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,  (정왕동) 1동 3층 317호",경기도 시흥시 정왕동 1277-14 1동 3층 317호,금속 스프링 제조업,국가산업단지,2,스프링,"스프링강선, 피아노선, sts304",소기업,63.534,208.65,
8595,시화국가산업단지,(주)어스랩,,"경기도 시흥시 산기대학로 237, 창업보육센터 201호(정왕동, 한국공학대학교)",경기도 시흥시 정왕동 2121-1 한국공학대학교 창업보육센터 201호,기타 가정용 전기기기 제조업 외 1 종,국가산업단지,2,"피부미용기기, 피부미용기기",PCB,소기업,0,49.6,
8596,시화국가산업단지,티알테크,,"경기도 시흥시 공단1대로260번길 25, 3다 701 (정왕동)",경기도 시흥시 정왕동 1275번지 3다 701,절삭가공 및 유사처리업,국가산업단지,2,금형부품,"써스, 철강재",소기업,0,132,
8597,시화국가산업단지,(주)이노핏,,"경기도 시흥시 정왕동 1289-5,6번지 3나 505-2,3호 코포모테크노센터Ⅱ 717호","경기도 시흥시 정왕동 1289-5,6번지 3나 505-2,3호 코포모테크노센터Ⅱ 717호",그 외 기타 전자부품 제조업,국가산업단지,2,전동휠체어 전자부품,"전선, 전자기판 외",소기업,0,109.09,
8598,시화국가산업단지,피에스이,,"경기도 시흥시 공단2대로140번길 30,시화단지 2바 805호 (정왕동)",경기도 시흥시 정왕동 2172-5번지 시화단지 2바 805호,그 외 기타 금속가공업,국가산업단지,2,"신축관이음, 철구조물 등",스테인레스 스틸,소기업,0,230,
8599,시화국가산업단지,(주)씨티이엔지,보성스퀘어원 지식산업센터 ,"경기도 시흥시 소망공원로 323, (정왕동, 보성스퀘어원지식산업센터) 1동 4층 425호",경기도 시흥시 정왕동 1287-5 보성스퀘어원지식산업센터 1동 4층 425호,컨베이어장치 제조업,국가산업단지,2,컨베이어장비,"프로파일,아크릴,알루미늄,철,기계부품(제어판넬) 등",소기업,35.735,127.5,
8600,시화국가산업단지,바로스틸나이프,,"경기도 시흥시 마유로32번길 19, 시화산단 3바 116호(정왕동, 성덕산업)",경기도 시흥시 정왕동 2182-12 성덕산업 시화산단 3바 116호,그 외 기타 금속가공업,국가산업단지,2,"기계용칼, 금형연마",철,소기업,0,330,
8601,시화국가산업단지,세움솔루션,,경기도 시흥시 정왕동 1260번지 시화단지 2나 201호,경기도 시흥시 정왕동 1260번지 시화단지 2나 201호,산업처리공정 제어장비 제조업 외 1 종,국가산업단지,2,자동화기기,철/구조물,소기업,0,662,
8602,시화국가산업단지,경인오에이,,"경기도 시흥시 군자천로 243, [정왕동 1268-3, 2나 404] (정왕동)",경기도 시흥시 정왕동 1268-3번지,컴퓨터 프린터 제조업,국가산업단지,2,토너카트리지 조립,"서스, 철, AI프로파일 등",소기업,0,30,
8603,시화국가산업단지,화천하이테크,,"경기도 시흥시 경제로 328, (주)한성스틸 1층,  시화산단  3마402(정왕동)(정왕동)","경기도 시흥시 정왕동 1382-1 (주)한성스틸 1층,  시화산단  3마402(정왕동)",절삭가공 및 유사처리업,국가산업단지,2,승강기 부품,철강소재 및 알루미늄. 비철 등,소기업,0,231,
8604,시화국가산업단지,다원B&P,,"경기도 시흥시 옥구천동로 162, 시화단지 2다 112호 (정왕동)",경기도 시흥시 정왕동 1256-10번지,절삭가공 및 유사처리업,국가산업단지,2,닥트 배관 제조,"일반 철자재, 스텐레스, 스틸",소기업,0,383,
8605,시화국가산업단지,J(제이),,"경기도 시흥시 마유로 26, (주)노엘(정왕동)",경기도 시흥시 정왕동 2181-1 (주)노엘,그 외 기타 금속가공업,국가산업단지,2,금속재 절단외 가공품,"철판, 철강재",소기업,0,66,
8606,시화국가산업단지,제이원인더스(J-ONE INDUS),,"경기도 시흥시 공단1대로131번길 25,  시화단지 2나 107호 (정왕동)",경기도 시흥시 정왕동  1255-6번지,절삭가공 및 유사처리업,국가산업단지,2,기계부품,철,소기업,0,230,
8607,시화국가산업단지,율테크,,"경기도 시흥시 마유로20번길 105, 3바 509호(정왕동)",경기도 시흥시 정왕동 2194-9 3바 509호,그 외 기타 금속가공업,국가산업단지,2,자동차부품,알루미늄,소기업,0,182,
8608,시화국가산업단지,삼성정밀판금,,"경기도 시흥시 경제로 281, 3라 728호(정왕동)",경기도 시흥시 정왕동 1375-10 3라 728호,그 외 기타 금속가공업,국가산업단지,2,산업기계부품,"철, SUS",소기업,0,99.1,
8609,시화국가산업단지,엠케이하이테크,시흥타원지식산업세터,"경기도 시흥시 옥구천동로 98, (정왕동, (주)성원스틸) G동 1층 102호",경기도 시흥시 정왕동 1702번지 G동 1층 102호,전기회로 접속장치 제조업,국가산업단지,2,"전선조립, 댕귤러","전선, 단자",소기업,0,170,
8610,시화국가산업단지,삼한교역,,"경기도 시흥시 공단1대로259번길 47, 시화산단 3나 104-1호 (정왕동)",경기도 시흥시 정왕동 1269-13번지,기타 운동 및 경기용구 제조업,국가산업단지,2,골프장비,"스테인레스, 카본",소기업,0,105.78,
8611,시화국가산업단지,(주)유인하이텍,,"경기도 시흥시 마유로186번길 50,  시화단지 3다 705호 (정왕동)",경기도 시흥시 정왕동 1275-4번지 시화단지 3다 705호,그 외 기타 금속가공업,국가산업단지,2,"배전반, 반도체장비","SUS, STEEL",소기업,0,143.79,
8612,시화국가산업단지,비에스인터내셔날,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 7층 704호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 7층 704호,기타 가정용 전기기기 제조업,국가산업단지,2,미용기기(플라웨이비),ABS,소기업,0,58,
8613,시화국가산업단지,엠엠테크,,"경기도 시흥시 마유로42번길 14, 시화단지 3바 107(정왕동, 성일테크)",경기도 시흥시 정왕동 2182-3 성일테크 시화단지 3바 107,그 외 기타 1차 철강 제조업,국가산업단지,2,반도체장비부품,"스테인레스, 철",소기업,0,330.58,
8614,시화국가산업단지,마스터씨엔씨,,"경기도 시흥시 마유로20번길 42, 시화산단 3바 715호 (정왕동)",경기도 시흥시 정왕동 2187-3번지,유압기기 제조업,국가산업단지,2,유압기 부품,금속,소기업,0,230,
8615,시화국가산업단지,에스에이치정공(주),,"경기도 시흥시 공단2대로140번길 42, 2바 814호 (정왕동)",경기도 시흥시 정왕동 2173-7번지 2바 814호,자동차용 금속 압형제품 제조업,국가산업단지,2,프레스 가공 부품,철판,소기업,0,60,
8616,시화국가산업단지,보연테크,,"경기도 시흥시 마유로144번길 84, 3라 315호(정왕동)",경기도 시흥시 정왕동 1285-3 3라 315호,그 외 기타 금속가공업,국가산업단지,2,용접,철판,소기업,0,272,
8617,시화국가산업단지,(주)타이거농산,,"경기도 시흥시 서해안로 196, 1다 108 (정왕동)",경기도 시흥시 정왕동 1235-9번지 1다 108,간판 및 광고물 제조업,국가산업단지,2,간판 및 광고물 제조,"아크릴, 알루미늄",소기업,0,66,
8618,시화국가산업단지,지노텍,,"경기도 시흥시 협력로 144, 312동( 정왕동 시화공단 1라)(정왕동, 동양수지공업(주))",경기도 시흥시 정왕동 1247-11 동양수지공업(주) 312동( 정왕동 시화공단 1라),도장 및 기타 피막처리업,국가산업단지,2,승강기,"철구조물, 분체도료, LPG",소기업,9855.5,165,
8619,시화국가산업단지,알에스테크(RS TECH),,"경기도 시흥시 군자천로9번길 90, 시화단지 2바 818호 (정왕동)",경기도 시흥시 정왕동 2173-11번지 시화단지 2바 818호,반도체 제조용 기계 제조업,국가산업단지,2,자동화장비 부품,"알루미늄, 스틸",소기업,0,246,
8620,시화국가산업단지,아인스EIINS,,"경기도 시흥시 공단1대로321번길 35, 시화산단 3나 303호 (정왕동)",경기도 시흥시 정왕동 1279-3번지,그 외 기타 플라스틱 제품 제조업,국가산업단지,2,에어컨 필터,"플라스틱,원단",소기업,0,165.3,
8621,시화국가산업단지,재원산업,,"경기도 시흥시 마유로32번길 16, 2181-10 3바 802-1 (정왕동)",경기도 시흥시 정왕동2181-10번지,그 외 기타 금속가공업,국가산업단지,2,"산업용 발판, 기계케이스",철판,소기업,0,66,
8622,시화국가산업단지,예영유통,,경기도 시흥시 옥구천동로44번길 32 (정왕동) 2바206호 2바206호,경기도 시흥시 정왕동 2089-2 2바206호 2바206호,볼트 및 너트류 제조업,국가산업단지,2,볼트제품,"철재와이어, 스텐, 황동 등",소기업,0,274.38,
