순번,회사명,공장대표주소(도로명),업종명,전화번호,팩스번호,생산품
2682,주식회사 고웰,경기도 부천시 원미구 부천로198번길 27+ 3층 06 (춘의동),주방용 전기기기 제조업 외 1 종,070-4200-9878,070-4108-3838,믹서기+ 실면도기+ 모공브러쉬
2683,주식회사 광성테크,경기도 부천시 원미구 부천로208번길 103+ 2층 (춘의동),일반용 전기 조명장치 제조업 외 1 종,032-212-1534,,도로표지병+ 도로표지병
2684,주식회사 광진테크,경기도 부천시 오정구 석천로 397+ 103동 8층 01호 (삼정동+ 부천테크노파크쌍용3차),그 외 기타 전자부품 제조업,032-624-2013,032-624-2014,기타전자부품
2685,주식회사 구양,경기도 부천시 원미구 부천로208번길 67+ 3층 (춘의동),자동차 차체용 신품 부품 제조업 외 5 종,032-612-6437,032-614-6437,의류+ 자동차 매트+ 의류+ 자동차 매트+ 의류+ 자동차 매트+ 의류+ 자동차 매트+ 의류+ 자동차 매트+ 의류+ 자동차 매트
2686,주식회사 그라튜브,경기도 부천시 원미구  도약로 261 (도당동+ 부천대우테크노파크) B동 6층 1호,그 외 기타 분류 안된 화학제품 제조업 외 1 종,070-7374-5894,070-7374-5894,나노소재분산제품
2687,주식회사 글로벌엔바이오텍,경기도 부천시 오정구 석천로 397+ 303동 504호(삼정동+ 부천 테크노파크 쌍용3차),물질 검사+ 측정 및 분석기구 제조업,032-724-8224,032-713-7259,진탕배양기+ 고압멸균기
2688,주식회사 금호엔지니어링,경기도 부천시 오정구 신흥로390번길 50+ 주식회사 금호엔지니어링 (내동),포장용 플라스틱 성형용기 제조업,032-657-8985,032-652-8969,화장품 케이스
2689,주식회사 나래넷츠,경기도 부천시 오정구 석천로 345 (삼정동+ 부천테크노파크) 304동 7층 01호,유선 통신장비 제조업 외 1 종,032-323-7901,032-666-7911,통합배선반+ 무선랜액세스포인트
2690,주식회사 남경,경기도 부천시 오정구 산업로 31+ 1+2층(오정동+ 송정하이테크),주형 및 금형 제조업 외 1 종,032-672-9197,032-672-9198,스테이지+ 금형 가공
2691,주식회사 남양프린트,경기도 부천시 원미구 수도로 88-51 (도당동),경 인쇄업 외 2 종,032-675-0485,032-678-0491,인쇄업
2692,주식회사 네오몬드,경기도 부천시 원미구 길주로411번길 40-15+ 2층 (춘의동),그 외 기타 분류 안된 화학제품 제조업 외 1 종,032-684-9750,,나노59+ 대전방지제+ 미세소자 연마제
2693,주식회사 네오텍코리아,경기도 부천시 원미구 도약로 261+ B동 8층 805-806호 (도당동),반도체 제조용 기계 제조업 외 1 종,032-670-7310,032-670-7309,반도체 장비+ 전자집적회로
2694,주식회사 네온텍,경기도 부천시 원미구 도약로 261+ A동 1105호(도당동+ 부천대우테크노파크),스크린 인쇄업,070-8287-0657,0503-8379-3183,네일스티커
2695,주식회사 넥스텝,경기도 부천시 원미구 조마루로385번길 92+ 11층 1105호 (원미동+ 부천테크노밸리 U1 center) 11층 1105호 외 1필지,컴퓨터 제조업 외 4 종,,032-240-6028,컴퓨터서버+ 서버+ 디스크어레이+ 센서+ SSD+ 영상감시장치+보안용카메라+ 비상경보기
2696,주식회사 넷,경기도 부천시 원미구 평천로 655+ 401동 7층 703호 (약대동),방송장비 제조업 외 1 종,070-7463-1717,070-7427-1717,CCTV H/W+S/W+ 통합배선반
2697,주식회사 넷,경기도 부천시 원미구  평천로 655 (약대동+ 부천 테크노파크) 401동 14층 1403호,유선 통신장비 제조업 외 3 종,070-7463-1717,070-7427-1717,영상감시장치
2698,주식회사 뉴텍,경기도 부천시 오정구 부천로431번길 45 (내동),플라스틱 선+ 봉+ 관 및 호스 제조업 외 1 종,032-683-4567,032-683-4577,산업용 호스
2699,주식회사 다해,경기도 부천시 오정구 석천로 345+ 301동 804호(삼정동+ 부천테크노파크),기타 주변기기 제조업 외 8 종,070-4334-8165,0504-097-0826,인터랙티브화이트보드 + 인터랙티브화이트보드 + 인터랙티브화이트보드 + 인터랙티브화이트보드 + 인터랙티브화이트보드 + 인터랙티브화이트보드 + 인터랙티브화이트보드 + 인터랙티브화이트보드 + 인터랙티브화이트보드 
2700,주식회사 대성케미칼,경기도 부천시 원미구 정주로 91 (약대동),그 외 기타 플라스틱 제품 제조업 외 2 종,032-676-1723,032-676-3704,고무+플라스틱성형가공
2701,주식회사 대성휠타테크,경기도 부천시 원미구 도약로 302(도당동) 외 1필지,기체 여과기 제조업,032-674-8301,032-674-8302,산업용필터
2702,주식회사 대영,경기도 부천시 오정구 신흥로413번길 54-12(삼정동),알루미늄주물 주조업,032-676-5735,032-676-5736,알루미늄 부품
2703,주식회사 대영애드카,경기도 부천시 오정구 오정로 27-12 (삼정동),기타 인쇄업 외 1 종,032-667-7500,032-666-7461,도장+ 광고
2704,주식회사 대일코팅씨오,경기도 부천시 원미구  조마루로415번길 27 (원미동),운송장비 조립용 플라스틱제품 제조업 외 1 종,032-613-6645,032-663-9813,합성수지
2705,주식회사 대호실업,경기도 부천시 오정구 오정로 74+ 1동 B1층 2+3호 (삼정동),금속 캔 및 기타 포장용기 제조업,032-684-0168,032-684-0169,알루미늄캡(화장품케이스)
2706,주식회사 더마코스코리아1,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 303동 507호,화장품 제조업,,,화장품 등
2707,주식회사 더블유씨아이,경기도 부천시 원미구 평천로 655+ (약대동+ 부천 테크노파크) 402동 1층 101호,그 외 기타 전자부품 제조업,,,세라믹 필터
2708,주식회사 데일리컴퍼니,경기도 부천시 원미구 조마루로385번길 92 (원미동+ 부천테크노밸리 U1 center) 814호,셔츠 및 블라우스 제조업,,,티셔츠
2709,주식회사 덴트올,경기도 부천시 오정구 석천로 345+ 301동 9층 05 (삼정동+ 부천테크노파크),치과용 기기 제조업,032-327-6026,032-327-6027,구강용카메라+치과용 가시광선 중합기
2710,주식회사 델타봇,경기도 부천시 소사구 옥길동 794-3번지 1동 7층 730~733호,컴퓨터 제조업 외 1 종,070-8708-8108,0504-027-4821,산업용컴퓨터+ 산업용 로봇
2711,주식회사 도우엔,경기도 부천시 원미구 정주로48번길 21+ 1층+ 3층 (도당동),포장용 플라스틱 성형용기 제조업,032-328-4350,032-326-4350,화장품
2712,주식회사 동우정밀기어,경기도 부천시 오정구 부천로419번길 50+ 1층 (내동),기어 및 동력전달장치 제조업,032-676-1622,032-676-1623,기어+ 정동요소
2713,주식회사 동원산전,경기도 부천시 오정구 삼작로199번길 65+ 엠케이빌딩 5층 (내동),음ㆍ식료품 및 담배 가공기계 제조업,032-684-8212,,자동냉장휘핑머신+ 블렌더(업소용믹서기)+ 자동탬핑기+ 핫워터디스펜서
2714,주식회사 동일스틸,경기도 부천시 오정구 오정로71번길 23-12+ 1층 (삼정동),금속 문+ 창+ 셔터 및 관련제품 제조업,02-2618-1663,02-2619-5890,화스너
2715,주식회사 두경티앤씨,경기도 부천시 오정구 수도로125번길 30 (내동),접착제 및 젤라틴 제조업,032-681-1599,032-681-1597,순간접착제
2716,주식회사 두이,경기도 부천시 원미구 옥산로251번길 26+ 1층일부 (도당동),물질 검사+ 측정 및 분석기구 제조업,032-205-6295,0504-438-5539,항온항습조
2717,주식회사 두진테크놀로지,경기도 부천시 오정구 산업로7번길 23+ 1층 (오정동+ 두진테크놀로지),반도체 제조용 기계 제조업 외 1 종,032-671-4775,032-671-4778,금형제작+ 반도체제조장비
2718,주식회사 드로넥스,경기도 부천시 원미구 도약로 287 (도당동+ 부천테크노월드) 1층 107호,무인 항공기 및 무인 비행장치 제조업,070-4242-2888,070-7785-2000,드론
2719,주식회사 디엔엑스,경기도 부천시 원미구 부천로 323 (도당동) Y-제니스파크 504-1호,기타 무선 통신장비 제조업,02-592-0105,,스마트워치
2720,주식회사 디엘라이트,경기도 부천시 원미구 평천로832번길 22 (도당동) 가동 1층,교통 신호장치 제조업,032-682-1530,032-682-1531,라이트패널+ 바닥형신호등
2721,주식회사 디엘랩,경기도 부천시 오정구 삼작로199번길 65+ 4층 (내동),그 외 기타 의료용 기기 제조업,032-511-0045,,기타의료위생용품
2722,주식회사 디엘아이엔지,경기도 부천시 오정구 석천로 397+ 101동 12층 11 (삼정동+ 부천테크노파크쌍용3차),일반용 전기 조명장치 제조업,032-502-5067,032-502-5068,일반전기조명 등
2723,주식회사 디지탈웍스,경기도 부천시 원미구 부천로198번길 36 (춘의동) 춘의테크노파크 102동 1112(일부)호,배전반 및 전기 자동제어반 제조업,032-502-5591,032-502-5592,전기자동제어반 및 산업 소프트웨어
2724,주식회사 딥테크,경기도 부천시 원미구 부천로264번길 35+ 2층 (도당동),남자용 겉옷 제조업 외 32 종,070-4712-4882,070-4712-4886,천막외 제조 30종+ 남성용슬리퍼+ 여성용슬리퍼+ 남성용슬리퍼+ 여성용슬리퍼
2725,주식회사 라온에인스,경기도 부천시 원미구 부천로 323 (도당동) y-제니스 파크 401호,그 외 기타 일반목적용 기계 제조업 외 1 종,070-7799-7115,032-681-2932,마스크+ 마스크기기
2726,주식회사 라온판금센타,경기도 부천시 오정구 오정로 20-4+ 1층  주식회사 라온판금센타(삼정동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,032-673-3224,032-673-3225,키오스크+ 조명등 몸체+ 전자통신장비 몸체
2727,주식회사 라투스,경기도 부천시 원미구 송내대로 388+ 203동 2층 03-1 (약대동+ 부천테크노파크),기타 절연선 및 케이블 제조업,032-678-4437,032-678-0270,통신케이블 어셈블리
2728,주식회사 랩132,경기도 부천시 오정구 삼작로154번길 27-12 (내동) 투윈빌딩,그 외 기타 달리 분류되지 않은 제품 제조업,,032-677-0201,플라스틱  성형물
2729,주식회사 럭스퍼트,경기도 부천시 원미구 옥산로214번길 27+ 301호 (도당동),유선 통신장비 제조업,02-888-1611,02-6959-1669,광증폭기
2730,주식회사 레이든,경기도 부천시 원미구 조마루로385번길 92+ 11층 1124호 (원미동+ 부천테크노밸리 U1 center) 11층 1124호,컴퓨터 제조업,032-240-6370,,산업용컴퓨터
2731,주식회사 리젠어스,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 1413호,액정 표시장치 제조업,,,LCD 터치 합지제품
2732,주식회사 리텍 라이프,경기도 부천시 오정구 오정로 47+ 리텍빌딩 2층 (삼정동+ (주)리텍),기타 무선 통신장비 제조업 외 3 종,032-556-9838,032-556-9840,무선통신기기+ 전자감지장치(센서)+ 기타음향기기 + 환자케어 이동로봇
2733,주식회사 리한,경기도 부천시 소사구 양지로 237+ 6층 620호 (옥길동+ 광양프런티어밸리 5차 지식산업센터) 6층 620호,그 외 기타 일반목적용 기계 제조업 외 9 종,,0504-144-8054,분전반+ 흡연부스+ 자원순환기기+ 탄소 플랫폼+ 탄소 플랫폼 유지관리+ 탄소플랫폼 관리운영+ 광고 솔루션+ 광고 솔루션+ 광고 서비스+ 자원순환로봇
2734,주식회사 마커스 부천지점,경기도 부천시 원미구 평천로 784-9+ 2층 (도당동),자전거 및 환자용 차량 제조업,032-721-7334,,자전거+ 전기자전거+ 스테이션
2735,주식회사 맥스덴탈,경기도 부천시 오정구 석천로 397+ 203동 6층 5 (삼정동+ 부천테크노파크쌍용3차),치과용 기기 제조업,032-624-3277,032-624-3278,의료용 카메라
2736,주식회사 머든,경기도 부천시 소사구 양지로 237 (옥길동+ 광양프런티어밸리 5차 지식산업센터) 4층 406호,간판 및 광고물 제조업 외 4 종,02-859-7686,,안내판+ 광고물+ 실물모형+ 조형물+ 가구
2737,주식회사 메이크띵즈,경기도 부천시 오정구 신흥로511번길 13-33+ 2층+ 201호 (오정동),가방 및 기타 보호용 케이스 제조업 외 27 종,032-684-7847,032-684-7846,의류 외
2738,주식회사 메이크띵즈,경기도 부천시 오정구 신흥로511번길 13-33+ 2층+ 202호 (오정동),남자용 겉옷 제조업 외 9 종,032-684-7847,032-684-7846,의류대
2739,주식회사 멕서스,경기도 부천시 원미구 도약로 261 (도당동) D동 9층 906호,기타 무선 통신장비 제조업 외 1 종,1588-4967,02-563-4510,무선라우터+ 실내환경측정장치
2740,주식회사 무갑기술,경기도 부천시 원미구 도약로 261 (도당동) C동 7층 702호,금속 문+ 창+ 셔터 및 관련제품 제조업,032-670-7328,032-670-7329,창호부자재 및 창호
2741,주식회사 미성,경기도 부천시 오정구 부천로431번길 60(내동+ (주)미성),주형 및 금형 제조업,032-682-5076,032-681-5078,금형
2742,주식회사 미성산업,경기도 부천시 원미구 길주로412번길 24 (춘의동),금속 가구 제조업 외 1 종,032-666-8806,032-664-1421,승용완구+금속가구
2743,주식회사 미진비엔엘,경기도 부천시 오정구 석천로 397+ 102동910-3호(삼정동+ 부천테크노파크쌍용3차),기타 주변기기 제조업,032-677-7863,032-624-2102,마우스패드
2744,주식회사 미코,경기도 부천시 원미구 옥산로220번길 26 (도당동),화장품 제조업,032-545-2305,032-545-2306,화장품
2745,주식회사 미코팩토리,경기도 부천시 원미구 평천로832번길 50+ 3층 (도당동),화장품 제조업,,,셀비아 글로시 부스팅 세럼
2746,주식회사 민성케미칼,경기도 부천시 원미구 평천로 820 (도당동),기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,032-677-3731,032-672-3731,사출 금형
2747,주식회사 민테크,경기도 부천시 원미구평천로 851+ 1층 (도당동),산업처리공정 제어장비 제조업 외 1 종,1899-9486,032-675-9486,자동화생산+ 실험장비
2748,주식회사 바이오숨,경기도 부천시 오정구  석천로 397 (삼정동) 301동 지하층 B105호,복합비료 및 기타 화학비료 제조업 외 3 종,070-7931-8888,,옥토수+ 청풍명월+ 확깨비
2749,주식회사 바이오엘이디,경기도 부천시 원미구 도약로 261+ D동 14층 1 (도당동),운송장비용 조명장치 제조업 외 2 종,032-256-5200,032-256-5300,LED전구
2750,주식회사 바인조명,경기도 부천시 오정구 수도로 137+ 3층(내동),일반용 전기 조명장치 제조업,032-552-1381,,LED조명기구
2751,주식회사 백야라이팅,경기도 부천시 오정구 석천로 397+ 201동 802호(삼정동+ 부천 테크노파크 쌍용3차),일반용 전기 조명장치 제조업,032-724-9876,032-724-8281,LED조명기구+ 경관조명기구
2752,주식회사 밸리언텍스,경기도 부천시 원미구  평천로 655 (약대동+ 부천 테크노파크) 401동 9층 901호,기체 여과기 제조업 외 2 종,02-6091-0417,,공기 조화장치
2753,주식회사 베베락,경기도 부천시 원미구 도약로252번길 28 (도당동),포장용 플라스틱 성형용기 제조업,070-4705-1990,070-4707-4699,이유식용기 등
2754,주식회사 베스트웨이인터내셔널,경기도 부천시 원미구 도약로 287 (도당동+ 부천테크노월드) 501호,기타 직물제품 제조업 외 1 종,032-677-7858,032-676-7858,마스크+ 핸드폰 충전기+ 휴대용배터리
2755,주식회사 벨로,경기도 부천시 오정구 삼작로233번길 57+ 6층 605 (내동),구두류 제조업,032-677-2526,032-677-2506,구두
2756,주식회사 부성인더스트리,경기도 부천시 원미구 조마루로415번길 12 (원미동),플라스틱 접착처리 제품 제조업 외 1 종,032-666-0477,032-666-9234,화장품케이스
2757,주식회사 부형,경기도 부천시 오정구 산업로8번길 25+ 2층 (오정동+ 부형정밀),주형 및 금형 제조업,032-679-8855,032-676-8858,금형 및 부품
2758,주식회사 블루어스,경기도 부천시 원미구 조마루로385번길 92+ 5층 509호 (원미동+ 부천테크노밸리 U1 center) 5층 509호,유선 통신장비 제조업,032-676-3999,032-2406-336,원격제어장치+ 녹음장비+도어락+기타
2759,주식회사 비아이티,경기도 부천시 원미구 부천로 295+ 4층 03+04 (도당동),운송장비 조립용 플라스틱제품 제조업 외 1 종,070-7509-8616,032-665-8618,전자부품 및 사출
2760,주식회사 비앤씨솔루션,경기도 부천시 소사구 범안로219번길 71(옥길동) 1동 5층 506호,그 외 기타 특수목적용 기계 제조업,032-655-1977,0504-230-6698,
2761,주식회사 비전엑스,경기도 부천시 오정구 석천로 345+ 301동 805호(삼정동+ 부천테크노파크),기타 광학기기 및 사진기 제조업 외 9 종,02-2677-2034,02-2677-2044,시청각기자재+ 인터랙티브화이트보드+ 통신케이블어셈블리+ 시청각기자재+ 시청각기자재+ 시청각기자재+ 시청각기자재+ 시청각기자재+ 시청각기자재+ 시청각기자재
2762,주식회사 비젼티케이,경기도 부천시 오정구 옥산로278번길 21 (내동),절삭가공 및 유사처리업 외 1 종,032-671-7735,032-682-7735,자동화설비 부품
2763,주식회사 비체라이팅,경기도 부천시 원미구 도약로 261+ A동 10층 5 (도당동),일반용 전기 조명장치 제조업,032-670-7580,032-670-7582,조명기구
2764,주식회사 비투엠,경기도 부천시 원미구 옥산로208번길 35+ 3층 (도당동),가방 및 기타 보호용 케이스 제조업,032-684-9456,032-684-9457,휴대폰액정보호필름 및 케이스
2765,주식회사 빅파인,경기도 부천시 원미구 평천로 655 (약대동) 402동 1501호(약대동+ 부천테크노파크),전자기 측정+ 시험 및 분석기구 제조업,032-710-7891,032-710-7892,안면인식열화상카메라+  계측기+  의료기
2766,주식회사 삼영필텍,경기도 부천시 오정구 석천로453번길 96(삼정동+ 주식회사삼영필텍),액체 여과기 제조업 외 7 종,02-837-5333,02-863-8898,오일컨디셔너+ K-1전차특수공구+ 유지부품+ K-1전차 나사류 및 부품 + 유압장치 및 부품+ 시험 및 기타 정밀기기+ 대용량 오일 흄&미스트 제거장치
2767,주식회사 삼우에이치엔티,경기도 부천시 오정구 석천로453번길 38(삼정동+ 삼우에이치엔티),배전반 및 전기 자동제어반 제조업,032-682-3381,032-682-3381,자동화기계
2768,주식회사 삼창휴먼라이트앤이에이치,경기도 부천시 원미구 평천로850번길 20 (도당동) 2층,일반용 전기 조명장치 제조업,032-677-0223,032-671-0223,일반용 조명장치
2769,주식회사 상도푸드 농업회사법인,경기도 부천시 오정구 신흥로437번길 100 (삼정동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,032-679-0176,032-675-7445,양념육류+햄류+분쇄가공육
2770,주식회사 상상하는사람들,경기도 부천시 원미구 조마루로385번길 80+ 10층 11호 (원미동+ 춘의테크노파크) 10층 11호,전시 및 광고용 조명장치 제조업,,,LED 전광판
2771,주식회사 서광엘텍,경기도 부천시 오정구 삼작로 22 (삼정동+ 부천테크노파크) 102동 3층 03호,전자부품 실장기판 제조업 외 3 종,032-621-1535,032-621-1538,LED PCB ASSY
2772,주식회사 서림,경기도 부천시 오정구 석천로 462 (삼정동),포장용 플라스틱 성형용기 제조업,032-656-1400,032-656-1404,PET화장품용기
2773,주식회사 서진산업,경기도 부천시 원미구 평천로 790+ 2층 (도당동),그 외 기타 봉제의복 제조업 외 13 종,032-684-1550,032-684-0891,"	방탄조끼+ 가방+ 배낭+ 의류대+ 개인소지품 케이스+ 배지(포제)+ 계급표+ 휘장+ 내복"
2774,주식회사 서진프로텍,경기도 부천시 오정구 신흥로437번길 67+ 219-1 (삼정동),금속 열처리업,032-681-2999,,기계부품+ 기계제작
2775,주식회사 서해식품,경기도 부천시 오정구 신흥로489번길 56+ 201호 (오정동+ 원일테크노Ⅱ) 201호 외 3필지,천연 및 혼합조제 조미료 제조업 외 1 종,032-656-0334,032-656-9048,정통 돈까스소스+ 소스류
2776,주식회사 선우엘,경기도 부천시 원미구 조마루로385번길 122 (춘의동) 17층 1714호,그 외 기타 플라스틱 제품 제조업,032-231-0913,032-231-0914,도로표지병
2777,주식회사 선우테크,경기도 부천시 원미구 옥산로214번길 21 (도당동),기기용 자동측정 및 제어장치 제조업 외 1 종,032-676-0580,032-676-0581,화장품용기충진자동설비
2778,주식회사 성구산업,경기도 부천시 소사구 연동로132번길 17-12 (옥길동),그 외 기타 특수목적용 기계 제조업,02-2649-5814,02-2649-5817,산업용 진공청소기+ 연무기
2779,주식회사 성동기계,경기도 부천시 원미구 원미로225번길 17 (춘의동),용기 세척+ 포장 및 충전기 제조업,032-657-1090,032-657-3691,자동포장기계
2780,주식회사 성심에프앤에스,경기도 부천시 오정구 석천로 397+ 101동 803호+ 804호+ 811호(삼정동+ 부천테크노파크쌍용3차),육류 기타 가공 및 저장처리업 (가금류 제외),032-673-2211,032-674-5533,돈까스
2781,주식회사 성아특수강,경기도 부천시 원미구 부천로 329+ 1층 (도당동),그 외 기타 1차 철강 제조업 외 1 종,032-684-2380,032-684-2382,금형강(절단 및 가공)+ 금형부품
2782,주식회사 성아특수강,경기도 부천시 원미구 부천로 328(도당동+ 주식회사 성아특수강 사옥),그 외 기타 1차 철강 제조업 외 1 종,032-684-2380,032-684-2382,금형강
2783,주식회사 성우엠엔에스,경기도 부천시 오정구 신흥로 424 (내동),합성수지 및 기타 플라스틱 물질 제조업,032-672-4991,032-672-4992,반도체 부품 및 조립+ 반도체용 튜브생산
2784,주식회사 성원내셔널,경기도 부천시 원미구 도약로 261 (도당동) 부천대우테크노파크 A동 911호,유선 통신장비 제조업,070-7826-6616,032-670-7899,다심인입용광분기기
2785,주식회사 성진몰드,경기도 부천시 오정구 원미로 277 (여월동),주형 및 금형 제조업,032-674-7503,032-674-7504,금형(의료기)
2786,주식회사 성호금속,경기도 부천시 오정구 오정로96번길 89 (삼정동),일반철물 제조업 외 1 종,032-679-8986,032-671-8988,진열장+ 금속가공품(철 헹거+ 철 옷걸이. 철장식장)
2787,주식회사 성호에스비씨,경기도 부천시 소사구 경인옛로 78+ (A동 서측일부) (소사본동),산업용 난방보일러 및 방열기 제조업 외 2 종,032-347-1131,032-347-2233,전기+온수보일러 펠릿보일러
2788,주식회사 세기,경기도 부천시 오정구오정로39번길 24-17 (삼정동),산업용 냉장 및 냉동 장비 제조업 외 3 종,032-676-1177,032-678-4216,냉난방기+열교환기
2789,주식회사 세기 제2공장,경기도 부천시 오정구 오정로39번길 24-13(삼정동),산업용 냉장 및 냉동 장비 제조업 외 4 종,032-677-3605,032-677-3883,에어컨디셔너+ 제습기+ 항온항습기+ 냉동기+ 공기조화기+ 열교환기+ 공기청정기
2790,주식회사 세린컴퍼니,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 334호,반도체 제조용 기계 제조업,,,레이저광학모듈
2791,주식회사 세이프티코리아,경기도 부천시 오정구 석천로 397+ 101동 10층 09 (삼정동+ 부천테크노파크쌍용3차),육상 금속 골조 구조재 제조업 외 6 종,032-624-3512,032-624-3513,차선분리대
2792,주식회사 세종테크,경기도 부천시 오정구 오정로133번길 34 (내동),산업용 냉장 및 냉동 장비 제조업 외 6 종,032-676-6634,032-673-6631,산업용 냉장 및 냉동장비
2793,주식회사 센트폴,경기도 부천시 원미구 길주로425번길 77+ 나동 2층(도당동),컴퓨터 제조업 외 1 종,,,컴퓨터서버+ 특수목적컴퓨터+ 향수/방향제/기초화장품
2794,주식회사 소식컴퍼니,경기도 부천시 오정구 오정로190번길 14+ 부광빌딩 3층 (오정동),남자용 겉옷 제조업 외 17 종,,,겉옷+ 속옷+ 가방+ 악세서리+ 유니폼
2795,주식회사 솔비트,경기도 부천시 원미구 조마루로385번길 122+ 10층 1022호 (춘의동+ 삼보테크노타워) 10층 1022호 외 3필지,그 외 기타 전자부품 제조업,070-8767-9913,070-8767-9917,컴퓨터 외관 모형 부품 제작
2796,주식회사 수리이엔씨,경기도 부천시 오정구 신흥로511번길 180 (오정동+ 레노부르크 부천) 601호 외 2필지,배전반 및 전기 자동제어반 제조업 외 4 종,032-676-2384,032-676-2380,프로세스제어반
2797,주식회사 승진사,경기도 부천시 오정구 수도로159번길 32+ B1층 (내동),액체 펌프 제조업,032-672-8690,,수중펌프
2798,주식회사 시원아이티,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 8층 809호 외 2필지,기타 주변기기 제조업,02-1566-7609,032-213-3301,신용카드결제 유.무선단말기+ 블루투스단말기
2799,주식회사 신성전기산업,경기도 부천시 오정구 오정로 27-12+ 4층 (삼정동),절연 코드세트 및 기타 도체 제조업,,032-614-4583,파워코드+ 멀티콘센트+ 연장선 등
2800,주식회사 신성테크,경기도 부천시 원미구  부천로198번길 36+ 102동 15층 02 (춘의동+ 춘의테크노파크) 102동 15층 02호,유선 통신장비 제조업 외 1 종,070-7322-7080,070-7322-7082,음성통화비상벨+ 무선통합보안시스템
2801,주식회사 신영메카닉스,경기도 부천시 원미구 도약로 261+ A동 5층 01+02 (도당동+ 부천대우테크노파크),음ㆍ식료품 및 담배 가공기계 제조업,032-670-7615,032-670-7616,식품기계
2802,주식회사 신진파워텍,경기도 부천시 원미구 수도로152번길 15+ B동 201호 (도당동),전자저항기 및 전자카드 제조업,032-674-1355,032-647-1356,히터
2803,주식회사 신흥티앤엘,경기도 부천시 원미구 원미로 205+ 207+208+505+506+507호 (춘의동+ 삼륭인더스파크),이동전화기 제조업 외 2 종,032-681-4524,032-681-4525,휴대전화 조립 (임가공)+LED램프(조명장치)
2804,주식회사 실버오션코리아,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 1414호,전자저항기 및 전자카드 제조업,032-259-3003,032-259-3004,전자관 전자저항기
2805,주식회사 실비노,경기도 부천시 소사구 양지로 247 (옥길동+ 광양프런티어밸리7차 지식산업센터) 709호,적층+ 합성 및 특수표면처리 종이 제조업 외 1 종,,,플라스틱 용기+ 방수 코팅 포장지
2806,주식회사 싸이터치,경기도 부천시 오정구 부천로439번길 51+ 4층 (내동),기타 주변기기 제조업,032-719-3223,032-719-3224,Touch PC+ Touch Monitor
2807,주식회사 쏠리드픽스(SOLIDFIX CO.+LTD),경기도 부천시 원미구 조마루로385번길 92+ 4층 422호 (원미동+ 부천테크노밸리 U1 center) 4층 422호,볼트 및 너트류 제조업,032-240-6052,032-240-6053,볼트 및 너트류
2808,주식회사 씨디아이,경기도 부천시 원미구 조마루로385번길 68 (원미동) (주)대성엘컴,플라스틱 접착처리 제품 제조업 외 1 종,032-324-2050,070-8673-7779,핸드폰충전기도포
2809,주식회사 씨스랩,경기도 부천시 원미구 평천로850번길 111+ C동 302호 (도당동),유선 통신장비 제조업 외 1 종,032-681-9301,032-681-9306,방송용장비+ 멀티플레서(허브) 등
2810,주식회사 씨엔씨코퍼레이션,경기도 부천시 원미구 부천로198번길 36 (춘의동+ 춘의테크노파크) 102동 2층 08호,과자류 및 코코아 제품 제조업,032-664-7077,032-664-7077,아이싱시트
2811,주식회사 씨웍스,경기도 부천시 원미구 원미로201번길 20+ 4층 (춘의동),그 외 기타 분류 안된 금속 가공 제품 제조업,032-662-3823,032-663-3823,NC가공품
2812,주식회사 씨큐리티에비던스,경기도 부천시 원미구 부천로198번길 36+ 101동 13층 06 (춘의동+ 춘의테크노파크),방송장비 제조업,032-671-6411,032-671-6414,CCTV CAMERA
2813,주식회사 아도테크플라즈마테크놀로지코리아,경기도 부천시 오정구 신흥로511번길 13-33+ 5층 (오정동),그 외 기타 전기장비 제조업,032-684-9566,032-684-9568,고주파 전원장치등
2814,주식회사 아디르,경기도 부천시 원미구 원미로 165+ 4층 (원미동),근무복+ 작업복 및 유사의복 제조업 외 19 종,032-710-5510,070-4325-5510,근무복+ 작업복 등 의류
2815,주식회사 아비뇽화장품,경기도 부천시 원미구 도약로 261+ A동 7층 01 (도당동+ 부천대우테크노파크) A동 7층 01호,화장품 제조업,032-326-2235,,헤어제품
2816,주식회사 아이에프씨,경기도 부천시 원미구 부천로309번길 18 (도당동) 3층,기타 직물제품 제조업 외 1 종,,0505-070-5514,마스크+ 방역용품+ 미용기기+ 전자기기 부품 등
2817,주식회사 아이온플래닛,경기도 부천시 원미구 수도로 88-26 (도당동+ 구심이엔지) 4층,기타 전기 변환장치 제조업,,,휴대폰무선충전기+ 케이블
2818,주식회사 아이케이푸드,경기도 부천시 오정구 삼작로115번길 65 (삼정동),떡류 제조업,032-201-8244,032-715-7790,떡볶이류
2819,주식회사 아이큐스,경기도 부천시 오정구 산업로7번길 10+ 4층 2호 (오정동+ 삼일테크(주)),주형 및 금형 제조업 외 2 종,02-6004-5401,032-677-5405,금형제작+전기조명장치 등
