연번,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수,데이터기준일자
1758,신일산업개발(주),육상 금속 골조 구조재 제조업,25113,충청북도 음성군 금왕읍 금일로 492-70,043-882-3229,043-882-0229,15,2025-08-31
1759,신일화학(주),일반용 도료 및 관련제품 제조업 외 1 종,20411,충청북도 음성군 금왕읍 금왕테크노3길 20,031-790-0812,031-790-0813,32,2025-08-31
1760,신진스틸(주),그 외 기타 1차 철강 제조업,24199,충청북도 음성군 금왕읍 대금로 1296,043-877-8981,043-877-8984,22,2025-08-31
1761,신진에스티피(주),운송장비 조립용 플라스틱제품 제조업 외 1 종,22241,충청북도 음성군 맹동면 맹동산단1길 27-5,043-873-7755,043-873-7756,48,2025-08-31
1762,신진화학㈜,기타 기계.장비 조립용 플라스틱 제품 제조업 외 2 종,22249,충청북도 음성군 맹동면 맹동산단1길 77,032-810-8208,032-810-8260,16,2025-08-31
1763,신창산업(주),육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 대소면 삼양로 638-27,043-881-9919,043-881-0224,10,2025-08-31
1764,신한모방(주),모 방적업,13102,충청북도 음성군 대소면 대동로692번길 153,043-881-8231,043-881-7720,54,2025-08-31
1765,신한에어텍중부(주),가정용 및 산업용 공기 조화장치 제조업 외 1 종,29172,충청북도 음성군 대소면 대성로77번길 70-5 외 1필지,043-881-5260,,10,2025-08-31
1766,신해산업(주),혼성 및 재생 플라스틱 소재 물질 제조업,20203,충청북도 음성군 맹동면 대동로 96 (총 6 필지) 외 5필지,043-877-4752,043-877-4753,11,2025-08-31
1767,신화산업,플라스틱 창호 제조업 외 1 종,22223,충청북도 음성군 생극면 임곡길 111,043-878-9994,,3,2025-08-31
1768,신화산업(주),인삼식품 제조업,10895,충청북도 음성군 음성읍 음성로367번길 39 (총 2 필지) 외 1필지,043-872-8856,043-872-8858,3,2025-08-31
1769,신화엔지니어링,기타 주변기기 제조업,26329,충청북도 음성군 대소면 삼양로 624,043-881-3727,043-882-3727,2,2025-08-31
1770,신화케미칼,혼성 및 재생 플라스틱 소재 물질 제조업,20203,충청북도 음성군 원남면 상당리 666-2번지,031-355-5661,031-355-5681,6,2025-08-31
1771,실크라인,그 외 기타 종이 및 판지 제품 제조업 외 1 종,17909,충청북도 음성군 맹동면 초금로 182-16,,,11,2025-08-31
1772,썬스타,도장 및 기타 피막처리업,25923,충청북도 음성군 대소면 대청로 57-21,043-537-9995,043-537-8556,2,2025-08-31
1773,쎄라콘크리트(주),"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",23324,충청북도 음성군 대소면 한삼로87번길 230-17 외 2필지,,043-883-6203,8,2025-08-31
1774,쏠리드(주),절삭가공 및 유사처리업,25924,충청북도 음성군 삼성면 대청로 256-9 외 1필지,043-877-2016,043-877-2017,0,2025-08-31
1775,쓰리준산업,부직포 및 펠트 제조업,13992,충청북도 음성군 금왕읍 금일로284번길 12,,,10,2025-08-31
1776,씨더블유소방산업(주),분사기 및 소화기 제조업,29192,충청북도 음성군 대소면 산내로107번길 81-21 외 1필지,043-536-0119,043-536-0118,8,2025-08-31
1777,씨더블유소방산업(주),분사기 및 소화기 제조업,29192,충청북도 음성군 금왕읍 유촌로 255-19 외 3필지,043-536-0119,043-536-0118,7,2025-08-31
1778,씨엔아이전선(주)음성지점,기타 절연선 및 케이블 제조업,28302,충청북도 음성군 금왕읍 봉곡리 549 외 1필지,043-750-7111,043-878-3107,50,2025-08-31
1779,씨엔티주식회사,배전반 및 전기 자동제어반 제조업 외 1 종,28123,충청북도 음성군 음성읍 한불로69번길 18,043-872-2461,031-737-2463,5,2025-08-31
1780,씨엘ENG,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 대소면 대금로196번길 52 외 1필지,043-535-1922,043-535-1966,28,2025-08-31
1781,씨제이푸드빌(주),빵류 제조업 외 5 종,10602,충청북도 음성군 대소산단로 20 (대소면) 외 8필지,043-530-7124,043-535-3827,509,2025-08-31
1782,씨카코리아(주),플라스틱 필름 제조업 외 1 종,22212,충청북도 음성군 금왕읍 금일로64번길 70,043-883-1223,043-883-1228,15,2025-08-31
1783,씨티소재(주),그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,23999,충청북도 음성군 맹동면 두레로 128-12,043-882-2640,043-882-2641,11,2025-08-31
1784,씨플러스원(주),특수 직물 및 기타 직물 직조업 외 1 종,13219,충청북도 음성군 삼성면 덕정로144번길 119 외 4필지,043-882-2371,043-882-2370,5,2025-08-31
1785,아름다운환경건설(주),육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 감곡면 감노로 6-9 외 1필지,031-776-2080,031-776-2090,15,2025-08-31
1786,아리아리(주),기타 과실ㆍ채소 가공 및 저장 처리업,10309,충청북도 음성군 맹동면 덕금로87번길 111-3 외 1필지,,,8,2025-08-31
1787,아성패키지,골판지 제조업 외 1 종,17211,충청북도 음성군 금왕읍 사창리 330-5번지 외 3필지,043-882-5063,043-882-5064,4,2025-08-31
1788,아세아전기,일반용 전기 조명장치 제조업,28422,충청북도 음성군 금왕읍 대금로 1006,043-882-5432,,3,2025-08-31
1789,아시아,기타 절연선 및 케이블 제조업,28302,충청북도 음성군 대소면 신내로 247-29 외 1필지,,,6,2025-08-31
1790,아시아산업안전(주),구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 삼성면 대정리 507,02-2069-2341,043-878-7533,5,2025-08-31
1791,아시아상사,폴리스티렌 발포 성형제품 제조업 외 1 종,22251,충청북도 음성군 금왕읍 금율로 220-22 (총 2 필지) 외 1필지,043-878-8781,043-878-8783,3,2025-08-31
1792,아시아에스(주),기타 플라스틱 발포 성형제품 제조업,22259,충청북도 음성군 삼성면 덕호로 518-20,02-427-4123,02-427-4124,15,2025-08-31
1793,아이씨아이(주),도장 및 기타 피막처리업,25923,충청북도 음성군 금왕읍 멍심이길 181-22,043-882-7881,043-882-7880,20,2025-08-31
1794,아이앤지산업(주),기타 건축용 나무제품 제조업,16229,충청북도 음성군 금왕읍 금율로 248,070-4349-0092,043-732-7246,3,2025-08-31
1795,아이에스동서(주) 음성지점,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23325,충청북도 음성군 금왕읍 덕금로 1042 (총 6 필지) 외 5필지,043-879-8054,043-878-0467,28,2025-08-31
1796,아이에스동서(주) 음성지점 2공장,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23325,충청북도 음성군 금왕읍 용계리 94번지 외 12필지 외 1필지,043-879-8054,043-878-0467,28,2025-08-31
1797,아이엠산업(주),"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",23324,충청북도 음성군 금왕읍 멍심이길 217-39 (총 7 필지) 외 6필지,043-877-8988,02-384-9945,10,2025-08-31
1798,아이코리아(주),"플라스틱 선, 봉, 관 및 호스 제조업",22211,충청북도 음성군 원남면 원소로37번길 31 외 1필지,043-877-9621,043-877-9620,8,2025-08-31
1799,아주야마이찌전기공업(주),그 외 기타 전자부품 제조업 외 1 종,26299,충청북도 음성군 삼성면 금일로 958 (아주야마이찌전기공업(주)),043-877-3361,043-877-3360,57,2025-08-31
1800,아진레이어 주식회사,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 금왕읍 금왕테크노5길 28,043-883-4530,043-878-4532,12,2025-08-31
1801,아진레이어(주),아스팔트 콘크리트 및 혼합제품 제조업,23991,충청북도 음성군 삼성면 덕정로144번길 113-29 외 3필지,043-883-4530,032-661-4543,5,2025-08-31
1802,아쿠아켐(주),그 외 기타 플라스틱 제품 제조업,22299,충청북도 음성군 대소면 대금로511번길 122,043-878-3021,043-878-3022,8,2025-08-31
1803,아크로젠(주),합성수지 및 기타 플라스틱 물질 제조업 외 1 종,20202,충청북도 음성군 감곡면 가곡로469번길 33 외 2필지,02-780-4000,,20,2025-08-31
1804,아태켐 주식회사,일반용 도료 및 관련제품 제조업,20411,충청북도 음성군 원남면 원남산단1길 32-24,043-873-8587,043-872-8587,2,2025-08-31
1805,알리막헥(주),기타 물품 취급장비 제조업,29169,충청북도 음성군 생극면 임곡길 113,,,5,2025-08-31
1806,알앤알지(주),"적층, 합성 및 특수표면처리 종이 제조업",17904,충청북도 음성군 금왕읍 금일로191번길 226 외 2필지,043-881-7777,043-881-0414,9,2025-08-31
1807,알에스(RS)유통,기타 기초 무기 화학물질 제조업,20129,충청북도 음성군 삼성면 천평길 143,043-532-9771,043-532-9772,3,2025-08-31
1808,알엔비이엔씨(주),육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 대소면 삼양로 838-26 외 2필지,051-203-1636,051-203-1635,2,2025-08-31
1809,알엔케이블(주),기타 절연선 및 케이블 제조업 외 2 종,28302,충청북도 음성군 삼성면 대덕로 272 외 1필지,043-881-0411,043-882-0421,20,2025-08-31
1810,알제이철강,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 대소면 태생리 241-3 외 1필지,,,5,2025-08-31
1811,알파산업,설치용 및 위생용 플라스틱제품 제조업,22222,충청북도 음성군 대소면 대금로 636,043-878-1104,043-877-0181,3,2025-08-31
1812,어브린어스(주),연마재 제조업,23992,충청북도 음성군 원남면 충청대로 490-23 외 1필지,031-499-8828,031-499-8829,0,2025-08-31
1813,에바프로,벽 및 바닥 피복용 플라스틱제품 제조업,22221,충청북도 음성군 삼성면 덕호로36번길 108-22 외 5필지,043-881-9406,043-881-9407,5,2025-08-31
1814,에스디아이,그 외 기타 분류 안된 섬유제품 제조업,13999,충청북도 음성군 삼성면 금일로700번길 55,043-883-6781,031-798-6785,7,2025-08-31
1815,에스아이케미칼(주),운송장비 조립용 플라스틱제품 제조업 외 1 종,22241,충청북도 음성군 삼성면 청용로 84,,,13,2025-08-31
1816,에스엠산업,폴리스티렌 발포 성형제품 제조업 외 1 종,22251,충청북도 음성군 금왕읍 금일로 489,,031-618-4591,10,2025-08-31
1817,에스엠인더스트리(주)서림하이팩,골판지 제조업 외 2 종,17211,충청북도 음성군 대소면 한삼로153번길 11,043-877-7007,043-881-1701,38,2025-08-31
1818,에스와이시스템창호,플라스틱 창호 제조업,22223,충청북도 음성군 대소면 한삼로 108-102 외 1필지,043-750-7401,043-750-7404,14,2025-08-31
1819,에스와이테크(주),그 외 자동차용 신품 부품 제조업 외 3 종,30399,충청북도 음성군 삼성면 금일로 679-59,043-883-8464,043-883-8466,9,2025-08-31
1820,에스제이,그외 기타 1차 철강 제조업,24199,충청북도 음성군 금왕읍 대금로 1296,043-877-8983,043-877-8984,2,2025-08-31
1821,에스제이세일기공(주)음성맹동지점,구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 맹동면 맹동산단로 37-11,041-352-1781,,30,2025-08-31
1822,에스제이켐,플라스틱 창호 제조업,22223,충청북도 음성군 삼성면 금율로 349-24 외 4필지,043-881-1999,,6,2025-08-31
1823,에스지에스한국(주),그 외 기타 분류 안된 화학제품 제조업,20499,충청북도 음성군 금왕읍 오선산단로 22-18,031-8003-3501,031-8002-3502,36,2025-08-31
1824,에스지에코(주),설치용 및 위생용 플라스틱제품 제조업,22222,충청북도 음성군 금왕읍 초금로 423-15,031-983-5441,031-982-5441,8,2025-08-31
1825,에스케이리사이클(주),기타 건축용 플라스틱 조립제품 제조업,22229,충청북도 음성군 대소면 대동로692번길 172 외 1필지,043-882-2770,043-882-2771,6,2025-08-31
1826,에쓰푸드(주) 음성공장,가금류 가공 및 저장 처리업 외 4 종,10121,충청북도 음성군 원남면 원남산단로 60,043-870-5000,043-872-8191,340,2025-08-31
1827,에이앤에치(A＆H)창호,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",25111,충청북도 음성군 대소면 오태로116번길 225-68,043-881-9996,043-881-9998,10,2025-08-31
1828,에이에스에프(주),일반용 도료 및 관련제품 제조업,20411,충청북도 음성군 대소면 대금로 688 외 4필지,043-881-1011,043-881-1010,63,2025-08-31
1829,에이엠산업,"플라스틱 선, 봉, 관 및 호스 제조업",22211,충청북도 음성군 음성읍 신천리 699번지 외 2필지,,,12,2025-08-31
1830,에이엠씨(주),플라스틱 접착처리 제품 제조업 외 1 종,22291,충청북도 음성군 금왕읍 멍심이길 195,043-882-6800,,60,2025-08-31
1831,에이지디주식회사,디스플레이 제조용 기계 제조업,29272,충청북도 음성군 맹동면 태정로 36,031-366-7955,031-366-7965,6,2025-08-31
1832,에이치디현대건설기계(주),건설 및 채광용 기계장비 제조업,29241,충청북도 음성군 소이면 대장리 1-8,043-871-6009,043-871-6140,63,2025-08-31
1833,에이치디현대에너지솔루션(주),발광 다이오드 제조업 외 9 종,26121,충청북도 음성군 소이면 소이로 313 외 3필지,043-871-6793,043-871-6904,145,2025-08-31
1834,에이치비티(주),그 외 기타 분류 안된 화학제품 제조업 외 2 종,20499,충청북도 음성군 금왕읍 금왕테크노로 62,02-2040-6506,02-2040-6508,40,2025-08-31
1835,에이치앤피(주),일반용 도료 및 관련제품 제조업,20411,충청북도 음성군 금왕읍 오선산단로 22-38,043-881-5960,043-881-5966,9,2025-08-31
1836,에이치엔씨(주),비금속광물 분쇄물 생산업 외 1 종,23993,충청북도 음성군 생극면 병암길 92,043-877-5700,043-877-5712,3,2025-08-31
1837,에이치엠케이피씨(주),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23325,충청북도 음성군 생극면 신양리 40-34 외 1필지,043-883-1995,043-883-1996,4,2025-08-31
1838,에이치케이이노엔(주),완제 의약품 제조업 외 1 종,21210,"충청북도 음성군 대소면 대소산단로 20, 외3필지",043-530-7040,043-532-2670,190,2025-08-31
1839,에이푸드 주식회사,천연 및 혼합조제 조미료 제조업 외 7 종,10832,충청북도 음성군 삼성면 하이텍산단로 81 (총 3 필지) 외 2필지,043-880-5100,043-880-5105,46,2025-08-31
1840,에코가설,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 삼성면 금일로700번길 52-45 외 2필지,043-750-8595,043-873-8213,3,2025-08-31
1841,에코리아(주),기타 건축용 나무제품 제조업 외 4 종,16229,충청북도 음성군 원남면 덕정리 506 외 3필지,070-7734-0510,043-873-8459,3,2025-08-31
1842,에코매종,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 음성읍 신천리 244-1,,,3,2025-08-31
1843,에코인하우스,기타 구조용 금속제품 제조업,25119,충청북도 음성군 음성읍 음성로 342,,,2,2025-08-31
1844,에프엘코리아(주),매트리스 및 침대 제조업,32011,충청북도 음성군 대소면 한삼로 150-39 외 1필지,043-883-6263,043-883-6264,12,2025-08-31
1845,엑소후레쉬물류(주)음성,두부 및 유사식품 제조업,10894,"충청북도 음성군 대소면 대물로 36, 가동 3층",043-923-6300,070-7614-2073,3,2025-08-31
1846,엑스올주식회사,유압기기 제조업,29120,충청북도 음성군 감곡면 문촌리 899-42,043-750-7440,043-750-7441,12,2025-08-31
1847,엔비테크,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 맹동면 대동로 136,043-882-3771,043-882-3774,2,2025-08-31
1848,엔씨아이(주),운송장비 조립용 플라스틱제품 제조업 외 1 종,22241,충청북도 음성군 삼성면 덕호로 104,043-878-7405,043-878-7404,8,2025-08-31
1849,엔씨에이취코리아(주),그 외 기타 분류 안된 화학제품 제조업 외 2 종,20499,충청북도 음성군 대소면 대금로 742-16,043-877-2961,043-877-2960,10,2025-08-31
1850,엔아이건설산업(주),구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 금왕읍 음성로 1376-20,042-635-8012,042-623-8013,4,2025-08-31
1851,엔에이치(주),"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종",25111,충청북도 음성군 삼성면 대청로 233-40,054-453-9601,054-453-9602,3,2025-08-31
1852,엔엘에스(주),기타 건축용 플라스틱 조립제품 제조업,22229,충청북도 음성군 대소면 멍심이길 38,1577-1719,043-878-4578,4,2025-08-31
1853,엔텍이앤씨(주),기체 여과기 제조업 외 1 종,29175,충청북도 음성군 감곡면 영산로 453,02-2040-6996,043-882-8335,25,2025-08-31
1854,엔텍이앤씨(주) 제2공장,기체 여과기 제조업 외 1 종,29175,충청북도 음성군 감곡면 오향리 172,02-2040-6996,043-882-8335,15,2025-08-31
1855,엘베스트엘코(주),계면활성제 제조업 외 3 종,20421,충청북도 음성군 대소면 수태로 95-29,043-883-6601,043-883-6603,2,2025-08-31
1856,엘베스트지에이티(주),그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 대소면 수태로 95-30,043-882-2378,043-881-2378,10,2025-08-31
1857,엘이솔루션㈜,그 외 기타 특수목적용 기계 제조업,29299,충청북도 음성군 대소면 대동로 442,043-878-9501,043-878-9502,4,2025-08-31
1858,엘케이동성롤,고무패킹류 제조업 외 1 종,22191,충청북도 음성군 금왕읍 금일로546번길 66 외 1필지,043-877-2921,043-877-2920,15,2025-08-31
1859,엠에스바이오텍(주),건강기능식품 제조업 외 1 종,10897,충청북도 음성군 대소면 미산길 25,043-877-4032,043-877-4034,62,2025-08-31
1860,엠에스바이오텍(주) 제2공장,식물성 유지 제조업 외 3 종,10412,충청북도 음성군 대소면 내산길97번길 43,043-877-4032,043-877-4034,10,2025-08-31
1861,엠에스바이오텍(주) 펫케어사업부,반려동물용 사료 제조업 외 1 종,10901,충청북도 음성군 대소면 내산길97번길 48,043-877-4032,043-877-4034,10,2025-08-31
1862,엠에스스틸산업(주),육상 금속 골조 구조재 제조업,25113,충청북도 음성군 금왕읍 구계리 610 외 1필지,043-881-1815,043-881-1817,29,2025-08-31
1863,엠에스티(주),금속탱크 및 저장용기 제조업,25122,충청북도 음성군 금왕읍 쌍봉리 95-4 외 3필지,043-877-6643,,4,2025-08-31
1864,엠엠라이트(유),"천막, 텐트 및 유사 제품 제조업",13224,충청북도 음성군 금왕읍 금왕테크노2길 56,02-6243-0778,02-6243-0779,4,2025-08-31
1865,엠제이바이오(주),식물성 유지 제조업,10412,충청북도 음성군 대소면 대동로 683-47,,041-933-9477,2,2025-08-31
1866,엠케이전자(주),기타 반도체소자 제조업,26129,충청북도 음성군 원남면 원남산단로 157 외 1필지,031-330-1945,031-330-6817,80,2025-08-31
1867,여산석 조각원,기타 석제품 제조업,23919,충청북도 음성군 소이면 충청대로 1994-12,070-7755-2620,043-872-2624,4,2025-08-31
1868,영농조합법인 음성청정티엠알,반려동물용 사료 제조업 외 2 종,10901,충청북도 음성군 생극면 오신로 131-3 (총 8 필지) 외 7필지,,043-882-5556,7,2025-08-31
1869,영농조합법인산정푸드,기타 과실ㆍ채소 가공 및 저장 처리업 외 2 종,10309,충청북도 음성군 맹동면 덕금로 36,043-877-8822,043-881-7744,15,2025-08-31
1870,영덕시스템,금속탱크 및 저장용기 제조업,25122,충청북도 음성군 대소면 대금로105번길 92-27 외 2필지,043-882-1852,043-882-1853,5,2025-08-31
1871,영도테크(주),플라스틱 접착처리 제품 제조업,22291,충청북도 음성군 금왕읍 신평리 365,043-877-3137,043-877-3138,6,2025-08-31
1872,영동산업,일반 제재업,16101,충청북도 음성군 금왕읍 대금로 1004-1 외 6필지,043-532-7707,,5,2025-08-31
1873,영메탈(주),"알루미늄 제련, 정련 및 합금 제조업",24212,충청북도 음성군 금왕읍 행제길76번길 130 외 1필지,043-882-9549,043-877-9549,2,2025-08-31
1874,영수산업,금속탱크 및 저장용기 제조업 외 3 종,25122,"충청북도 음성군 대소면 대물1길 6-14, (오류리 818)",043-882-8906,043-882-8907,5,2025-08-31
1875,영우산업기계,컨베이어장치 제조업 외 1 종,29163,충청북도 음성군 대소면 대풍리 276-2번지,043-532-5820,043-532-5821,4,2025-08-31
1876,영우인더스트리,"플라스틱 포대, 봉투 및 유사제품 제조업",22231,충청북도 음성군 금왕읍 금일로 643,043-883-8935,070-4255-5161,4,2025-08-31
1877,영원씨앤피(주),그 외 기타 종이 및 판지 제품 제조업,17909,충청북도 음성군 대소면 대금로511번길 96-13,043-881-0716,043-882-0716,8,2025-08-31
1878,영원씨앤피(주) 제2공장,판지 상자 및 용기 제조업 외 2 종,17222,충청북도 음성군 대소면 대금로511번길 96-5,043-881-0716,,10,2025-08-31
1879,영재금형,기체 여과기 제조업,29175,충청북도 음성군 대소면 내산길97번길 34-13 외 2필지,043-881-3847,043-882-4847,6,2025-08-31
1880,영지하네스,세폭직물 제조업 외 2 종,13991,충청북도 음성군 감곡면 오갑길192번길 11,043-881-1033,043-881-1034,4,2025-08-31
1881,영진아크릴,혼성 및 재생 플라스틱 소재 물질 제조업 외 2 종,20203,충청북도 음성군 대소면 한삼로153번길 76-40 (대소면),043-883-3711,,6,2025-08-31
1882,영진엠피씨(주),기타 인쇄업 외 1 종,18119,충청북도 음성군 삼성면 대덕로 63-78 외 4필지,043-883-8555,043-883-8557,15,2025-08-31
1883,영진텐트,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 대소면 소석리 479-3 외 1필지,043-881-1247,043-881-1244,10,2025-08-31
1884,영진피이티(주),포장용 플라스틱 성형용기 제조업 외 1 종,22232,충청북도 음성군 금왕읍 금왕테크노1길 115,043-882-9045,043-882-9091,14,2025-08-31
1885,영진휠타산업,그 외 기타 분류 안된 섬유제품 제조업,13999,충청북도 음성군 금왕읍 금일로546번길 52,043-878-7660,043-878-7661,7,2025-08-31
1886,영하이테크(주),"알루미늄 제련, 정련 및 합금 제조업",24212,충청북도 음성군 삼성면 덕정로144번길 113-17,043-882-9549,043-877-9549,5,2025-08-31
1887,영화금속(주),절연 코드세트 및 기타 도체 제조업,28303,충청북도 음성군 금왕읍 금일로191번길 195,043-881-5124,043-881-5123,8,2025-08-31
1888,영흥식품(주),천연 및 혼합조제 조미료 제조업 외 1 종,10832,충청북도 음성군 대소면 산내로 147-31,02-429-8888,02-429-3030,40,2025-08-31
1889,예손기업(주),기타 건축용 플라스틱 조립제품 제조업,22229,충청북도 음성군 금왕읍 금율로 220-60 외 1필지,043-877-1950,043-877-1954,12,2025-08-31
1890,예승폼텍,기타 구조용 금속제품 제조업 외 1 종,25119,충청북도 음성군 삼성면 대청로 115-15 외 2필지,,,0,2025-08-31
1891,예진,기타 목재가구 제조업,32029,충청북도 음성군 대소면 수태로 123-18,,,5,2025-08-31
1892,오공장,곡물 도정업,10511,충청북도 음성군 음성천서길 35 -2(음성읍),043-882-9797,043-881-9797,5,2025-08-31
1893,오뚜기제유(주),식용 정제유 및 가공유 제조업 외 8 종,10413,충청북도 음성군 생극면 음성로 1506-27,043-877-4461,043-877-4464,101,2025-08-31
1894,오성에프엠씨,구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 금왕읍 유촌로 148 외 1필지,043-882-5571,043-881-0941,2,2025-08-31
1895,오성특수도장,도장 및 기타 피막처리업,25923,충청북도 음성군 생극면 대금로 1976-8 외 1필지,043-881-9163,043-881-9165,15,2025-08-31
1896,오션메탈 주식회사,강관 가공품 및 관 연결구류 제조업,24133,충청북도 음성군 대소면 성본산단1로 298,031-405-3055,031-405-3057,7,2025-08-31
1897,오션에스비 주식회사,강관 가공품 및 관 연결구류 제조업,24133,충청북도 음성군 대소면 성본산단1로 298,043-750-8055,043-750-8056,10,2025-08-31
1898,오키내추럴(주),기타 식품 첨가물 제조업 외 1 종,10839,충청북도 음성군 생극면 음성로1340번길 43-10,043-877-6276,043-877-6279,2,2025-08-31
1899,올바른식품,가금류 가공 및 저장 처리업,10121,충청북도 음성군 소이면 소이로 19 외 3필지,043-873-0231,043-873-0230,11,2025-08-31
1900,올품퍼니처(주),기타 목재가구 제조업,32029,충청북도 음성군 감곡면 오향리 670-5,043-871-8223,043-881-9991,16,2025-08-31
1901,올품퍼니처(주),기타 목재가구 제조업,32029,충청북도 음성군 대소면 대동로 450-7 외 1필지,043-877-0090,043-878-0091,25,2025-08-31
1902,와이에이치산업(주),기타 구조용 금속제품 제조업,25119,충청북도 음성군 대소면 한삼로 150-25,,050-8097-3037,15,2025-08-31
1903,와이제이창호,플라스틱 창호 제조업,22223,충청북도 음성군 대소면 한삼로 150-27,043-881-4183,043-877-6970,10,2025-08-31
1904,와이티에스(YTS INC),표면광택제 및 실내가향제 제조업,20424,충청북도 음성군 음성읍 한불로69번길 12-5,043-873-2048,,3,2025-08-31
1905,와이피(주),그 외 자동차용 신품 부품 제조업 외 1 종,30399,충청북도 음성군 삼성면 금일로700번길 52-50 외 5필지,043-927-2002,043-927-2003,12,2025-08-31
1906,용성산업(주),육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 삼성면 용성로 61-8,043-882-4071,043-882-4073,10,2025-08-31
1907,우리산업,운송장비 조립용 플라스틱제품 제조업,22241,충청북도 음성군 맹동면 맹동산단1길 52,,043-882-7730,5,2025-08-31
1908,우리시스템창호,플라스틱 창호 제조업,22223,"충청북도 음성군 삼성면 금일로700번길 31, 나동",,043-883-3167,10,2025-08-31
1909,우리와 주식회사,반려동물용 사료 제조업 외 1 종,10901,충청북도 음성군 금왕읍 금왕테크노로 107,043-870-5200,043-883-4845,66,2025-08-31
1910,우리정공,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 삼성면 덕정로144번길 113-56 외 2필지,,,3,2025-08-31
1911,우리플라텍(주),운송장비 조립용 플라스틱제품 제조업 외 1 종,22241,충청북도 음성군 대소면 대금로196번길 71 외 1필지,043-532-9063,043-532-9065,25,2025-08-31
1912,우성유압기계,금속 성형기계 제조업,29224,충청북도 음성군 대소면 한삼로153번길 74-23,,,5,2025-08-31
1913,우성피앤이(주),기타 플라스틱 발포 성형제품 제조업,22259,충청북도 음성군 삼성면 금일로 955-32,031-790-1066,031-790-1068,4,2025-08-31
1914,우신복층유리(주),안전유리 제조업 외 2 종,23112,충청북도 음성군 삼성면 대덕로 315,031-795-0070,031-795-0130,13,2025-08-31
1915,우인전선,"플라스틱 선, 봉, 관 및 호스 제조업",22211,충청북도 음성군 맹동면 덕금로 278,043-878-6577,043-878-6576,2,2025-08-31
1916,우정기업(주),승강기 제조업,29162,충청북도 음성군 대소면 성본산단1로 127,031-355-3041,031-355-3042,26,2025-08-31
1917,우지막코리아(주),위생용 및 산업용 도자기 제조업,23222,충청북도 음성군 삼성면 대성로 259,043-878-8486,043-878-4829,73,2025-08-31
1918,우진산업,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 대소면 대금로196번길 86,043-535-1922,043-535-1966,12,2025-08-31
1919,우화농장,복합비료 및 기타 화학비료 제조업 외 1 종,20312,충청북도 음성군 감곡면 상우길 199,043-881-3600,043-882-9988,3,2025-08-31
1920,원당식품,곡물 제분업,10512,충청북도 음성군 감곡면 음성로2121번길 96,,,5,2025-08-31
1921,원실업,반려동물용 사료 제조업 외 1 종,10901,충청북도 음성군 삼성면 금일로965번길 73 외 1필지,02-525-7667,050-4249-0549,2,2025-08-31
1922,원일,고무패킹류 제조업 외 1 종,22191,충청북도 음성군 원남면 상당리 333번지,043-872-8420,043-872-8421,10,2025-08-31
1923,원일,고무패킹류 제조업 외 1 종,22191,충청북도 음성군 원남면 상당리 714번지,043-872-8420,043-872-8421,14,2025-08-31
1924,원진산업,구름베어링 제조업,29141,충청북도 음성군 음성읍 용광로 144 외 4필지,,,6,2025-08-31
1925,원진산업 ,구름베어링 제조업,29141,충청북도 음성군 음성읍 한불로69번길 30,043-873-3407,,8,2025-08-31
1926,원창공업(주),운송장비 조립용 플라스틱제품 제조업 외 2 종,22241,충청북도 음성군 금왕읍 멍심이길264번길 34,043-877-5541,043-881-4028,18,2025-08-31
1927,원창단미사료,반려동물용 사료 제조업 외 2 종,10901,충청북도 음성군 대소면 대금로54번길 50,043-535-1144,043-535-1273,4,2025-08-31
1928,원테크글로벌(주),주형 및 금형 제조업 외 1 종,29293,충청북도 음성군 금왕읍 유촌산단로 53 외 1필지,,031-653-8889,20,2025-08-31
