연번,업체명,소재지,업종구분,산업분류코드,전화번호,팩스번호,고용인원수,데이터기준일자
2455,에이블,"광주광역시 광산구 하남산단6번로 57,  (오선동) 산업동 6층 603호",기타 전기 변환장치 제조업  ,28119,,,1,2025-09-04
2456,에이비메디컬(주),광주광역시 광산구 진곡산단중앙로 239 (고룡동),그 외 기타 의료용 기기 제조업,27199,062-710-5006,,10,2025-09-04
2457,에이스FA,광주광역시 광산구 진곡산단중앙로 277 (고룡동),배전반 및 전기 자동제어반 제조업,28123,062-973-8712,062-973-8713,6,2025-09-04
2458,에이스산업(주),광주광역시 광산구 평동로803번안길 93-5 (용동),기타 기초 무기 화학물질 제조업,20129,062-943-1775,062-943-0398,11,2025-09-04
2459,에이시스템,"광주광역시 광산구 하남산단6번로 57,  (오선동) 산업동 3층 312호",배전반 및 전기 자동제어반 제조업,28123,,,1,2025-09-04
2460,에이엘테크엠(주),광주광역시 광산구 평동산단로 238 (월전동),금속 표시판 제조업,25994,062-972-5420,062-972-5421,3,2025-09-04
2461,에이원호이스트,광주광역시 광산구 하남산단천변좌로 53 (안청동),기타 물품 취급장비 제조업,29169,062-956-5310,,3,2025-09-04
2462,에이치에스엔지니어링(주) ,광주광역시 광산구 진곡산단5번로 5 (진곡동),배전반 및 전기 자동제어반 제조업,28123,062-942-3370,062-942-3378,6,2025-09-04
2463,에이치제이이앤지(주),광주광역시 광산구 하남산단8번로 127-18 (안청동),그 외 자동차용 신품 부품 제조업  ,30399,062-955-5079,062-955-5071,11,2025-09-04
2464,에이치케이산업,광주광역시 광산구 풍영철길로 190-22 (운남동),"금속 문, 창, 셔터 및 관련제품 제조업",25111,,,5,2025-09-04
2465,에이치케이테크(주),"광주광역시 광산구 진곡산단1번로 69, 광주광역시광산구진곡산단1번로69(오선동, 에이치케이테크(주))",일반용 전기 조명장치 제조업  ,28422,062-954-1280,,3,2025-09-04
2466,에이테크솔루션(주),광주광역시 광산구 하남산단6번로 21 (오선동),주형 및 금형 제조업,29293,062-959-6030,062-959-6043,41,2025-09-04
2467,에이테크솔루션(주),광주광역시 광산구 하남산단6번로 21-8(오선동),주형 및 금형 제조업,29293,062-959-6031,,35,2025-09-04
2468,에코솔루션(주),광주광역시 광산구 평동산단8번로 99 (연산동),전구 및 램프 제조업  ,28410,061-383-3220,061-383-3221,4,2025-09-04
2469,에코플라스틱(주),광주광역시 광산구 평동산단로169번길 25 (월전동),그 외 자동차용 신품 부품 제조업,30399,054-770-3222,054-771-3101,50,2025-09-04
2470,에프알이피동국산업(주),광주광역시 광산구 평동로803번길 163 (옥동),폴리스티렌 발포 성형제품 제조업  ,22251,062-946-5700,062-946-5711,13,2025-09-04
2471,에프엘오토 주식회사,광주광역시 광산구 어등대로621번길 14 (소촌동),소파 및 기타 내장가구 제조업  ,32019,062-961-0530,062-961-0351,3,2025-09-04
2472,엑스페론(주),광주광역시 광산구 하남산단천변우로 128 (도천동),기타 운동 및 경기용구 제조업  ,33309,062-945-5880,062-945-5850,27,2025-09-04
2473,엑스페론골프(주),광주광역시 광산구 평동산단1번로 51 (옥동),기타 운동 및 경기용구 제조업,33309,062-945-5880,062-945-5850,14,2025-09-04
2474,엔브이에이치오버헤드시스템(주),광주광역시 광산구 소촌로85번길 40-18 (소촌동),자동차 차체용 신품 부품 제조업  ,30320,062-941-0890,062-941-0895,40,2025-09-04
2475,엔씨지 주식회사,"광주광역시 광산구 북문대로 863-1, 2층 (비아동)",간판 및 광고물 제조업,33910,062-575-8637,062-575-8639,2,2025-09-04
2476,엔엔티(주),광주광역시 광산구 하남산단천변좌로 53-11 (안청동),산업처리공정 제어장비 제조업  ,27216,,,3,2025-09-04
2477,엔텍스(주),광주광역시 광산구 평동산단로 229 (옥동),기체 여과기 제조업  ,29175,062-944-4561,062-944-4562,20,2025-09-04
2478,엘글로벌(주),"광주광역시 광산구 하남산단9번로 39-12, 2,3층 (안청동)",유선 통신장비 제조업  ,26410,062-953-0661,062-443-0075,5,2025-09-04
2479,엘기업(주),광주광역시 광산구 평동산단1번로 145 (장록동),"산업용 오븐, 노 및 노용 버너 제조업",29150,062-371-5717,062-371-5717,1,2025-09-04
2480,엘림대신창호(주),광주광역시 광산구 평동로735번길 36 (옥동),플라스틱 창호 제조업,22223,062-942-1044,062-943-1044,9,2025-09-04
2481,엘림산업,"광주광역시 광산구 소촌로85번길 40-15, D동 (소촌동)",자동차 차체용 신품 부품 제조업,30320,,,1,2025-09-04
2482,엘앤에스(주),광주광역시 광산구 진곡산단3번로 41-27 (진곡동),그 외 기타 전자부품 제조업  ,26299,062-433-3554,062-430-5655,9,2025-09-04
2483,엘엠정밀기게,광주광역시 광산구 하남산단9번로 181 (도천동),금속 절삭기계 제조업,29223,062-956-8131,,2,2025-09-04
2484,엘엠정밀기계,광주광역시 광산구 진곡산단6번로 17 (고룡동) 엘엠정밀기계,그 외 기타 전자부품 제조업,26299,062-956-8131,,6,2025-09-04
2485,엘지이노텍(주),광주광역시 광산구 하남산단5번로 26 (장덕동) 외 7필지,운송장비용 조명장치 제조업  ,28421,062-950-0114,062-951-2462,717,2025-09-04
2486,엠에스산업,"광주광역시 광산구 하남산단5번로 42, 나동(장덕동)",구조용 금속 판제품 및 공작물 제조업  ,25112,,,3,2025-09-04
2487,엠에스정공,광주광역시 광산구 평동로803번안길 93-7 (용동),자동차용 금속 압형제품 제조업,25913,,062-942-0081,6,2025-09-04
2488,엠에이(주),"광주광역시 광산구 하남산단천변좌로 105, 주1동, 주2동 (안청동)",기타 목재가구 제조업  ,32029,,062-512-6663,2,2025-09-04
2489,엠에이에스피,광주광역시 광산구 하남산단6번로 73-12(오선동),그 외 기타 일반목적용 기계 제조업,29199,062-716-5005,062-716-5006,5,2025-09-04
2490,엠에이에스피 ,광주광역시 광산구 하남산단7번로 66(오선동),그 외 기타 일반목적용 기계 제조업,29199,062-954-6617,,5,2025-09-04
2491,엠에이전기,광주광역시 광산구 풍영정길 345-35 (신창동),육상 금속 골조 구조재 제조업  ,25113,,062-955-8947,2,2025-09-04
2492,엠에이치몰드에칭,"광주광역시 광산구 진곡산단5번로 52, 엠에이치몰드에칭(A15-11)(진곡동)",주형 및 금형 제조업,29293,062-954-6348,,3,2025-09-04
2493,엠에이치엔지니어링,"광주광역시 광산구 하남산단천변우로 126-2, 101동 (도천동)",산업처리공정 제어장비 제조업,27216,062-955-1954,062-952-1954,3,2025-09-04
2494,엠엔티(주),광주광역시 광산구 하남산단천변좌로 53-11 (안청동),기타 가공 공작기계 제조업  ,29229,,,3,2025-09-04
2495,엠제이테크,광주광역시 광산구 하남산단9번로 41 (안청동),그 외 기타 특수목적용 기계 제조업  ,29299,,062-719-8383,2,2025-09-04
2496,엠제이테크,"광주광역시 광산구 하남산단4번로 95-5, 주4동 (장덕동)",기타 기계.장비 조립용 플라스틱 제품 제조업  ,22249,,062-710-9011,1,2025-09-04
2497,엠티에스(주),광주광역시 광산구 진곡산단1번로 85 (오선동),일반철물 제조업  ,25932,062-955-6510,062-956-6510,14,2025-09-04
2498,엠피케이정공(유),광주광역시 광산구 평동로 845 (옥동),금속 절삭기계 제조업,29223,062-953-1411,062-953-1412,20,2025-09-04
2499,연우테크,광주광역시 광산구 하남산단9번로 140 (안청동),그 외 기타 특수목적용 기계 제조업,29299,062-955-9171,,1,2025-09-04
2500,연화식품,광주광역시 광산구 수완동 363-3번지,기타 과실ㆍ채소 가공 및 저장 처리업,10309,,,2,2025-09-04
2501,열린산업,광주광역시 광산구 하남산단10번로 115-28 (안청동),도장 및 기타 피막처리업,25923,,,2,2025-09-04
2502,영신정밀공업(주),광주광역시 광산구 하남산단6번로 24-12 (오선동),알루미늄주물 주조업,24321,062-951-0194,062-951-0191,8,2025-09-04
2503,영신종합식품,"광주광역시 광산구 장안길 88 (안청동, 영신종합식품)",김치류 제조업  ,10301,062-954-2723,,10,2025-09-04
2504,영에어텍,"광주광역시 광산구 하남산단6번로 57,(오선동) 지식동 10층 6호",기체 여과기 제조업,29175,070-7529-4981,062-951-4983,3,2025-09-04
2505,영우정밀,광주광역시 광산구 하남산단7번로 135-22 (오선동),기타 가공 공작기계 제조업,29229,062-952-8598,062-952-8598,3,2025-09-04
2506,영우하이테크(주),광주광역시 광산구 진곡산단중앙로 285 (고룡동),주형 및 금형 제조업,29293,,,15,2025-09-04
2507,영일기계산업,"광주광역시 광산구 진곡산단3번로 41-34, A20-3 (진곡동)",그 외 기타 일반목적용 기계 제조업  ,29199,062-951-6801,062-951-6802,5,2025-09-04
2508,영지산업,광주광역시 광산구 도천동 449-6번지 외 1필지,골판지 제조업  ,17211,,,5,2025-09-04
2509,영진건설(주),광주광역시 광산구 하남산단2번로 39 (하남동),구조용 금속 판제품 및 공작물 제조업  ,25112,062-954-0850,062-951-6409,7,2025-09-04
2510,영진건설(주),광주광역시 광산구 하남산단6번로 14-8 (오선동),가정용 및 산업용 공기 조화장치 제조업  ,29172,062-956-2490,,8,2025-09-04
2511,영진공업,광주광역시 광산구 평동산단1번로 57 (옥동),자동차용 금속 압형제품 제조업  ,25913,062-943-8895,062-945-8868,16,2025-09-04
2512,영진공조(주),광주광역시 광산구 하남산단6번로 14-8 (오선동),가정용 및 산업용 공기 조화장치 제조업  ,29172,062-956-2490,,12,2025-09-04
2513,영진전자(주) ,광주광역시 광산구 진곡산단6번로 25-30 (고룡동),전자축전기 제조업,26291,062-944-1136,,18,2025-09-04
2514,영진정밀기어,광주광역시 광산구 손재로 376 (오선동),기어 및 동력전달장치 제조업,29142,062-956-7638,062-953-7638,3,2025-09-04
2515,영진정밀기어,광주광역시 광산구 손재로 376 (오선동),기어 및 동력전달장치 제조업,29142,062-956-7638,062-953-7638,2,2025-09-04
2516,영진출판,광주광역시 광산구 하남산단9번로 186-39 (도천동),제책업,18122,062-367-7334,062-366-1010,2,2025-09-04
2517,영진테크,광주광역시 광산구 도천북길 67 (도천동),그 외 기타 분류 안된 금속 가공 제품 제조업  ,25999,,062-959-3210,5,2025-09-04
2518,영창산업(주),광주광역시 광산구 평동로803번길 162 (옥동),자동차 차체용 신품 부품 제조업  ,30320,062-714-3232,30334407757,22,2025-09-04
2519,영창산업(주),광주광역시 광산구 평동로803번길 158-11 (옥동),자동차 차체용 신품 부품 제조업  ,30320,062-714-3232,0303-3440-7757,5,2025-09-04
2520,영풍금형,광주광역시 광산구 손재로 436-20 (오선동),주형 및 금형 제조업,29293,062-952-0353,,14,2025-09-04
2521,영풍금형,광주광역시 광산구 진곡산단3번로 59-36 (진곡동),주형 및 금형 제조업,29293,062-952-0352,,14,2025-09-04
2522,예광가설재,광주광역시 광산구 신가동 200-86번지,육상 금속 골조 구조재 제조업,25113,,,5,2025-09-04
2523,예성코리안,광주광역시 광산구 신창동 12-20번지 외 1필지,그 외 기타 가구 제조업,32099,,,5,2025-09-04
2524,예인금속(주),광주광역시 광산구 도천남길 41-53 (도천동),"금속 문, 창, 셔터 및 관련제품 제조업",25111,062-513-8762,062-512-4567,5,2025-09-04
2525,예주산업,광주광역시 광산구 신촌동 681-40번지,"금속 문, 창, 셔터 및 관련제품 제조업",25111,,062-374-5873,3,2025-09-04
2526,오래오래아름답게,광주광역시 광산구 삼도세동길 28-10 (송산동),장류 제조업,10833,,,3,2025-09-04
2527,오부자산업(주),"광주광역시 광산구 하남산단4번로 95-13, 1동, 2동(장덕동)",주형 및 금형 제조업,29293,,,3,2025-09-04
2528,오션클린폴리머,광주광역시 광산구 평동산단외로 111-27 (지죽동) 외 6필지,혼성 및 재생 플라스틱 소재 물질 제조업,20203,,062-384-9998,6,2025-09-04
2529,오앤케이(주),"광주광역시 광산구 임곡로 403, 오앤케이(주)(고룡동)",그 외 기타 금속가공업,25929,061-381-7660,,4,2025-09-04
2530,오양물산(주),광주광역시 광산구 용아로 534-26 (장덕동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-953-0006,062-955-0030,14,2025-09-04
2531,오양물산(주)제2공장 ,광주광역시 광산구 하남산단2번로 125 (하남동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-953-0006,062-955-0030,1,2025-09-04
2532,오정테크 ,광주광역시 광산구 장덕동 977-17번지,절삭가공 및 유사처리업,25924,,,4,2025-09-04
2533,오정테크 ,광주광역시 광산구 장덕동 977-27번지,주형 및 금형 제조업,29293,,,5,2025-09-04
2534,오존층살리고(주),광주광역시 광산구 하남산단9번로 39-11(안청동),그 외 기타 분류 안된 화학제품 제조업  ,20499,,,3,2025-09-04
2535,오케이필름,광주광역시 광산구 평동영천길 2-24 (지죽동),플라스틱 필름 제조업,22212,062-944-8374,062-941-8374,5,2025-09-04
2536,오텍캐리어(주),광주광역시 광산구 하남산단3번로 55 (장덕동),산업용 냉장 및 냉동 장비 제조업  ,29171,062-958-0614,062-951-9870,408,2025-09-04
2537,오토엠,광주광역시 광산구 손재로 167-1 (산정동),자동차 재제조 부품 제조업,30400,,062-962-7145,2,2025-09-04
2538,오토컷,"광주광역시 광산구 하남산단6번로 57,  (오선동) 산업동 5층 511,512호",그 외 기타 플라스틱 제품 제조업  ,22299,062-710-4679,,4,2025-09-04
2539,오투뱅크(주),"광주광역시 광산구 하남산단천변좌로 19, 102호 (오선동)",가정용 및 산업용 공기 조화장치 제조업  ,29172,062-222-5579,062-222-5579,2,2025-09-04
2540,오피스솔루션,"광주광역시 광산구 하남산단6번로 57,  (오선동) 산업동 4층 409호",컴퓨터 프린터 제조업,26323,,,1,2025-09-04
2541,옥근엔지니어링,광주광역시 광산구 금봉로64번길 19 (소촌동),금속 절삭기계 제조업,29223,062-942-6856,062-942-6856,2,2025-09-04
2542,옥정정밀,"광주광역시 광산구 하남산단6번로 57,  (오선동) 산업동 4층 405호",그 외 기타 금속가공업,25929,,,1,2025-09-04
2543,온비즈코리아,광주광역시 광산구 하남산단천변좌로 113 (안청동),구조용 금속 판제품 및 공작물 제조업  ,25112,,,3,2025-09-04
2544,와니제과,광주광역시 광산구 도산동 749 외 3필지,과자류 및 코코아 제품 제조업,10603,062-513-0515,062-513-1519,5,2025-09-04
2545,와이에스산업,광주광역시 광산구 풍영정길 337-26(신창동),육상 금속 골조 구조재 제조업,25113,,062-942-7474,5,2025-09-04
2546,와이케이테크 ,광주광역시 광산구 하남산단2번로 110 (하남동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,,,5,2025-09-04
2547,와이티에스(주),광주광역시 광산구 평동산단2번로 159 (장록동),자동차 차체용 신품 부품 제조업  ,30320,062-943-6212,062-943-6213,44,2025-09-04
2548,왕일식품,"광주광역시 광산구 평동영천안길 59, 101호 (지죽동)",육류 기타 가공 및 저장처리업 (가금류 제외),10129,062-571-8203,062-941-3545,1,2025-09-04
2549,용인가구공업사,광주광역시 광산구 풍영정길 241-37 (신창동),기타 목재가구 제조업,32029,062-959-0524,,4,2025-09-04
2550,용천기공,"광주광역시 광산구 하남산단천변우로 126-7, (나동) (도천동)",금속 절삭기계 제조업,29223,070-4249-5090,062-951-5090,9,2025-09-04
2551,용천기공,"광주광역시 광산구 하남산단천변우로 126-7, (나동) (도천동)",금속 절삭기계 제조업,29223,070-4249-5090,062-951-5090,7,2025-09-04
2552,용호장갑,광주광역시 광산구 송도로 121 (도산동),기타 편조의복 액세서리 제조업  ,14419,062-941-1068,,3,2025-09-04
2553,우경산업,광주광역시 광산구 평동산단로 239-45 (옥동),차체 및 특장차 제조업  ,30201,,062-945-7848,1,2025-09-04
2554,우리 아노다이징 ,광주광역시 광산구 하남산단3번로 14-66 (장덕동),도금업,25922,062-951-7810,062-952-7810,1,2025-09-04
2555,우리건설(주),광주광역시 광산구 구촌반촌길 126-8 (신창동),"금속 문, 창, 셔터 및 관련제품 제조업",25111,062-511-0481,062-511-2809,6,2025-09-04
2556,우리솔루션,"광주광역시 광산구 진곡산단2번로 47-13, 우리솔루션",그 외 기타 금속가공업,25929,,,3,2025-09-04
2557,우리시스템,"광주광역시 광산구 진곡산단6번로 1-12, 임차기업 (고룡동)",그 외 기타 일반목적용 기계 제조업  ,29199,062-959-7286,,2,2025-09-04
2558,우리주택건설,광주광역시 광산구 신창동 27-1번지 외 1필지,기타 구조용 금속제품 제조업,25119,062-951-6200,062-951-6202,4,2025-09-04
2559,우림산업,광주광역시 광산구 손재로 257-32 (하남동),도장 및 기타 피막처리업,25923,062-953-1856,062-953-4856,7,2025-09-04
2560,우림산업개발,광주광역시 광산구 도천동 532-4번지,구조용 금속 판제품 및 공작물 제조업,25112,,,5,2025-09-04
2561,우성글로벌테크(주),광주광역시 광산구 비아안길 91-10 (비아동),배전반 및 전기 자동제어반 제조업,28123,062-457-1202,062-457-1203,5,2025-09-04
2562,우성기업,광주광역시 광산구 용보로27번길 21 (송정동),전구 및 램프 제조업  ,28410,062-224-3437,062-224-3438,3,2025-09-04
2563,우성엔지니어링,광주광역시 광산구 사암로 91 (소촌동),컨베이어장치 제조업  ,29163,062-511-5565,062-511-5625,2,2025-09-04
2564,우성이엔지(주),광주광역시 광산구 평동산단2번로 97 (용동),차체 및 특장차 제조업,30201,,,13,2025-09-04
2565,우성종합식품,광주광역시 광산구 평동산단2번로 45 (용동),기타 곡물 가공품 제조업  ,10519,062-943-5631,,5,2025-09-04
2566,우성종합식품,광주광역시 광산구 평동매화길 38 (지죽동),기타 곡물 가공품 제조업  ,10519,062-943-5513,062-943-5633,3,2025-09-04
2567,우송가구,광주광역시 광산구 목련로382번안길 6 (신가동),기타 목재가구 제조업,32029,062-951-6874,062-952-6874,3,2025-09-04
2568,우수바스,광주광역시 광산구 수완동 61-1번지,금속 위생용품 제조업,25993,062-525-5088,062-525-5078,3,2025-09-04
2569,우양산업,광주광역시 광산구 용아로 675 (오선동) 외 1필지,절삭가공 및 유사처리업  ,25924,062-955-0062,062-955-0065,5,2025-09-04
2570,우영기업,광주광역시 광산구 평동로800번길 70 (옥동),육상 금속 골조 구조재 제조업  ,25113,,,5,2025-09-04
2571,우영산업㈜,광주광역시 광산구 평동산단1번로 60(옥동),그 외 자동차용 신품 부품 제조업  ,30399,062-363-4488,062-944-4485,103,2025-09-04
2572,우영에이텍(주),광주광역시 광산구 하남산단천변우로 126-3 (도천동),컨베이어장치 제조업  ,29163,062-953-9773,,6,2025-09-04
2573,우일냉동공조산업,광주광역시 광산구 비아동 153 번지,산업용 냉장 및 냉동 장비 제조업  ,29171,062-954-4365,062-954-4367,3,2025-09-04
2574,우일바이오F&M,광주광역시 광산구 삼도로 2-8 (삼거동),복합비료 및 기타 화학비료 제조업  ,20312,062-944-0311,062-944-0322,1,2025-09-04
2575,우일버티칼브라인드,"광주광역시 광산구 사암로 132, 1031-12 (우산동)",커튼 및 유사제품 제조업,13223,062-942-6959,062-941-3882,4,2025-09-04
2576,우정공업사,광주광역시 광산구 안청동 2-4,"금속 문, 창, 셔터 및 관련제품 제조업",25111,,,5,2025-09-04
2577,우정식품,광주광역시 광산구 안청동 2-4,가금류 가공 및 저장 처리업,10121,,,4,2025-09-04
2578,우진방화문,광주광역시 광산구 어등대로563번길 33 (운수동),"금속 문, 창, 셔터 및 관련제품 제조업  ",25111,062-942-2223,062-942-2362,2,2025-09-04
2579,우진산업 ,광주광역시 광산구 진곡산단6번로 25-5 (고룡동),자동차 차체용 신품 부품 제조업  ,30320,062-574-5701,062-574-5703,8,2025-09-04
2580,우진인더스트리,"광주광역시 광산구 하남산단6번로 57,  (오선동) 산업동 1층 105호",전기회로 접속장치 제조업,28122,,,1,2025-09-04
2581,우진전기,광주광역시 광산구 풍영정길 51-30 (신창동),배전반 및 전기 자동제어반 제조업,28123,062-955-8811,,3,2025-09-04
2582,우진테크,"광주광역시 광산구 하남산단4번로 101, 주 3동(장덕동)",주형 및 금형 제조업,29293,,,3,2025-09-04
2583,우창정밀공업,광주광역시 광산구 하남산단7번로 135-22 (오선동),절삭가공 및 유사처리업  ,25924,062-571-6220,,10,2025-09-04
2584,우창티디(주),광주광역시 광산구 하남산단7번로 135-22 (오선동),절삭가공 및 유사처리업  ,25924,062-952-6220,,4,2025-09-04
2585,원광기업,광주광역시 광산구 평동로735번길 55-11 (옥동),간판 및 광고물 제조업,33910,062-513-1898,062-513-1898,3,2025-09-04
2586,원레이저,광주광역시 광산구 하남산단7번로 145 (오선동),주형 및 금형 제조업,29293,062-951-0734,,4,2025-09-04
2587,원스톱자동문,"광주광역시 광산구 월봉반월길 280, 1층 (산월동)",그 외 기타 금속가공업,25929,,,3,2025-09-04
2588,원율엔지니어링(주),광주광역시 광산구 도천남길 38-72 (도천동),가정용 및 산업용 공기 조화장치 제조업  ,29172,062-952-1167,062-952-1168,8,2025-09-04
2589,원진테크,광주광역시 광산구 하남산단7번로 135-22 (오선동),기타 가공 공작기계 제조업,29229,062-951-9426,062-951-9426,2,2025-09-04
2590,원창ENG,광주광역시 광산구 지로길 57 (지죽동),육상 금속 골조 구조재 제조업  ,25113,,062-946-2202,1,2025-09-04
2591,원창수지,광주광역시 광산구 하남산단9번로 186-28 (도천동),그 외 자동차용 신품 부품 제조업  ,30399,,,3,2025-09-04
2592,원형기술,광주광역시 광산구 하남산단4번로 131-25(장덕동),금속 절삭기계 제조업,29223,062-962-0985,062-962-0983,5,2025-09-04
2593,월드인잭션,광주광역시 광산구 평동로803번안길 93-14 (용동),벽 및 바닥 피복용 플라스틱제품 제조업,22221,062-945-2718,062-945-2719,2,2025-09-04
2594,월팩토리,"광주광역시 광산구 하남산단6번로 57,  (오선동) 지식동 5층 5a호",간판 및 광고물 제조업,33910,070-7614-0033,,1,2025-09-04
2595,웨스트 라이,광주광역시 광산구 하남산단3번로 126-14 (장덕동),배전반 및 전기 자동제어반 제조업  ,28123,062-432-3256,,1,2025-09-04
2596,위너푸드(주)농업회사법인,광주광역시 광산구 월봉반월길 126-3 (산월동),육류 포장육 및 냉동육 가공업 (가금류 제외),10122,062-451-7711,062-451-7712,16,2025-09-04
2597,유니브전자,광주광역시 광산구 어등대로621번길 32 (소촌동),그 외 기타 전자부품 제조업  ,26299,062-945-1547,062-945-1540,10,2025-09-04
2598,유니온산업(주),광주광역시 광산구 평동로803번길 83-32 (용동),플라스틱 접착처리 제품 제조업  ,22291,062-946-2431,062-946-2432,8,2025-09-04
2599,유니온산업(주),광주광역시 광산구 평동산단2번로 74 (용동),플라스틱 접착처리 제품 제조업  ,22291,062-946-2430,062-946-2432,8,2025-09-04
2600,유니텍스텍㈜,광주광역시 광산구 소촌로85번길 14-34 (소촌동),면 방적업,13101,062-945-6700,062-945-6701,25,2025-09-04
2601,유동정밀(주),광주광역시 광산구 하남산단9번로 39-7 (안청동),운송장비 조립용 플라스틱제품 제조업  ,22241,,,16,2025-09-04
2602,유디철강(주),광주광역시 광산구 평동산단8번로 14-9(연산동),산업용 송풍기 및 배기장치 제조업,29174,061-395-7577,061-395-7576,17,2025-09-04
2603,유림가구,광주광역시 광산구 평동산단로 239-41 (옥동),기타 목재가구 제조업  ,32029,062-251-4779,062-251-4778,5,2025-09-04
2604,유림광고디자인,광주광역시 광산구 우산동 689번지,전시 및 광고용 조명장치 제조업  ,28423,,070-7500-3449,3,2025-09-04
2605,유림화학,광주광역시 광산구 평동로803번안길 128 (용동),"플라스틱 포대, 봉투 및 유사제품 제조업",22231,062-941-5551,062-943-5509,11,2025-09-04
2606,유림화학,광주광역시 광산구 어등대로621번길 7-11 (소촌동),합성수지 및 기타 플라스틱 물질 제조업,20202,062-941-5551,062-945-9888,7,2025-09-04
2607,유성기업,광주광역시 광산구 하남산단3번로 34 (장덕동),설치용 및 위생용 플라스틱제품 제조업,22222,062-951-6861,,1,2025-09-04
2608,유성토탈시스템,광주광역시 광산구 진곡산단4번로 51-15 (진곡동),그 외 기타 일반목적용 기계 제조업,29199,062-956-2450,,9,2025-09-04
2609,유승정밀,광주광역시 광산구 하남산단9번로 186-33 (도천동),주형 및 금형 제조업,29293,062-953-4713,062-954-4713,3,2025-09-04
2610,유신기업,광주광역시 광산구 송촌길79번길 37 (송촌동) (총 2 필지) 외 1필지,"금속 문, 창, 셔터 및 관련제품 제조업",25111,062-941-2747,062-942-4994,8,2025-09-04
2611,유신테크,광주광역시 광산구 하남산단천변우로 126-2 (도천동),주형 및 금형 제조업,29293,062-945-3107,,3,2025-09-04
2612,유신테크,광주광역시 광산구 손재로 436-58 (오선동),일반철물 제조업,25932,062-954-9967,062-954-9968,2,2025-09-04
2613,유원산업,광주광역시 광산구 하남산단7번로 135-16 (오선동),그 외 기타 일반목적용 기계 제조업  ,29199,062-955-3139,062-955-3149,3,2025-09-04
2614,유원테크,광주광역시 광산구 하남산단9번로 186-22 (도천동),그 외 자동차용 신품 부품 제조업  ,30399,062-953-6343,,2,2025-09-04
2615,유원프라스틱㈜,광주광역시 광산구 평동로803번길 41 (옥동),플라스틱 필름 제조업  ,22212,062-953-7796,062-942-7795,5,2025-09-04
2616,유일기계공업(주),광주광역시 광산구 손재로 368-44 (장덕동),금속 절삭기계 제조업,29223,062-952-6111,062-952-6115,35,2025-09-04
2617,유일기계공업(주),"광주광역시 광산구 진곡산단4번로 25(진곡동, 유일기계공업(주))",금속 절삭기계 제조업,29223,062-952-6112,,29,2025-09-04
2618,유일산업,광주광역시 광산구 평동로803번길 117 (용동),그 외 기타 달리 분류되지 않은 제품 제조업  ,33999,062-529-3225,062-526-1674,3,2025-09-04
2619,유일연삭기(주),광주광역시 광산구 하남산단6번로 46-20 (오선동) (총 2 필지) 외 1필지,금속 절삭기계 제조업,29223,062-951-4550,062-951-4551,12,2025-09-04
2620,유진산업기술(주),"광주광역시 광산구 진곡산단2번로 40, 임차기업 유진산업기술(주)(오선동, 주식회사유주산업)",육상 금속 골조 구조재 제조업,25113,062-946-2107,,3,2025-09-04
2621,유진테크,광주광역시 광산구 비아로127번길 23 (비아동),그 외 금속 압형제품 제조업,25914,062-522-6266,062-522-6267,3,2025-09-04
2622,유창식품,광주광역시 광산구 지로길7번길 30 (지죽동),떡류 제조업  ,10601,062-223-2855,062-225-2855,4,2025-09-04
2623,유한정밀,광주광역시 광산구 하남산단천변우로 126-5(도천동),주형 및 금형 제조업,29293,062-953-6143,,3,2025-09-04
2624,유한회사 광록기산,광주광역시 광산구 평동로803번안길 130 (용동),그 외 기타 분류 안된 금속 가공 제품 제조업,25999,,,5,2025-09-04
2625,유한회사 비제이산업,광주광역시 광산구 동곡신기길 39 (요기동),주방용 및 음식점용 목재가구 제조업,32021,062-941-0700,062-941-0900,3,2025-09-04
2626,유한회사 빛고을청아,광주광역시 광산구 평동매화길 52(지죽동),김치류 제조업  ,10301,062-943-4557,062-943-4558,3,2025-09-04
2627,유한회사 스마트21,광주광역시 광산구 평동산단7번로 12 (연산동),액정 표시장치 제조업  ,26211,062-1899-2021,070-4322-6717,15,2025-09-04
2628,유한회사 신기람,광주광역시 광산구 평동로1106번길 46 (도산동),육상 금속 골조 구조재 제조업  ,25113,,,5,2025-09-04
2629,유한회사 씨케이,광주광역시 광산구 임곡로 257 (산막동),"금속 문, 창, 셔터 및 관련제품 제조업  ",25111,062-953-1105,062-953-1107,6,2025-09-04
2630,유한회사 애니체,광주광역시 광산구 어등대로621번길 11(소촌동),기타 목재가구 제조업  ,32029,062-942-1814,062-942-1755,7,2025-09-04
2631,유한회사 양만개발,광주광역시 광산구 도천동 462-48 외 4필지,그 외 기타 금속가공업,25929,,,5,2025-09-04
2632,유한회사 양만개발,광주광역시 광산구 도천동 462-18 외 1필지,그 외 기타 금속가공업,25929,,,5,2025-09-04
2633,유한회사 유평산업,광주광역시 광산구 하남산단천변좌로 63-10 (안청동) 에이동,구조용 금속 판제품 및 공작물 제조업  ,25112,062-954-3082,062-954-3083,7,2025-09-04
