회사명,업종명,생산품,주소,연락처,출처파일,전화번호,대표자명,공장대표주소(지번),공장대표주소(도로명)
주식회사 케이디케이정밀 ,알루미늄주물 주조업,자동차 부품,전북특별자치도 김제시 백산면 지평선산단4길 115-24,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 티엠시,자동차 엔진용 신품 부품 제조업 외 5 종,"이중관 파이프, 주물합금관, 소독기",전북특별자치도 김제시 백산면 지평선산단3길 158 (백산면),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
평안정공(주),그 외 자동차용 신품 부품 제조업,액슬하우징,전북특별자치도 김제시 백산면 지평선산단4길 20,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
해피키친 주식회사,그 외 자동차용 신품 부품 제조업,      자동차용 신품 부품,전북특별자치도 김제시 백산면 지평선산단3길 128,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
현명산업 주식회사,자동차용 금속 압형제품 제조업,특장차부품(고가사다리차부품),전북특별자치도 김제시 백산면 지평선산단5길 177,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)나래,차체 및 특장차 제조업 외 3 종,"특장차, 자동차전기장치",전북특별자치도 김제시 백구면 백구공단길 50,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)자명,자동차 차체용 신품 부품 제조업,농업용버켓,전북특별자치도 김제시 백구면 백구공단길 37,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
디에스산업,그 외 자동차용 신품 부품 제조업 외 5 종,"머플러관련부품,엔진관련커버류",전북특별자치도 김제시 백구면 백구공단2길 10,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
삼우정밀,그 외 자동차용 신품 부품 제조업 외 3 종,제동장치 플러그,전북특별자치도 김제시 백구면 백구공단2길 14,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
예손건드릴,자동차용 신품 제동장치 제조업 외 3 종,자동차부품,"전북특별자치도 김제시 백구면 백구공단길 24,",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
유한회사 건우특장,자동차 차체용 신품 부품 제조업,자동차부품,전북특별자치도 김제시 백구면 백구공단1길 39,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
이오텍,그 외 자동차용 신품 부품 제조업 외 3 종,특장차 부품,전북특별자치도 김제시 백구면 백구공단길 24,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
이지스특장 주식회사,차체 및 특장차 제조업 외 1 종,청소차량,전북특별자치도 김제시 백구면 반월리 756번지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
자명플랜트,자동차 차체용 신품 부품 제조업 외 1 종,특장차 부품,전북특별자치도 김제시 백구면 반월리 781번지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
정우테크,그 외 자동차용 신품 부품 제조업 외 4 종,"PLUG BOSS, BALL STUD(대,소), 스트라잌크 등",전북특별자치도 김제시 백구면 백구공단2길 24,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 광명이엔지,자동차용 신품 전기장치 제조업 외 17 종,하네스와이어링컨넥터,전북특별자치도 김제시 백구면 백구공단2길 32,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 몰드,자동차 구조 및 장치 변경업  외 1 종,자동차 부품,전북특별자치도 김제시 백구면 백구공단2길 32,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 신흥티지,차체 및 특장차 제조업 외 1 종,자동차및트레일러 적재함,전북특별자치도 김제시 백구면 반월리 777번지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 창운기전,자동차용 신품 제동장치 제조업,하네스 와이어링컨넥터,전북특별자치도 김제시 백구면 백구공단1길 42,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
창운전기 주식회사,자동차용 신품 전기장치 제조업 외 4 종,하네스와이어링컨넥터,전북특별자치도 김제시 백구면 백구공단2길 30 외 1필지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
태안이엔지 주식회사,자동차용 신품 전기장치 제조업 외 1 종,자동차용 코트롤박스,전북특별자치도 김제시 백구면 반월리 752-1번지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
협승산업,자동차 차체용 신품 부품 제조업 외 4 종,자동차 차체 부품(운반카),전북특별자치도 김제시 백구면 백구공단길 28,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
명보기업(주),그 외 자동차용 신품 부품 제조업 외 3 종,버스시트(의자),"전북특별자치도 김제시 봉황공단1길 61 (월성동, (유)세웅) (총 3 필지) 외 2필지",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)서우벤딩,자동차용 금속 압형제품 제조업 외 5 종,벤딩 및 도로명시설물 ,전북특별자치도 김제시 서흥공단2길 56 (흥사동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)시민기업,자동차 차체용 신품 부품 제조업 외 1 종,자동차차체용부품,"전북특별자치도 김제시 서흥공단2길 74 (흥사동, 건우)",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)대승,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,전북특별자치도 김제시 서흥공단2길 89(흥사동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
에스케이정밀,구조용 금속 판제품 및 공작물 제조업 외 4 종,자동차부품,전북특별자치도 김제시 서흥공단2길 84(흥사동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 삼부 ,화물자동차 및 특수목적용 자동차 제조업 외 5 종,"쓰리축 장착, 덤프트럭 제조, 곡물수송차 제조",전북특별자치도 김제시 서흥공단2길 38 (흥사동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)신성정밀,차체 및 특장차 제조업,"자동차, 사다리차용접품",전북특별자치도 김제시 만경읍 만경공단1길 96,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)예광케미칼,자동차 구조 및 장치 변경업 ,샤시 탑,전북특별자치도 김제시 만경읍 만경공단2길 10,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
신성정밀,절삭가공 및 유사처리업,"자동차부품(SHAFT, ROLLER)",전북특별자치도 김제시 만경읍 만경공단1길 96,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)미래브이씨,자동차용 신품 제동장치 제조업,허브및드럼,"전북특별자치도 김제시 순동산단1길 48 (순동, 미래브이씨㈜)",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)이코텍,도장 및 기타 피막처리업,자동차부품 도장,"전북특별자치도 김제시 순동산단길 147-28 (순동, 이코텍㈜)",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
유한회사 대경,그 외 자동차용 신품 부품 제조업,자동차 알루미늄 휠,전북특별자치도 김제시 순동산단길 195 (순동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 상봉모터스,자동차 엔진용 신품 부품 제조업 외 4 종,"자동차용 배기파이프, 자동차매연저감장치,와이퍼링크","전북특별자치도 김제시 순동산단1길 28-35 (순동, ESSK)",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 수영산업,골판지 상자 및 가공제품 제조업 외 1 종,"골판지상자, 수출용자동차부품박스",전북특별자치도 김제시 순동산단길 60(순동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 하이호휠,그 외 자동차용 신품 부품 제조업 외 3 종,승용차용 알루미늄휠,"전북특별자치도 김제시 순동산단1길 37 (순동, 진원메텍㈜)",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
태호정밀(주),그 외 자동차용 신품 부품 제조업,자동차 부품,전북특별자치도 김제시 순동산단길 195 (순동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)삼진산업,자동차 차체용 신품 부품 제조업 외 8 종,자동차부품,전북특별자치도 김제시 연정동 866번지 외 1필지 외 1필지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)세강산업,자동차 차체용 신품 부품 제조업 외 1 종,"엔진콤파트, 휠팬등","전북특별자치도 김제시 월촌공단길 101-27 (명덕동, 명원테크)",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
서우벤딩,자동차용 금속 압형제품 제조업 외 4 종,자동차부품,전북특별자치도 김제시 월촌공단길 74-29(연정동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 명신테크,그 외 자동차용 신품 부품 제조업 외 3 종,리어엑슬 브라켓,"전북특별자치도 김제시 월촌공단길 66 (연정동, ㈜하이랜드)",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)신한산업,그 외 자동차용 신품 부품 제조업 외 3 종,조향장치,전북특별자치도 김제시 황산면 용마로 429-23 ((유)신한산업),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)일성,유기질 비료 및 상토 제조업 외 1 종,"자동차부품,농기구",전북특별자치도 김제시 황산면 용마로 469 (㈜일성),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)인데스,그 외 자동차용 신품 부품 제조업,"파이프 밴딩, 열교환기 부품",전북특별자치도 김제시 만경읍 대동공단2길 97,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)코리아산업,자동차용 신품 조향장치 및 현가 장치 제조업,현가장치,전북특별자치도 김제시 만경읍 대동공단1길 32 ((유) 코리아 산업) 외 1필지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)희진,그 외 자동차용 신품 부품 제조업 외 4 종,"자동차부품(머드가드,문턱커버)",전북특별자치도 김제시 만경읍 대동공단2길 51 ((유) 희진),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)울트라2공장,도장 및 기타 피막처리업,"자동차부품도장,머플러,휠(로타리)",전북특별자치도 김제시 만경읍 대동공단1길 27 (만경읍),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)유니온기업,그 외 자동차용 신품 부품 제조업,배기파이프,전북특별자치도 김제시 백산면 대동공단2길 34-32,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)한국몰드 김제,자동차 차체용 신품 부품 제조업 외 5 종,"자동차용조립패널(외장판넬) 차량용문짝(도어),도어스커트",전북특별자치도 김제시 백산면 대동공단2길 38 (㈜ 한국몰드),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
금강기공,그 외 자동차용 신품 부품 제조업,액슬하우징,전북특별자치도 김제시 만경읍 대동공단2길 15 (㈜ 평안정공),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
대승정밀(주),자동차용 신품 동력전달장치 제조업 외 1 종,자동차부품(CON_ROD),전북특별자치도 김제시 백산면 대동공단2길 62,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
동일레이져,자동차 차체용 신품 부품 제조업,"자동차 부품, 농기계 부픔, 특장차 부품",전북특별자치도 김제시 만경읍 대동공단1길 41,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
장인금속(주) 김제지점,금속 열처리업,"자동차 부품 볼트,밸브",전북특별자치도 김제시 백산면 대동공단2길 34-32,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 더원,자동차 차체용 신품 부품 제조업 외 2 종,"파워트랜스퍼유닛, 액티브트랜스퍼유닛",전북특별자치도 김제시 만경읍 대동공단2길 33-14,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 메카토닉,자동차용 신품 조향장치 및 현가 장치 제조업 외 3 종,"제3세대 허브베어링, 베어링, 베어링, 베어링",전북특별자치도 김제시 만경읍 대동공단1길 55,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
평안정공(주),그 외 자동차용 신품 부품 제조업 외 1 종,"액슬하우징,변속기",전북특별자치도 김제시 만경읍 대동공단2길 15,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)지에스더블유,자동차 차체용 신품 부품 제조업 외 1 종,알루미늄 휠,전북특별자치도 김제시 순동산단길 74 (순동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)동성정공,그 외 자동차용 신품 부품 제조업 외 3 종,"MUFFLER,PIPE",전북특별자치도 김제시 백구면 번영로 2640-74 (㈜ 동성정공),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)미래,그 외 기타 분류 안된 금속 가공 제품 제조업,자동차부품파렛트,전북특별자치도 김제시 황산면 남양2길 333,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)서호산기,자동차용 금속 압형제품 제조업 외 1 종,금속용기,"전북특별자치도 김제시 용마로 9 (난봉동, ㈜서호산기) 외 1필지",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)서흥전장,절연 코드세트 및 기타 도체 제조업,자동차배선코드세트,전북특별자치도 김제시 황산면 남산로 309 외 3필지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)알트론 김제공장,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 휠,전북특별자치도 김제시 금구면 용복리 82-8번지 외 3필지 외 3필지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)에스더블유,그 외 자동차용 신품 부품 제조업 외 5 종,자동파부품 및 파이프,전북특별자치도 김제시 금구면 연동길 96-150,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)예기산업,그 외 자동차용 신품 부품 제조업,"자동차부품(에어혼,보조난방기등)",전북특별자치도 김제시 백산면 하공로 549,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)유명사,자동차용 금속 압형제품 제조업 외 27 종,"기계장비부품,자동차부품등",전북특별자치도 김제시 백구면 석담4길 131-9,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(주)전북스카니아,건설 및 채광용 기계장비 제조업,"유압감속기,차량자동덮개",전북특별자치도 김제시 백구면 번영로 2493-9 (알파침대 전북 영업소) (총 4 필지) 외 3필지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
J.S테크,자동차 엔진용 신품 부품 제조업 외 1 종,자동차배기가스 저감장치,전북특별자치도 김제시 백구면 영상리 184번지 외 2필지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
건하특장,그 외 자동차용 신품 부품 제조업 외 3 종,"고가사다리차 탑승함, 공구함","전북특별자치도 김제시 금구면 용마로 508, (옥성리498-71)",,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
우성 인더스트리,그 외 자동차용 신품 부품 제조업 외 1 종,자동차 부품,전북특별자치도 김제시 하흥로 411 (흥사동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 디에이치오토넥스,자동차 차체용 신품 부품 제조업 외 1 종,차량용 LPI 용기 외,전북특별자치도 김제시 용지면 용지로 55 (용지면) (총 2 필지),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 제이엠씨(JMC),그 외 자동차용 신품 부품 제조업,자동차부품 및 BLDC모터,전북특별자치도 김제시 백산면 하공로 549,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
혜명산업,자동차용 신품 동력전달장치 제조업 외 4 종,"로필라,엔진마운팅,베이커탱크 등",전북특별자치도 김제시 황산면 남양2길 263 (혜명산업),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
황성공업주식회사,자동차 차체용 신품 부품 제조업 외 3 종,자동차부품,전북특별자치도 김제시 백구면 번영로 2640-37 (황성 공업주식회사),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
미스바자동차공업사,,자동차 재제조 부품 제조업,전북특별자치도 부안군 부안읍 오리정로 113,063-583-8338,전북특별자치도 부안군_제조업 공장 현황_20250730.csv,,,,
새만금특장무역,,"적재함, 자동차용리프트, 내장탑 등",전북특별자치도 부안군 행안면 부안농공단지길 23,010-***-****,전북특별자치도 부안군_제조업 공장 현황_20250730.csv,,,,
피엠티,섬유제품 제조업,자동차부품,"전북특별자치도전주시 덕진구 구렛들3길 50, (주)대양실업 2동 2층 (팔복동1가)",031-211-6080,전북특별자치도 전주시_제조업_20260223.csv,,,,
미래우드,목재 및 나무제품 제조업,"자동차 내장제, 트럭 ,버스 등 우드그래인 제작",전북특별자치도 전주시 덕진구 서귀로 177 (여의동),063-212-9857,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)아이에스피케미칼,화학물질 및 화학제품 제조업,자동차 내장재 스프레이,전북특별자치도 전주시 덕진구 팔복로 201 (팔복동3가),063-212-0345,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)에이비엠,화학물질 및 화학제품 제조업,자동차 코팅제,전북특별자치도 전주시 완산구 천잠로 393 (효자동3가),1899-7134,전북특별자치도 전주시_제조업_20260223.csv,,,,
(유)서광종합자동차공업사,고무 및 플라스틱제품 제조업,자동차수리업,전북특별자치도 전주시 덕진구 원만성로 37-4,063-214-8080,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)에이에프에프씨,고무 및 플라스틱제품 제조업,차량용내장제 외(시트 벨트),전북특별자치도 전주시 덕진구 반룡로 50 (팔복동2가),063-213-3636,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)호트코퍼레이션,비금속 광물제품 제조업,자동차 유리 이송 자동화공정,"전북특별자치도 전주시 완산구 천잠로 303, 벤처창업관 304호 (효자동2가,전주대학교)",063-225-9544,전북특별자치도 전주시_제조업_20260223.csv,,,,
서전주서비스,1차 금속 제조업,"자동차개조,도장착색",전북특별자치도 전주시 덕진구 비석날로 131 (팔복동2가),063-214-4982,전북특별자치도 전주시_제조업_20260223.csv,,,,
현대스텐레스철강㈜,1차 금속 제조업,자동차배기관부품,전북특별자치도 전주시 덕진구 상리1길 15,063-214-4466,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)에이엠피테크,1차 금속 제조업,"자동차부품,탄소복합체","전북특별자치도 전주시 덕진구 반룡로 110, 1층 (팔복동2가)",063-212-5689,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)전일특수금속,1차 금속 제조업,"주강, 특수강, 자동차부품",전북특별자치도 전주시 덕진구 유제로 45-3 (여의동),063-211-7766,전북특별자치도 전주시_제조업_20260223.csv,,,,
현종금속,금속가공제품 제조업,"금속절단, 절곡, 자동차부품 용접",전북특별자치도 전주시 덕진구 상리1길 51 (팔복동2가),063-214-3793,전북특별자치도 전주시_제조업_20260223.csv,,,,
새전북번호판,금속가공제품 제조업,자동차번호판,전북특별자치도 전주시 덕진구 동부대로 908,063-253-3113,전북특별자치도 전주시_제조업_20260223.csv,,,,
(유한)전북번호판제작소,금속가공제품 제조업,자동차번호판,전북특별자치도 전주시 덕진구 동부대로 908 (호성동2가),063-253-3113,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)동진테크,금속가공제품 제조업,"자동차부품,태양광구조물",전북특별자치도 전주시 덕진구 초당길 60-4 (호성동1가),063-261-8436,전북특별자치도 전주시_제조업_20260223.csv,,,,
동일,기타 기계 및 장비 제조업,차량차체용적재함,전북특별자치도 전주시 완산구 기린대로 243 (서노송동),063-275-7008,전북특별자치도 전주시_제조업_20260223.csv,,,,
미래테크,기타 기계 및 장비 제조업,농기계.자동차부품,전북특별자치도 전주시 덕진구 삼례로 77 (반월동),063-212-8789,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)휴먼테크놀러지,기타 기계 및 장비 제조업,자동차관련 금형/주형,"전북특별자치도 전주시 덕진구 원만성로 106, 205호 (팔복동2가)",063-730-7723,전북특별자치도 전주시_제조업_20260223.csv,,,,
(유한)근영하이테크,기타 기계 및 장비 제조업,농기계부품 및 자동차부품 가공,전북특별자치도 전주시 덕진구 반룡로 77 (팔복동2가),063-214-1212,전북특별자치도 전주시_제조업_20260223.csv,,,,
마밍스(주),기타 기계 및 장비 제조업,차량용 캐빈필터,전북특별자치도 전주시 덕진구 원만성로 23 (팔복동3가),02-6959-5262,전북특별자치도 전주시_제조업_20260223.csv,,,,
미성카,기타 기계 및 장비 제조업,자동차 엔진용 신품 부품 제조업,"전북특별자치도 전주시 덕진구 반룡로 143, 미성카 (여의동)",070-8880-8268,전북특별자치도 전주시_제조업_20260223.csv,,,,
사방향산업,기타 기계 및 장비 제조업,자도차량용 전동식 차량장치,"전북특별자치도 전주시 덕진구 구렛들3길 50, 1층 (팔복동1가,(주)대양실업)",063-213-4022,전북특별자치도 전주시_제조업_20260223.csv,,,,
동서콘트롤(주),자동차 및 트레일러 제조업,조향장치,"전북특별자치도 전주시 덕진구 구렛들1길 20, 1동 (팔복동1가)",063-214-8461,전북특별자치도 전주시_제조업_20260223.csv,,,,
이노테크,자동차 및 트레일러 제조업,자동차용 엔진,"전북특별자치도 전주시 덕진구 백제대로 567, 전북대학교 창업보육2센터 307호 (금암동)",,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)신화부품,자동차 및 트레일러 제조업,자동차부품,전북특별자치도 전주시 완산구 전룡4길 5 (서신동),063-273-6628,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)우신세이프티시스템,자동차 및 트레일러 제조업,자동차용 신품 부품,전북특별자치도 전주시 덕진구 반룡로 50 (팔복동2가),031-494-2181,전북특별자치도 전주시_제조업_20260223.csv,,,,
맥소프트(주),자동차 및 트레일러 제조업,"자동차 부품용 복합재 개발, 제품 개발용 소프트웨어 개발 등","전북특별자치도 전주시 덕진구 반룡로 109, B동104,106호(팔복동2가,전북티피테크노빌)",070-8290-3375,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)테라엔지니어링,자동차 및 트레일러 제조업,카본(자동차부품),"전북특별자치도 전주시 덕진구 반룡로 109, B동 209호 (팔복동2가)",063-214-3637,전북특별자치도 전주시_제조업_20260223.csv,,,,
대원,자동차 및 트레일러 제조업,자동차용 신품 부품,전북특별자치도 전주시 덕진구 신복로 102 (팔복동4가),,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)솔라모터스,자동차 및 트레일러 제조업,자동차용 신품 부품 제조,"전북특별자치도 전주시 덕진구 만성북로 51-25, 2010호 (만성동,스페이스온지식산업센터)",,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)스트라다,자동차 및 트레일러 제조업,자동차용 신품부품,"전북특별자치도 전주시 덕진구 상리1길 34, 105호 (팔복동2가)",,전북특별자치도 전주시_제조업_20260223.csv,,,,
(유한)케이컴퍼니,자동차 및 트레일러 제조업,자동차용 신품 부품,"전북특별자치도 전주시 완산구 용머리로 103-4, 3층 1호 (효자동1가)",,전북특별자치도 전주시_제조업_20260223.csv,,,,
태정물류,자동차 및 트레일러 제조업,운수업,전북특별자치도 전주시 덕진구 동부대로 1524 (고랑동),063-212-0002,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)더무브먼트,자동차 및 트레일러 제조업,"기타 엔진,기타 차량용기타부품및액세서리,유통관련용역",전북특별자치도 전주시 덕진구 신행로 41-6 (팔복동3가),063-212-6633,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)알파엔,자동차 및 트레일러 제조업,자동차용 신품 부품,전북특별자치도 전주시 덕진구 화전신정길 10 (화전동),,전북특별자치도 전주시_제조업_20260223.csv,,,,
이노케이(주),자동차 및 트레일러 제조업,자동차용 신품 부품,"전북특별자치도 전주시 덕진구 용덕길 3-30, 2동 (용정동)",063-225-0110,전북특별자치도 전주시_제조업_20260223.csv,,,,
송이바스,자동차 및 트레일러 제조업,차체 및 특장차,전북특별자치도 전주시 덕진구 오신2길 23-5,063-228-0592,전북특별자치도 전주시_제조업_20260223.csv,,,,
(유한)공임만,자동차 및 트레일러 제조업,"자동차정비,수리","전북특별자치도 전주시 완산구 메너머3길 29-9, 1층 (중화산동2가)",0507-1431-9917,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)피지오닉스,자동차 및 트레일러 제조업,자동차용 신품 부품,"전북특별자치도 전주시 덕진구 안덕원로 51, 371호 (진북동)",042-867-7880,전북특별자치도 전주시_제조업_20260223.csv,,,,
(유한)한울,자동차 및 트레일러 제조업,차체 및 특장차 제조업,"전북특별자치도 전주시 완산구 거마평로 139, 101동 2001호 (효자동1가,삼성효자타운)",,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)상생에스디,자동차 및 트레일러 제조업,자동차 제조,"전북특별자치도 전주시 덕진구 기린대로 945-6, 152호 (여의동)",,전북특별자치도 전주시_제조업_20260223.csv,,,,
더조은,자동차 및 트레일러 제조업,차체 및 특장차 제조,전북특별자치도 전주시 덕진구 반룡로 85 (팔복동2가),063-262-0050-결번,전북특별자치도 전주시_제조업_20260223.csv,,,,
주식회사 스카이허브,자동차 및 트레일러 제조업,"HDCM, 전원공급기, DP Cable","전북특별자치도 전주시 덕진구 상리1길 34, 203호 (팔복동2가)",070-7585-4841,전북특별자치도 전주시_제조업_20260223.csv,,,,
디에이치테크,자동차 및 트레일러 제조업,수소자동차 연료탱크 노즐,전북특별자치도 전주시 덕진구 상리1길 51 (팔복동2가),,전북특별자치도 전주시_제조업_20260223.csv,,,,
나눔정밀,자동차 및 트레일러 제조업,자동차부품가공,"전북특별자치도 전주시 덕진구 상리1길 51, 주건축물 (팔복동2가)",063-213-7066,전북특별자치도 전주시_제조업_20260223.csv,,,,
태평번호판제작소,자동차 및 트레일러 제조업,번호판,전북특별자치도 전주시 덕진구 팔복로 99 (팔복동2가),063-212-2000,전북특별자치도 전주시_제조업_20260223.csv,,,,
원일,자동차 및 트레일러 제조업,자동차부품(등속조인트),전북특별자치도 전주시 덕진구 기린대로 959(여의동),,전북특별자치도 전주시_제조업_20260223.csv,,,,
두산특장차,자동차 및 트레일러 제조업,"특장차, 자동차제작",전북특별자치도 전주시 덕진구 원동로 258 (장동),063-212-6002,전북특별자치도 전주시_제조업_20260223.csv,,,,
광림특장전북,자동차 및 트레일러 제조업,특장차부품,전북특별자치도 전주시 덕진구 서귀로 17 (팔복동2가),063-211-0067,전북특별자치도 전주시_제조업_20260223.csv,,,,
근영하이테크,자동차 및 트레일러 제조업,"자동차부품,농기계부품",전북특별자치도 전주시 덕진구 반룡로 77 (팔복동2가),063-214-6400,전북특별자치도 전주시_제조업_20260223.csv,,,,
카오스,자동차 및 트레일러 제조업,특수소품 제작,전북특별자치도 전주시 덕진구 동부대로 985 (송천동2가),,전북특별자치도 전주시_제조업_20260223.csv,,,,
영림엔씨티,자동차 및 트레일러 제조업,"자동차부품,농기계부품",전북특별자치도 전주시 덕진구 신흥마을길 152 (고랑동),063-262-8754,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)신풍기업,자동차 및 트레일러 제조업,자동차부품제조,"전북특별자치도 전주시 완산구 여울로 161, 101동 1102호 (서신동,서신이편한세상)",063-273-3900,전북특별자치도 전주시_제조업_20260223.csv,,,,
태스코㈜,자동차 및 트레일러 제조업,자동차부품,"전북특별자치도 전주시 완산구 천잠로 303 (효자동2가, 69동소셜벤처테스트베드에이)",063-246-0859,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)티엘씨,자동차 및 트레일러 제조업,"캠핑트레일러,살균신발장","전북특별자치도 전주시 완산구 새터로 95, 119동 801호 (서신동,동아.한일아파트)",063-251-2502,전북특별자치도 전주시_제조업_20260223.csv,,,,
(유한)한양콘테이너산업,자동차 및 트레일러 제조업,콘테이너,전북특별자치도 전주시 완산구 쑥고개로 155-8 (삼천동3가),063-226-0909,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)안전정밀,자동차 및 트레일러 제조업,자동차부품(베어링 외),전북특별자치도 전주시 덕진구 팔복로 208 (팔복동2가),063-214-4804,전북특별자치도 전주시_제조업_20260223.csv,,,,
(주)빅토리,자동차 및 트레일러 제조업,알루미늄 휠,"전북특별자치도 전주시 덕진구 세병로 35, B동 201호 (송천동2가)",063-542-7625,전북특별자치도 전주시_제조업_20260223.csv,,,,
