순번,회사명,사업자등록번호,공장대표주소(도로명),위도,경도,업종명,생산품,전화번호,팩스번호,산업단지명,데이터기준일
599,현대목재 김천공장,4183300214,경상북도 김천시 개령면 감문로 596 외 4필지,36.18175121,128.1587153,"목재 포장용 상자, 드럼 및 유사용기 제조업",목재 깔판 및 목재 포장목 상자,054-437-5001,054-437-5007,,2025-12-30
192,㈜성왕이앤에프,3558101873,경상북도 김천시 김천로 57-1 (평화동),36.12662943,128.1097648,목재 도구 및 주방용 나무제품 제조업,원목빨대,054-431-4800,054-431-4803,,2025-12-30
271,대한콜크공업사,5102061744,경상북도 김천시 농소면 용시길 100,36.11416976,128.1733072,목재 도구 및 주방용 나무제품 제조업,콜크,054-431-4401,054-433-5806,,2025-12-30
19,(주)다모아,6968701039,경상북도 김천시 남면 부상리 898-4번지,36.08011801,128.2581824,목재 깔판류 및 기타 적재판 제조업,목재파렛트,,,,2025-12-30
282,동양산업,5131804415,경상북도 김천시 아포읍 포아로 167,36.17537454,128.2546721,목재 깔판류 및 기타 적재판 제조업,"목재깔판(파레트, 한판)",054-437-8993,054-437-8994,,2025-12-30
152,(주)지오그린모터스,6598601576,"경상북도 김천시 혁신로 303, 3층 304호 (율곡동)",36.1275612,128.1806138,모터사이클 제조업 외 2 종,"전동스쿠터, 태양광발전기",054-432-8322,054-432-8322,,2025-12-30
77,(주)스페이스이브이,2958501676,경상북도 김천시 아포읍 대신길 446-11,36.1528128,128.2147682,모터사이클 제조업 외 1 종,전기이륜차,054-471-0088,054-475-8784,,2025-12-30
5,(주)경상테크,2558703438,경상북도 김천시 혁신8로 5 5층 514호,36.12753253,128.1816803,"레이더, 항행용 무선기기 및 측량기구 제조업 외 2 종",수위조절기,053-813-4240,053-813-4241,,2025-12-30
69,(주)세기산업,6098129384,경상북도 김천시 남면 오봉로 22 (총 6 필지) 외 5필지,36.08871274,128.2471729,레미콘 제조업 외 2 종,레미콘,054-437-1480,,,2025-12-30
4,(주)경북레미콘,7578800652,경상북도 김천시 개령면 개령로 336-12,36.19432921,128.174408,레미콘 제조업,레미콘,054-431-5440,054-431-5443,,2025-12-30
222,김천레미콘(주),5108101922,경상북도 김천시 농소면 농남로 262-19,36.09884902,128.1956626,레미콘 제조업,레미콘,054-437-8484,054-437-8489,,2025-12-30
248,다부산업 주식회사,5108121229,경상북도 김천시 조마로 2112 (양천동),36.0819525,128.1184847,레미콘 제조업,레미콘,054-435-3511,054-435-3029,,2025-12-30
384,영남레미콘 주식회사,2878100402,경상북도 김천시 평화장미길 115 (평화동),36.12923214,128.111946,레미콘 제조업,레미콘,054-435-9100,054-435-9104,,2025-12-30
459,주식회사 세일,5108105893,"경상북도 김천시 문성길 77 (덕곡동, 세일레미콘)",36.11538359,128.148883,레미콘 제조업,레미콘,054-436-8955,054-436-8958,,2025-12-30
534,지텍 주식회사,5138121290,"경상북도 김천시 혁신로 303, 1층 117호, 202호, 205호 (율곡동)",36.1275612,128.1806138,디스플레이 제조용 기계 제조업 외 8 종,"디스플레이 검사장비, 탭, 밸브 및 유사 장치, 무선 호출기, 무선 전신기 등 기타 무선 통신장비, 기압계 제조 등, 정지형 변환기 및 기타 유도자 및 방전 램프용 안정기, 배전용 또는 기기용 전기회로의 개폐, 보호 장치, 절연 피복선, 에나멜선, 알루미늄 절연선 및 절연 케이블, 절연 동축 케이블 등, 휴대용 조명장치와 기타 비전기식 조명등 및 조명기구, 개인 안전 보호장비 등",054-431-8771,054-431-8773,,2025-12-30
163,(주)탑런 에이피솔루션,4428800013,"경상북도 김천시 혁신로 315-26, 1층(율곡동, 에이피스퀘어) 1층 외 3필지",36.12764552,128.178492,디스플레이 제조용 기계 제조업,PCB,054-910-1420,054-910-1421,,2025-12-30
535,지텍 주식회사,5138121290,경상북도 김천시 어모면 산업단지4로 178,36.17104829,128.13316,디스플레이 제조용 기계 제조업,디스플레이 검사 장비,054-429-8707,054-431-8773,김천제1일반산업단지,2025-12-30
432,주식회사 그린에코,5108113637,경상북도 김천시 공단로 258-19 (응명동) 외 2필지,36.14785806,128.1248414,"동 제련, 정련 및 합금 제조업 외 2 종","구리괴, 알루미늄괴, 플라스틱 봉투, 비철금속",,,,2025-12-30
217,금오실업,5042782364,경상북도 김천시 아포읍 아포공단길 24,36.16766626,128.2557252,도장 및 기타 피막처리업,자동차 부품 도장,054-434-6227,054-435-6227,김천아포농공단지,2025-12-30
223,김천미가페밀리푸드,,경상북도 김천시 영남대로 2085 (덕곡동),36.11537387,128.1564476,도시락류 제조업 외 1 종,도시락,,,,2025-12-30
34,(주)대정,4348700844,경상북도 김천시 어모면 산업단지7로 174 외 13필지,36.1693472,128.1310562,도시락류 제조업,"도시락, 삼각김밥, 줄김밥, 면, 가정간편식",054-436-4995,054-437-4996,김천제1일반산업단지,2025-12-30
363,아주스틸㈜ EGL공장,5138116496,경상북도 김천시 봉산면 봉산로 664,36.15315843,128.0240059,"도금, 착색 및 기타 표면처리강재 제조업 외 1 종",전기아연도금강판,054-714-3023,054-714-3010,,2025-12-30
444,주식회사 대영알미늄 김천지점,5738500640,경상북도 김천시 어모면 산업단지7로 130,36.16959543,128.134736,"도금, 착색 및 기타 표면처리강재 제조업",알루미늄 피막제품,054-434-0615,054-435-0615,김천제1일반산업단지,2025-12-30
507,주식회사 케이티앤지 김천원료공장,5108502555,경상북도 김천시 영남대로 1192 (다수동),36.12608487,128.0666251,담배제품 제조업,원료잎담배,054-434-5202,054-437-5201,,2025-12-30
556,태아산업 김천공장,2778501057,경상북도 김천시 영남대로 1192 (다수동),36.12608487,128.0666251,담배제품 제조업,판상엽,070-4148-2942,042-620-7620,,2025-12-30
346,신농(주),5108118699,경상북도 김천시 공단로 100-1 (대광동),36.1417849,128.1395882,농업 및 임업용 기계 제조업 외 4 종,"정미기, 농업용기계, 농업용기계, 농업용기계, 농업용기계, 농업용기계",054-436-7206,054-436-6603,김천대광농공단지,2025-12-30
347,신농공업사,5102162890,경상북도 김천시 대항면 대룡리 734-5번지,36.12661593,128.0499609,농업 및 임업용 기계 제조업,"가정용 정미기, 정맥기",054-436-7206,054-436-6603,,2025-12-30
380,엘에스엠트론㈜,1388147556,경상북도 김천시 아포읍 포아로 16-1,36.16264614,128.2598547,농업 및 임업용 기계 제조업,농업 및 임업용 기계(트랙터),054-434-4873,054-434-4875,,2025-12-30
406,이룸테크,6944600026,경상북도 김천시 어모면 다남로 13,36.16902866,128.1167831,농업 및 임업용 기계 제조업,"농업용 전동기계, 식품기계",054-434-9307,054-434-9308,,2025-12-30
536,지호 GIHO,7260702619,경상북도 김천시 아포읍 대신길 490,36.15407124,128.2166276,농업 및 임업용 기계 제조업,무인 궤도형 농기계,,,,2025-12-30
440,주식회사 다듬디자인,7298802112,경상북도 김천시 남면 영남대로 3251,36.07041702,128.2676981,놀이터용 장비 제조업 외 3 종,"휴게시설물 , 조형시설물 등, 휴게시설물 , 조형시설물 등, 휴게시설물 , 조형시설물 등, 휴게시설물 , 조형시설물 등",053-3270-0015,053-327-1015,,2025-12-30
513,주식회사 티로프케이,2648700866,"경상북도 김천시 개령로 298-15, (개령면 남전리 665, 666, 666-2) (개령면)",36.19371134,128.1777757,끈 및 로프 제조업,천 로프,,050-4088-1333,,2025-12-30
238,농업회사법인 주식회사 해미래,5138167597,경상북도 김천시 아포읍 의리 990-2 외 2필지,36.18244982,128.2325711,김치류 제조업 외 1 종,김치류,054-444-2820,054-444-2821,,2025-12-30
569,피엔테크,5180502557,경상북도 김천시 남면 주천로 1591 외 3필지,36.06308826,128.2682059,기타 플라스틱 발포 성형제품 제조업,"발포 포장재, 과일포장재",054-975-5567,054-975-5568,,2025-12-30
252,다이나링스,4024383688,경상북도 김천시 율곡동 1111번지,36.12753253,128.1816803,기타 표시장치 제조업 외 1 종,"미세먼지알리미, 디지털게시판",,0504-471-8757,,2025-12-30
198,㈜프라스테크 김천공장,3538501614,경상북도 김천시 공단3길 20(대광동),36.14735104,128.135142,기타 표시장치 제조업,위상보상필름,054-810-8200,054-810-8300,,2025-12-30
453,주식회사 블루스카이,1388190223,경상북도 김천시 남면 운곡길 140,36.09400941,128.2211813,기타 직물제품 제조업 외 9 종,"낙하산, 방탄복, 봉제제품",,,,2025-12-30
26,(주)대성폴리머,2188101306,경상북도 김천시 아포읍 인2길 53,36.16839675,128.2425889,기타 직물제품 제조업,마스크(KF-94),,054-434-7796,,2025-12-30
287,디엔에이치코리아(주),4248701851,경상북도 김천시 아포읍 대신길 490 다동,36.15407124,128.2166276,기타 직물제품 제조업,마스크,054-437-5640,054-437-5641,,2025-12-30
562,티제이피,7554100291,경상북도 김천시 봉산면 봉산1로 15,36.151157,128.026528,기타 직물제품 제조업,"낙하산, 패러글라이더 등",054-432-9397,054-432-9398,,2025-12-30
128,(주)유진디지털,5108118684,경상북도 김천시 아포읍 인2길 83,36.16802181,128.2452333,기타 주변기기 제조업,터치패널,054-431-3401,,,2025-12-30
601,현정(주),5108127150,경상북도 김천시 아포읍 아포공단길 162,36.16776777,128.2503679,기타 주변기기 제조업,자동차 내장 사출 보호필름,054-431-2771,,김천아포농공단지,2025-12-30
494,주식회사 유유테크,5108131542,경상북도 김천시 개령면 동부리 81번지,36.16762506,128.1912884,기타 종이 및 판지 제조업 외 2 종,"냅킨, 핸드타월, 냅킨, 핸드타월, 냅킨, 핸드타월",054-436-4727,054-436-4724,,2025-12-30
45,(주)디엘전선,8758101867,경상북도 김천시 남면 농남로 1284-22,36.06208376,128.2892271,기타 절연선 및 케이블 제조업,케이블,,054-436-1026,,2025-12-30
334,서일케이블,1331301497,경상북도 김천시 남면 농남로 1284-20 외 3필지,36.06181313,128.289326,기타 절연선 및 케이블 제조업,절연케이블,054-437-8021,054-437-8028,,2025-12-30
59,(주)삼보아이티,6308603141,경상북도 김천시 공단1길 51 (대광동),36.14115208,128.1411983,기타 전기 변환장치 제조업 외 4 종,LED 경관조명기구 외,054-431-9200,,김천대광농공단지,2025-12-30
134,(주)일원테크,,경상북도 김천시 새실길 13 (다수동),36.12423955,128.0774996,기타 전기 변환장치 제조업 외 1 종,"아답타, 건전지충전기",054-435-8960,,,2025-12-30
466,주식회사 아프로텍,5048122825,경상북도 김천시 남면 아포대로 326-14,36.13234082,128.1846913,기타 전기 변환장치 제조업,전기차 충전기,031-478-2609,031-454-8100,,2025-12-30
272,대한통신,5100292388,경상북도 김천시 대항면 덕전택지길 55-9,36.13105327,128.042542,기타 음향기기 제조업 외 3 종,"방송기기, CCTV, 수소센스",054-435-1188,054-439-4033,,2025-12-30
205,고씨공방,5100324344,경상북도 김천시 아포읍 국사리 812-13번지,36.16583667,128.238335,기타 악기 및 전자 악기 제조업 외 2 종,"국악기, 상모, 공연의상",054-434-3442,054-434-9175,,2025-12-30
220,김천고려전통농악기사,5100172177,경상북도 김천시 양금로 39-9 (양천동),36.09775441,128.1164208,기타 악기 및 전자 악기 제조업,농악기,054-434-4005,054-434-4005,,2025-12-30
109,(주)영해식품,5148155207,"경상북도 김천시 어모면 산업단지2로 43, 영해식품",36.16307523,128.1216425,기타 수산동물 가공 및 저장 처리업,오징어핫바,054-435-6262,,김천제1일반산업단지,2025-12-30
597,현구석재사업,5102262280,경상북도 김천시 지례면 지례로 26,35.9886856,128.0329917,기타 석제품 제조업 외 1 종,석물가공,054-435-0321,054-434-4190,,2025-12-30
345,시온석재,8871401403,경상북도 김천시 대덕면 남김천대로 560 외 1필지,35.90680736,127.9584392,기타 석제품 제조업,석제품제조업,054-439-7788,054-434-0145,,2025-12-30
197,㈜케이글라스,3378800050,"경상북도 김천시 산업단지4로 25-6(응명동, 주식회사 케이글라스)",36.15707336,128.1294463,기타 산업용 유리제품 제조업,광학코팅용 글라스,054-436-3380,054-437-3380,김천제1일반산업단지,2025-12-30
319,삼덕섬유,5102063233,경상북도 김천시 남면 농남로 955,36.07544115,128.2618975,기타 방적업,"연사, 폴리에스테르",054-435-6091,054-435-6095,,2025-12-30
224,김천민속주,5102162041,경상북도 김천시 대항면 괘방령로 1178-4,36.12736426,128.0190982,기타 발효주 제조업,민속주(과하주),054-436-4461,054-436-4911,,2025-12-30
398,위드시스템㈜,5138125753,경상북도 김천시 어모면 산업단지9로 30,36.17574924,128.1364919,기타 반도체소자 제조업 외 1 종,"전자부품, 소켓부품, 전자부품, 소켓부품",054-435-7989,054-435-7988,김천제1일반산업단지,2025-12-30
478,주식회사 엔아이에프,2478603823,"경상북도 김천시 혁신8로 5,(일부) (율곡동, 율곡테크노밸리) 1동 5층 502호",36.12753253,128.1816803,기타 무선 통신장비 제조업 외 6 종,"prc-999k 부품, 송수화기, 풍향풍속 측정계, 지뢰살포기 분배함, 장갑차 호스조립체, 군용 공구상자,  차량용 계기판",054-434-0901,054-435-0901,,2025-12-30
435,주식회사 나우이노,8528101258,"경상북도 김천시 해오름1로1길 6-10, 2층 (율곡동)",36.12100831,128.1748887,기타 무선 통신장비 제조업 외 15 종,"prc-999k 부품, 지뢰살포기 분배함, 낙뢰보호기, 케이블조립체, 절연코드세트, 장갑차호스조립체, 송수화기, 저공풍지지대, 압축분사기, 무전기용 어댑터조립체, 발칸용 조준경, 직류시동발전기, 무전기배터리, 차량용계기판, 군용 차량배터리",054-434-0901,054-435-0901,,2025-12-30
18,(주)나우이노,8528101258,"경상북도 김천시 혁신로 288-5, 202호(율곡동) 202호",36.1261074,128.182388,기타 무선 통신장비 제조업 외 14 종,"prc-999k 부품, 지뢰살포기 분배함, 낙뢰보호기, 케이블조립체, 절연코드세트, 장갑차호조립체, 송수화기, 저공풍지지대, 압축분사기, 무전기용 어댑터조립체, 발칸용 조준경, 직류시동발전기, 무전기배터리, 차량용계기판, 군용차량배터리",054-434-0901,054-435-0901,,2025-12-30
486,주식회사 우찬시스템,1138610545,경상북도 김천시 혁신8로 5 1동 3층 319호,36.12753253,128.1816803,기타 무선 통신장비 제조업 외 1 종,통신서버,02-6091-9001,02-6091-9003,,2025-12-30
98,(주)에이앤씨인터내셔널,6718102599,"경상북도 김천시 혁신로 288-5, 1층 102호  (율곡동) 1층 102호",36.1261074,128.182388,기타 무선 통신장비 제조업,무전기 부품,054-434-0901,054-435-0901,,2025-12-30
121,(주)우림테크,5138113072,경상북도 김천시 아포읍 아포공단길 99 ((주)우림테크),36.16579825,128.2525957,기타 무선 통신장비 제조업,"원격조종기, 리모콘",054-435-8101,054-434-3278,김천아포농공단지,2025-12-30
414,인플랩 주식회사,4998701286,"경상북도 김천시 혁신로 303, 303호(율곡동, 지텍지식산업센터)",36.1275612,128.1806138,기타 무선 통신장비 제조업,"안전 운행정보 수집장치, 임베디드 보드 장비, 영상 녹화 디스플레이 장비, 셋탑박스",054-434-7278,054-437-7278,,2025-12-30
124,(주)우삼,5108123076,경상북도 김천시 어모면 산업단지1로 18-23 201호,36.15567966,128.117641,기타 목재가구 제조업 외 1 종,목재가구 외,054-439-9339,0502-700-9339,,2025-12-30
503,주식회사 카본엑스리사이클링(김천공장),5978500684,경상북도 김천시 어모면 산업단지4로 70,36.16110718,128.1330319,기타 기초 무기 화학물질 제조업 외 5 종,"2차전지 양극활물질, 2차전지 양극활물질, 2차전지 양극활물질, 2차전지 양극활물질, 2차전지 양극활물질, 2차전지 양극활물질",054-437-7900,054-439-7901,김천제1일반산업단지,2025-12-30
151,(주)지엠텍,5818602364,경상북도 김천시 어모면 산업단지4로 89-25 외 1필지,36.16221985,128.1293437,기타 기초 무기 화학물질 제조업,"고순도 코발트, NMC화합물",054-437-4048,054-437-4049,김천제1일반산업단지,2025-12-30
425,제이에이치화학공업(주),5138161763,경상북도 김천시 어모면 산업단지1로 83 외 2필지,36.15805399,128.122646,기타 기초 무기 화학물질 제조업,양극활물질 제조,054-421-1713,054-421-1790,김천제1일반산업단지,2025-12-30
426,조마위탁영농센타,5108103992,경상북도 김천시 조마면 신왕3길 26-88,36.02213695,128.1314307,기타 기초 무기 화학물질 제조업,비료,054-432-5470,054-430-1738,,2025-12-30
193,㈜앤2케이,7298702304,"경상북도 김천시 어모면 산업단지로 130, E동",36.15992899,128.1307847,기타 구조용 금속제품 제조업 외 5 종,"막구조물, 금속구조물, 금속창호, 철구조물, 공원체육시설 등, 막원단, 구조용강재, 압연강판, 스테인리스판 등, 막원단, 구조용강재, 압연강판, 스테인리스판 등, 막원단, 구조용강재, 압연강판, 스테인리스판 등, 막원단, 구조용강재, 압연강판, 스테인리스판 등, 막원단, 구조용강재, 압연강판, 스테인리스판 등",054-435-7277,054-436-0697,김천제1일반산업단지,2025-12-30
451,주식회사 미래인더스트리,5108123019,경상북도 김천시 어모면 산업단지6로 52,36.16703647,128.1341091,기타 구조용 금속제품 제조업 외 5 종,"상하수도 부품, 수도미터 온수미터, 플라스틱제품, 플라스틱제 건축 구조재, 조립식 건물 제조(금속제), 계량기 제조(적산계기)",054-431-0100,054-435-8400,김천제1일반산업단지,2025-12-30
135,(주)자산,5108121122,경상북도 김천시 남면 농남로 588-22,36.08993242,128.2276104,기타 구조용 금속제품 제조업 외 1 종,기기틀 받침대,054-437-6181,054-437-6183,,2025-12-30
434,주식회사 길플랜트,1738101081,경상북도 김천시 개령면 감문로 413-8 외 1필지,36.16666687,128.1562503,기타 구조용 금속제품 제조업 외 1 종,"궤도관련 장치물 제작, 구조금속제품",054-430-1584,054-430-1585,,2025-12-30
424,제이에스컨테이너제작소,1074117144,경상북도 김천시 남면 영남대로 2876,36.09237561,128.2365237,기타 구조용 금속제품 제조업,컨테이너,,,,2025-12-30
479,주식회사 엔아이티,6668802830,"경상북도 김천시 혁신로 288-5, 303호(율곡동, 스네일파크)(율곡동)",36.1261074,128.182388,기타 광학기기 및 사진기 제조업 외 15 종,"prc-999k 부품, 지뢰살포기 분배함, 낙뢰보호기, 케이블조립체, 절연코드세트, 장갑차호스조립체, 송수화기, 저공풍 지지대, 압축분사기, 무전기용 어댑터조립체, 발칸 조준기 제조, 직류시동발전기, 무전기 배터리, 차량용 계기판, 차량용 배터리",054-434-0901,054-435-0901,,2025-12-30
236,농업회사법인 주식회사 더팜스,4128701106,경상북도 김천시 이로리길 89 (다수동) 외 5필지,36.12475266,128.0635355,기타 과실ㆍ채소 가공 및 저장 처리업 외 2 종,"가공 과실 및 채소, 단미사료(보조사료), 단미사료(보조사료)",054-436-7440,054-436-7442,,2025-12-30
231,농업회사법인 (주)푸드팩토리,5108133410,경상북도 김천시 아포읍 덕계길 137 외 1필지,36.16344408,128.2218442,기타 과실ㆍ채소 가공 및 저장 처리업,조각과일,054-434-3060,054-436-1578,,2025-12-30
243,농업회사법인(주)참들식품,5108130602,경상북도 김천시 개령면 덕촌2길 259-42,36.17179485,128.1696555,기타 과실ㆍ채소 가공 및 저장 처리업,유기농양배추즙,054-430-0195,,,2025-12-30
595,행복한200프로 주식회사,4508601964,경상북도 김천시 어모면 산업단지4로 167,36.16990571,128.1313128,기타 과실ㆍ채소 가공 및 저장 처리업,"양상추, 컵과일 등",054-436-4995,054-437-4996,김천제1일반산업단지,2025-12-30
605,황악협동조합,1238649203,경상북도 김천시 대항면 황학동길 18,36.1145932,128.016851,기타 곡물 가공품 제조업,현미 누룽지,054-434-6631,054-434-6632,,2025-12-30
130,(주)이도,7238100553,경상북도 김천시 아포읍 아포공단길 59 ((주)우림제2공장),36.16609367,128.2535415,기타 건축용 플라스틱 조립제품 제조업 외 3 종,"지오그리드, 가동보",054-435-7823,054-436-7823,김천아포농공단지,2025-12-30
427,조아건설(주),2178115605,경상북도 김천시 대덕면 감주길 184,35.91776848,127.9389763,기타 건축용 플라스틱 조립제품 제조업 외 1 종,건축용 조립금속구조물,,,,2025-12-30
481,주식회사 엠큐브스,5138175705,경상북도 김천시 아포읍 아포공단길 59,36.16609367,128.2535415,기타 건축용 플라스틱 조립제품 제조업 외 1 종,토목보강용지오그리드,054-435-8920,054-434-8920,김천아포농공단지,2025-12-30
368,에버그린(주),5108125088,경상북도 김천시 남면 농남로 552 외 2필지,36.09280328,128.2251313,기타 건축용 나무제품 제조업 외 1 종,엔플로,054-437-2299,,,2025-12-30
258,대들보,5100530419,경상북도 김천시 봉산면 영남대로 854,36.13597809,128.0308226,기타 건축용 나무제품 제조업,건축용 목재품,054-432-2934,054-432-2933,,2025-12-30
30,(주)대양코리아,5108133064,경상북도 김천시 농소면 꿀배미길 102,36.09268027,128.2033319,기타 가공 공작기계 제조업,건조기,054-435-8521,054-435-8522,,2025-12-30
63,(주)새빗켐,5108110800,경상북도 김천시 공단로 98 (대광동) 외 1필지,36.14159534,128.1398324,기초 의약 물질 제조업 외 6 종,"활성오니영양제, 활성오니영양제, 활성오니영양제, 활성오니영양제, 활성오니영양제, 활성오니영양제, 활성오니영양제",054-431-3586,054-432-4238,김천대광농공단지,2025-12-30
532,지원공조산업(주),5108107867,경상북도 김천시 남면 초곡길 200,36.13603047,128.1825223,기체 여과기 제조업,필터,054-432-4800,,,2025-12-30
226,네덱(주),1298193304,경상북도 김천시 농소면 벽봉로 1766 외 1필지,36.08271258,128.1805326,기억장치 제조업 외 3 종,"휴대폰,SSD,자동차 부품, 휴대폰,SSD,자동차 부품, 휴대폰,SSD,자동차 부품, 휴대폰,SSD,자동차 부품",054-439-3922,054-432-1483,,2025-12-30
335,서전엔지니어링(주),2208165402,"경상북도 김천시 혁신8로 5,(율곡동, 율곡테크노밸리) 1동 3층 318호",36.12753253,128.1816803,기기용 자동측정 및 제어장치 제조업 외 4 종,빌딩자동제어장치,02-557-0793,02-557-0793,,2025-12-30
299,명성하이테크(주),2248147589,경상북도 김천시 어모면 산업단지1로 34-8,36.15512043,128.1180625,기기용 자동측정 및 제어장치 제조업,무선전자제어장비,070-7533-1459,031-383-1459,,2025-12-30
22,(주)다원시스,1348129935,"경상북도 김천시 어모면 어모로 447, 외 23필지",36.19180182,128.1099346,기관차 및 기타 철도차량 제조업 외 4 종,"철도차량개조,개량",054-435-6822,054-435-6824,,2025-12-30
112,(주)예원 2공장,6998600615,경상북도 김천시 개령면 개령로 279-12,36.18988916,128.1782562,금속탱크 및 저장용기 제조업 외 2 종,"반응기, 열교환기, 압력용기, 금속저장태크, 산업용보일러, 철구조물",054-430-9248,054-436-9248,,2025-12-30
8,(주)광명,5108102890,경상북도 김천시 덕곡동 1198-1번지,36.11494289,128.1481379,금속탱크 및 저장용기 제조업 외 1 종,금속탱크,054-430-4005,054-430-4006,,2025-12-30
176,(주)한동플랜트,5138135019,경상북도 김천시 남면 부상길 167 외 2필지,36.06940971,128.2543615,금속탱크 및 저장용기 제조업 외 1 종,"산업용관, 탱크, 산업용관, 탱크",054-456-2301,054-456-2303,,2025-12-30
262,대성이엔지,5130596496,경상북도 김천시 아포읍 대신길 518,36.15476206,128.2183633,금속탱크 및 저장용기 제조업 외 1 종,"금속탱크, 파이프 가공, 금속탱크, 파이프 가공",054-434-9990,054-434-9997,,2025-12-30
344,스틸엔텍,5100287885,경상북도 김천시 봉산면 봉산1로 333,36.14237715,128.0554383,금속탱크 및 저장용기 제조업 외 1 종,"버섯 살균솥, 톱밥믹서기, 기타 기계류, 철도시설 관련부품, 태양광시설 부품, 버섯 살균솥, 톱밥믹서기, 기타 기계류, 철도시설 관련부품, 태양광시설 부품",054-433-5963,054-431-3949,,2025-12-30
394,오성플랜트 주식회사,2668602806,경상북도 김천시 남면 사모실길 141,36.07329795,128.2526644,금속탱크 및 저장용기 제조업 외 1 종,산업용 탱크,054-432-0064,054-432-0067,,2025-12-30
417,일신테크(주),5108507939,경상북도 김천시 봉산면 봉산로 460-8 (총 2 필지) 외 1필지,36.16778844,128.0114278,금속탱크 및 저장용기 제조업 외 1 종,산업용탱크,,,,2025-12-30
191,㈜부일플랜트,5108125507,경상북도 김천시 응명동 1049,36.15499991,128.1298762,금속탱크 및 저장용기 제조업,산업용 원료탱크,054-433-9546,,김천제1일반산업단지,2025-12-30
274,더원시스템,4423900709,"경상북도 김천시 산업단지4로 25-32(응명동, 더원시스템)",36.15490982,128.1298428,금속탱크 및 저장용기 제조업,냉난방기기,054-435-3317,054-435-9880,김천제1일반산업단지,2025-12-30
517,주식회사 푸른공조,3478100548,경상북도 김천시 산업단지4로 25-32(응명동),36.15490982,128.1298428,금속탱크 및 저장용기 제조업,냉난방기기,054-431-3313,054-436-9880,김천제1일반산업단지,2025-12-30
172,(주)하나테크,1528100687,경상북도 김천시 농소면 꿀배미길 2-25,36.09595577,128.2011082,금속선 가공제품 제조업 외 1 종,"메쉬휀스, 디자인울타리, 용접철망 등, 메쉬휀스, 디자인울타리, 용접철망 등",054-435-0048,054-435-0049,,2025-12-30
196,㈜이에스산업,8918800520,경상북도 김천시 구성면 송죽6길 109-22,36.05959619,128.0802323,금속선 가공제품 제조업 외 1 종,"스톤네트, PVC PIPE",054-434-6360,054-431-6276,,2025-12-30
386,영남스틸 주식회사,5548100559,경상북도 김천시 남면 농남로 588-16,36.09069778,128.2280013,금속선 가공제품 제조업 외 1 종,"와어이메쉬(용접철망), 보행매트",054-437-5100,054-436-8698,,2025-12-30
48,(주)리버스톤매트,4128157442,경상북도 김천시 어모면 어모로 767-27,36.21910241,128.0990507,금속선 가공제품 제조업,철망제품,,,,2025-12-30
61,(주)삼창산업,5048129833,경상북도 김천시 아포읍 아포공단길 14 ((주)삼창산업),36.16777367,128.2560702,금속선 가공제품 제조업,"철망, 돌망태",054-431-2340,,김천아포농공단지,2025-12-30
331,서연시스템창호,6084963924,경상북도 김천시 아포읍 봉산리1길 21,36.15359321,128.2168152,금속선 가공제품 제조업,방충망,054-435-4404,0504-492-1230,,2025-12-30
146,(주)제이엘산업안전,4388703450,"경상북도 김천시 혁신8로 5, 217호 (율곡동, 율곡테크노밸리) 217호 외 1필지",36.12753253,128.1816803,금속 표시판 제조업 외 3 종,"갈매기 표지판, 도로표지병, LED 경관 조명기구, 델리네이터",054-433-2777,054-431-9058,,2025-12-30
147,(주)제이엘산업안전 2공장,4388703450,경상북도 김천시 대항면 덕전4길 91-7,36.12488634,128.0477934,금속 표시판 제조업 외 3 종,"도로표지병, 안전표지판 등, 도로표지병, 안전표지판 등, 도로표지병, 안전표지판 등, 도로표지병, 안전표지판 등",054-433-2777,054-431-9058,,2025-12-30
85,(주)아이디스토리,5568100614,경상북도 김천시 아포읍 봉산리1길 16,36.15325173,128.2162586,금속 표시판 제조업 외 2 종,"교통 안전시설물, 간판 및 광고물, 전시 및 광고용 조명장치",054-435-3119,054-437-9249,,2025-12-30
206,고이께코리아엔지니어링(주),5108101451,경상북도 김천시 남면 농남로 631-19 외 1필지,36.09270532,128.2338706,금속 절삭기계 제조업,"가스, 플라즈마 절단기",054-420-3724,054-439-3716,,2025-12-30
137,(주)자연애,6788102760,경상북도 김천시 어모면 산업단지4로 53,36.1597217,128.1307733,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종","목재, 금속, 창, 셔터 관련제품, 목재, 금속, 창, 셔터 관련제품, 목재, 금속, 창, 셔터 관련제품, 목재, 금속, 창, 셔터 관련제품, 목재, 금속, 창, 셔터 관련제품",054-533-2297,054-430-2298,김천제1일반산업단지,2025-12-30
66,(주)선진금속,2788701210,경상북도 김천시 농소면 신촌1길 70,36.12711738,128.1698696,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종","구조물 조립, 금속제 창호, 실내 목공, 구조물 조립, 금속제 창호, 실내 목공, 구조물 조립, 금속제 창호, 실내 목공, 구조물 조립, 금속제 창호, 실내 목공",,0303-3440-5056,,2025-12-30
33,(주)대우하이원샤시,5138170530,경상북도 김천시 어모면 산업단지5로 96,36.17087079,128.1386177,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종","PVC창호 프로파일, ABS 도어시트, 플라스틱 샤시, 플라스틱 샤시",054-437-1445,054-434-1447,김천제1일반산업단지,2025-12-30
