일련번호,시군구명,회사명,업종명,도로명주소,주요생산품명,대표자명,전화번호,팩스번호,직원수,데이터기준일자
18554,창원시 성산구,진명공업,자동차 엔진용 신품 부품 제조업 외 1 종,"경상남도 창원시 성산구 정동로62번길 72 (성주동, 우진정밀)",카플러,안효식,055-275-1061,055-275-1062,7,2024-06-10
18555,창원시 성산구,진보P&C,도장 및 기타 피막처리업,"경상남도 창원시 성산구 공단로271번길 39 (웅남동, 신성델타테크(주))",가전제품 도장,김동길,055-275-0489,055-275-0490,27,2024-06-10
18556,창원시 성산구,진사이클,자전거 및 환자용 차량 제조업,경상남도 창원시 성산구 정동로62번길 44 (성주동) 부평산업,프레임 포크(자전거용 부품),김진화,055-285-4480,,2,2024-06-10
18557,창원시 성산구,진성마이크로,주형 및 금형 제조업,"경상남도 창원시 성산구 완암로 50, 테크동 107호 (성산동, SK테크노파크)","다이 및 펀치 제조,금형부품",이우성,055-607-0990,055-607-0991,10,2024-06-10
18558,창원시 성산구,진성산업(주),기타 가정용 전기기기 제조업,경상남도 창원시 성산구 정동로62번길 74-15 (성주동),세탁기부품,정은수,055-586-0088,055-586-7677,35,2024-06-10
18559,창원시 성산구,진성산업(주),그 외 기타 전자부품 제조업,경상남도 창원시 성산구 정동로62번길 44 (성주동),PCB기판,정은수,055-263-1070,055-262-8700,45,2024-06-10
18560,창원시 성산구,진성씨앤아이(주)지점,절삭가공 및 유사처리업,경상남도 창원시 성산구 공단로 132 (신촌동),"열처리, 중장비부품",박춘영,055-286-4271,055-286-4274,150,2024-06-10
18561,창원시 성산구,진성정밀,절삭가공 및 유사처리업,"경상남도 창원시 성산구 완암로 3, 1동 1층 101호 (웅남동)","전용기부품, 유압밸브 등(임가공)",정재헌,055-293-0738,055-293-0739,2,2024-06-10
18562,창원시 성산구,진성철강(주),절삭가공 및 유사처리업,경상남도 창원시 성산구 공단로166번길 13-22 (신촌동),Main Shaft,양인덕,055-237-9051,055-237-9054,8,2024-06-10
18563,창원시 성산구,진성테크,절삭가공 및 유사처리업 외 2 종,"경상남도 창원시 성산구 완암로 50, 테크동 B1층 108 (성산동, SK테크노파크) 테크동 B1층 108호",기계가공 및 금속가공,김광규,055-237-6609,,3,2024-06-10
18564,창원시 성산구,진성테크,절삭가공 및 유사처리업 외 1 종,"경상남도 창원시 성산구 완암로 3, 1동 1층 103호 (웅남동) 1동 1층 103호",기계부품 가공,김진용,055-281-1903,055-281-1903,1,2024-06-10
18565,창원시 성산구,진성하이테크,디지털 적층 성형기계 제조업 외 1 종,경상남도 창원시 성산구 월림로25번길 15 (신촌동) 외 1필지,정밀프레스금형,송지혜,070-8829-4212,055-274-4212,9,2024-06-10
18566,창원시 성산구,진승테크,농업 및 임업용 기계 제조업,"경상남도 창원시 성산구 완암로 3 (웅남동, 한국산업단지공단 창원제4아파트형공장) 2동 1층 2호","전자감지장치센서, 이양기 및 트랙터 부품",박정규,055-277-3628,055-273-3023,4,2024-06-10
18567,창원시 성산구,진양정밀,주형 및 금형 제조업,경상남도 창원시 성산구 월림로49번길 2-8 (신촌동),금형,반정우,055-262-3256,055-262-3256,2,2024-06-10
18568,창원시 성산구,진연정밀,절삭가공 및 유사처리업,"경상남도 창원시 성산구 연덕로9번길 23 (웅남동, SK테크)",기계부품,이윤권,055-284-9871,055-284-9872,3,2024-06-10
18569,창원시 성산구,진영티비엑스(주),기타 기관 및 터빈 제조업 외 2 종,"경상남도 창원시 성산구 남면로 501 (내동, 진영티비엑스주식회사) (총 2 필지) 외 1필지","발전용설비부품, 금속정밀가공",김준섭,055-295-2801,055-292-8253,115,2024-06-10
18570,창원시 성산구,진우테크,주방용 전기기기 제조업,경상남도 창원시 성산구 성산패총로 170 (가음정동) LG전자창원1공장,식기세척기,김태진,055-260-3479,,64,2024-06-10
18571,창원시 성산구,진우테크,주형 및 금형 제조업,"경상남도 창원시 성산구 남면로 219, 1동 1층 7호(대원동) 1동 1층 7호",프레스 금형,김윤경,055-238-5413,055-238-5412,1,2024-06-10
18572,창원시 성산구,진우특수도장,도장 및 기타 피막처리업,경상남도 창원시 성산구 공단로474번길 21-26 (성산동),CCD부품도장,노동호,055-266-3620,055-275-6233,7,2024-06-10
18573,창원시 성산구,진테크,그 외 기타 1차 철강 제조업,경상남도 창원시 성산구 웅남로795번길 14 (남산동),철강재,박남진,,055-267-1630,2,2024-06-10
18574,창원시 성산구,진테크,그 외 기타 금속가공업,경상남도 창원시 성산구 월림로67번길 17 (신촌동),치공구 부품,이용철,055-262-2687,055-262-2687,1,2024-06-10
18575,창원시 성산구,진흥와이어,주형 및 금형 제조업,"경상남도 창원시 성산구 완암로 50, 테크동 5층 516 (성산동, SK테크노파크)",금형가공,박종일,,,1,2024-06-10
18576,창원시 성산구,진흥정밀,그 외 기타 금속가공업,"경상남도 창원시 성산구 완암로 50, 테크동 7층 704호 (성산동, SK테크노파크)",와이어 금형 외,정성민,,,3,2024-06-10
18577,창원시 성산구,창(CHANG)Int'I&CWTPM,금속 절삭기계 제조업 외 22 종,"경상남도 창원시 성산구 웅남로 496 (성산동, 창원기술정공)","전투차량궤도차량부품, 유압서보실린더, 공작(산업)기계부품 등",오병후,055-282-5645,055-282-5646,16,2024-06-10
18578,창원시 성산구,창룡테크,간판 및 광고물 제조업,"경상남도 창원시 성산구 완암로 50, 넥스동 11층 1120호 (성산동, SK테크노파크)",광고물제조,신정훈,055-261-9755,055-261-9655,3,2024-06-10
18579,창원시 성산구,창무산업(주),자동차 차체용 신품 부품 제조업,경상남도 창원시 성산구 공단로 543 (성산동) 지엠비코리아(주),"자동차 부품(CVR,CAGE)",공기동,055-277-0140,055-277-9886,40,2024-06-10
18580,창원시 성산구,창성테크,절삭가공 및 유사처리업,경상남도 창원시 성산구 연덕로15번길 84-16 (웅남동),"정밀금형, 치공구",박계수,055-264-1560,055-264-1561,5,2024-06-10
18581,창원시 성산구,창신TECH,절삭가공 및 유사처리업,경상남도 창원시 성산구 창곡로 36(신촌동),반도체 금형부품,김대갑,,055-251-8284,0,2024-06-10
18582,창원시 성산구,창신정밀,절삭가공 및 유사처리업,"경상남도 창원시 성산구 연덕로27번길 45 (웅남동, (주)경남특수강)",공작기계부품,최준록,055-5432-1551,,1,2024-06-10
18583,창원시 성산구,창용기계공업사,컨베이어장치 제조업 외 1 종,"경상남도 창원시 성산구 반월로 39-29 (신촌동, 창용기계공업사)",컨베이어,임영호,055-286-4745,055-286-4457,17,2024-06-10
18584,창원시 성산구,창원,비주거용 건물 임대업,"경상남도 창원시 성산구 완암로 50, 넥스동 10층 1003호 (성산동, SK테크노파크) 넥스동 10층 1003호",인쇄회로 조립품,장현석,,,1,2024-06-10
18585,창원시 성산구,창원1호 태양광발전소,태양력 발전업 외 1 종,"경상남도 창원시 성산구 공단로166번길 27-28(신촌동, 영창정밀)",전기,조근철,,031-870-8586,0,2024-06-10
18586,창원시 성산구,창원기술정공,금속 절삭기계 제조업 외 16 종,"경상남도 창원시 성산구 곰절길9번길 19, 창원기술정공 (성주동)",방산부품 및 모듈조립체 등,오병후,055-282-5645,055-282-5648,47,2024-06-10
18587,창원시 성산구,창원기어,절삭가공 및 유사처리업,경상남도 창원시 성산구 공단로98번길 1 (신촌동),"기어,공구연삭",최현수,055-286-5191,055-286-5192,1,2024-06-10
18588,창원시 성산구,창원벤딩산업,자동차용 금속 압형제품 제조업 외 1 종,"경상남도 창원시 성산구 남면로 219, 2동 1층 21호 (대원동)","고정자 압축링 외, 드레인 파이프제작",손춘호,055-238-5275,055-238-5274,3,2024-06-10
18589,창원시 성산구,창원에스지에너지 주식회사,태양력 발전업,"경상남도 창원시 성산구 완암로 3 (웅남동, 창원제4표준공장)",공장 지붕형태양광 발전,이철욱,,,1,2024-06-10
18590,창원시 성산구,창원일렉트론,속도계 및 적산계기 제조업 외 1 종,경상남도 창원시 성산구 성주로137번길 19 (남산동),자동차 미터류,심재범,055-710-5500,055-287-1731,84,2024-06-10
18591,창원시 성산구,창원정밀,비주거용 건물 임대업,"경상남도 창원시 성산구 완암로 50, 메카동 4층 403호 (성산동, SK테크노파크)",비 주거용 건물 임대,김형찬,055-274-5331,055-275-5331,0,2024-06-10
18592,창원시 성산구,창원정밀,기어 및 동력전달장치 제조업 외 2 종,"경상남도 창원시 성산구 완암로 3, 3동 1층 5호 (웅남동) 3동 1층 5호",감속기,김형찬,055-274-5331,055-275-5331,5,2024-06-10
18593,창원시 성산구,창원정밀,절삭가공 및 유사처리업,"경상남도 창원시 성산구 삼동로 100-29, 제1동 (내동)",기계부품 ,문병수,055-237-6650,055-237-6651,7,2024-06-10
18594,창원시 성산구,창원정밀,절삭가공 및 유사처리업,"경상남도 창원시 성산구 삼동로 100-29, 제3동 (내동)",기계부품,문병수,055-237-6650,055-237-6651,7,2024-06-10
18595,창원시 성산구,창원초경공구,절삭가공 및 유사처리업,경상남도 창원시 성산구 월림로 71-38 (신촌동),절삭공구 및 스페셜홀더,박종관,055-253-9226,055-253-9227,3,2024-06-10
18596,창원시 성산구,창일이엠,배전반 및 전기 자동제어반 제조업,"경상남도 창원시 성산구 반월로 61-19 (신촌동, 창일전기)",전기제어장치,임창운,055-286-8310,30334418310,7,2024-06-10
18597,창원시 성산구,창일정공사,비주거용 건물 임대업,"경상남도 창원시 성산구 연덕로15번길 73 (웅남동, 창일정공)",부동산임대업,이공균,055-256-1157,055-297-4650,19,2024-06-10
18598,창원시 성산구,창일정밀(주),자동차용 신품 동력전달장치 제조업 외 1 종,경상남도 창원시 성산구 연덕로15번길 73 (웅남동),"스냅링, 스프링, 와샤",이공균,055-283-5767,055-267-1158,17,2024-06-10
18599,창원시 성산구,창조산업,주형 및 금형 제조업,경상남도 창원시 성산구 연덕로27번길 84 (웅남동),금형부품가공,"김완태, 김성태",055-264-4561,,3,2024-06-10
18600,창원시 성산구,창조이엔지,기타 가공 공작기계 제조업,"경상남도 창원시 성산구 완암로 50, 메카동 715호 (성산동, SK테크노파크)",공작기계,최명호,,,2,2024-06-10
18601,창원시 성산구,창조정밀,유압기기 제조업,"경상남도 창원시 성산구 연덕로9번길 22 (웅남동, (주)한림테크)",유압실린더부품,안중철,055-263-3069,,8,2024-06-10
18602,창원시 성산구,창진기업,액체 펌프 제조업,"경상남도 창원시 성산구 완암로 50, 메카동 7층 711호 (성산동, SK테크노파크)","펌프, 씰, 호스, 자동화부품 외",정미화,055-288-5559,055-273-5549,5,2024-06-10
18603,창원시 성산구,창통하이테크,기타 부동산 임대업,경상남도 창원시 성산구 연덕로27번길 82 (웅남동),부동산임대사업,박경근,055-262-3939,055-264-3571,1,2024-06-10
18604,창원시 성산구,창통하이테크 태양광발전소,태양력 발전업,경상남도 창원시 성산구 연덕로27번길 82 (웅남동),전력,박경근,055-262-3939,,0,2024-06-10
18605,창원시 성산구,창현정밀,절삭가공 및 유사처리업,"경상남도 창원시 성산구 공단로98번길 23 (신촌동, 태성정밀)",유압부품 너트 및 방산부품 가공,이미애,,,6,2024-06-10
18606,창원시 성산구,채연테크,금속 절삭기계 제조업,경상남도 창원시 성산구 창곡로 46 (신촌동),"중장비부품,선박엔진부품",장용권,055-251-6338,055-251-6339,3,2024-06-10
18607,창원시 성산구,천재테크,주형 및 금형 제조업,"경상남도 창원시 성산구 완암로 50, 메카동 B1층 B115호 (성산동, SK테크노파크) 메카동 B1층 B115호 메카동 B1층 B115호",금형 부품,최재원,,055-266-1774,0,2024-06-10
18608,창원시 성산구,청림인더스,그 외 기타 전기장비 제조업,"경상남도 창원시 성산구 완암로 50, 넥스동 6층 615호 (성산동, SK테크노파크)",필러게이지,임재진,055-313-9941,055-287-9940,9,2024-06-10
18609,창원시 성산구,청사정공,그 외 기타 일반목적용 기계 제조업 외 1 종,"경상남도 창원시 성산구 반월로 71-41 (신촌동, 청사정공)",치공구 등,이열규,055-255-3456,055-299-7431,3,2024-06-10
18610,창원시 성산구,청아시스템,배전반 및 전기 자동제어반 제조업,"경상남도 창원시 성산구 완암로 50, 테크동 B1층 114호 (성산동, SK테크노파크) 테크동 B1층 114호 테크동 B1층 114호",배전반 등,김태훈,,055-173-2648,1,2024-06-10
18611,창원시 성산구,청오정밀,기어 및 동력전달장치 제조업,"경상남도 창원시 성산구 삼동로 100-29, 6 (내동)",감속기,강상선,055-261-2098,055-261-2097,5,2024-06-10
18612,창원시 성산구,청운,그 외 기타 전자부품 제조업,"경상남도 창원시 성산구 완암로 50, 테크동 8층 816 (성산동, SK테크노파크)",단자대,문용국,055-339-2215,055-339-2216,4,2024-06-10
18613,창원시 성산구,청운IFA,기타 가공 공작기계 제조업,"경상남도 창원시 성산구 연덕로15번길 14, 112호, 122호(웅남동, 아이케이)",자동화 설비 및 항공치공구,최정일,055-262-8817,,1,2024-06-10
18614,창원시 성산구,청원메가텍(주),무기 및 총포탄 제조업 외 16 종,경상남도 창원시 성산구 창곡로 151 (웅남동),"방산, 유압기기, 기계 외",김정재,055-277-1952,055-277-1954,9,2024-06-10
18615,창원시 성산구,칠성플라스틱,기타가정용전기기기제조업,"경상남도 창원시 성산구 공단로166번길 13-41 (신촌동, 대영전자)",공기 정화기 외,김형성,055-286-5421,055-286-5474,110,2024-06-10
18616,창원시 성산구,카스전자저울창원점,그 외 기타 전자부품 제조업 외 1 종,"경상남도 창원시 성산구 완암로 50, 테크동 4층 403호 (성산동, SK테크노파크)","저울, 계측기, 자동화기기",정정헌,055-288-7071,055-276-7071,3,2024-06-10
18617,창원시 성산구,칸에스티엔(주)성주동지점,금속 절삭기계 제조업,경상남도 창원시 성산구 곰절길17번길 3 (성주동),공작기계용 부품,구본생,055-211-8000,055-211-8006,10,2024-06-10
18618,창원시 성산구,컴피아,시스템 소프트웨어 개발 및 공급업,"경상남도 창원시 성산구 완암로 50, 넥스동 703호 (성산동, SK테크노파크)",소프트웨어개발  외,서성덕,055-237-0492,055-237-2310,4,2024-06-10
18619,창원시 성산구,케이-원공구,톱 및 호환성 공구 제조업,"경상남도 창원시 성산구 완암로 50, 메카동 B1층 124호 (성산동, SK테크노파크)",절삭공구,이화수,,,1,2024-06-10
18620,창원시 성산구,케이알모터스(주),모터사이클 제조업,경상남도 창원시 성산구 완암로 28 (성산동),오토바이,고재철,055-282-7011,055-281-2664,57,2024-06-10
18621,창원시 성산구,케이앤아이시스템(주),비주거용 건물 임대업,"경상남도 창원시 성산구 완암로 50, 테크동 1016호 (성산동, SK테크노파크)",비주거용 건물임대,신준표,055-600-6546,055-600-6549,1,2024-06-10
18622,창원시 성산구,케이에스솔라(주),기타 발전업 외 1 종,"경상남도 창원시 성산구 창원대로 1124 (성주동, 지엠대우창원공장)",전기,신성룡,02-6409-5616,02-320-6170,4,2024-06-10
18623,창원시 성산구,케이에스솔라2호 주식회사,기타 발전업 외 1 종,"경상남도 창원시 성산구 창원대로 1124 (성주동, 지엠대우창원공장)",전기,신성룡,02-6049-5613,02-320-6170,1,2024-06-10
18624,창원시 성산구,케이에스엠기술(주),컴퓨터 프로그래밍 서비스업,"경상남도 창원시 성산구 완암로 50, 넥스동 5층 509 (성산동, SK테크노파크)",컴퓨터프로그래밍,홍현표,031-420-8457,,15,2024-06-10
18625,창원시 성산구,케이에스테크,절삭가공 및 유사처리업 외 1 종,"경상남도 창원시 성산구 완암로 50, 메카동 721호 (성산동, SK테크노파크)",자동화라인 치공구,박길동,055-296-8774,055-296-8775,3,2024-06-10
18626,창원시 성산구,케이엔디이(주),"기타 기술 시험, 검사 및 분석업","경상남도 창원시 성산구 완암로 50, 메카동 8층 821 (성산동, SK테크노파크)",비파괴검사,서칠수,051-271-4340,055-276-6788,17,2024-06-10
18627,창원시 성산구,케이원텍,비주거용 건물 임대업,"경상남도 창원시 성산구, 테크동 4층 417호 (성산동) 외 1필지",비주거용 건물임대,최원출,055-289-7179,055-289-7109,1,2024-06-10
18628,창원시 성산구,케이원텍,주형 및 금형 제조업,"경상남도 창원시 성산구 공단로 675 (성주동, 나라엠앤디(주))",금형부품,문순규,055-239-3692,,1,2024-06-10
18629,창원시 성산구,케이원텍,배전반 및 전기 자동제어반 제조업,경상남도 창원시 성산구 연덕로27번길 78 (웅남동),케이블조립체,최원출,055-289-7179,055-600-6786,54,2024-06-10
18630,창원시 성산구,케이원프린텍,스크린 인쇄업,"경상남도 창원시 성산구 완암로 50, 넥스동 8층 802호 (성산동, SK테크노파크)",스크린 인쇄,조병호,055-286-1192,055-286-4094,3,2024-06-10
18631,창원시 성산구,케이제이에스인터밸브(주),강주물 주조업,경상남도 창원시 성산구 웅남로 328 (웅남동),산업용 밸브,"김종훈, 김형구(각자대표)",055-212-9210,055-285-1666,91,2024-06-10
18632,창원시 성산구,케이지모빌리티(주) 창원공장,자동차용 엔진 제조업,경상남도 창원시 성산구 공단로474번길 10 (성산동),자동차용엔진,"곽재선, 박장호, 황기영",055-268-0374,055-268-0655,495,2024-06-10
18633,창원시 성산구,케이툴링,기타 엔지니어링 서비스업,"경상남도 창원시 성산구 완암로 50, 넥스동 5층 501호(성산동, SK테크노파크) 넥스동 5층 501호",엔지니어링 서비스업,김흥수,,,8,2024-06-10
18634,창원시 성산구,케이티씨(KTC),금속 절삭기계 제조업,"경상남도 창원시 성산구 완암로 50, 테크동 6층 613호 (성산동, SK테크노파크)",선반부품,권유순,,055-261-0729,1,2024-06-10
18635,창원시 성산구,케이티이(주),금속 절삭기계 제조업,경상남도 창원시 성산구 삼동로 100-29(내동) 외 1필지,"공작기계, 기계기구",황환규,055-264-3331,055-261-3331,12,2024-06-10
18636,창원시 성산구,케이피엔지니어링,금속 절삭기계 제조업 외 2 종,"경상남도 창원시 성산구 월림로67번길 21 (신촌동, 케이피엔지니어링)",자동차부품,김길석,055-286-2781,055-286-3695,6,2024-06-10
18637,창원시 성산구,케이피엘엔지니어링,비주거용 건물 임대업,"경상남도 창원시 성산구 완암로 50, 넥스동 1110호 (성산동, SK테크노파크)",비주거용 건물임대,서경숙,,,1,2024-06-10
18638,창원시 성산구,코드엔지니어링,건물 및 토목 엔지니어링 서비스업 외 1 종,"경상남도 창원시 성산구 완암로 50, 테크동 10층 1006호 (성산동, SK테크노파크)","전기, 소방, 통신 설계",이규만,,,1,2024-06-10
18639,창원시 성산구,코로아이(주),배전반 및 전기 자동제어반 제조업 외 4 종,"경상남도 창원시 성산구 연덕로15번길 83 (웅남동, 코리아CNC)","수치제어장치, 전기제어자동제어반, 자동화생산시스템",서중교,055-261-8339,055-266-8389,27,2024-06-10
18640,창원시 성산구,코리아 이매지니어링,기기용 자동측정 및 제어장치 제조업,"경상남도 창원시 성산구 완암로 50, 테크동 5층 519호(성산동) 테크동 5층 519호",계측 및 자동화 검사 시스템,강창식,,,5,2024-06-10
18641,창원시 성산구,코리아CNC,산업용 로봇 제조업,"경상남도 창원시 성산구 연덕로15번길 83 (웅남동, 코리아CNC)",수치 제어장치,서중교 외 1,055-266-8339,055-266-8389,15,2024-06-10
18642,창원시 성산구,코리아드론 주식회사,무인 항공기 및 무인 비행장치 제조업,"경상남도 창원시 성산구 충혼로 91, 벤처창업관 5층 31호(두대동, 창원문성대학)","드론, 라이더, 드론스테이션",진종규,055-275-1588,0504-200-4455,6,2024-06-10
18643,창원시 성산구,코리아드론 주식회사,그 외 기타 전자부품 제조업,"경상남도 창원시 성산구 중앙대로 49, 310호 (중앙동, 창원서광오피스텔)",드론 제조업,진종규,055-259-5441,055-259-5442,5,2024-06-10
18644,창원시 성산구,코텍사,자동차 차체용 신품 부품 제조업 외 3 종,"경상남도 창원시 성산구 월림로39번길 8-16 (신촌동, KOTEC)","자동화장치, 일반전용기, 자동차부품",배영철,055-286-6131,055-286-6134,9,2024-06-10
18645,창원시 성산구,크레센도,응용 소프트웨어 개발 및 공급업,"경상남도 창원시 성산구 완암로 50 (성산동, SK테크노파크)",제품 검사 프로그램,이범철,,,4,2024-06-10
18646,창원시 성산구,크로네 주식회사,절삭가공 및 유사처리업,"경상남도 창원시 성산구 반월로68번길 15, 제디동 제201호, 202호, 402호(신촌동)",낚시,함영철,055-586-7141,,5,2024-06-10
18647,창원시 성산구,큰숲L치과기공소,비주거용 건물 임대업,"경상남도 창원시 성산구 완암로 50, 테크동 8층 813호 (성산동, SK테크노파크)",비주거용 건물 임대,임채민,055-607-0828,055-607-0928,1,2024-06-10
18648,창원시 성산구,키스트론㈜,태양력 발전업,경상남도 창원시 성산구 정동로 18 (성주동),전기,정민호,070-4895-3990,070-7500-3887,0,2024-06-10
18649,창원시 성산구,탑(TOP),컨베이어장치 제조업 외 1 종,"경상남도 창원시 성산구 완암로 50, 넥스동 616호 (성산동, SK테크노파크)",자동화라인 부품 제조,권숙현,055-273-7710,055-273-7753,5,2024-06-10
18650,창원시 성산구,탑엔지니어링,그 외 기타 분류 안된 금속 가공 제품 제조업,"경상남도 창원시 성산구 월림로67번길 21 (신촌동, 케이피엔지니어링)",궤도장비 내 부품,김도형,,055-299-9580,2,2024-06-10
18651,창원시 성산구,탑이엔씨,시스템 소프트웨어 개발 및 공급업,"경상남도 창원시 성산구 완암로 50, 테크동 8층 814호 (성산동, SK테크노파크)",소프트웨어 개발,최상우,055-264-1855,055-264-1854,5,2024-06-10
18652,창원시 성산구,탑코리아,절삭가공 및 유사처리업,경상남도 창원시 성산구 연덕로 42 (웅남동),선박부품 임가공,황영철,055-267-9993,055-276-9995,3,2024-06-10
18653,창원시 성산구,태경정밀,절삭가공 및 유사처리업,"경상남도 창원시 성산구 연덕로15번길 14, 1동 1층 112호 외 (웅남동, 아이케이) 1동 1층 112호 외호",감속기 및 기계자동화 설비,박동표,055-275-8851,055-275-8851,1,2024-06-10
18654,창원시 성산구,태경테크,기타 엔지니어링 서비스업,"경상남도 창원시 성산구 완암로 50, 넥스동 2층 205호 (성산동, SK테크노파크)",부품설계,박도련,,,4,2024-06-10
18655,창원시 성산구,태경하이스트,절삭가공 및 유사처리업 외 1 종,"경상남도 창원시 성산구 완암로 50, 메카동 B1층 104호 (성산동, SK테크노파크) 메카동 B1층 104호",금형정밀부품,김수용,,,1,2024-06-10
18656,창원시 성산구,태광롤테크(주),그 외 기타 일반목적용 기계 제조업 외 1 종,"경상남도 창원시 성산구 월림로 17-20 (신촌동, 삼부기계)",ROLLER,박춘현,055-286-2885,,5,2024-06-10
18657,창원시 성산구,태광메카텍(주),육상 금속 골조 구조재 제조업 외 18 종,경상남도 창원시 성산구 남면로 227 (대원동),"철구조물(방산,중장비)",서만열,055-255-6733,055-255-6732,37,2024-06-10
18658,창원시 성산구,태광메카텍(주),전투용 차량 제조업 외 1 종,경상남도 창원시 성산구 남면로 137-2(대원동),자주포 및 전자 가공품,서만열,055-273-1113,,20,2024-06-10
18659,창원시 성산구,태광메카텍(주),전투용 차량 제조업,경상남도 창원시 성산구 남면로 137-1 (대원동),"자주포, 전차 가공품",서만열,055-273-1113,055-273-2182,0,2024-06-10
18660,창원시 성산구,태광시스템,비주거용 건물 임대업,"경상남도 창원시 성산구 완암로 50, 넥스동 5층 502 (성산동, SK테크노파크)",임대사업자,김춘광,,,0,2024-06-10
18661,창원시 성산구,태광중공업,금속 절삭기계 제조업,"경상남도 창원시 성산구 월림로 17-26 (신촌동, 태광중공업)",산업용 롤,표세봉,055-286-2883,055-274-2883,5,2024-06-10
18662,창원시 성산구,태극정공,기타 가공 공작기계 제조업,"경상남도 창원시 성산구 연덕로27번길 18 (웅남동, 태극정공)",산업기계부품,손임모,055-262-8041,055-262-8043,8,2024-06-10
18663,창원시 성산구,태림산업(주),자동차용 신품 조향장치 및 현가 장치 제조업,경상남도 창원시 성산구 정동로 57 (성산동),"자동차 조향장치 부품(I-Shafr, Shaft,RACK TUBE)",오승한,055-281-9000,055-281-8030,116,2024-06-10
18664,창원시 성산구,태성스틸,절삭가공 및 유사처리업,경상남도 창원시 성산구 반월로 10 (신촌동) 외 1필지,철판절단가공,서영길,,055-282-0788,0,2024-06-10
18665,창원시 성산구,태성에스엔지,시스템 소프트웨어 개발 및 공급업,"경상남도 창원시 성산구 완암로 50, 테크동 819호 (성산동, SK테크노파크)",소프트웨어 개발,이태우,055-342-8718,055-342-8719,5,2024-06-10
18666,창원시 성산구,태성열처리,금속 열처리업,경상남도 창원시 성산구 월림로67번길 31 (신촌동),부품 경화열처리,김형수,070-8837-1870,055-251-1873,5,2024-06-10
18667,창원시 성산구,태성정밀,주형 및 금형 제조업,"경상남도 창원시 성산구 완암로 3, 7동 1층 3호 (웅남동)","기계가동,금형",이상용,055-285-4505,055-285-8358,2,2024-06-10
18668,창원시 성산구,태성테크,톱 및 호환성 공구 제조업,,호환성 공구 및 치공구,김명기,055-275-8258,055-274-8258,2,2024-06-10
18669,창원시 성산구,태성테크,톱 및 호환성 공구 제조업,경상남도 창원시 성산구 월림로39번길 63-30(신촌동),"치공구, 기타",김명기,055-275-8258,055-274-8258,7,2024-06-10
18670,창원시 성산구,태양정밀,절삭가공 및 유사처리업 외 1 종,경상남도 창원시 성산구 성산패총로38번길 6 (성산동) 외 1필지,"기계부품, 전기",최태광,,055-267-2076,2,2024-06-10
18671,창원시 성산구,태영,기타 가공 공작기계 제조업,경상남도 창원시 성산구 공단로21번길 27 (신촌동),공작기계부품,강훈,055-269-8417,055-263-8470,3,2024-06-10
18672,창원시 성산구,태영,기타 가공 공작기계 제조업,경상남도 창원시 성산구 연덕로27번길 45 (웅남동),지그제작,김태완,055-246-3473,,1,2024-06-10
18673,창원시 성산구,태영에스엘티,그 외 기타 특수목적용 기계 제조업 외 1 종,"경상남도 창원시 성산구 완암로 50, 테크동 8층 802호 (성산동, SK테크노파크)",전극시료건조기,최은희,,,2,2024-06-10
18674,창원시 성산구,태영정밀,기어 및 동력전달장치 제조업,경상남도 창원시 성산구 창곡로 46 (신촌동),기어부품,이헌동,,055-261-1900,1,2024-06-10
18675,창원시 성산구,태영테크,자동차용 금속 압형제품 제조업 외 1 종,경상남도 창원시 성산구 반월로 61-38 (신촌동),"금속압형제품, 치구, 금형",전용태,055-238-9413,055-238-9412,13,2024-06-10
18676,창원시 성산구,태우정밀,절삭가공 및 유사처리업,경상남도 창원시 성산구 공단로98번길 8 (신촌동),기계부품 가공,홍순우,,055-298-8129,0,2024-06-10
18677,창원시 성산구,태웅,절삭가공 및 유사처리업 외 1 종,"경상남도 창원시 성산구 완암로 50, 테크동 4층 401호 (성산동, SK테크노파크) 테크동 4층 401호",chuck & jig fixture,이여진 외1,055-295-6108,055-295-6109,2,2024-06-10
18678,창원시 성산구,태원산업,절삭가공 및 유사처리업,"경상남도 창원시 성산구 웅남로 316, 1동 1층 112호 외 (웅남동)",기계부품 가공,이호남,055-297-5442,055-297-5442,4,2024-06-10
18679,창원시 성산구,태원이엔지,금속 절삭기계 제조업,경상남도 창원시 성산구 반월로 10 (신촌동),"치공구,집진기",황영곤,055-237-7909,055-237-7910,2,2024-06-10
18680,창원시 성산구,태진전자,"전자코일, 변성기 및 기타 전자 유도자 제조업","경상남도 창원시 성산구 완암로 50, 메카동 7층 710호 (성산동, SK테크노파크)",전자코일,김여태,055-296-8667,055-291-8667,15,2024-06-10
18681,창원시 성산구,태진정밀,주형 및 금형 제조업,경상남도 창원시 성산구 공단로98번길 8 (신촌동),몰드금형 부품,주덕성,055-294-7989,055-294-7989,3,2024-06-10
18682,창원시 성산구,태진테크(주),유압기기 제조업,경상남도 창원시 성산구 월림로 71-21 (신촌동),유압기기 및 관이음쇠,조현태,055-265-5131,055-265-5132,8,2024-06-10
18683,창원시 성산구,태진하이텍(주),주형 및 금형 제조업,경상남도 창원시 성산구 연덕로15번길 47 (웅남동),금형,채선기,055-297-5172,055-296-5173,5,2024-06-10
18684,창원시 성산구,태찬정밀,절삭가공 및 유사처리업,경상남도 창원시 성산구 월림로 71-29 (신촌동),와이어가공,이병찬,055-292-6563,,2,2024-06-10
