연번,구분,업체명,업체 주소,생산품,전화번호
2011,소기업,인천종합광고,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 237호,"간판, 광고물",
2012,소기업,인천탁주제조 제1공장,"인천광역시 부평구 안남로433번길 26, 인천탁주제조 제1공장 (청천동)","탁주, 약주",032-524-5016
2013,소기업,인천해양테크,"인천광역시 부평구 부평대로 293, 8층 809호(청천동, 부평테크시티)","수중카메라, 수중CCTV, 3D 프린터",032-650-5809
2014,소기업,인터렉티브,"인천광역시 부평구 주부토로 236, 제시동 5층 505호(갈산동) 제시동 5층 505호","아크릴 제품, 조형물, 광고물 외",032-209-1245
2015,소기업,인터링크에스엔에스(주),인천광역시 부평구 부평대로313번길 18 (청천동),"피복류, 가방 등",02-6393-7712
2016,소기업,인파워텍,"인천광역시 부평구 백범로577번길 20, 공장동 6층 644,645 (십정동, 경인센타) 공장동 6층 644,645호",전기변환기기,032-437-3437
2017,소기업,인포빌드(주),"인천광역시 부평구 주부토로 236, 제디동 9층 911호(갈산동) 제디동 9층 911호","IoT계측기,  배전반, 자동제어기 외",02-2663-7377
2018,소기업,인하테크,"인천광역시 부평구 백범로577번길 20, 경인센타 공장 134 (십정동)",임대,032-541-0110
2019,소기업,인호정밀,"인천광역시 부평구 부평대로 283, B동 B1층 113호 (청천동, 부평 우림라이온스밸리)",전자부품,
2020,소기업,일광산업,"인천광역시 부평구 부평대로 337, 3층 337호(청천동, 부평 제이타워3차 지식산업센터) 3층 337호",기계부품,
2021,소기업,일광표(주),"인천광역시 부평구 새벌로 29 (청천동) 7층 708, 709호",LED조명기구,032-518-2020
2022,소기업,일도전자,인천광역시 부평구 새벌로 15 (청천동),전자부품,032-506-2635
2023,소기업,일도전자,"인천광역시 부평구 새벌로 15, 2층(청천동)",전자부품,032-506-2635
2024,소기업,일도테크,인천광역시 부평구 새벌로 15 (청천동),전자부품,032-501-0877
2025,소기업,일레덱스(주),"인천광역시 부평구 백범로577번길 20, 공장동 4층 436호~438호 (십정동, 경인센타)","코아, 트랜스포머",032-577-7273
2026,소기업,일성기전,"인천광역시 부평구 부평대로 301, 4층 415호 (청천동, 남광센트렉스) 4층 415호",전장품,032-506-6954
2027,소기업,일성산업,인천광역시 부평구 서달로298번길 33-4 (청천동),보일러 하부커버,032-501-0111
2028,소기업,일승전자(주),"인천광역시 부평구 부평대로 301, 7층 725호 (청천동, 남광센트렉스)",트랜스포머,032-363-3823
2029,소기업,일진시스템,인천광역시 부평구 새벌로 29 (청천동) 3층 318호,인쇄 및 기계 제조,
2030,소기업,임지빈 스튜디오,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 801호,802호",조형물(전시용 모형),
2031,소기업,자연트레이딩,"인천광역시 부평구 부평대로 283, C동 12층 1209호, 1210호(청천동, 부평우림라이온스밸리) C동 12층 1209호, 1210호",원두커피,070-4120-9429
2032,소기업,자이언트스포츠(주) ,"인천광역시 부평구 경원대로1037번길 20, 외 1필지 (십정동)",낚시대,032-505-8486
2033,소기업,장현테크,"인천광역시 부평구 부평대로 283, B동 9층 903B호, 903C호(청천동) B동 9층 903B호, 903C호",소프트웨어 개발,
2034,소기업,재관오일씰,인천광역시 부평구 일신로39번길 16-29 (일신동),"실리콘의류기기, 반도체고무제품",032-526-8829
2035,소기업,재이재이필(주),인천광역시 부평구 부평북로 242 (청천동),마스크,
2036,소기업,전원,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 239호,초고압기기(밸브류),
2037,소기업,정금텔레콤,"인천광역시 부평구 부평대로 283, B동 9층 908호(청천동, 부평우림라이온스밸리) B동 9층 908호",콜센터 및 텔레마케팅,
2038,소기업,정금텔레콤,"인천광역시 부평구 부평대로 283, A동 703B호(청천동, 부평우림라이온스밸리) A동 703B호",텔레마케팅,
2039,소기업,정도디스플레이,"인천광역시 부평구 부평대로 283, 405호 (청천동)",아크릴가공,032-623-7720
2040,소기업,정도디스플레이,"인천광역시 부평구 부평대로 301, 5층 524 (청천동, 남광센트렉스)",전자부품 패널 탑재,032-363-4545
2041,소기업,정밀금속,"인천광역시 부평구 가재울로 137,제1동 제1층 제101호 (십정동)",수배전반,032-876-7080
2042,소기업,정밀주조공업,인천광역시 부평구 경인로1002번길 9 (부평동),관악기부품,032-522-9991
2043,소기업,정상이앤티(주),"인천광역시 부평구 백범로577번길 20, 공장동 533~534호(십정동, 경인센타)","공기조화장치, 공기청정기",031-925-9501
2044,소기업,정수미크론,"인천광역시 부평구 부평대로 283, B동 1층 105 (청천동, 부평 우림라이온스밸리) B동 1층 105호 B동 1층 105호 외 1필지",금형,032-623-6370
2045,소기업,정안테크,"인천광역시 부평구 안남로418번길 27, 별동 101호 (청천동)",다이케스팅,
2046,소기업,정우,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1226호,소프트웨어 개발,
2047,소기업,정우ecs,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",자동제어판넬,070-4253-7936
2048,소기업,정우엔지니어링,"인천광역시 부평구 부평대로 301, 6층 7호 (청천동, 남광센트렉스)",자동제어판넬,032-677-4171
2049,소기업,정원오일레스,"인천광역시 부평구 청천마차로 216-1 (청천동) 지하1층, 1층","코아유니트, 가이드레일",032-501-6764
2050,소기업,정원오일레스,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 124,133호","코어유니트,오일레스",
2051,소기업,정원위너무역,인천광역시 부평구 마장로459번길 19 (청천동),"내의, 슬림",032-519-7680
2052,소기업,정은기획,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1114호,1115호,1116호",부동산임대,
2053,소기업,정진금속,인천광역시 부평구 백범로578번길 65 (십정동) 305호,"임플란트, 의료기부품",032-579-1446
2054,소기업,정진시스템 주식회사,"인천광역시 부평구 부평대로 283, A동 6층 606호 (청천동)","전기제어기,엘리베이터 제어보드",032-623-7992
2055,소기업,제우전자통신,"인천광역시 부평구 부평대로 283, C동 9층 9호 (청천동, 부평 우림라이온스밸리)",와이어하네스,02-6292-6600
2056,소기업,제이 앤 제이,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 123호,가스스프링(금형부품),
2057,소기업,제이디텍,"인천광역시 부평구 부평대로 283, C동 B1층 B104호(청천동, 부평우림라이온스밸리) C동 B1층 B104호",기계부품,
2058,소기업,제이브로,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 529호,실내 인테리어 디자인,
2059,소기업,제이씨(JC)글로벌,"인천광역시 부평구 부평대로 337, 7층 737호(청천동, 부평 제이타워3차 지식산업센터) 7층 737호 외 3필지",도장부스 등,032-542-2067
2060,소기업,제이씨엠코퍼레이션,"인천광역시 부평구 부평대로 337, 4층 435호(청천동, 부평 제이타워3차 지식산업센터) 4층 435호",오븐기,
2061,소기업,제이앤비코스텍,"인천광역시 부평구 마장로426번길 26, 2층 B실 (청천동)",마스크팩,
2062,소기업,제이앤비테크,"인천광역시 부평구 백범로577번길 20, 744~748호(십정동, 경인센타)","센서버너, 안테나(ATN)",032-262-9925
2063,소기업,제이앤씨 건축사사무소,"인천광역시 부평구 부평대로 337, 11층 1108호(청천동, 부평 제이타워3차 지식산업센터) 11층 1108호",건축설계,
2064,소기업,제이에스(JS) 펌프텍,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 910호,"전기 판넬, 액체 펌프",
2065,소기업,제이에스시스템,"인천광역시 부평구 부평대로 337, 10층 1031호(청천동, 부평 제이타워3차 지식산업센터) 10층 1031호",부동산임대,
2066,소기업,제이에스알,"인천광역시 부평구 부평대로 283, B동 1층 104호 (청천동, 부평 우림라이온스밸리)",고무제품,
2067,중기업,제이에스오토모티브(주),인천광역시 부평구 평천로73번길 19 (청천동),차량용전기장치,032-551-2505
2068,소기업,제이에스컴퍼니,"인천광역시 부평구 부평대로 301, 6층 608호 (청천동, 남광센트렉스) 6층 608호",모바일액세사리인쇄,
2069,소기업,제이에스컴퍼니,"인천광역시 부평구 부평대로 337, 7층 725호(청천동, 부평 제이타워3차 지식산업센터) 7층 725호 외 1필지",산업용 로봇 제조,032-546-4357
2070,소기업,제이에스컴퍼니,"인천광역시 부평구 부평대로 337, 12층 1244호(청천동, 부평 제이타워3차 지식산업센터) 12층 1244호",포장및충전,
2071,소기업,제이에스텍,"인천광역시 부평구 백범로577번길 20,경인센타 728호 (십정동)",콘넥터,032-583-7716
2072,소기업,제이에이치씨엔씨,"인천광역시 부평구 부평대로 293, 부평테크시티 702호 703호 (청천동)",임대업,032-246-2324
2073,소기업,제이엔기획,"인천광역시 부평구 부평대로 337, 12층 1253호(청천동, 부평 제이타워3차 지식산업센터) 12층 1253호",광고대행,
2074,소기업,제이엘테크,"인천광역시 부평구 새벌로 15, 2층(청천동)",전원공급장치,
2075,소기업,제이엘팜(JL팜),인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 413호,"의료기기,의약품 포장",
2076,소기업,제이엘후드텍,"인천광역시 부평구 부평대로 301, 8층 824,825 (청천동, 남광센트렉스)",캔디류,
2077,소기업,제이엠씨 ,"인천광역시 부평구 부평대로 283, C동 902호(청천동, 부평우림라이온스밸리) C동 902호",화장품 용기,032-263-0024
2078,소기업,제이엠에스,"인천광역시 부평구 부평대로 283, C동 9층 905 (청천동, 부평 우림라이온스밸리)",화장품용기인쇄,032-212-0091
2079,소기업,제이오토먼트,"인천광역시 부평구 평천로255번길 13, 3층 305호 (청천동) 3층 305호","와이어하네스, 하네스 조립",
2080,소기업,제이와이스코리아(주),"인천광역시 부평구 새벌로 4, 공장동 3층 301호(청천동)",보건용 마스크,032-516-2675
2081,소기업,제이원 켐텍,"인천광역시 부평구 부평대로 337, 12층 1242호(청천동, 부평 제이타워3차 지식산업센터) 12층 1242호",경영컨설팅,
2082,소기업,제이케이 인테리어,"인천광역시 부평구 부평대로 337, 11층 1128호(청천동, 부평 제이타워3차 지식산업센터) 11층 1128호",인테리어 디자인,
2083,소기업,제이케이테크,"인천광역시 부평구 부평대로 337, 10층 1005호(청천동, 부평 제이타워3차 지식산업센터) 10층 1005호",인버터,
2084,소기업,제이케이텍,"인천광역시 부평구 부평대로 337, 3층 331호(청천동, 부평 제이타워3차 지식산업센터) 3층 331호",컴퓨터 서버 등,
2085,소기업,제이콤(주),"인천광역시 부평구 주부토로 236, 제시동 17층 1713호(갈산동, 인천테크노밸리 U1센터) 제시동 17층 1713호",세톱박스(멀티미디어 학습장치),032-330-8300
2086,소기업,제이텍,"인천광역시 부평구 평천로199번길 34, 2층 (청천동)",교육용모형,
2087,소기업,제일FC,인천광역시 부평구 가좌로84번길 59(십정동),냉동만두,032-872-1673
2088,소기업,제일기획에스엔피(주),"인천광역시 부평구 주부토로 236, 제디동 2층 216호(갈산동) 제디동 2층 216호",스티커,032-270-6400
2089,소기업,제일이엔지,인천광역시 부평구 평천로199번길 53 (청천동),금형,032-512-9996
2090,소기업,제일정밀,"인천광역시 부평구 새벌로 29, 4층 418호(청천동, 부평테크노타워) 4층 418호",카메라 모듈 지그,032-511-3910
2091,소기업,제일정밀,"인천광역시 부평구 부평대로 337, 3층 306호(청천동, 부평 제이타워3차 지식산업센터) 3층 306호",카메라 모듈지그,
2092,소기업,제일진흥(주),"인천광역시 부평구 백범로577번길 20 (십정동, 경인센타)",임대사업자,032-578-9701
2093,소기업,제일피복공업(주),인천광역시 부평구 새벌로 4(청천동),천막 등,02-497-0309
2094,소기업,제피에스볼링,"인천광역시 부평구 부평대로 293, 부평테크시티 501호 502호 (청천동)",가방,
2095,소기업,조선아이에스(주),인천광역시 부평구 부평대로313번길 14 (청천동),광고전단지,02-1544-3555
2096,소기업,조선환경신문 인천지사,"인천광역시 부평구 부평대로 337, 8층 827호(청천동, 부평 제이타워3차 지식산업센터) 8층 827호",신문발행,032-501-1438
2097,소기업,조이,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 7층 717호,마스크,032-713-9939
2098,소기업,조이포스터,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 513호,포스터,
2099,소기업,조이풀컴퍼니(주),"인천광역시 부평구 새벌로 29, 3층 306호,312호,313호,314호(청천동, 부평테크노타워) 3층 306호,312호,313호,314호","인테리어 디자인, 경영 컨설팅",032-551-1003
2100,소기업,종화철강,인천광역시 부평구 부평북로 42 (청천동),"쇼트카바,탱크,방진기기",032-523-0250
2101,소기업,주경정밀,"인천광역시 부평구 부평대로 283, C동 B2층 227 (청천동, 부평 우림라이온스밸리)",자동차부품,032-523-8268
2102,소기업,주노어패럴,"인천광역시 부평구 부평대로 283, A동 3층 301호, 302호 302A호, 302B호(청천동, 부평우림라이온스밸리) A동 3층 301호, 302호 302A호, 302B호 외 1필지",스포츠의류,032-554-2614
2103,소기업,주성테크,"인천광역시 부평구 부평대로 301, 1동 4층 416 (청천동, 남광센트렉스)",반도체 장비부품,032-501-2420
2104,소기업,주식회사 건영종합전기,인천광역시 부평구 열우물로 149 (십정동),지중용 compact형 접지장치,032-575-8689
2105,소기업,주식회사 다인,"인천광역시 부평구 부평대로 283, C동 9층 907호 (청천동, 부평 우림라이온스밸리) C동 9층 907호",의료기기,032-544-2542
2106,소기업,주식회사 닷,"인천광역시 부평구 부평대로 283, C동 5층 510C호(청천동, 부평우림라이온스밸리) C동 5층 510C호","닷 워치, 닷 미니, 닷 셀",02-864-1113
2107,소기업,주식회사 대현테크노,"인천광역시 부평구 백범로577번길 20, 공장동 6층 642호(십정동, 경인센터)(십정동)",운송장비용 플라스틱 제품,032-819-7574
2108,소기업,주식회사 더블유케이푸드,"인천광역시 부평구 부평북로236번길 49, 306호(청천동, 천미테크) (청천동)",밀키트,
2109,소기업,주식회사 더블케이앤제이,"인천광역시 부평구 부평대로 283, A동 410호(청천동, 부평우림라이온스밸리) A동 410호",텔레마케팅,
2110,소기업,주식회사 더에스엔제이,"인천광역시 부평구 새벌로 4, 2층 (청천동)",핸드백,032-503-2361
2111,중기업,주식회사 덕산,"인천광역시 부평구 길주로 633, 801호, 803호, 804호 (삼산동, 삼산메디캐슬)","구내방송장치, 폐쇄회로텔레비젼(보안용카메라, 영상감시장치)",032-513-3311
2112,소기업,주식회사 동동구리무,인천광역시 부평구 새벌로 60 (청천동),화장품,02-542-3292
2113,소기업,주식회사 동신하이텍,인천광역시 부평구 새벌로 28 (청천동),건축용자재 등,032-507-2551
2114,소기업,주식회사 동양인터내셔날,"인천광역시 부평구 새벌로 4 (청천동) 3층, 4층","남성정장,피복,근무복,모장 등",032-362-7265
2115,소기업,주식회사 동익엔지니어링,"인천광역시 부평구 부평대로 301, 5층 523 (청천동, 남광센트렉스)",자동제어반,032-363-4321
2116,소기업,주식회사 드모드,"인천광역시 부평구 안남로434번길 57, 402호 (청천동)",의류,
2117,소기업,주식회사 디오엠테크,인천광역시 부평구 백범로577번길 20 (십정동) 경인센타 공장동 5층 538호,공기조화기,032-578-4628
2118,소기업,주식회사 디자인푸드,인천광역시 부평구 안남로369번길 50 (청천동) 2층,냉동도시락,070-7543-7010
2119,소기업,주식회사 리노셈,"인천광역시 부평구 부평대로 301, 822호(청천동, 남광센트렉스) 822호 외 5필지",의료용 플라즈마 멸균기 등,032-222-0100
2120,소기업,주식회사 맥파이온,"인천광역시 부평구 부평대로 283, A동 3층 302A호 (청천동) A동 3층 302A호 외 1필지",모노레일 이송장비,032-623-7830
2121,소기업,주식회사 메이튼오토랩,"인천광역시 부평구 안남로369번길 8, 1~4층 (청천동)","자동차 매트, 자동차 대시보드커버 외",
2122,소기업,주식회사 벚꽃,"인천광역시 부평구 부평대로 337, 4층 417호(청천동, 부평 제이타워3차 지식산업센터) 4층 417호",경영컨설팅,
2123,소기업,주식회사 베스트라이프,"인천광역시 부평구 부평대로 283, B동 4층 409호 (청천동, 부평 우림라이온스밸리)","냉온정수기,정수장비",032-513-7677
2124,소기업,주식회사 브로테크,"인천광역시 부평구 부평대로 301, 9층 910호 (청천동, 남광센트렉스)",케이블,032-363-3022
2125,소기업,주식회사 브로테크,"인천광역시 부평구 부평대로 301, 9층 910호 (청천동, 남광센트렉스)",자동화부품,032-363-3022
2126,소기업,주식회사 브릴리언트,"인천광역시 부평구 부평대로 283, B동 6층 609호, 610호(청천동, 부평우림라이온스밸리) B동 6층 609호, 610호","CCTV, DVR",070-7728-8266
2127,소기업,주식회사 비에스아이엔티(부평지점),"인천광역시 부평구 부평대로 293, B101-1호(청천동, 부평테크시티) B101-1호",의류 등,02-855-9530
2128,소기업,주식회사 비엘에어,"인천광역시 부평구 백범로577번길 20, 531호, 532호(십정동, 경인센타)",전열교환기 ,
2129,소기업,주식회사 사이언스타운 2공장,"인천광역시 부평구 부평대로 301, 7층 803호 (청천동, 남광센트렉스)",현미경,032-363-4455
2130,소기업,주식회사 삼구이앤티,"인천광역시 부평구 부평대로 283, C동 3층 309호 310호 310B호 (청천동, 부평 우림라이온스밸리)",핸드포카메라모듈,
2131,소기업,주식회사 삼우화인텍,"인천광역시 부평구 부평대로 301, 3층 313호 (청천동, 남광센트렉스) 3층 313호",임대업,032-504-2786
2132,소기업,주식회사 선일컴퍼니,인천광역시 부평구 부평대로313번길 84 (청천동),의류,032-518-5858
2133,소기업,주식회사 세창엔지니어링,"인천광역시 부평구 안남로 404, 3층 (청천동)",전등기구,062-971-5520
2134,소기업,주식회사 스마티웍스,"인천광역시 부평구 부평대로 283, A동 6층 612 (청천동, 부평 우림라이온스밸리) A동 6층 612호","LED조명기기, 제어장치, PCB",032-713-4916
2135,소기업,주식회사 시소컴퍼니,"인천광역시 부평구 부평대로 283, B동 1층 B104 (청천동, 부평 우림라이온스밸리)",소프트웨어개발,
2136,소기업,주식회사 시소컴퍼니,"인천광역시 부평구 부평대로 283, B동 7층 708호 (청천동, 부평 우림라이온스밸리)",소프트웨어개발,070-7140-2510
2137,소기업,주식회사 신성라이텍,인천광역시 부평구 새벌로 44 (청천동),컨버터 등,032-501-9180
2138,소기업,주식회사 신안룩스,"인천광역시 부평구 평천로255번길 38, 4층 (청천동)",등기구,032-578-6646
2139,소기업,주식회사 썬텍,"인천광역시 부평구 부평대로 301, 7층 703호 (청천동, 남광센트렉스) 7층 703호",임대업,
2140,소기업,주식회사 썬텍 2공장,"인천광역시 부평구 부평대로 301, 5층 508-2호 (청천동, 남광센트렉스) 5층 508-2호",임대업,032-564-2793
2141,소기업,주식회사 씨앤에이치,"인천광역시 부평구 평천로93번길 5-1 (청천동,남강쉐르빌) 101호","전자부품, 통신장비",032-243-0051
2142,소기업,주식회사 씨엠네트워크,"인천광역시 부평구 부평대로 283, C동 8층 809 (청천동, 부평 우림라이온스밸리)",CCTV,
2143,소기업,주식회사 에스디라이팅,"인천광역시 부평구 새벌로 44, 306호 (청천동)",조명등기구,032-505-8101
2144,소기업,주식회사 에스엔티,"인천광역시 부평구 백범로577번길 20 (십정동, 경인센타)",침구류,
2145,소기업,주식회사 에스이엠,"인천광역시 부평구 부평대로 283, B동 6층 609B호(청천동, 부평우림라이온스밸리) B동 6층 609B호 외 1필지",보안시설관리업,070-4253-8982
2146,소기업,주식회사 에이스타하이테크,"인천광역시 부평구 부평북로236번길 49, 305호 (청천동)",CCTV,032-501-1688
2147,소기업,주식회사 에코세미텍,"인천광역시 부평구 부평대로 301, 8층 820,819,818-2 (청천동, 남광센트렉스)","FRD,IGBT Module",032-715-5088
2148,소기업,주식회사 엔디케이,"인천광역시 부평구 부평대로 337, 422호(청천동, 부평 제이타워3차 지식산업센터) 422호",전동드릴,032-361-0886
2149,소기업,주식회사 엘이디솔루션,"인천광역시 부평구 백범로577번길 20, 811~818,851호(십정동, 경인센타)","PCB SMT 실장, 조명기구, LED 조명기구, 바닥형보행신호등, 전시 및 광고용 조명장치 ",032-225-3316
2150,소기업,주식회사 엠유트론,"인천광역시 부평구 부평대로 293, 11층 1119호(청천동, 부평테크시티) 11층 1119호",S/W,070-7537-0201
2151,소기업,주식회사 오션솔라라이팅,"인천광역시 부평구 부평대로 283, C동 3층 308호 (청천동, 부평 우림라이온스밸리) C동 3층 308호","조명기구장치,태양광LED조명장치",032-330-8558
2152,소기업,주식회사 오픈네트웍스,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 7층 709호 7층 709호,서비스,
2153,소기업,주식회사 와이즈컴퍼니,"인천광역시 부평구 평천로255번길 13, 1001호(청천동) 1001호",광고대행업,
2154,소기업,주식회사 유니포스,"인천광역시 부평구 부평대로 293, 부평테크시티 711호 712호 (청천동)",엔젤시스템,032-277-9797
2155,소기업,주식회사 유림전력,"인천광역시 부평구 부평대로 293, 부평테크시티 703호 (청천동)",분전반,032-246-2324
2156,소기업,주식회사 이니지오,"인천광역시 부평구 부평대로 337, 11층 1128호(청천동, 부평 제이타워3차 지식산업센터) 11층 1128호",금속가구,070-4226-1856
2157,소기업,주식회사 이알,"인천광역시 부평구 부평대로 283, C동 3층 303,304,305 (청천동, 부평 우림라이온스밸리)",카메라모듈,
2158,소기업,주식회사 이앤리빙,"인천광역시 부평구 안남로434번길 57, 3층 (청천동)","커튼,침구류,문팩시계, 유아 베개",070-5057-5606
2159,소기업,주식회사 이피에스,"인천광역시 부평구 부평대로297번길 28, 1층 (청천동)",전자부품,032-207-2013
2160,소기업,주식회사 인천스카이,"인천광역시 부평구 새벌로 45, 2층 (청천동)",태양열 패널,032-265-0101
2161,소기업,주식회사 인하앤니즈랩,"인천광역시 부평구 부평대로 301, 남광센트렉스 320호 (청천동)",정밀환경제어시스템 등,
2162,소기업,주식회사 잔별마켓,"인천광역시 부평구 부평대로 337, 936호(청천동, 부평 제이타워3차 지식산업센터) 936호",포장서비스,
2163,소기업,주식회사 제이앤,인천광역시 부평구 부평대로 337 (청천동),부동산개발 및 임대,031-272-8090
2164,소기업,주식회사 제이앤,인천광역시 부평구 부평대로 337 (청천동),부동산분양 및 임대,031-272-8090
2165,소기업,주식회사 집쇼코리아,"인천광역시 부평구 부평대로 293, B212호(청천동, 부평테크시티) B212호",전시용 모형,
2166,소기업,주식회사 컨텍,인천광역시 부평구 새벌로 15 (청천동),LED컨버터,032-518-6837
2167,소기업,주식회사 코머스,"인천광역시 부평구 부평대로 337, 11층 1114호(청천동, 부평 제이타워3차 지식산업센터) 11층 1114호",광고대행서비스,
2168,소기업,주식회사 크레아,인천광역시 부평구 부평대로297번길 58 (청천동),자동차차체,032-520-9600
2169,소기업,주식회사 키다리아저씨,"인천광역시 부평구 부평대로 283, C동 B2층 204 (청천동, 부평 우림라이온스밸리)",FITNEX,032-325-2277
2170,소기업,주식회사 태성엔지니어링,인천광역시 부평구 평천로115번길 17 (청천동),자동차 전자부품,032-529-5670
2171,소기업,주식회사 티앤제이티,"인천광역시 부평구 부평대로 301, 7층 701 (청천동, 남광센트렉스)",배기가스저감장치,032-507-3982
2172,소기업,주식회사 파워스캔,"인천광역시 부평구 평천로 251, 2층 (청천동)",스마트센서,02-3461-2001
2173,소기업,주식회사 파이로직스,인천광역시 부평구 새벌로 44 (청천동),영상녹화기기,070-8633-2941
2174,소기업,주식회사 파파테크,"인천광역시 부평구 새벌로 29, 711호(청천동, 부평테크노타워) 711호","전기자동제어반, 선박구성품",032-207-7943
2175,소기업,주식회사 포그코리아,"인천광역시 부평구 부평대로 283, B동 6층 611호 (청천동, 부평 우림라이온스밸리) B동 6층 611호 외 1필지",홈페이지 제작,032-623-5885
2176,소기업,주식회사 폰케어,"인천광역시 부평구 부평대로 283, C동 5층 505 (청천동, 부평 우림라이온스밸리)",무선충전기,
2177,소기업,주식회사 프리티걸즈,"인천광역시 부평구 부평대로313번길 77, 3층 (청천동)",유아의류,032-5321-6834
2178,소기업,주식회사 한빛방재,"인천광역시 부평구 평천로255번길 13, 1110호 (청천동) 1110호",엔지니어링 서비스,032-506-7119
2179,소기업,주식회사 해리,인천광역시 부평구 부평북로236번길 39 (청천동),금속위생용품 등,032-503-4447
2180,소기업,주식회사 행복한다람쥐단,"인천광역시 부평구 부평대로 293, 부평테크시티 814호 (청천동)",소프트웨어,070-4035-4218
2181,소기업,주식회사 현대티앤알,"인천광역시 부평구 백범로577번길 20, 7층 731호 (십정동, 경인센타) 7층 731호","블랙박스, 욕실폰",032-578-5077
2182,소기업,주식회사 화담,"인천광역시 부평구 부평대로 283, B동 6층 611호 (청천동, 부평 우림라이온스밸리) B동 6층 611호 B동 6층 611호",조명센서,032-527-5514
2183,소기업,주식회사 휴앤텍,인천광역시 부평구 안남로 408 (청천동),"공기청정기, 환기 유니트 부품(송풍기)",032-268-1300
2184,중기업,주식회사경신인천공장,인천광역시 부평구 가좌로12번길 59 (십정동),자동차 배선,032-580-7232
2185,소기업,주식회사제이에이치코리아,"인천광역시 부평구 백범로577번길 20, 831~838호(십정동, 경인센타)","스킨, 로션",070-7719-7111
2186,소기업,주식회사해찬시스템,"인천광역시 부평구 백범로577번길 20, 5층 526호 (십정동, 경인센타) 5층 526호","영사용스크린,스피커,브래킷 등, 영상정보디스플레이장치",032-575-0630
2187,소기업,주안AMT,"인천광역시 부평구 부평대로 283, 외1필지 A 406호 (청천동)",BELLOWS/VACUUM RARTS,032-420-1011
2188,소기업,주안디디피,"인천광역시 부평구 부평대로 283, C동 5층 501 (청천동, 부평 우림라이온스밸리)",통신케이블,032-506-0506
2189,소기업,주영,인천광역시 부평구 부평대로 337 (청천동) 1207호,부동산 임대,032-256-3800
2190,소기업,주영ENG,인천광역시 부평구 항동로125번길 7 (일신동),금형,032-528-6604
2191,소기업,주원스텐레스,"인천광역시 부평구 부평대로 283, C 307호 (청천동)",임대사업,02-802-8245
2192,소기업,주원시스템,"인천광역시 부평구 부평대로 293, 부평테크시티 1105호 (청천동)",제어반,032-329-4220
2193,소기업,주원전자,"인천광역시 부평구 부평대로 337, 6층 639호(청천동, 부평 제이타워3차 지식산업센터) 6층 639호","충전용 전원공급장치, 반도체용 아날로그 장비",
2194,소기업,주은테크,"인천광역시 부평구 평천로255번길 13, 708호 (청천동) 708호",배전반 등,032-257-0917
2195,소기업,주학이엔지(주),"인천광역시 부평구 주부토로 236, 제시동 16층 1616호(갈산동, 인천테크노밸리 U1센터) 제시동 16층 1616호",전시 및 광고용 조명장치 ,032-209-1620
2196,소기업,주호테크,"인천광역시 부평구 주부토로 236, A동 B101호(갈산동, 인천테크노밸리 U1센터) A동 B101호","플라스틱 사출 금형, 도로표지병, 경관조명 등",
2197,소기업,준실업,인천광역시 부평구 청천마차로 216 (청천동),핸드폰 다이얼패드,032-521-0795
2198,소기업,준일산업(주),인천광역시 부평구 안남로418번길 81 (청천동),"음료, LID",032-502-9612
2199,소기업,준테크,"인천광역시 부평구 부평대로 301, 3층 2호 (청천동, 남광센트렉스)",미용기구,032-3663-3898
2200,소기업,준테크,"인천광역시 부평구 부평대로 283 (청천동) 부평우림라이온스밸리 C동 11층 1108, 1109호","블랙박스, 전기회로 개폐",
2201,소기업,중소기업경영지원단 온뉴,"인천광역시 부평구 부평대로 301, 914호(청천동, 남광센트렉스) 914호",경영컨설팅,
2202,소기업,중앙S&EC,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1030호,컨설팅,032-874-8938
2203,소기업,중앙엔지니어링,인천광역시 부평구 부평북로 3 (청천동),금형,032-511-4371
2204,소기업,중앙전기,"인천광역시 부평구 부평대로 337, 7층 733호(청천동, 부평 제이타워3차 지식산업센터) 7층 733호",컨트롤 박스,
2205,소기업,중원엔지니어링,"인천광역시 부평구 부평대로 337, 2층 228호(청천동, 부평 제이타워3차 지식산업센터) 2층 228호 외 2필지",반도체 장비 가공품,032-513-0327
