순번,회사명,생산품,업종명,공장대표주소(도로명),전화번호,데이터기준일자
3410,정우메탈,LED조명기구,일반용 전기 조명장치 제조업,"인천광역시 서구 중봉대로 490, 4층 404호 (청라동) 4층 404호 4층 404호",032-567-3884,2025-04-02
3411,정우산업,"오락기, 휴대폰 악세사리, 플라스틱 사출",그 외 기타 플라스틱 제품 제조업,인천광역시 서구 가정로 26 (가좌동),032-577-5236,2025-04-02
3412,정우실업,"자동차부품, 스프링",금속 스프링 제조업 외 2 종,인천광역시 서구 가석로 30 (가좌동) 광양프런티어밸리3차 1동 3F층 311호,032-512-7078,2025-04-02
3413,정우통상,"알미늄탈가스제,주물부자재",그 외 기타 분류 안된 화학제품 제조업 외 1 종,"인천광역시 서구 사렴로43번길 22 (경서동, 가동)",032-561-1515,2025-04-02
3414,정우통상(1공장),주물부자재,그 외 기타 분류 안된 화학제품 제조업 외 1 종,인천광역시 서구 경서동 363-188번지,032-561-1515,2025-04-02
3415,정운테크(주),전선및케이블,기타 절연선 및 케이블 제조업,인천광역시 서구 검단로 122 (오류동),032-556-8972,2025-04-02
3416,정원금속,철구조물,육상 금속 골조 구조재 제조업 외 1 종,"인천광역시 서구 대곡로123번길 57 (대곡동, 정원금속)",032-563-0822,2025-04-02
3417,정원금속(주),"기계부품,열간단조",금속 단조제품 제조업 외 7 종,"인천광역시 서구 원당대로 514-10 (왕길동, 정원금속)",032-562-8530,2025-04-02
3418,정원특수금속(주),스텐레스 절단품,절삭가공 및 유사처리업,"인천광역시 서구 원당대로 147,  (오류동, 정원특수금속)",032-563-0043,2025-04-02
3419,정윤비앤씨,욕실용 액세사리,일반철물 제조업,인천광역시 서구 오류동 0번지 검단일반산업단지 13-7,032-568-5215,2025-04-02
3420,정인산업,주방용가구,주방용 및 음식점용 목재가구 제조업 외 1 종,"인천광역시 서구 북항로177번길 124, A동 (원창동)",032-584-7666,2025-04-02
3421,정일산기,오일버퍼,기타 물품 취급장비 제조업,인천광역시 서구 사렴로9번길 2 (경서동) 정일산기공장,032-566-6766,2025-04-02
3422,정현수산,수산물,수산동물 냉동품 제조업,인천광역시 서구 가좌동 577-6번지,070-8826-0876,2025-04-02
3423,정호정밀,모터,유압기기 제조업,"인천광역시 서구 가정로38번길 18, 1층 5호 (가좌동, 영창테크노타운 아파트형공장)",032-582-0290,2025-04-02
3424,정화기계,성형기,디지털 적층 성형기계 제조업 외 1 종,인천광역시 서구 원당대로480번길 6-23 (왕길동),032-566-3236,2025-04-02
3425,정훈기업(주),화학제품용기 제조,포장용 플라스틱 성형용기 제조업,"인천광역시 서구 건지로109번길 47,B1호 (석남동)",032-581-6186,2025-04-02
3426,제경조명,조명기기,일반용 전기 조명장치 제조업,인천광역시 서구 염곡로134번길 9 (가좌동),032-583-0390,2025-04-02
3427,제롬치즈케이크,치즈케이크,빵류 제조업,"인천광역시 서구 보듬로 158, 공존동 212호(오류동, 블루텍) 공존동 212호",,2025-04-02
3428,제스디자인㈜,가구,기타 목재가구 제조업 외 1 종,인천광역시 서구 원당대로 245-14 (오류동) 외 4필지,032-546-7156,2025-04-02
3429,제스트리프트,지게차 작업장치,산업용 트럭 및 적재기 제조업,인천광역시 서구 검단로188번길 41 (오류동),032-564-9462,2025-04-02
3430,제연기업,기계부품,도금업,"인천광역시 서구 중봉대로240번길 24, 101호 (석남동)",032-574-5907,2025-04-02
3431,제우코퍼레이션,조명기구,일반용 전기 조명장치 제조업 외 1 종,인천광역시 서구 가좌로29번길 23(가좌동),032-664-3125,2025-04-02
3432,제이시스템,전기 자동 제어반,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 가남로 61, (가좌동, 토지산업2차 지식산업센터) A동 2층 209호",032-583-8874,2025-04-02
3433,제이씨엘,식기건조대,주방용 전기기기 제조업,인천광역시 서구 원당대로428번길 7-1 (왕길동),032-566-3819,2025-04-02
3434,제이씨테크,"반도체장비부품, 2차전지제조장비부품",절삭가공 및 유사처리업,인천광역시 서구 가정로77번길 53 (가좌동),032-571-6441,2025-04-02
3435,제이앤에스 프레시,새우장,기타 수산동물 가공 및 저장 처리업,"인천광역시 서구 보듬로 158,(오류동, 블루텍) 1동 2층 217호",,2025-04-02
3436,제이앤에스비젼텍,자동화설비,그 외 기타 특수목적용 기계 제조업 외 1 종,인천광역시 서구 검단로102번길 17 (오류동),032-567-8775,2025-04-02
3437,제이앤케이,미용기기,기타 가정용 전기기기 제조업,"인천광역시 서구 파랑로 495, 1동 819호(청라동) 1동 819호",032-220-0313,2025-04-02
3438,제이에스글로벌,분사기,분사기 및 소화기 제조업,"인천광역시 서구 보듬로 158, 10층 1017호(오류동, 블루텍) 10층 1017호",032-567-5161,2025-04-02
3439,제이에스산업,피스커버스티커,그 외 기타 달리 분류되지 않은 제품 제조업,인천광역시 서구 북항로120번길 28-43 (원창동),032-777-7142,2025-04-02
3440,제이에스시스템,배전반 및 자동제어반,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 가좌로 54, (가좌동, 주안비티센터2차) 1동 6층 611호",,2025-04-02
3441,제이에스전자,인쇄회로기판,인쇄회로기판용 적층판 제조업 외 2 종,"인천광역시 서구 가재울로 9, 2동 4층 (가좌동)",032-572-9197,2025-04-02
3442,제이에스전자(주),인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 봉수대로170번길 11 (가좌동),032-584-2586,2025-04-02
3443,제이에스케이테크(주),자동차부품,주형 및 금형 제조업,"인천광역시 서구 가재울로54번길 13, 가현엔프라(주) 내(가좌동)",070-5118-4886,2025-04-02
3444,제이에스티,감속기 및 기계제작,비주거용 건물 임대업 외 1 종,인천광역시 서구 보듬로 178 (오류동),031-983-6951,2025-04-02
3445,제이엔씨, 봉제업,침구 및 관련제품 제조업,"인천광역시 서구 심곡로194번길 33, 1동 지층 (공촌동)",,2025-04-02
3446,제이엠금속,악세사리,도금업 외 1 종,"인천광역시 서구 가람로 14, 4층 인천표면처리센터 코아텍 419호 (오류동)",032-572-1649,2025-04-02
3447,제이엠디앤지,"목재가구, 주방가구",기타 목재가구 제조업 외 1 종,인천광역시 서구 북항로 42-30 (원창동),032-822-2290,2025-04-02
3448,제이엠티,자동차부품,자동차용 신품 전기장치 제조업 외 1 종,"인천광역시 서구 사렴로21번길 12 (경서동, B동)",032-569-8866,2025-04-02
3449,제이이전자,의료기기용 부품,절삭가공 및 유사처리업,인천광역시 서구 보듬로 158 (오류동) 블루텍 1동 7층 711호,,2025-04-02
3450,제이컴,"간판, 알루미늄 가공(용접, 절단)",간판 및 광고물 제조업 외 1 종,인천광역시 서구 봉수대로285번길 20-22 (석남동),,2025-04-02
3451,제이케이 컴퍼니,비말차단용 마스크,기타 직물제품 제조업,인천광역시 서구 염곡로 114 (가좌동) 1동 3층,032-571-8889,2025-04-02
3452,제이클린에어,마스크제조,기타 직물제품 제조업,"인천광역시 서구 보듬로 158,(오류동, 블루텍) 1동 4층 423호",032-719-7019,2025-04-02
3453,제이테크,방열판,도금업 외 1 종,"인천광역시 서구 가람로 14, 8층 인천표면처리센터 코아텍 812호 (오류동)",032-819-5229,2025-04-02
3454,제이텍,방전식 전자안정기,방전램프용 안정기 제조업,"인천광역시 서구 가좌로 33, 생활관 2층 (가좌동)",070-8735-6520,2025-04-02
3455,제이투텍,반도체부품,도금업,인천광역시 서구 건지로 110 (가좌동),032-577-3543,2025-04-02
3456,제이푸드테크,커피원두,커피 가공업,인천광역시 서구 소담로 19 (금곡동),,2025-04-02
3457,제이플에너지주식회사,"플랜트배관, 덕트",그 외 기타 일반목적용 기계 제조업 외 1 종,인천광역시 서구 길무로 217 (오류동),,2025-04-02
3458,제일C&F,"커피가공, 원두",커피 가공업,인천광역시 서구 소담로 52(금곡동),032-662-5225,2025-04-02
3459,제일공업(주),규소강판CORE,그 외 기타 전자부품 제조업,인천광역시 서구 대곡로89번안길 12 (대곡동),032-565-2883,2025-04-02
3460,제일금속,전기아연도금,도금업,"인천광역시 서구 가람로 14,(오류동, 인천표면처리센터 요진코아텍) 1동 3층 311호",032-563-1081,2025-04-02
3461,제일기계,전기자동제어판넬,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 중봉대로 490, 860호(청라동) 860호 외 1필지",,2025-04-02
3462,제일벤딩산업,"운동기구,철가공 반제품",그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종,인천광역시 서구 장고개로117번길 24-9 (가좌동),032-529-6937,2025-04-02
3463,제일비엠씨,금형프레임,절삭가공 및 유사처리업,"인천광역시 서구 북항로207번길 71, 2동 (원창동)",032-578-8144,2025-04-02
3464,제일산업,전기전자부품,도금업 외 1 종,"인천광역시 서구 가람로 14, 3층 인천표면처리센터 코아텍 314호 (오류동)",032-819-2908,2025-04-02
3465,제일산업,배전반,배전반 및 전기 자동제어반 제조업,인천광역시 서구 원당대로265번길 38-4,032-556-6223,2025-04-02
3466,제일산업개발(주),아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 드림로 546 (당하동),032-565-3071,2025-04-02
3467,제일연마,라이타 부품 등,그 외 기타 금속가공업,인천광역시 서구 가재울로 112 (가좌동),032-597-6405,2025-04-02
3468,제일전장,기타절연선 및 케이블 ,기타 절연선 및 케이블 제조업,"인천광역시 서구 가좌로 54, (가좌동) 1동 3층 301호",,2025-04-02
3469,제일정공,"프레스금형,전자부품",자동차용 금속 압형제품 제조업 외 1 종,"인천광역시 서구 장고개로238번길 27 (가좌동, 제일정공가동)",032-583-4457,2025-04-02
3470,제일특수엔지니어링,전기로부품,절삭가공 및 유사처리업,인천광역시 서구 원전로37번길 5 (경서동),032-567-1901,2025-04-02
3471,제일특수제지,화장지 등,위생용 종이제품 제조업,인천광역시 서구 오류동 411-15,032-567-9591,2025-04-02
3472,제일피앤비(주),"열교환기, 중앙난방용보일러","증류기, 열교환기 및 가스발생기 제조업 외 1 종",인천광역시 서구 마중로 162 (오류동),032-565-9694,2025-04-02
3473,조광목재,제재목,일반 제재업,인천광역시 서구 북항로 96 (원창동),032-562-4622,2025-04-02
3474,조광목재,제재목,일반 제재업 외 3 종,인천광역시 서구 북항로177번길 36 (원창동),032-562-4622,2025-04-02
3475,조광목재,"놀이터용 장비, 옥외벤치",놀이터용 장비 제조업 외 1 종,"인천광역시 서구 거북로 36, 가동 202호(석남동)",032-562-4622,2025-04-02
3476,조아산코스메틱,화장품,화장품 제조업 외 1 종,"인천광역시 서구 가좌로29번길 22, (가좌동, IBC센터) 1동 3층 308호",032-541-5620,2025-04-02
3477,조앤문,곱창,육류 기타 가공 및 저장처리업 (가금류 제외),인천광역시 서구 백범로934번길 12 (가좌동),032-584-8462,2025-04-02
3478,조은정밀,PCB 홀가공,절삭가공 및 유사처리업,인천광역시 서구 건지로97번길 33-22 (석남동),032-863-0620,2025-04-02
3479,조이밸브,자동밸브 외,"탭, 밸브 및 유사장치 제조업","인천광역시 서구 파랑로 495, 2동 1018호(청라동) 2동 1018호",032-220-0711,2025-04-02
3480,조일공업(주),"양수기,가스렌지,자동차부속",선철주물 주조업,인천광역시 서구 사렴로10번길 15 (경서동),032-561-7211,2025-04-02
3481,조일금속공업(주),자동차부품,선철주물 주조업,인천광역시 서구 사렴로10번길 15 (경서동),032-561-3469,2025-04-02
3482,조일엔지니어링,기계부품절삭가공,절삭가공 및 유사처리업,인천광역시 서구 보도진로18번길 23-1 (가좌동) (총 2 필지) 외 1필지,032-578-7675,2025-04-02
3483,존게스트코리아 유한회사,"정수기필터,튜브,피팅조립",액체 여과기 제조업,"인천광역시 서구 가남로 61, A동 1층 112,212 (가좌동, 토지산업2차 지식산업센터)",032-584-3370,2025-04-02
3484,좋은생각,간판 및 광고물 제조업,간판 및 광고물 제조업,"인천광역시 서구 파랑로 495, 2동 309호(청라동) 2동 309호",,2025-04-02
3485,주)대호테크,전자기기,기기용 자동측정 및 제어장치 제조업,"인천광역시 서구 봉수대로 141, 705호 (가좌동)",032-579-9617,2025-04-02
3486,주)원진에너지 가스기기사업부,가스누설경보기,전기경보 및 신호장치 제조업,"인천광역시 서구 거북로 30, 에이동201호 (석남동)",032-581-2277,2025-04-02
3487,주식회사 가가전력,"분전반, 자동제어반, 배전반",배전반 및 전기 자동제어반 제조업,인천광역시 서구 한서로53번길 22(백석동),032-581-3914,2025-04-02
3488,주식회사 가온이앤씨,"바닥유도등,터널유도등",전시 및 광고용 조명장치 제조업,"인천광역시 서구 가석로 30, 7층 715 (가좌동)",032-579-7954,2025-04-02
3489,주식회사 강성기업,화스너,육상 금속 골조 구조재 제조업,인천광역시 서구 봉수대로1568번길 63-12(금곡동),032-561-2733,2025-04-02
3490,주식회사 계경그룹,"육류가공품, 햄버거패티, 치킨패티, 삼계탕, 감자탕",육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,인천광역시 서구 소담2로 40 (금곡동),032-576-3393,2025-04-02
3491,주식회사 계경그룹,"삼계탕, 감자탕, 육류가공품",기타 식사용 가공처리 조리식품 제조업 외 1 종,인천광역시 서구 소담2로 41(금곡동),070-4195-1664,2025-04-02
3492,주식회사 고리아,"방충망, 방풍비닐",기타 직물제품 제조업,"인천광역시 서구 봉수대로501번길 46, 4층 주식회사고리아 (원창동)",032-577-5480,2025-04-02
3493,주식회사 광평푸드,"장아찌, 수육, 냉면육수",과실 및 그 외 채소 절임식품 제조업 외 2 종,"인천광역시 서구 소담2로 32-2, 2층(금곡동)",032-561-9377,2025-04-02
3494,주식회사 국화,"의류, 가방, 지갑, 침구류, 텐트, 낙하산, 구명조끼 등",가죽의복 제조업 외 14 종,"인천광역시 서구 원적로7번길 21, 5층(가좌동)",032-578-0452,2025-04-02
3495,주식회사 굿씽크,초음파 세척기,주방용 전기기기 제조업 외 1 종,"인천광역시 서구 백범로910번길 4-6, 1층 (가좌동)",ARS-1811-9389,2025-04-02
3496,주식회사 금강씨푸드,수산물 필렛,수산동물 냉동품 제조업 외 1 종,인천광역시 서구 소담로58번길 8(금곡동),032-715-7302,2025-04-02
3497,주식회사 길현전자,인쇄회로기판,경성 인쇄회로기판 제조업,"인천광역시 서구 중봉대로198번길 27,(가좌동) 1동 5F층 503호",032-583-3183,2025-04-02
3498,주식회사 김종구참푸드,"닭양념육, 어육튀김",가금류 가공 및 저장 처리업 외 1 종,"인천광역시 서구 건지로 93(석남동, (주)김종구참푸드)",ARS-1522-2086,2025-04-02
3499,주식회사 나린에너지,"바닥 난방 및 공기 냉난방 완제품, 부속품 제조",가정용 전기 난방기기 제조업,"인천광역시 서구 중봉대로 490, 427호  (청라동) 427호",032-262-0400,2025-04-02
3500,주식회사 나무와나,바이올린 블루투스 스피커,기타 음향기기 제조업,"인천광역시 서구 원적로7번길 23, 1층(가좌동)",032-577-8251,2025-04-02
3501,주식회사 나무와나무,"목재, 목재합판, 금속재울타리, 경관조명기구",일반 제재업 외 2 종,인천광역시 서구 북항배후로 12(원창동),032-582-6233,2025-04-02
3502,주식회사 나인정보기술,통신S/W,유선 통신장비 제조업 외 5 종,"인천광역시 서구 파랑로 495, 2동 916호(청라동) 2동 916호",032-868-1177,2025-04-02
3503,주식회사 네오스텍,"조명제어장치, 가정용/사무실용 조명기구, 전기 제어기 부분품",기타 전기 변환장치 제조업 외 3 종,"인천광역시 서구 정서진로 410, 본부동 D232호(오류동, 창업·벤처 녹색융합클러스터)",070-4228-1811,2025-04-02
3504,주식회사 넥스트이앤엠,도로날림먼지자동포집시스템,기체 여과기 제조업 외 1 종,"인천광역시 서구 정서진로 410, 파일럿테스트 E동 05호(오류동, 창업·벤처 녹색융합클러스터)",032-872-7237,2025-04-02
3505,주식회사 노고단,산업용 냉동냉장고,산업용 냉장 및 냉동 장비 제조업 외 1 종,인천광역시 서구 백범로701번길 6 (가좌동),032-221-3151,2025-04-02
3506,주식회사 누비랩,감시 및 탐지장비(인공지능 푸드스캐너),기타 주변기기 제조업 외 1 종,"인천광역시 서구 정서진로 410, 본부동 D209호(오류동, 창업·벤처 녹색융합클러스터)",0507-1340-3791,2025-04-02
3507,주식회사 뉴플로우,아이스팩,그 외 기타 달리 분류되지 않은 제품 제조업,인천광역시 서구 검단로326번길 35-40 (왕길동),032-569-6022,2025-04-02
3508,주식회사 다운포스,조립식 완구,인형 및 장난감 제조업,"인천광역시 서구 봉수대로 206, 2동 2층 일부(가좌동)",070-4693-6302,2025-04-02
3509,주식회사 다이에나롤랑,"피혁잡화 (가방,스카프,벨트)",그 외 기타 의복액세서리 제조업,"인천광역시 서구 건지로250번길 50, 316호 (가좌동)",ARS-1833-8199,2025-04-02
3510,주식회사 다희퍼니쳐,고정식 연결의자 및 목재가구(의자),금속 가구 제조업 외 1 종,인천광역시 서구 봉수대로1532번안길 29-15 (금곡동),032-572-9397,2025-04-02
3511,주식회사 대경시스템,태양열 LED 스마트 유도등,전기경보 및 신호장치 제조업,"인천광역시 서구 봉수대로182번길 13, 1층 (가좌동)",02-722-9500,2025-04-02
3512,주식회사 대성에이치이,열 교환기 ,"증류기, 열교환기 및 가스발생기 제조업","인천광역시 서구 건지로153번길 9, 1,2층(일부) (석남동)",032-675-5251,2025-04-02
3513,주식회사 대우알앤디,"항온항습조,대형 온습도 환경 챔버 제작",공기 조화장치 제조업 외 3 종,"인천광역시 서구 봉수대로1531번길 22-1, 제1동 (금곡동)",032-568-2716,2025-04-02
3514,주식회사 대원아이엔디,"여성용 자켓(정장, 겉옷, 자켓, 교복 등)",여자용 겉옷 제조업 외 2 종,"인천광역시 서구 가좌로95번길 16, 3층 (가좌동)",032-573-6151,2025-04-02
3515,주식회사 더모임,캠핑테이블,기타 목재가구 제조업,"인천광역시 서구 가재울로 109,  (가좌동) 1동 5층 513호",,2025-04-02
3516,주식회사 더베딩,"이불, 커튼, 침구류, 무대막, 원단",침구 및 관련제품 제조업 외 1 종,"인천광역시 서구 가정로37번길 21, 2층 (가좌동)",032-574-6747,2025-04-02
3517,주식회사 더존이엔씨,난방패널,산업용 난방보일러 및 방열기 제조업 외 1 종,인천광역시 서구 가정로48번길 18 (가좌동),032-441-1313,2025-04-02
3518,주식회사 데이트리,마스크,기타 직물제품 제조업,"인천광역시 서구 건지로 88, 3층(가좌동)",032-577-2779,2025-04-02
3519,주식회사 덴켄,호이스트부품/TV스탠드,그 외 기타 전자부품 제조업 외 5 종,인천광역시 서구 장고개로118번길 9 (가좌동),032-581-6132,2025-04-02
3520,주식회사 동광,"LED 경관조명기구, 옥외용 벤치, 이동식초소, 흡연부스, 기타 이동식 부스",전시 및 광고용 조명장치 제조업 외 2 종,"인천광역시 서구 건지로 45-26, 5동 1층 (석남동)",031-997-9115,2025-04-02
3521,주식회사 동아글라스,브라스케임,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",인천광역시 서구 원전로48번길 10 (경서동),032-564-2781,2025-04-02
3522,주식회사 동우파이프산업,"파이프절단, 레이저가공, 벤딩",그 외 기타 금속가공업,인천광역시 서구 로봇랜드로249번길 62-26 (청라동),032-584-8884,2025-04-02
3523,주식회사 동원푸드빌,육류가공(포장육),육류 포장육 및 냉동육 가공업 (가금류 제외),"인천광역시 서구 소담로 19, 2층(금곡동)",,2025-04-02
3524,주식회사 동행비드,계급장 및 명찰,그 외 기타 의복액세서리 제조업,"인천광역시 서구 원당대로117번길 70-3, 2층 (오류동)",,2025-04-02
3525,주식회사 두신이엔지,성형기  FRAME  제작 및 냉간단조기 FRAME 제작,디지털 적층 성형기계 제조업 외 1 종,인천광역시 서구 검단천로356번길 46 (오류동),032-562-5494,2025-04-02
3526,주식회사 두진인더스트리,주방기기하드웨어,금속 위생용품 제조업,인천광역시 서구 보도진로18번길 10(가좌동),032-584-1731,2025-04-02
3527,주식회사 드림씨앤씨,"화장품 부자재(용기, 캡), 플라스틱 표면처리(증착, 코팅)","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",인천광역시 서구 건지로109번길 66 (석남동),070-7543-9271,2025-04-02
3528,주식회사 디.에스.피.툴링,재활용품압축기,금속 절삭기계 제조업 외 1 종,인천광역시 서구 장고개로118번길 25 (가좌동),032-581-2373,2025-04-02
3529,주식회사 디솔루션즈,"액정 표시장치 모듈, 소프트웨어",액정 표시장치 제조업 외 1 종,"인천광역시 서구 중봉대로 490, 6층 601호 (청라동) 6층 601호",,2025-04-02
3530,주식회사 디알에스,마스크팩,화장품 제조업,"인천광역시 서구 원적로7번길 32, 3층(가좌동)",,2025-04-02
3531,주식회사 디케이랩스,LED 전광판,전시 및 광고용 조명장치 제조업,"인천광역시 서구 중봉대로 490, 864호 (청라동) 864호",,2025-04-02
3532,주식회사 라움,보존처리 목재,"목재 보존, 방부처리, 도장 및 유사 처리업",인천광역시 서구 건지로 194 (가좌동),032-572-2608,2025-04-02
3533,주식회사 라이커든,전광판,전시 및 광고용 조명장치 제조업,"인천광역시 서구 중봉대로 490, 219호 (청라동) 219호",,2025-04-02
3534,주식회사 락컴퍼니,"소스류,즉석조리식품",천연 및 혼합조제 조미료 제조업 외 1 종,인천광역시 서구 소담2로 2(금곡동),032-561-3440,2025-04-02
3535,주식회사 레스트원,"자동차케이블, 로봇 및 산업자동화 용품",그 외 기타 전자부품 제조업,"인천광역시 서구 중봉대로 490, 8층 821호 (청라동) 8층 821호",,2025-04-02
3536,주식회사 로드썬코리아,"태양광 표지병, LED 투광등",전기경보 및 신호장치 제조업 외 5 종,인천광역시 서구 신동안길 22(금곡동),031-943-8991,2025-04-02
3537,주식회사 멋샘베딩플레이스,"커튼, 침구류, 섬유제품",그 외 기타 분류 안된 섬유제품 제조업 외 1 종,"인천광역시 서구 중봉대로 490, 9층 921호 (청라동) 9층 921호",032-751-9667,2025-04-02
3538,주식회사 메조팜,화장품,화장품 제조업,"인천광역시 서구 장고개로243번길 26-2, 1,2,3층 (가좌동)",032-710-2006,2025-04-02
3539,주식회사 메타빈스,활성탄 필터,기체 여과기 제조업,"인천광역시 서구 정서진로 410, 비동 302호(오류동, 창업·벤처 녹색융합클러스터)",070-8095-6132,2025-04-02
3540,주식회사 명성스틸,"금속제 양식기(포크, 스푼, 젓가락, 나이프)",날붙이 제조업,인천광역시 서구 건지로153번길 45 (석남동),032-571-5708,2025-04-02
3541,주식회사 명성엘엔텍,"금속가공품, 초음파 세척기, 금속세척기, 주방기기 식기세척기,산업용 접시세척기, 헬스용품,소방설비, 랙,스마트물류시스템",그 외 기타 분류 안된 금속 가공 제품 제조업 외 6 종,인천광역시 서구 봉화로223번안길 19-28 (금곡동),032-566-2855,2025-04-02
3542,주식회사 명진기계산업,연소기구 압형제품,그 외 금속 압형제품 제조업,"인천광역시 서구 백범로 611,  (가좌동) 1동 2층 208호",032-582-3045,2025-04-02
3543,주식회사 미래챌린지인더스트리,"플라스틱포대, 봉투 및 유사제품","플라스틱 포대, 봉투 및 유사제품 제조업",인천광역시 서구 마중4로 25(오류동),032-715-6106,2025-04-02
3544,주식회사 미선식품,"꽃빵,만두",빵류 제조업 외 1 종,"인천광역시 서구 소담로 19, 2층(금곡동)",032-569-3047,2025-04-02
3545,주식회사 바이오스 코리아,화장품,화장품 제조업,"인천광역시 서구 파랑로 495, (청라동) 1동 5층 512호",,2025-04-02
3546,주식회사 밥상편지푸드,"나물,소스,갈비찜",기타 식사용 가공처리 조리식품 제조업,"인천광역시 서구 가재울로 109,  (가좌동) 1동 4층 404호 외 6필지",032-817-0106,2025-04-02
3547,주식회사 배너공장닷컴,"배너, 입간판",간판 및 광고물 제조업,"인천광역시 서구 중봉대로 490, 422호 (청라동) 422호",,2025-04-02
3548,주식회사 백천기계,포장기계자동화설비,산업처리공정 제어장비 제조업 외 1 종,"인천광역시 서구 가재울로 15, 1층(가좌동, (주)백천기계)",032-517-8014,2025-04-02
3549,주식회사 백푸드,"식육가공품(포장육,양념육 등)",가금류 가공 및 저장 처리업 외 2 종,인천광역시 서구 건지로97번길 33-11 (석남동),032-551-0119,2025-04-02
3550,주식회사 보람스틸,환절판(블랭킹),그 외 금속 압형제품 제조업 외 1 종,인천광역시 서구 북항로177번길 110 (원창동) 외 1필지,032-575-6645,2025-04-02
3551,주식회사 보령금형,플라스틱 용기(화장품 용기 등),포장용 플라스틱 성형용기 제조업,"인천광역시 서구 가정로77번길 51, 1층 (가좌동)",,2025-04-02
3552,주식회사 보성아이에스,"일반철물, 건축자재",일반철물 제조업,인천광역시 서구 북항로193번길 77 (원창동),032-575-1525,2025-04-02
3553,주식회사 부영써키트,전자부품,경성 인쇄회로기판 제조업,인천광역시 서구 가재울로 9(가좌동),032-573-2124,2025-04-02
3554,주식회사 블루콤," 블루투스제품, 전기차용리튬이온2차전지핵심부품",축전지 제조업 외 1 종,인천광역시 서구 첨단기술로 33 (청라동),032-810-0500,2025-04-02
3555,주식회사 블루키즈,유아용품,인형 및 장난감 제조업,"인천광역시 서구 파랑로 495, 1동 709호(청라동) 1동 709호",,2025-04-02
3556,주식회사 비알솔루션,"플라스틱제품(주방용품, 샴푸용기, 화장품용기 등)",그 외 기타 플라스틱 제품 제조업,인천광역시 서구 염곡로14번길 14 (가좌동),032-671-9957,2025-04-02
3557,주식회사 비티알수성,"엘리베이터용 권상기, 적하용로봇",기어 및 동력전달장치 제조업 외 1 종,인천광역시 서구 파랑로466번길 88 (청라동),032-575-6136,2025-04-02
3558,주식회사 산우들,"돈육, 우육",육류 포장육 및 냉동육 가공업 (가금류 제외),인천광역시 서구 소담2로 53 (금곡동),032-561-1933,2025-04-02
3559,주식회사 산우들 인천공장,"축산물포장육, 양념육, 가공육(육류,가금류)",육류 포장육 및 냉동육 가공업 (가금류 제외) 외 2 종,인천광역시 서구 소담2로 54(금곡동),032-531-2500,2025-04-02
3560,주식회사 상남,"나노세라믹바인더, 청정용 수성도료, 탄소섬유 발열체",일반용 도료 및 관련제품 제조업 외 1 종,"인천광역시 서구 백범로630번길 16, 1층 105호(가좌동, GJ가좌타워 지식산업센터) 1층 105호",032-579-0066,2025-04-02
3561,주식회사 샤인코리아,화장품 케이스,가방 및 기타 보호용 케이스 제조업,"인천광역시 서구 파랑로 495, 2동 929호(청라동) 2동 929호",032-818-9194,2025-04-02
3562,주식회사 서진이엔지,진공성형기,"고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",인천광역시 서구 오류동 0 번지 검단일반산업단지 6-2,032-563-2654,2025-04-02
3563,주식회사 성광파라솔,파라솔,그 외 기타 달리 분류되지 않은 제품 제조업,인천광역시 서구 왕길동 48-5 번지,032-565-4641,2025-04-02
3564,주식회사 세미패키징,"외과용패치, 의료용포장",의료용품 및 기타 의약 관련제품 제조업 외 1 종,"인천광역시 서구 파랑로 495, 1동 504호 (청라동) 1동 504호",032-504-3334,2025-04-02
3565,주식회사 세영시스템,자동제어반,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 가좌로 54, (가좌동, 주안비티센터2차) 1동 6층 606호",032-876-6537,2025-04-02
3566,주식회사 셈즈,"통신장치,계측기,인식표지기",기타 주변기기 제조업 외 1 종,"인천광역시 서구 보도진로 35, 3층 (가좌동)",032-579-0450,2025-04-02
3567,주식회사 스위트레쉬피,럭키볼,과자류 및 코코아 제품 제조업,"인천광역시 서구 원석로196번길 12, 4층 (원창동)",032-577-5779,2025-04-02
3568,주식회사 스카이정보기술,"CCTV지능형 관제 프로그램, 응용소프트웨어 개발, 영상, 음향기기, CCTV, 방송기기",비디오 및 기타 영상기기 제조업 외 2 종,"인천광역시 서구 파랑로 495, 2동 508호(청라동) 2동 508호",032-721-8282,2025-04-02
3569,주식회사 스킨덤,화장품,화장품 제조업,"인천광역시 서구 가좌로29번길 22, 7층 701호(가좌동, IBC센터) 7층 701호",070-5012-5720,2025-04-02
3570,주식회사 스킨스타,화장품,화장품 제조업,인천광역시 서구 가정로87번길 28(가좌동),032-262-1205,2025-04-02
